№,採取日（購入日）Ｓａｍｐｌｉｎｇｄａｔｅ,結果判明日Ｒｅｓｕｌｔｓｏｂｔａｉｎｅｄｄａｔｅ,生産者・製造者・販売者・輸入者等の別Ｆａｒｍｅｒ／Ｍａｎｕｆａｃｔｕｒｅｒ／Ｓｅｌｌｅｒ／Ｉｍｐｏｒｔｅｒ,左記の所在地Ｌｏｃａｔｉｏｎ,品目,食品分類Ｃｌａｓｓｉｆｉｃａｔｉｏｎ,食品カテゴリ※１Ｃａｔｅｇｏｒｙ,検査機器Ｉｎｓｐｅｃｔｉｏｎｉｎｓｔｒｕｍｅｎｔ,検査結果（単位：Ｂｑ／Ｋｇ）放射性セシウムセシウム－１３４Ｃｅｓｉｕｍ－１３４,検査結果（単位：Ｂｑ／Ｋｇ）放射性セシウムセシウム－１３７Ｃｅｓｉｕｍ－１３７,検査結果（単位：Ｂｑ／Ｋｇ）放射性セシウムセシウム合計※２Ｃｅｓｉｕｍｔｏｔａｌ,備考Ｎｏｔｅｓ
５４３,2014/9/3,2014/9/9,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,長野県Ｎａｇａｎｏ,乳飲料,乳飲料Ｍｉｌｋｄｒｉｎｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．６）ＮＤ,検出せず（＜０．７）ＮＤ,検出せず（＜１．３）ＮＤ,
５４４,2014/9/3,2014/9/9,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,北海道Ｈｏｋｋａｉｄｏ,乳飲料,乳飲料Ｍｉｌｋｄｒｉｎｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．５）ＮＤ,検出せず（＜０．６）ＮＤ,検出せず（＜１．１）ＮＤ,
５４５,2014/9/3,2014/9/9,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,北海道Ｈｏｋｋａｉｄｏ,牛乳,牛乳Ｃｏｗ’ｓｍｉｌｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．７）ＮＤ,検出せず（＜０．６）ＮＤ,検出せず（＜１．３）ＮＤ,
５４６,2014/9/3,2014/9/9,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,東京都Ｔｏｋｙｏ,乳飲料,乳飲料Ｍｉｌｋｄｒｉｎｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．６）ＮＤ,検出せず（＜０．７）ＮＤ,検出せず（＜１．３）ＮＤ,
５４７,2014/9/3,2014/9/9,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,宮城県Ｍｉｙａｇｉ,マアジ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
５４８,2014/9/3,2014/9/9,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,宮城県Ｍｉｙａｇｉ,チダイ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
５４９,2014/9/3,2014/9/9,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,宮城県Ｍｉｙａｇｉ,マガレイ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
５５０,2014/9/3,2014/9/9,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,千葉県Ｃｈｉｂａ,スズキ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
５５１,2014/9/3,2014/9/9,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,三陸南部沖ｏｆｆｓｏｕｔｈｅｒｎＳａｎｒｉｋｕ,イナダ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
５５２,2014/9/10,2014/9/16,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,長野県Ｎａｇａｎｏ,乳飲料,乳飲料Ｍｉｌｋｄｒｉｎｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．５）ＮＤ,検出せず（＜０．８）ＮＤ,検出せず（＜１．３）ＮＤ,
５５３,2014/9/10,2014/9/16,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,北海道Ｈｏｋｋａｉｄｏ,牛乳（常温保存可能品）,牛乳Ｃｏｗ’ｓｍｉｌｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．７）ＮＤ,検出せず（＜０．７）ＮＤ,検出せず（＜１．４）ＮＤ,
５５４,2014/9/10,2014/9/16,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,静岡県Ｓｈｉｚｕｏｋａ,乳飲料,乳飲料Ｍｉｌｋｄｒｉｎｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．８）ＮＤ,検出せず（＜０．４）ＮＤ,検出せず（＜１．２）ＮＤ,
５５５,2014/9/10,2014/9/16,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,愛媛県Ｅｈｉｍｅ,乳飲料,乳飲料Ｍｉｌｋｄｒｉｎｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．５）ＮＤ,検出せず（＜０．６）ＮＤ,検出せず（＜１．１）ＮＤ,
５５６,2014/9/10,2014/9/16,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,北海道Ｈｏｋｋａｉｄｏ,牛乳,牛乳Ｃｏｗ’ｓｍｉｌｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．２）ＮＤ,検出せず（＜０．５）ＮＤ,検出せず（＜０．７）ＮＤ,
５５７,2014/9/10,2014/9/16,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,東京都Ｔｏｋｙｏ,クリーム（乳製品）,クリームＣｒｅａｍ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
５５８,2014/9/10,2014/9/16,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,東京都Ｔｏｋｙｏ,はっ酵乳,発酵乳Ｆｅｒｍｅｎｔｅｄｍｉｌｋ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
５５９,2014/9/10,2014/9/16,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,北海道Ｈｏｋｋａｉｄｏ,プロセスチーズ,プロセスチーズＰｒｏｃｅｓｓｅｄｃｈｅｅｓｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
５６０,2014/9/10,2014/9/16,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,東京都Ｔｏｋｙｏ,バター,バターＢｕｔｔｅｒ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
５６１,2014/9/10,2014/9/16,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,北海道Ｈｏｋｋａｉｄｏ,ナチュラルチーズ,ナチュラルチーズＮａｔｕｒａｌｃｈｅｅｓｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
５６２,2014/9/10,2014/9/16,生産・出荷者Ｆａｒｍｅｒ,群馬県Ｇｕｎｍａ,キャベツ,その他の生鮮野菜Ｏｔｈｅｒｆｒｅｓｈｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
５６３,2014/9/10,2014/9/16,生産・出荷者Ｆａｒｍｅｒ,福島県Ｆｕｋｕｓｈｉｍａ,キュウリ,ウリ科野菜Ｃｕｃｕｒｂｉｔａｃｅｏｕｓｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
５６４,2014/9/10,2014/9/16,生産・出荷者Ｆａｒｍｅｒ,北海道Ｈｏｋｋａｉｄｏ,ハクサイ,その他の生鮮野菜Ｏｔｈｅｒｆｒｅｓｈｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
５６５,2014/9/10,2014/9/16,生産・出荷者Ｆａｒｍｅｒ,茨城県Ｉｂａｒａｋｉ,トマト,その他の生鮮野菜Ｏｔｈｅｒｆｒｅｓｈｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
５６６,2014/9/10,2014/9/16,生産・出荷者Ｆａｒｍｅｒ,青森県Ａｏｍｏｒｉ,ダイコン,その他の生鮮野菜Ｏｔｈｅｒｆｒｅｓｈｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１２）ＮＤ,検出せず（＜２５）ＮＤ,
５６７,2014/9/10,2014/9/16,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,東京都Ｔｏｋｙｏ,ノリつくだ煮,その他のそうざい類Ｒｅａｄｙｔｏｅａｔｆｏｏｄ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
５６８,2014/9/10,2014/9/16,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,北海道Ｈｏｋｋａｉｄｏ,魚介類加工品,その他の魚介類加工品Ｏｔｈｅｒｆｉｓｈｐｒｏｄｕｃｔｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
５６９,2014/9/10,2014/9/16,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,サケフレーク,その他の魚介類加工品Ｏｔｈｅｒｆｉｓｈｐｒｏｄｕｃｔｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
５７０,2014/9/10,2014/9/16,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,サンマみそ煮,その他の魚介類加工品Ｏｔｈｅｒｆｉｓｈｐｒｏｄｕｃｔｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
５７１,2014/9/10,2014/9/16,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,サバみそ煮,その他の魚介類加工品Ｏｔｈｅｒｆｉｓｈｐｒｏｄｕｃｔｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
５７２,2014/9/18,2014/9/18,生産・出荷者Ｆａｒｍｅｒ,茨城県Ｉｂａｒａｋｉ,チンゲンサイ,その他の生鮮野菜Ｏｔｈｅｒｆｒｅｓｈｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
５７３,2014/9/18,2014/9/18,生産・出荷者Ｆａｒｍｅｒ,茨城県Ｉｂａｒａｋｉ,メロン,ウリ科果実Ｃｕｃｕｒｂｉｔａｃｅｏｕｓｆｒｕｉｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
５７４,2014/9/18,2014/9/18,生産・出荷者Ｆａｒｍｅｒ,栃木県Ｔｏｃｈｉｇｉ,ナシ,その他の生鮮果実Ｏｔｈｅｒｆｒｅｓｈｆｒｕｉｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
５７５,2014/9/18,2014/9/18,生産・出荷者Ｆａｒｍｅｒ,山形県Ｙａｍａｇａｔａ,モモ,その他の生鮮果実Ｏｔｈｅｒｆｒｅｓｈｆｒｕｉｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
５７６,2014/9/18,2014/9/18,生産・出荷者Ｆａｒｍｅｒ,茨城県Ｉｂａｒａｋｉ,レンコン,その他の生鮮野菜Ｏｔｈｅｒｆｒｅｓｈｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,１２,＜２５,
５７７,2014/9/18,2014/9/18,加工者Ｐｒｏｃｅｓｓｏｒ,東京都Ｔｏｋｙｏ,しめサバ,その他の魚介類加工品Ｏｔｈｅｒｆｉｓｈｐｒｏｄｕｃｔｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
５７８,2014/9/18,2014/9/18,加工者Ｐｒｏｃｅｓｓｏｒ,東京都Ｔｏｋｙｏ,イワシすり身,魚肉のすり身Ｍｉｎｃｅｄｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
５７９,2014/9/18,2014/9/18,加工者Ｐｒｏｃｅｓｓｏｒ,東京都Ｔｏｋｙｏ,刻みメカブ,その他の食品Ｏｔｈｅｒｆｏｏｄ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜５）ＮＤ,検出せず（＜２５）ＮＤ,
５８０,2014/9/18,2014/9/18,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,青森県Ａｏｍｏｒｉ,イカ塩辛,その他の魚介類加工品Ｏｔｈｅｒｆｉｓｈｐｒｏｄｕｃｔｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
５８１,2014/9/18,2014/9/18,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,山形県Ｙａｍａｇａｔａ,サンマ花カツオ煮,その他のそうざい類Ｒｅａｄｙｔｏｅａｔｆｏｏｄ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
５８２,2014/9/17,2014/9/25,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,イタリアンパセリホウル,ハーブｈｅｒｂ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,Ｇｅ,検出せず（＜５）ＮＤ,検出せず（＜６）ＮＤ,検出せず（＜１１）ＮＤ,原産国：ドイツＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｇｅｒｍａｎｙ
５８３,2014/9/17,2014/9/25,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,パプリカ,ハーブｈｅｒｂ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,原産国：スペインＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｓｐａｉｎ
５８４,2014/9/17,2014/9/25,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,ヤマドリダケ,冷凍野菜（きのこ類）Ｆｒｏｚｅｎｆｕｎｇｉ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,原産国：スペインＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｓｐａｉｎ
５８５,2014/9/17,2014/9/25,輸入者Ｉｍｐｏｒｔｅｒ,兵庫県Ｈｙｏｇｏ,パスタソース,その他の農産物加工品（きのこ類）Ｏｔｈｅｒｐｒｏｃｅｓｓｅｄｆｕｎｇｉｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,１２,＜２５,原産国：イタリアＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｉｔａｌｙ
５８６,2014/9/17,2014/9/25,輸入者Ｉｍｐｏｒｔｅｒ,神奈川県Ｋａｎａｇａｗａ,青トウガラシのペースト,その他の調味料Ｏｔｈｅｒｓｅａｓｏｎｉｎｇ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,原産国：フランスＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｆｒａｎｃｅ
５８７,2014/9/17,2014/9/25,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,エンドウマメ水煮,豆類の加工品Ｂｅａｎｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,原産国：ウクライナＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｕｋｒａｉｎｅ
５８８,2014/9/17,2014/9/25,輸入者Ｉｍｐｏｒｔｅｒ,広島県Ｈｉｒｏｓｈｉｍａ,ビルベリー,冷凍果実Ｆｒｏｚｅｎｆｒｕｉｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１４）ＮＤ,１６,＜２５,原産国：ロシアＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｒｕｓｓｉａ
５８９,2014/9/17,2014/9/25,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,ラックスハム（スライス）,非加熱食肉製品Ｕｎｈｅａｔｅｄｍｅａｔｐｒｏｄｕｃｔｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,原産国：スペインＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｓｐａｉｎ
５９０,2014/9/17,2014/9/25,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,サラミソーセージ（ブロック）,非加熱食肉製品Ｕｎｈｅａｔｅｄｍｅａｔｐｒｏｄｕｃｔｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,原産国：フランスＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｆｒａｎｃｅ
５９１,2014/9/17,2014/9/25,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,サラミソーセージ（ブロック）,非加熱食肉製品Ｕｎｈｅａｔｅｄｍｅａｔｐｒｏｄｕｃｔｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜７）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,原産国：フランスＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｆｒａｎｃｅ
５９２,2014/9/17,2014/9/25,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,千葉県Ｃｈｉｂａ,カマス,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
５９３,2014/9/17,2014/9/25,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,神奈川県Ｋａｎａｇａｗａ,イサキ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
５９４,2014/9/17,2014/9/25,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,宮城県Ｍｉｙａｇｉ,マアジ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
５９５,2014/9/17,2014/9/25,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,千葉県Ｃｈｉｂａ,チダイ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
５９６,2014/9/17,2014/9/25,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,青森県Ａｏｍｏｒｉ,スルメイカ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
５９７,2014/9/17,2014/9/25,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,ミカン・シラップづけ（ライト）,その他の果実加工品Ｏｔｈｅｒｆｒｕｉｔｐｒｏｃｅｓｓｅｄｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
５９８,2014/9/17,2014/9/25,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,白モモ・シラップづけ（ヘビー）,その他の果実加工品Ｏｔｈｅｒｆｒｕｉｔｐｒｏｃｅｓｓｅｄｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
５９９,2014/9/17,2014/9/25,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,群馬県Ｇｕｎｍａ,キュウリしょうゆ漬（刻み）,しょうゆ漬Ｐｉｃｋｌｅｄｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
６００,2014/9/17,2014/9/25,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,鹿児島県Ｋａｇｏｓｈｉｍａ,ダイコンしょうゆ漬（刻み）,しょうゆ漬Ｐｉｃｋｌｅｄｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
６０１,2014/9/17,2014/9/25,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,栃木県Ｔｏｃｈｉｇｉ,ナス塩漬,塩漬Ｐｉｃｋｌｅｄｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
６０２,2014/9/25,2014/9/25,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,群馬県Ｇｕｎｍａ,こんにゃく,その他の野菜加工品Ｏｔｈｅｒｖｅｇｅｔａｂｌｅｐｒｏｃｅｓｓｅｄｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
６０３,2014/9/25,2014/9/25,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,福島県Ｆｕｋｕｓｈｉｍａ,米みそ,みそＦｅｒｍｅｎｔｅｄｂｅａｎ（ｍｉｓｏ）,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
６０４,2014/9/25,2014/9/25,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,埼玉県Ｓａｉｔａｍａ,豆乳,豆類の加工品Ｂｅａｎｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
６０５,2014/9/25,2014/9/25,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,福島県Ｆｕｋｕｓｈｉｍａ,そば,その他のめん類Ｏｔｈｅｒｎｏｏｄｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
６０６,2014/9/25,2014/9/25,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,岩手県Ｉｗａｔｅ,すいとん粉,その他の穀類加工品Ｏｔｈｅｒｇｒａｉｎｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
