№,採取日（購入日）Ｓａｍｐｌｉｎｇｄａｔｅ,結果判明日Ｒｅｓｕｌｔｓｏｂｔａｉｎｅｄｄａｔｅ,生産者・製造者・販売者・輸入者等の別Ｆａｒｍｅｒ／Ｍａｎｕｆａｃｔｕｒｅｒ／Ｓｅｌｌｅｒ／Ｉｍｐｏｒｔｅｒ,左記の所在地Ｌｏｃａｔｉｏｎ,品目（Ｉｔｅｍｎａｍｅ）,食品分類Ｃｌａｓｓｉｆｉｃａｔｉｏｎ,食品カテゴリＣａｔｅｇｏｒｙ,検査機器Ｉｎｓｐｅｃｔｉｏｎｉｎｓｔｒｕｍｅｎｔ,検査結果：セシウム－１３４（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３４,検査結果：セシウム－１３７（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３７,検査結果：セシウム合計（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ(ｔｏｔａｌ),備考Ｎｏｔｅｓ
24,2013/4/15,2013/4/18,製造者Manufacturer,群馬県Gunma,はっ酵乳,発酵乳Fermented milk,一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,―
25,2013/4/15,2013/4/18,製造者Manufacturer,群馬県Gunma,はっ酵乳,発酵乳Fermented milk,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
26,2013/4/15,2013/4/18,採取地　　Sampling point,岩手県Iwate,アイナメ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
27,2013/4/15,2013/4/18,採取地　　Sampling point,宮城県Miyagi,サンマ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
28,2013/4/15,2013/4/18,採取地　　Sampling point,北海道Hokkaidou,ニシン,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,―
29,2013/4/15,2013/4/18,採取地　　Sampling point,北海道Hokkaidou,カレイ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
30,2013/4/15,2013/4/18,採取地　　Sampling point,北海道Hokkaidou,チカ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
31,2013/4/22,2013/4/25,製造者Manufacturer,茨城県Ibaraki,レンコン水煮,その他の野菜加工品Other vegetable processed product,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
32,2013/4/22,2013/4/25,製造者Manufacturer,新潟県Niigata,山菜ミックス水煮,その他の野菜加工品Other vegetable processed product,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
33,2013/4/22,2013/4/25,製造者Manufacturer,栃木県Tochigi,カット野菜(ゴボウ),その他の野菜加工品Other vegetable processed product,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
34,2013/4/22,2013/4/25,販売者　　　　Seller,東京都Tokyo,黄桃シラップ漬,その他の果実加工品Other fruit processed product,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
35,2013/4/22,2013/4/25,製造者Manufacturer,東京都Tokyo,乳飲料,乳飲料Milk drink,牛乳　　  　 　 　Milk,Ge,検出せず(<0.7) ND,検出せず(<0.6) ND,検出せず(<1.3) ND,―
36,2013/4/22,2013/4/25,製造者Manufacturer,北海道Hokkaidou,乳飲料,乳飲料Milk drink,牛乳　　  　 　 　Milk,Ge,検出せず(<0.8) ND,検出せず(<0.7) ND,検出せず(<1.5) ND,―
37,2013/4/22,2013/4/25,販売者　　　　Seller,東京都Tokyo,弁当(ベビーフード),容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,乳児用食品　Infant foods,Ge,検出せず(<3) 　ND,検出せず(<3) 　ND,検出せず(<6) 　ND,―
38,2013/4/22,2013/4/25,販売者　　　　Seller,東京都Tokyo,弁当(ベビーフード),容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,乳児用食品　Infant foods,Ge,検出せず(<3) 　ND,検出せず(<3) 　ND,検出せず(<6) 　ND,―
39,2013/4/22,2013/4/25,販売者　　　　Seller,東京都Tokyo,アップルウォーター(ベビーフード),その他の清涼飲料水Other soft drink beverages,乳児用食品　Infant foods,Ge,検出せず(<0.5) ND,検出せず(<0.4) ND,検出せず(<0.9) ND,―
40,2013/4/22,2013/4/25,販売者　　　　Seller,東京都Tokyo,キャロット・アップルジュース(ベビーフード),その他の清涼飲料水Other soft drink beverages,乳児用食品　Infant foods,Ge,検出せず(<0.7) ND,検出せず(<0.5) ND,検出せず(<1.2) ND,―
41,2013/4/22,2013/4/25,販売者　　　　Seller,東京都Tokyo,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水　   Drinking water,Ge,検出せず(<0.6) ND,検出せず(<0.7) ND,検出せず(<1.3) ND,―
42,2013/4/22,2013/4/25,販売者　　　　Seller,東京都Tokyo,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水　   Drinking water,Ge,検出せず(<0.4) ND,検出せず(<0.5) ND,検出せず(<0.9) ND,―
43,2013/4/22,2013/4/25,販売者　　　　Seller,千葉県Chiba,緑茶,その他の清涼飲料水Other soft drink beverages,飲料水　   Drinking water,Ge,検出せず(<0.8) ND,検出せず(<0.5) ND,検出せず(<1.3) ND,―
44,2013/4/22,2013/4/25,製造者Manufacturer,長野県Nagano,米みそ,みそFermented bean (miso),一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
45,2013/4/22,2013/4/25,製造者Manufacturer,東京都Tokyo,小麦粉,小麦粉Flour,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
46,2013/4/22,2013/4/25,販売者　　　　Seller,愛知県Aichi,大豆水煮,豆類の加工品Bean product,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
47,2013/4/22,2013/4/25,販売者　　　　Seller,東京都Tokyo,干しうどん,その他のめん類Other noodle,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
48,2013/4/22,2013/4/25,製造者Manufacturer,青森県Aomori,さばみそ煮,その他の魚介類加工品Other fish products,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
49,2013/4/22,2013/4/25,販売者　　　　Seller,東京都Tokyo,さばみそ煮,その他の魚介類加工品Other fish products,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<9)ND,検出せず(<25) ND,―
50,2013/4/22,2013/4/25,採取地　　Sampling point,宮城県Miyagi,湯通し塩蔵ワカメ,その他の食品Other food,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
51,2013/4/25,2013/4/26,生産・出荷者Farmer,群馬県Gunma,フキ,その他の生鮮野菜(山菜)Wild vegetable,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<9)ND,検出せず(<25) ND,―
52,2013/4/25,2013/4/26,生産・出荷者Farmer,埼玉県Saitama,サントウナ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<9)ND,検出せず(<25) ND,―
53,2013/4/25,2013/4/26,生産・出荷者Farmer,埼玉県Saitama,ホウレンソウ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,―
54,2013/4/25,2013/4/26,生産・出荷者Farmer,茨城県Ibaraki,カリフラワー,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<8)　 ND,検出せず(<25) ND,―
55,2013/4/25,2013/4/26,生産・出荷者Farmer,神奈川県Kanagawa,キャベツ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
56,2013/4/25,2013/4/26,販売者　　　　Seller,大阪府Osaka,ウインナーソーセージ,加熱食肉製品（加熱後包装）Heated meat products (packed in package after being heat-sterilized),一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
57,2013/4/25,2013/4/26,販売者　　　　Seller,大阪府Osaka,ベーコン,加熱食肉製品（加熱後包装）Heated meat products (packed in package after being heat-sterilized),一般食品　General foods,NaI,検出せず(<9)　 ND,検出せず(<8)　 ND,検出せず(<25) ND,―
58,2013/4/25,2013/4/26,製造者Manufacturer,東京都Tokyo,ポークソーセージ,加熱食肉製品（加熱後包装）Heated meat products (packed in package after being heat-sterilized),一般食品　General foods,NaI,検出せず(<9)　 ND,検出せず(<8)　 ND,検出せず(<25) ND,―
59,2013/4/25,2013/4/26,製造者Manufacturer,新潟県Niigata,たまごとうふ,卵加工品Egg product,一般食品　General foods,NaI,検出せず(<9)　 ND,検出せず(<8)　 ND,検出せず(<25) ND,―
60,2013/4/25,2013/4/26,製造者Manufacturer,埼玉県Saitama,温泉たまご,卵加工品Egg product,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
61,2013/5/7,2013/5/10,製造者Manufacturer,岩手県Iwate,焼菓子,"その他の菓子・製菓材料Other confection, confectionary material",一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<10) ND,検出せず(<25) ND,―
62,2013/5/7,2013/5/10,製造者Manufacturer,群馬県Gunma,洋生菓子,洋生菓子Western type fresh sweets,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
63,2013/5/7,2013/5/10,製造者Manufacturer,宮城県Miyagi,カレー,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
64,2013/5/7,2013/5/10,販売者　　　　Seller,東京都Tokyo,黄もも・はちみつシラップづけ,その他の果実加工品Other fruit processed product,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
65,2013/5/7,2013/5/10,販売者　　　　Seller,青森県Aomori,ミックスジャム,その他の果実加工品Other fruit processed product,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<9)ND,検出せず(<25) ND,―
66,2013/5/7,2013/5/10,製造者Manufacturer,山形県Yamagata,あつみかぶ酢漬(刻み),酢漬Pickled vegetable,一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,―
67,2013/5/7,2013/5/10,製造者Manufacturer,秋田県Akita,たくあん漬,たくあん漬Pickled vegetable,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
68,2013/5/7,2013/5/10,製造者Manufacturer,埼玉県Saitama,しゃくし菜しょうゆ漬,しょうゆ漬Pickled vegetable,一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,―
69,2013/5/7,2013/5/10,製造者Manufacturer,青森県Aomori,りんごジュース,その他の清涼飲料水Other soft drink beverages,一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,―
70,2013/5/7,2013/5/10,製造者Manufacturer,秋田県Akita,トマトジュース,その他の清涼飲料水Other soft drink beverages,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
71,2013/5/7,2013/5/10,生産・出荷者Farmer,北海道Hokkaidou,ジャガイモ,ばれいしょPotato,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<9)ND,検出せず(<25) ND,―
72,2013/5/7,2013/5/10,生産・出荷者Farmer,青森県Aomori,ナガイモ,その他の穀物Other grain,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
73,2013/5/7,2013/5/10,生産・出荷者Farmer,岩手県Iwate,黒豆,大豆（乾燥）Dried soybean,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<10) ND,検出せず(<25) ND,―
74,2013/5/7,2013/5/10,生産・出荷者Farmer,長野県Nagano,ブナシメジ,その他の生鮮野菜(きのこ類)Fungi,一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,―
75,2013/5/7,2013/5/10,生産・出荷者Farmer,群馬県Gunma,ナメコ,その他の生鮮野菜(きのこ類)Fungi,一般食品　General foods,NaI,検出せず(<12)　ND,11,＜25,―
76,2013/5/7,2013/5/10,製造者Manufacturer,北海道Hokkaidou,バター,バターButter,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
77,2013/5/7,2013/5/10,製造者Manufacturer,大阪府Osaka,バターBata-,バターButter,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
78,2013/5/7,2013/5/10,製造者Manufacturer,東京都Tokyo,はっ酵乳,発酵乳Fermented milk,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
79,2013/5/7,2013/5/10,製造者Manufacturer,北海道Hokkaidou,はっ酵乳,発酵乳Fermented milk,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
80,2013/5/7,2013/5/10,製造者Manufacturer,北海道Hokkaidou,ナチュラルチーズ,ナチュラルチーズNatural cheese,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
81,2013/5/9,2013/5/10,加工者　Processor,青森県Aomori,鶏肉,食鳥肉Poultry meat,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
82,2013/5/9,2013/5/10,加工者　Processor,東京都Tokyo,豚肉,豚肉Pork,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<9)ND,検出せず(<25) ND,―
83,2013/5/9,2013/5/10,製造者Manufacturer,栃木県Tochigi,豚白もつ,その他の動物性食品Other food of animal origin,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
84,2013/5/9,2013/5/10,選別包装者　Grading packager,群馬県Gunma,鶏卵,鶏卵Poultry egg,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
85,2013/5/9,2013/5/10,選別包装者　Grading packager,茨城県Ibaraki,鶏卵,鶏卵Poultry egg,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
86,2013/5/9,2013/5/10,製造者Manufacturer,千葉県Chiba,さんまみぞれ煮,その他の魚介類加工品Other fish products,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
87,2013/5/9,2013/5/10,製造者Manufacturer,青森県Aomori,しめさば,その他の魚介類加工品Other fish products,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
88,2013/5/9,2013/5/10,採取地　　Sampling point,宮城県Miyagi,ギンザケ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
89,2013/5/9,2013/5/10,採取地　　Sampling point,静岡県Shizuoka,ゴマサバ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
90,2013/5/9,2013/5/10,加工者　Processor,東京都Tokyo,かつおたたき,その他の魚介類加工品Other fish products,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
91,2013/5/13,2013/5/16,生産・出荷者Farmer,群馬県Gunma,ウド,その他の生鮮野菜(山菜)Wild vegetable,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
92,2013/5/13,2013/5/16,生産・出荷者Farmer,茨城県Ibaraki,ナガネギ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<10) ND,検出せず(<25) ND,―
93,2013/5/13,2013/5/16,生産・出荷者Farmer,茨城県Ibaraki,レタス,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
94,2013/5/13,2013/5/16,生産・出荷者Farmer,群馬県Gunma,マイタケ,その他の生鮮野菜(きのこ類)Fungi,一般食品　General foods,NaI,検出せず(<9)　 ND,10,<25,―
95,2013/5/13,2013/5/16,製造者Manufacturer,北海道Hokkaidou,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.7) ND,検出せず(<0.6) ND,検出せず(<1.3) ND,―
96,2013/5/13,2013/5/16,製造者Manufacturer,群馬県Gunma,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.7) ND,検出せず(<0.8) ND,検出せず(<1.5) ND,―
97,2013/5/13,2013/5/16,販売者　　　　Seller,東京都Tokyo,果実・野菜ミックスジュース（ベビーフード）,その他の清涼飲料水Other soft drink beverages,乳児用食品　Infant foods,Ge,検出せず(<3) 　ND,検出せず(<3) 　ND,検出せず(<6) 　ND,―
98,2013/5/13,2013/5/16,販売者　　　　Seller,東京都Tokyo,麦茶（ベビーフード）,その他の清涼飲料水Other soft drink beverages,乳児用食品　Infant foods,Ge,検出せず(<0.5) ND,検出せず(<0.6) ND,検出せず(<1.1) ND,―
99,2013/5/13,2013/5/16,販売者　　　　Seller,東京都Tokyo,野菜加工品（ベビーフード）,その他の野菜加工品Other vegetable processed product,乳児用食品　Infant foods,Ge,検出せず(<3) 　ND,検出せず(<3) 　ND,検出せず(<6) 　ND,―
100,2013/5/13,2013/5/16,販売者　　　　Seller,東京都Tokyo,カレー（ベビーフード）,加熱済みそうざいReady to eat food,乳児用食品　Infant foods,Ge,検出せず(<3) 　ND,検出せず(<3) 　ND,検出せず(<6) 　ND,―
101,2013/5/13,2013/5/16,製造者Manufacturer,北海道Hokkaidou,生ラーメン,生めんFresh noodle,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<9)ND,検出せず(<25) ND,―
102,2013/5/13,2013/5/16,製造者Manufacturer,群馬県Gunma,なまうどん,生めんFresh noodle,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<9)ND,検出せず(<25) ND,―
103,2013/5/13,2013/5/16,販売者　　　　Seller,群馬県Gunma,ゆでそば,ゆでめん類Boiled noodle,一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,―
104,2013/5/13,2013/5/16,販売者　　　　Seller,神奈川県Kanagawa,絹ごし豆腐,豆腐Soybean curd (tofu),一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
105,2013/5/13,2013/5/16,製造者Manufacturer,長野県Nagano,米みそ,みそFermented bean (miso),一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
106,2013/5/13,2013/5/16,製造者Manufacturer,大分県Oita,焼肉のたれ,たれLiquid seasoning,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
107,2013/5/13,2013/5/16,製造者Manufacturer,静岡県Shizuoka,乳化液状ドレッシング,ドレッシングDressing,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<9)ND,検出せず(<25) ND,―
108,2013/5/13,2013/5/16,製造者Manufacturer,長崎県Nagasaki,生菓子,洋生菓子Western type fresh sweets,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<6) 　ND,検出せず(<25) ND,―
109,2013/5/13,2013/5/16,製造者Manufacturer,群馬県Gunma,チルドしゅうまい,その他のそうざい類Ready to eat food,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
110,2013/5/13,2013/5/16,製造者Manufacturer,千葉県Chiba,中華まんじゅう,"その他の菓子・製菓材料Other confection, confectionary material",一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
111,2013/5/16,2013/5/17,生産・出荷者Farmer,埼玉県Saitama,サトイモ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<10) ND,検出せず(<25) ND,―
112,2013/5/16,2013/5/17,生産・出荷者Farmer,茨城県Ibaraki,サツマイモ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<9)　 ND,検出せず(<8)　 ND,検出せず(<25) ND,―
113,2013/5/16,2013/5/17,生産・出荷者Farmer,茨城県Ibaraki,ナガイモ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
114,2013/5/16,2013/5/17,生産・出荷者Farmer,茨城県Ibaraki,ホワイトマッシュルーム,その他の生鮮野菜(きのこ類)Fungi,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<9)ND,検出せず(<25) ND,―
