№,採取日(購入日)Ｓａｍｐｌｉｎｇｄａｔｅ,結果判明日Ｒｅｓｕｌｔｓｏｂｔａｉｎｅｄｄａｔｅ,生産者・製造者・販売者・輸入者等の別Ｆａｒｍｅｒ／Ｍａｎｕｆａｃｔｕｒｅｒ／Ｓｅｌｌｅｒ／Ｉｍｐｏｒｔｅｒ,左記の所在地Ｌｏｃａｔｉｏｎ,品目（Ｉｔｅｍｎａｍｅ）,食品分類Ｃｌａｓｓｉｆｉｃａｔｉｏｎ,食品カテゴリＣａｔｅｇｏｒｙ,検査機器Ｉｎｓｐｅｃｔｉｏｎｉｎｓｔｒｕｍｅｎｔ,検査結果：セシウム－１３４（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３４,検査結果：セシウム－１３７（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３７,検査結果：セシウム合計（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ(ｔｏｔａｌ),備考Ｎｏｔｅｓ
567,2015/9/16,2015/9/24,輸入者Importer,東京都Tokyo,ニンジンジュース,その他の清涼飲料水Other soft drink beverages,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,原産国：イタリアCountry of origin：Italy
568,2015/9/16,2015/9/24,輸入者Importer,東京都Tokyo,紅茶飲料,その他の清涼飲料水Other soft drink beverages,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,原産国：スイスCountry of origin：Switzerland
569,2015/9/16,2015/9/24,輸入者Importer,大阪府Osaka,グレープフルーツジュース,その他の清涼飲料水Other soft drink beverages,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,原産国：スペインCountry of origin：Spain
570,2015/9/17,2015/9/24,販売者Seller,東京都Tokyo,煮干,その他の魚介類加工品Other fish products,一般食品General foods,Ge,検出せず(<5)ND,検出せず(<6)ND,検出せず(<11)ND,―
571,2015/9/16,2015/9/24,製造者Manufacturer,東京都Tokyo,焼きイカ,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
572,2015/9/16,2015/9/24,製造者Manufacturer,宮城県Miyagi,メカブ加工品,その他の食品Other food,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
573,2015/9/16,2015/9/24,製造者Manufacturer,宮城県Miyagi,ささがきゴボウ,魚肉ねり製品Fish-paste products,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
574,2015/9/16,2015/9/24,製造者Manufacturer,千葉県Chiba,イワシ団子,魚肉ねり製品Fish-paste products,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
575,2015/9/16,2015/9/24,製造者Manufacturer,宮城県Miyagi,かまぼこ,魚肉ねり製品Fish-paste products,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
576,2015/9/16,2015/9/24,生産・出荷者Farmer,山形県Yamagata,ニラ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,―
577,2015/9/16,2015/9/24,生産・出荷者Farmer,福島県Fukushima,キュウリ,ウリ科野菜Cucurbitaceous vegetable,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
578,2015/9/16,2015/9/24,生産・出荷者Farmer,岩手県Iwate,ネギ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
579,2015/9/16,2015/9/24,生産・出荷者Farmer,北海道Hokkaido,ダイコン,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
580,2015/9/16,2015/9/24,生産・出荷者Farmer,群馬県Gunma,キャベツ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
581,2015/9/24,2015/9/25,製造者Manufacturer,東京都Tokyo,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
582,2015/9/24,2015/9/25,製造者Manufacturer,群馬県Gunma,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
583,2015/9/24,2015/9/25,製造者Manufacturer,東京都Tokyo,ラクトアイス,ラクトアイスLacto-ice,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<8)ND,検出せず(<25)ND,―
584,2015/9/24,2015/9/25,製造者Manufacturer,群馬県Gunma,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
585,2015/9/24,2015/9/25,製造者Manufacturer,北海道Hokkaido,ナチュラルチーズ,ナチュラルチーズNatural cheese,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
586,2015/9/24,2015/9/25,製造者Manufacturer,長野県Nagano,エノキタケ味付,その他の農産物加工品(きのこ類)Other processed fungi product,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
587,2015/9/24,2015/9/25,製造者Manufacturer,群馬県Gunma,コンニャク,その他の農産物加工品Other processed farm product,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
588,2015/9/24,2015/9/25,販売者Seller,千葉県Chiba,干しそうめん,その他のめん類Other noodle,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
589,2015/9/24,2015/9/25,製造者Manufacturer,千葉県Chiba,木綿豆腐,豆腐Soybean curd (tofu),一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
590,2015/9/24,2015/9/25,販売者Seller,静岡県Shizuoka,水煮ダイズ,豆類の加工品Bean product,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
591,2015/9/24,2015/9/28,採取地Sampling point,北海道Hokkaido,マダラ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
592,2015/9/24,2015/9/28,採取地Sampling point,北海道・青森県沖太平洋Hokkaido・Aomori The Pacific,ブリ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
593,2015/9/24,2015/9/28,採取地Sampling point,北海道・青森県沖太平洋Hokkaido・Aomori The Pacific,サケ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
594,2015/9/24,2015/9/28,採取地Sampling point,青森県Aomori,タラ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
595,2015/9/24,2015/9/28,採取地Sampling point,太平洋沖合北部off northern The Pacific ,カツオ,その他の生食用鮮魚介類Fresh fish and shellfish for raw consumption,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
596,2015/9/24,2015/9/28,販売者Seller,東京都Tokyo,緑茶（清涼飲料水）,その他の清涼飲料水Other soft drink beverages,飲料水Drinking water,Ge,検出せず(<1.1)ND,検出せず(<0.8)ND,検出せず(<1.9)ND,―
597,2015/9/24,2015/9/28,販売者Seller,東京都Tokyo,緑茶（清涼飲料水）,その他の清涼飲料水Other soft drink beverages,飲料水Drinking water,Ge,検出せず(<0.6)ND,検出せず(<0.3)ND,検出せず(<0.9)ND,―
598,2015/9/24,2015/9/28,販売者Seller,東京都Tokyo,緑茶（清涼飲料水）,その他の清涼飲料水Other soft drink beverages,飲料水Drinking water,Ge,検出せず(<0.8)ND,検出せず(<0.6)ND,検出せず(<1.4)ND,―
599,2015/9/24,2015/9/28,販売者Seller,東京都Tokyo,緑茶（清涼飲料水）,その他の清涼飲料水Other soft drink beverages,飲料水Drinking water,Ge,検出せず(<0.7)ND,検出せず(<0.9)ND,検出せず(<1.6)ND,―
600,2015/9/24,2015/9/28,販売者Seller,東京都Tokyo,緑茶（清涼飲料水）,その他の清涼飲料水Other soft drink beverages,飲料水Drinking water,Ge,検出せず(<0.8)ND,検出せず(<0.3)ND,検出せず(<1.1)ND,―
601,2015/9/24,2015/9/28,生産・出荷者Farmer,埼玉県Saitama,シイタケ,その他の生鮮野菜(きのこ類)Fungi,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<7)ND,検出せず(<25)ND,―
602,2015/9/24,2015/9/28,生産・出荷者Farmer,新潟県Niigata,マイタケ,その他の生鮮野菜(きのこ類)Fungi,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
603,2015/9/24,2015/9/28,生産・出荷者Farmer,新潟県Niigata,ヤマエノキ,その他の生鮮野菜(きのこ類)Fungi,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
604,2015/9/24,2015/9/28,製造者Manufacturer,東京都Tokyo,ひたし豆,豆類の加工品Bean product,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
605,2015/9/24,2015/9/28,製造者Manufacturer,神奈川県Kanagawa,押麦,その他の穀物Other grain,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
606,2015/9/24,2015/9/28,製造者Manufacturer,東京都Tokyo,米飯類（粥）,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and heating,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
607,2015/9/24,2015/9/28,販売者Seller,宮城県Miyagi,スープ（濃縮）,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and heating,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
608,2015/9/24,2015/9/28,販売者Seller,青森県Aomori,カレールー,その他の調味料Other seasoning,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
609,2015/9/24,2015/9/28,製造者Manufacturer,東京都Tokyo,食塩,食塩Salt,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
610,2015/9/24,2015/9/28,製造者Manufacturer,神奈川県Kanagawa,ハチミツ,はちみつhoney,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
611,2015/10/1,2015/10/2,販売者Seller,東京都Tokyo,黄モモ・シラップづけ（ライト）,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
612,2015/10/1,2015/10/2,製造者Manufacturer,栃木県Tochigi,塩漬（刻み）,塩漬Pickled vegetable,一般食品General foods,NaI,検出せず(<8)ND,検出せず(<8)ND,検出せず(<25)ND,―
613,2015/10/1,2015/10/2,製造者Manufacturer,栃木県Tochigi,塩漬,塩漬Pickled vegetable,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
614,2015/10/1,2015/10/2,製造者Manufacturer,長野県Nagano,しょうゆ漬,しょうゆ漬Pickled vegetable,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
615,2015/10/1,2015/10/2,製造者Manufacturer,山形県Yamagata,塩漬（刻み）,塩漬Pickled vegetable,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
616,2015/10/1,2015/10/2,採取地Sampling point,青森県Aomori,タラ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
617,2015/10/1,2015/10/2,採取地Sampling point,青森県Aomori,ブリ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<8)ND,検出せず(<25)ND,―
618,2015/10/1,2015/10/2,採取地Sampling point,宮城県Miyagi,サワラ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<9)ND,検出せず(<25)ND,―
619,2015/10/1,2015/10/2,採取地Sampling point,宮城県Miyagi,カツオ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<8)ND,検出せず(<25)ND,―
620,2015/10/1,2015/10/2,採取地Sampling point,北海道Hokkaido,サケ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<8)ND,検出せず(<25)ND,―
621,2015/10/1,2015/10/7,製造者Manufacturer,東京都Tokyo,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.5)ND,検出せず(<0.7)ND,検出せず(<1.2)ND,―
622,2015/10/1,2015/10/7,製造者Manufacturer,神奈川県Kanagawa,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.7)ND,検出せず(<0.6)ND,検出せず(<1.3)ND,―
623,2015/10/1,2015/10/7,製造者Manufacturer,北海道Hokkaido,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.9)ND,検出せず(<0.7)ND,検出せず(<1.6)ND,―
624,2015/10/1,2015/10/7,製造者Manufacturer,群馬県Gunma,乳飲料,乳飲料Milk drink,牛乳Milk,Ge,検出せず(<0.7)ND,検出せず(<0.7)ND,検出せず(<1.4)ND,―
625,2015/10/1,2015/10/7,製造者Manufacturer,北海道Hokkaido,牛乳（常温保存可能品）,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.7)ND,検出せず(<0.7)ND,検出せず(<1.4)ND,―
626,2015/10/1,2015/10/7,生産・出荷者Farmer,茨城県Ibaraki,トマト,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
627,2015/10/1,2015/10/7,生産・出荷者Farmer,茨城県Ibaraki,コマツナ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<9)ND,検出せず(<25)ND,―
628,2015/10/1,2015/10/7,生産・出荷者Farmer,北海道Hokkaido,ナガネギ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
629,2015/10/1,2015/10/7,生産・出荷者Farmer,茨城県Ibaraki,シュンギク,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
630,2015/10/1,2015/10/7,生産・出荷者Farmer,茨城県Ibaraki,ミズナ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<6)ND,検出せず(<25)ND,―
631,2015/9/30,2015/10/7,輸入者Importer,東京都Tokyo,ソフトサラミソーセージ,非加熱食肉製品Unheated meat products,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,原産国：イタリアCountry of origin：Italy
632,2015/9/30,2015/10/7,輸入者Importer,東京都Tokyo,ソフトサラミソーセージ,非加熱食肉製品Unheated meat products,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,原産国：スペインCountry of origin：Spain
633,2015/9/30,2015/10/7,輸入者Importer,東京都Tokyo,カクテルソース,ソース類Sauce,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,原産国：ドイツCountry of origin：Germany
634,2015/9/30,2015/10/7,輸入者Importer,神奈川県Kanagawa,マスタード,その他の調味料Other seasoning,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,原産国：フランスCountry of origin：France
635,2015/9/30,2015/10/7,輸入者Importer,東京都Tokyo,マスタード（粒状）,その他の調味料Other seasoning,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,原産国：フランスCountry of origin：France
636,2015/9/30,2015/10/7,輸入者Importer,東京都Tokyo,イチゴジャム,"その他の菓子・製菓材料Other confection, confectionary material",一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,原産国：ドイツCountry of origin：Germany
637,2015/9/30,2015/10/7,輸入者Importer,東京都Tokyo,ブルーベリージャム,"その他の菓子・製菓材料Other confection, confectionary material",一般食品General foods,NaI,検出せず(<11)ND,14,検出せず(<25)ND,原産国：ドイツCountry of origin：Germany
638,2015/9/30,2015/10/7,輸入者Importer,東京都Tokyo,レンズ豆水煮,豆類の加工品Bean product,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,原産国：イタリアCountry of origin：Italy
639,2015/9/30,2015/10/7,輸入者Importer,東京都Tokyo,トマト加工品,ソース類Sauce,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,原産国：イタリアCountry of origin：Italy
640,2015/9/30,2015/10/7,輸入者Importer,東京都Tokyo,マカロニ,その他の穀類加工品Other grain product,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,原産国：イタリアCountry of origin：Italy
641,2015/10/8,2015/10/9,製造者Manufacturer,山梨県Yamanashi,胚芽押麦,その他の穀物Other grain,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
642,2015/10/8,2015/10/9,生産・出荷者Farmer,千葉県Chiba,サツマイモ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
643,2015/10/8,2015/10/9,生産・出荷者Farmer,長野県Nagano,エリンギ,その他の生鮮野菜(きのこ類)Fungi,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
644,2015/10/8,2015/10/9,生産・出荷者Farmer,群馬県Gunma,エダマメ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
645,2015/10/8,2015/10/9,生産・出荷者Farmer,千葉県Chiba,サトイモ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
646,2015/10/8,2015/10/9,製造者Manufacturer,東京都Tokyo,ドレッシングタイプ調味料,その他の調味料Other seasoning,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
647,2015/10/8,2015/10/9,製造者Manufacturer,富山県Toyama,アメリカンドッグ,その他のそうざい類Ready to eat food,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
648,2015/10/8,2015/10/9,販売者Seller,東京都Tokyo,ふりかけ,その他の食品Other food,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
649,2015/10/8,2015/10/9,販売者Seller,愛知県Aichi,ちらし寿司の素,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and heating,一般食品General foods,NaI,検出せず(<8)ND,検出せず(<7)ND,検出せず(<25)ND,―
650,2015/10/8,2015/10/14,販売者Seller,千葉県Chiba,鍋つゆ（ストレートタイプ）,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and heating,一般食品General foods,Ge,検出せず(<4)ND,検出せず(<4)ND,検出せず(<8)ND,―
651,2015/10/7,2015/10/14,採取地Sampling point,北海道Hokkaido,サケ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
652,2015/10/7,2015/10/14,採取地Sampling point,八戸沖off Hachinohe,マダラ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
653,2015/10/7,2015/10/14,採取地Sampling point,北海道Hokkaido,イワシ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
654,2015/10/7,2015/10/14,採取地Sampling point,北海道Hokkaido,サンマ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
655,2015/10/7,2015/10/14,採取地Sampling point,青森県Aomori,スルメイカ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
656,2015/10/7,2015/10/14,製造者Manufacturer,愛知県Aichi,トマトジュース,その他の野菜加工品Other vegetable processed product,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
657,2015/10/7,2015/10/14,販売者Seller,東京都Tokyo,35％モモ果汁入り飲料,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
658,2015/10/7,2015/10/14,販売者Seller,青森県Aomori,リンゴ加工品,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
659,2015/10/7,2015/10/14,販売者Seller,静岡県Shizuoka,ミカン・シラップづけ（ライト）,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,―
660,2015/10/7,2015/10/14,製造者Manufacturer,北海道Hokkaido,塩漬,塩漬Pickled vegetable,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
661,2015/10/7,2015/10/14,製造者Manufacturer,北海道Hokkaido,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.8)ND,検出せず(<0.7)ND,検出せず(<1.5)ND,―
662,2015/10/7,2015/10/14,製造者Manufacturer,栃木県Tochigi,乳飲料,乳飲料Milk drink,牛乳Milk,Ge,検出せず(<0.8)ND,検出せず(<0.6)ND,検出せず(<1.4)ND,―
663,2015/10/7,2015/10/14,製造者Manufacturer,栃木県Tochigi,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.7)ND,検出せず(<0.7)ND,検出せず(<1.4)ND,―
664,2015/10/7,2015/10/14,製造者Manufacturer,神奈川県Kanagawa,加工乳,加工乳Processed milk,牛乳Milk,Ge,検出せず(<0.5)ND,検出せず(<0.4)ND,検出せず(<0.9)ND,―
665,2015/10/7,2015/10/14,製造者Manufacturer,群馬県Gunma,乳飲料,乳飲料Milk drink,牛乳Milk,Ge,検出せず(<1.0)ND,検出せず(<0.8)ND,検出せず(<1.8)ND,―
666,2015/10/7,2015/10/14,生産・出荷者Farmer,長野県Nagano,トマト,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
667,2015/10/7,2015/10/14,生産・出荷者Farmer,埼玉県Saitama,ナシ,その他の生鮮果実Other fresh fruit,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
668,2015/10/7,2015/10/14,生産・出荷者Farmer,山形県Yamagata,リンゴ,リンゴApple,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
669,2015/10/7,2015/10/14,生産・出荷者Farmer,長野県Nagano,ブドウ,その他の生鮮果実Other fresh fruit,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
670,2015/10/7,2015/10/14,生産・出荷者Farmer,長野県Nagano,リンゴ,リンゴApple,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
671,2015/10/15,2015/10/16,生産・出荷者Farmer,宮城県Miyagi,精米,その他の穀物Other grain,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
672,2015/10/15,2015/10/16,生産・出荷者Farmer,長野県Nagano,エノキタケ,その他の生鮮野菜(きのこ類)Fungi,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
673,2015/10/15,2015/10/16,生産・出荷者Farmer,長野県Nagano,ブナシメジ,その他の生鮮野菜(きのこ類)Fungi,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
674,2015/10/15,2015/10/16,生産・出荷者Farmer,青森県Aomori,ナガイモ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
675,2015/10/15,2015/10/16,生産・出荷者Farmer,北海道Hokkaido,ジャガイモ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
676,2015/10/15,2015/10/16,製造者Manufacturer,宮城県Miyagi,イカ塩辛,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
677,2015/10/15,2015/10/16,製造者Manufacturer,北海道Hokkaido,イカめし,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
678,2015/10/15,2015/10/16,製造者Manufacturer,千葉県Chiba,魚肉練製品,魚肉ねり製品Fish-paste products,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
679,2015/10/15,2015/10/16,製造者Manufacturer,宮城県Miyagi,塩サバ,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
680,2015/10/15,2015/10/16,製造者Manufacturer,千葉県Chiba,イワシ味付,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
681,2015/10/14,2015/10/23,生産・出荷者Farmer,千葉県Chiba,サトイモ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
682,2015/10/14,2015/10/23,生産・出荷者Farmer,茨城県Ibaraki,サツマイモ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
683,2015/10/14,2015/10/23,生産・出荷者Farmer,新潟県Niigata,精米,その他の穀物Other grain,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
684,2015/10/14,2015/10/23,生産・出荷者Farmer,北海道Hokkaido,精米,その他の穀物Other grain,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
685,2015/10/14,2015/10/23,生産・出荷者Farmer,新潟県Niigata,マイタケ,その他の生鮮野菜(きのこ類)Fungi,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
686,2015/10/14,2015/10/23,製造者Manufacturer,東京都Tokyo,乳飲料,乳飲料Milk drink,牛乳Milk,Ge,検出せず(<0.9)ND,検出せず(<0.7)ND,検出せず(<1.6)ND,―
687,2015/10/14,2015/10/23,製造者Manufacturer,神奈川県Kanagawa,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.7)ND,検出せず(<0.8)ND,検出せず(<1.5)ND,―
688,2015/10/14,2015/10/23,製造者Manufacturer,神奈川県Kanagawa,加工乳,加工乳Processed milk,牛乳Milk,Ge,検出せず(<0.6)ND,検出せず(<0.9)ND,検出せず(<1.5)ND,―
