№,採取日(購入日)Ｓａｍｐｌｉｎｇｄａｔｅ,結果判明日Ｒｅｓｕｌｔｓｏｂｔａｉｎｅｄｄａｔｅ,生産者・製造者・販売者・輸入者等の別Ｆａｒｍｅｒ／Ｍａｎｕｆａｃｔｕｒｅｒ／Ｓｅｌｌｅｒ／Ｉｍｐｏｒｔｅｒ,左記の所在地Ｌｏｃａｔｉｏｎ,品目（Ｉｔｅｍｎａｍｅ）,食品分類Ｃｌａｓｓｉｆｉｃａｔｉｏｎ,食品カテゴリＣａｔｅｇｏｒｙ,検査機器Ｉｎｓｐｅｃｔｉｏｎｉｎｓｔｒｕｍｅｎｔ,検査結果：セシウム－１３４（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３４,検査結果：セシウム－１３７（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３７,検査結果：セシウム合計（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ(ｔｏｔａｌ),備考Ｎｏｔｅｓ
382,2015/8/6,2015/8/7,製造者Manufacturer,北海道Hokkaido,プロセスチーズ,プロセスチーズProcessed cheese,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<9)ND,検出せず(<25)ND,―
383,2015/8/6,2015/8/7,製造者Manufacturer,東京都Tokyo,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
384,2015/8/6,2015/8/7,製造者Manufacturer,群馬県Gunma,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
385,2015/8/6,2015/8/7,製造者Manufacturer,北海道Hokkaido,乳等を主要原料とする食品,"乳主原Food using milk, etc. as principal ingredients",一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
386,2015/8/6,2015/8/7,販売者Seller,東京都Tokyo,サバ水煮,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
387,2015/8/6,2015/8/7,販売者Seller,東京都Tokyo,サンマ水煮,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
388,2015/8/6,2015/8/7,販売者Seller,北海道Hokkaido,ノリ佃煮,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
389,2015/8/6,2015/8/7,製造者Manufacturer,茨城県Ibaraki,サンマ煮付,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<8)ND,検出せず(<7)ND,検出せず(<25)ND,―
390,2015/8/6,2015/8/7,製造者Manufacturer,青森県Aomori,イカ塩辛,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
391,2015/8/5,2015/8/11,輸入者Importer,東京都Tokyo,冷凍ポルチーニ（ヤマドリタケ）,冷凍野菜（きのこ類）Frozen fungi,一般食品General foods,NaI,検出せず(<17)ND,29,29,"原産国：セルビア、マケドニア、その他Country of origin：Serbia, Macedonia and other countries"
392,2015/8/5,2015/8/11,輸入者Importer,東京都Tokyo,冷凍ポルチーニ（ススヤマドリタケ）,冷凍野菜（きのこ類）Frozen fungi,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<7)ND,検出せず(<25)ND,原産国：ルーマニアCountry of origin：Romania
393,2015/8/5,2015/8/11,輸入者Importer,東京都Tokyo,冷凍ジロール（アンズタケ）,冷凍野菜（きのこ類）Frozen fungi,一般食品General foods,NaI,検出せず(<16)ND,40,40,原産国：ベラルーシCountry of origin：Belarus
394,2015/8/5,2015/8/11,輸入者Importer,東京都Tokyo,冷凍トランペット（クロラッパダケ）,冷凍野菜（きのこ類）Frozen fungi,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,原産国：クロアチアCountry of origin：Croatia
395,2015/8/5,2015/8/11,輸入者Importer,東京都Tokyo,冷凍キノコ５種ミックス（セップ、ジロール、トランペット、ムースロン、モリーユ）,冷凍野菜（きのこ類）Frozen fungi,一般食品General foods,Ge,検出せず(<4)ND,92,92,原産国：フランスCountry of origin：France
396,2015/8/5,2015/8/11,輸入者Importer,東京都Tokyo,冷凍キノコ（ヤマドリタケ）,冷凍野菜（きのこ類）Frozen fungi,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<9)ND,検出せず(<25)ND,原産国：スペインCountry of origin：Spain
397,2015/8/5,2015/8/11,販売者Seller,東京都Tokyo,精米,その他の穀物Other grain,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,原産国：イタリアCountry of origin：Italy
398,2015/8/5,2015/8/11,販売者Seller,東京都Tokyo,精米,その他の穀物Other grain,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,原産国：イタリアCountry of origin：Italy
399,2015/8/5,2015/8/11,輸入者Importer,東京都Tokyo,乾燥インゲンマメ,その他の豆類乾燥品Other dried bean,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,原産国：フランスCountry of origin：France
400,2015/8/5,2015/8/11,輸入者Importer,東京都Tokyo,乾燥緑レンズマメ,その他の豆類乾燥品Other dried bean,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<9)ND,検出せず(<25)ND,原産国：フランスCountry of origin：France
401,2015/8/5,2015/8/11,製造者Manufacturer,青森県Aomori,リンゴジュース（ストレート）,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
402,2015/8/5,2015/8/11,製造者Manufacturer,長野県Nagano,リンゴジュース（ストレート）,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
403,2015/8/5,2015/8/11,製造者Manufacturer,長野県Nagano,モモジュース（ストレート）,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
