"施設名称","施設郵便番号","施設所在地","施設方書","確認日","確認番号"
"ＩＮＩＴＹ　ＢＯＤＹ　ＴＯＮＩＮＧ（アイニティ　ボディ　トーニング）","107-0052","東京都港区赤坂二丁目13番4号","第15大協ビル3階","2018/5/16","30港み生環き第19号"
"ａｌｕｌｕ赤坂","107-0052","東京都港区赤坂二丁目13番8号","赤坂ロイヤルプラザビル107","2019/4/25","31港み生環き第1号"
"株式会社Ｓａｌｏｎ　Ｒｙｕ","107-0052","東京都港区赤坂二丁目14番1号","赤坂山王会館8階","2020/3/13","31港み生環き第266号"
"Ｔｈｅ　Ｄｉａｍｏｎｄ　Ｋｙｏｇｏｋｕ","107-0052","東京都港区赤坂二丁目14番1号","赤坂山王会館6階","2021/5/6","3港み生環き第16号"
"ＥＣＬＡＲＴ　ＣＥＮＴＲＡＬ　赤坂","107-0052","東京都港区赤坂二丁目14番1号","赤坂山王会館6階","2023/6/2","5港み生環き第32号"
"Ｄｒ．ｈａｉｒ","107-0052","東京都港区赤坂二丁目15番7号","AKASAKA K MANSION 601","2024/3/13","5港み生環き第251号"
"ｈａｉｒ　Ｐ．ｒｈｙｔｈｍ（ヘアープリズム）","107-0052","東京都港区赤坂二丁目15番15号","赤坂プラザビル 2階B号室","1996/5/27","8港赤総衛環き第2号"
"ＣＵＲＡ（クーラ）","107-0052","東京都港区赤坂二丁目15番18号","西山興業赤坂ビル404号室","2018/3/20","29港み生環き第242号"
"Ｊｅｍｉｅｙｅ","107-0052","東京都港区赤坂二丁目16番13号","パークヒルズ赤坂地下1階002","2023/7/7","5港み生環き第63号"
"ｍｅｌ　ｒｅｖｅ","107-0052","東京都港区赤坂二丁目20番7号","第2成光ビル303号室","2023/6/21","5港み生環き第41号"
"Ｃｉｅｌｏ（シエロ）","107-0052","東京都港区赤坂二丁目21番8号","氷川アネックス401","2018/11/28","30港み生環き第133号"
"ＦÈＡＴＨ","107-0052","東京都港区赤坂二丁目21番22号","赤坂グリーンハイツ1階","2023/12/1","5港み生環き第175号"
"ＱＢハウス赤坂見附店（キュービーハウス）","107-0052","東京都港区赤坂三丁目1番16号","BIビル 2階","2015/11/18","27港み生環き第153号"
"ビーエヌ　サトシ美容室","107-0052","東京都港区赤坂三丁目6番11号",,"1994/7/22","6港赤総衛環き第16号"
"シャルム","107-0052","東京都港区赤坂三丁目6番11号","第100東京ビル 6階","2011/8/29","23港み生環き第61号"
"Ｐａｒｉｓ美容室","107-0052","東京都港区赤坂三丁目7番15号","赤坂パラダイス2ビル4階","2023/3/7","4港み生環き第215号"
"ｔｕｋｋａ（トゥッカ）","107-0052","東京都港区赤坂三丁目8番8号","赤坂フローラルプラザビル2-B1区画","2018/10/30","30港み生環き第115号"
"髪質改善　Ｐｅｒｉｏｄ　赤坂　美容室","107-0052","東京都港区赤坂三丁目8番17号","PANJAPANBLDG5階 Period","2022/8/1","4港み生環き第58号"
"Ｒａ・ｆｅｌｉｔｅ赤坂","107-0052","東京都港区赤坂三丁目9番4号","サカタニビル5階","2019/8/8","31港み生環き第80号"
"Ｌｕｍｉｅｒｅ","107-0052","東京都港区赤坂三丁目10番6号","雪華堂ビル4階","2021/5/20","3港み生環き第40号"
"Ｒｅｐｌａｙ／ｐａｃｅ（リプレイ／パーチェ）","107-0052","東京都港区赤坂三丁目10番17号","マーカスビル 5階","2014/10/29","26港み生環き第133号"
"ｎａｉｌ　ｓａｌｏｎ　Ｃｈｅｒｉｅ（ネイル　サロン　シェリー）","107-0052","東京都港区赤坂三丁目11番8号","コンチネンタルアパートメント赤坂507号室","2012/2/14","23港み生環き第141号"
"ＳＥＮＳＥ美容室（センス）","107-0052","東京都港区赤坂三丁目11番13号","コンチネンタル赤坂3　301号室","2018/3/30","29港み生環き第246号"
"Ｓｏｉｒｅｅ美容室","107-0052","東京都港区赤坂三丁目11番13号","コンチネンタル赤坂3　地下1階","2021/9/13","3港み生環き第113号"
"ｃｌａｉｒ","107-0052","東京都港区赤坂三丁目11番14号","赤坂ベルゴ711","2023/12/1","5港み生環き第176号"
"Ｓｈｅ’ｓ美容室（シーズ）","107-0052","東京都港区赤坂三丁目12番1号","フローレンス赤坂ビル 4階","2009/9/3","21港み生環き第73号"
"ｅｌｌｅ　ｓａｌｏｎ　ＴＯＫＹＯ","107-0052","東京都港区赤坂三丁目12番1号","フローレンス赤坂 4階 B","2022/10/31","4港み生環き第124号"
"ｂｒｉｌｏ","107-0052","東京都港区赤坂三丁目12番11号","ゴールド赤坂 6階","2023/6/15","5港み生環き第52号"
"ＮＡＲＵ","107-0052","東京都港区赤坂三丁目12番17号","第二臨水ビル2階","2021/4/14","2港み生環き第237号"
"Ｂｏｙｌｅ　ｈａｉｒ","107-0052","東京都港区赤坂三丁目14番2号","ドルミ赤坂 502号室","2009/8/20","21港み生環き第68号"
"Ｎｏｂｌｅｓｓｅ","107-0052","東京都港区赤坂三丁目14番2号","ドルミ赤坂501C","2022/8/24","4港み生環き第69号"
"ｅｙｅｓａｌｏｎ　Ｆａｉｒ　赤坂店","107-0052","東京都港区赤坂三丁目14番7号","赤坂ステラビル7階","2024/2/15","5港み生環き第237号"
"ローズ美容室","107-0052","東京都港区赤坂三丁目15番1号","赤坂コーストビル 3階","2017/9/5","29港み生環き第91号"
"Ｈａｉｒ　Ｓｔａｒ（ヘアースター）","107-0052","東京都港区赤坂三丁目15番10号","SP赤坂ビル 3階","2012/3/27","23港み生環き第162号"
"ＨＡＲＡＨＩＬＬＳ　ＡＫＡＳＡＫＡ　ＨＥＮＮＡ　ＳＡＬＯＮ","107-0052","東京都港区赤坂三丁目15番12号","フォーラム赤坂3階","2022/12/2","4港み生環き第142号"
"ＰＥＴＥＲＰＡＮ（ピーターパン）","107-0052","東京都港区赤坂三丁目16番4号","DMK赤坂ビル 301号","2020/8/3","2港み生環き第96号"
"Ｋ－ｈａｉｒ（ケイ－ヘアー）","107-0052","東京都港区赤坂三丁目16番5号","ユタカ産業ビル306号","2016/12/16","28港み生環き第161号"
"バービー・ヘアー・サロン","107-0052","東京都港区赤坂三丁目16番5号","ユタカ産業ビル505号","2012/5/25","24港み生環き第21号"
"Ｈａｉｒ　Ｓａｌｏｎ　ＷＨＯ－ＧＡ　Ｎ．Ｙ．　ａｎｎｅｘ（ヘアーサロンフーガニューヨークアネックス）","107-0052","東京都港区赤坂三丁目16番8号","東海赤坂アネックスビル 2階","2005/5/9","17港み生環き第8号"
"ＤＩＦＩＮＯ　ａｋａｓａｋａ　ディフィーノ赤坂","107-0052","東京都港区赤坂三丁目17番1号","いちご赤坂317ビル 8階","2016/3/2","27港み生環き第206号"
"赤坂　Ｌｏｃａｌ","107-0052","東京都港区赤坂三丁目18番8号","赤坂エムプレスビル 4階","2022/4/27","3港み生環き第275号"
"ｈａｉｒ　ｄｅｓｉｇｎ　ＪＡＤＥ（ヘアーデザイン　ジェイド）","107-0052","東京都港区赤坂三丁目18番10号","大坂屋第2ビル 3階","2017/5/25","29港み生環き第20号"
"ＭＩＫｓ（ミクス）","107-0052","東京都港区赤坂三丁目21番5号","三銀ビル 701号室","2008/7/2","20港み生環き第40号"
"Ｌｕｚｌａｓｈ赤坂店","107-0052","東京都港区赤坂三丁目21番5号","三銀ビル506号","2020/3/9","31港み生環き第253号"
"ｉ．ｄ．Ｐｒｏｄｕｃｉｎｇ　Ｓｔｕｄｉｏ","107-0052","東京都港区赤坂四丁目1番4号","堀江ビル 4階","2008/5/23","20港み生環き第30号"
"Ｔ　Ｌａｂｏ","107-0052","東京都港区赤坂四丁目1番4号","301","2023/7/3","5港み生環き第64号"
"ＮａＶｉｅ　ＡＫＡＳＡＫＡ（ナビ　アカサカ）","107-0052","東京都港区赤坂四丁目2番5号","ヤブタビル 2階","2013/10/17","25港み生環き第121号"
"Ｐｉｌｉｅｒ　ｂｙ　Ｂｉｊｏｕ","107-0052","東京都港区赤坂四丁目2番11号","F Beams #005","2022/1/31","3港み生環き第231号"
"Ｒｏｏｍ．２０２","107-0052","東京都港区赤坂四丁目2番11号","エスセナーリオEast202号室","2023/12/21","5港み生環き第200号"
"Ｐｉｌｉｅｒ","107-0052","東京都港区赤坂四丁目3番3号","プラチナビル 3階","2012/3/29","23港み生環き第169号"
"Ｓｈａｍｐｏｏ　Ｂａｒ（シャンプーバー）","107-0052","東京都港区赤坂四丁目3番4号","菅野ビル 2階","2014/5/20","26港み生環き第29号"
"ＬＵＭＩＮＯＵＳ（ルミナス）","107-0052","東京都港区赤坂四丁目3番9号","高池ビル 2階","2002/4/30","14港み生環き第20号"
"ヘアーサロン「ＰｉＮＣＨ」（ピンチ）","107-0052","東京都港区赤坂四丁目3番30号","横川ビル203","2016/10/5","28港み生環き第95号"
"ｃｈｉｆｆｏｎ","107-0052","東京都港区赤坂四丁目4番11号","赤坂丹後町ビル地下1階","2024/3/6","5港み生環き第243号"
"美容室サニーサイド","107-0052","東京都港区赤坂四丁目4番14号","越川ハイツ 1階","1998/10/8","10港み生環き第78号"
"アイラッシュサロンａｌａ（アーラ）","107-0052","東京都港区赤坂四丁目5番21号","バルミー赤坂501","2018/3/13","29港み生環き第236号"
"モーラカスターナ研究所","107-0052","東京都港区赤坂四丁目5番21号","バルミー赤坂 7階","2000/8/10","12港み生環き第52号"
"Ｍｉｉｋｕ．ｓｔｙｌｅ．ｈａｉｒ","107-0052","東京都港区赤坂四丁目10番21号","丹後町スタジオ2-F","2021/3/1","2港み生環き第211号"
"Ｍｅｅｌ（ミール）","107-0052","東京都港区赤坂三丁目14番7号","Barbizon44 3階","2016/1/20","27港み生環き第186号"
"Ｓａｌｏｎ　Ｂｉｊｏｕ","107-0052","東京都港区赤坂五丁目1番3号","金松堂ビル3階","2023/11/10","5港み生環き第157号"
"ＰＤＳ（パーソナルデザインスタジオ）","107-0052","東京都港区赤坂五丁目3番1号","赤坂Bizタワーアネックス棟I 2階","2008/2/27","19港み生環き第120号"
"ヘアー・エステサロン　シーズ","107-0052","東京都港区赤坂五丁目4番8号","クレール タイヨービル 3階","2005/1/5","16港み生環き第100号"
"ヘアメイクサロン　ティアマット","107-0052","東京都港区赤坂五丁目4番11号","山口建設第2ビル 2階","2005/4/18","17港み生環き第3号"
"ｋｉｗａ　ｔｏｋｙｏ","107-0052","東京都港区赤坂五丁目4番11号","ポルトボヌール 2階","2014/6/30","26港み生環き第45号"
"Ｒｏｕｇｅ　Ｐｅｎｔｅ","107-0052","東京都港区赤坂五丁目4番11号","赤坂ポルトボヌール701号室","2022/8/24","4港み生環き第73号"
"ｏｔｏ．","107-0052","東京都港区赤坂六丁目2番5号","方栄ビル202号室","2023/10/31","5港み生環き第141号"
"Ｍｉｎｋｓｔｙｌｅ（ミンクスタイル）赤坂店","107-0052","東京都港区赤坂六丁目3番8号","高松ビル1階","2020/2/28","31港み生環き第247号"
"ｈａｉｒ　＆　ｎａｉｌ　ｓａｌｏｎ　ＳＨＡＰＥ","107-0052","東京都港区赤坂六丁目3番16号","アトム国際ビル 4階","2006/8/30","18港み生環き第21号"
"ビューティ・　サロン・オリオン","107-0052","東京都港区赤坂六丁目3番19号","オリオンビル 1階","1973/3/17","第1号"
"ＬＡＫＡ（ラカ）","107-0052","東京都港区赤坂六丁目4番11号","ドミ・エメロード204","2013/7/18","25港み生環き第56号"
"ＬＡＫＡ","107-0052","東京都港区赤坂六丁目4番11号","ドミ・エメロード204","2022/12/15","4港み生環き第156号"
"中村隆詞の美容室","107-0052","東京都港区赤坂六丁目4番15号","シティマンション 1階","1998/9/30","10港み生環き第54号"
"ｅｙｅｌａｓｈ　ＬＵＡＮＡ","107-0052","東京都港区赤坂六丁目4番15号","シティマンション405号","2022/9/16","4港み生環き第90号"
"ｅｙｅｌａｓｈ　ＬＵＡＮＡ","107-0052","東京都港区赤坂六丁目4番15号","シティマンション405","2022/12/15","4港み生環き第155号"
"ｅｐａｎｕ","107-0052","東京都港区赤坂六丁目4番18号","プリンストン赤坂601","2023/10/2","5港み生環き第120号"
"ＨＡＩＲ　ＳＡＬＯＮ　Ｗｉｎｇ．（ヘアーサロンウイング）","107-0052","東京都港区赤坂六丁目4番19号","赤坂T.S.C.ビル 1階","2014/7/25","26港み生環き第70号"
"Ｄａｎｉｅｌ　ｓｈａｐｅ　ｈａｉｒ＆ｎａｉｌ（ダニエル　シェイプ　ヘアーアンドネイル）","107-0052","東京都港区赤坂六丁目5番27号","シティテラス赤坂 1階","2016/5/31","28港み生環き第25号"
"３１７いりさわ","107-0052","東京都港区赤坂六丁目5番38号","317","2012/7/30","24港み生環き第53号"
"Ｐｒｉｖａｔｅ　ｓａｌｏｎ　ｕ","107-0052","東京都港区赤坂六丁目6番2号","ロイビル赤坂3階 B区画","2023/12/13","5港み生環き第164号"
"ＡＭＯＪＹＵ赤坂店","107-0052","東京都港区赤坂六丁目6番29号","サンバレー赤坂302号","2020/12/23","2港み生環き第181号"
"アヴェール","107-0052","東京都港区赤坂六丁目15番4号","赤坂ミツワビル別館 1階","1995/12/6","7港赤総衛環き第27号"
"桧","107-0052","東京都港区赤坂六丁目16番2号",,"2020/5/8","2港み生環き第21号"
"ｓｐｅａｋｅｒ","107-0052","東京都港区赤坂六丁目16番4号","AKASAKA GD BLD 地下1階","2019/12/26","31港み生環き第194号"
"ｅｙｅｌａｓｈ　ＶＩＶＩＡＮＡ（アイラッシュ　ヴィヴィアナ）","107-0052","東京都港区赤坂六丁目17番7号","ヴィラ湯沢202号室","2018/1/19","29港み生環き第191号"
"タカラベルモント株式会社　東京本社　Ｂ２サロン","107-0052","東京都港区赤坂七丁目1番19号","地下2階","2024/3/7","5港み生環き第238号"
"アトリエ　カランドリエ","107-0052","東京都港区赤坂七丁目5番6号","ライオンズマンション赤坂 2階","1999/11/4","11港み生環き第94号"
"Ｆｉｎａｌ－Ｌａｓｈ　赤坂店（ファイナルラッシュ　アカサカテン）","107-0052","東京都港区赤坂七丁目5番6号","ライオンズマンション赤坂 408","2015/2/4","26港み生環き第183号"
"Ｅｎ－ｒｅｃｒｅ赤坂店（アンレクレ）","107-0052","東京都港区赤坂七丁目5番15号","from1st赤坂105","2018/1/10","29港み生環き第169号"
"Ｔｉａｎａ","107-0052","東京都港区赤坂七丁目5番46号","かなりマンション赤坂206","2022/10/26","4港み生環き第119号"
"シエテ","107-0052","東京都港区赤坂七丁目6番15号","赤坂ロイヤルビル 1階","2010/6/18","22港み生環き第42号"
"Ｓａｌｏｎｅ　Ａｖｏｒｉｏ（サローネ　アボーリオ）","107-0052","東京都港区赤坂七丁目6番44号","キッズエンジェルB1","2012/2/9","23港み生環き第144号"
"ヘアカラー専科　赤坂店","107-0052","東京都港区赤坂七丁目6番52号","ハイツ赤坂113","2020/6/1","2港み生環き第39号"
"ボナミ　赤坂店","107-0052","東京都港区赤坂七丁目8番1号","1階","2003/5/20","15港み生環き第18号"
"ＥＬＥＮＡ","107-0052","東京都港区赤坂七丁目8番1号","赤坂三分坂マンション205号室","2023/9/1","5港み生環き第114号"
"美容室ボノス","107-0052","東京都港区赤坂七丁目9番4号","ベトロ 1階","2012/8/2","24港み生環き第66号"
"かっと　はうす","107-0052","東京都港区赤坂七丁目10番6号","ストークビル 2階","1998/3/17","9港赤総衛環き第49号"
"Ｌｏｔｕｓ　Ｈａｉｒ　Ａｔｅｌｉｅｒ（ロータス　ヘア　アトリエ）","107-0052","東京都港区赤坂七丁目11番2号","フラットK B号室","2015/8/5","27港み生環き第85号"
"ＡＬＭＯ．","107-0052","東京都港区赤坂七丁目11番8号","パームヒル赤坂3階","2020/8/5","2港み生環き第95号"
"Ｎｅｗ　Ｌｅａｆ　Ａｏｙａｍａ","107-0052","東京都港区赤坂八丁目4番7号","アパートメントカーム4B","2023/12/25","5港み生環き第199号"
"美容室プライド赤坂本店","107-0052","東京都港区赤坂八丁目7番1号","マノワール藤 地下1階","2001/2/21","12港み生環き第139号"
"ＥＮＤ＋Ａ　ｈａｉｒｓｅｔ＆ｍａｋｅｕｐ（エンドエー　ヘアセット＆メイクアップ）","107-0052","東京都港区赤坂八丁目8番7号","赤坂ハイム3階","2019/2/26","30港み生環き第195号"
"ＲＯＮＩＬＯ（ロニロ）","107-0052","東京都港区赤坂八丁目11番26号","赤坂ワラバレー602号室","2016/2/5","27港み生環き第193号"
"乃木會館美容室","107-0052","東京都港区赤坂八丁目11番27号",,"2020/3/31","31港み生環き第285号"
"フォーレスト早紀","107-0052","東京都港区赤坂八丁目13番19号",,"1980/10/13","55港赤保衛環き第24号"
"ウカパークサイドスイート","107-0052","東京都港区赤坂九丁目5番12号","パークサイドシックス501号","2023/12/25","5港み生環き第203号"
"ヘアーブティック　ＦＡＭＥ","107-0052","東京都港区赤坂九丁目5番20号",,"1997/10/7","9港赤総衛環き第32号"
"ＳＣＩＣＳ　ＣＵＳＴＯＭＥＲＳ　ＳＡＬＯＮ（シックス　カスタマーズ　サロン）","107-0052","東京都港区赤坂九丁目5番26号","パレ乃木坂707","2012/4/20","24港み生環き第6号"
"メンズ眉毛サロン","107-0052","東京都港区赤坂九丁目6番23号","赤坂葵ビル 401","2022/8/24","4港み生環き第68号"
"天衣無縫","107-0052","東京都港区赤坂九丁目6番26号","フォンテ六本木2階","2021/8/3","3港み生環き第89号"
"紡","107-0052","東京都港区赤坂九丁目6番27号","カーム乃木坂603","2018/4/5","29港み生環き第247号"
"Ｐｅｔｉｔ","107-0052","東京都港区赤坂九丁目6番27号","カーム乃木坂1001","2019/9/4","31港み生環き第100号"
"シーク","107-0052","東京都港区赤坂九丁目6番27号","カーム乃木坂1階","2020/6/1","2港み生環き第38号"
"ｈａｌ＋　ＲＯＰＰＯＮＧＩ","107-0052","東京都港区赤坂九丁目6番27号","カーム乃木坂703","2023/10/6","5港み生環き第126号"
"アンチエイジングビューティー青山","107-0052","東京都港区赤坂九丁目6番28号","アルベルゴ乃木坂405","2014/5/28","25港み生環き第202号"
"Ｍｅｒｃｕｒｙ乃木坂店","107-0052","東京都港区赤坂九丁目6番29号","パシフィック乃木坂501","2020/6/4","31港み生環き第282号"
"Ｓａｌｏｎ　ｄｅ　Ｊｏｌｉｅ　六本木店","107-0052","東京都港区赤坂九丁目6番30号","乃木坂プレース402","2022/7/27","4港み生環き第46号"
"ｕｋａ　東京ミッドタウン店（ウカ）","107-0052","東京都港区赤坂九丁目7番4号","東京ミッドタウンガレリア 2階","2007/3/20","18港み生環き第158号"
"アイラッシュサロン８８","106-0045","東京都港区麻布十番一丁目2番7号","ラフィネ麻布十番402","2020/9/15","2港み生環き第111号"
"Ｎ　ＬＡＳＨ（エヌラッシュ）","106-0045","東京都港区麻布十番一丁目2番9号","新一ノ橋ハイツ801","2015/1/15","26港み生環き第172号"
"ｈａｌ＋　ハルプラス麻布十番店","106-0045","東京都港区麻布十番一丁目3番7号","ベルレイン麻布301","2019/6/18","31港み生環き第38号"
"ＳＯＲＡ（ソラ）","106-0045","東京都港区麻布十番一丁目3番8号","エフプラザ 2F","2006/7/6","18港み生環き第61号"
"ＳＯＲＡ（ソラ）","106-0045","東京都港区麻布十番一丁目3番8号","エフプラザ 703号室","2016/10/5","28港み生環き第116号"
"美容室ステイ","106-0045","東京都港区麻布十番一丁目3番13号","カーサ・エセンシア201","1987/11/17","62港麻総衛環き第26号"
"モンスリール麻布十番","106-0045","東京都港区麻布十番一丁目4番7号","麻布マスターズ 1階","2016/8/9","28港み生環き第82号"
"Ｂｅａｕｔｙ　Ｓａｌｏｎ　ＫＡＲＡ（ビューテイーサロンカラ）","106-0045","東京都港区麻布十番一丁目4番8号","麻布永坂ビル302号","2015/5/12","27港み生環き第20号"
"ＢＬＵＥ　ＦＯＲＥＳＴ．麻布鳥居坂店（ブルーフォレスト）","106-0045","東京都港区麻布十番一丁目5番2号","フローラ麻布1階","2018/4/26","30港み生環き第7号"
"Ｇｉｏｒｎｏ（ジョルノ）","106-0045","東京都港区麻布十番一丁目5番6号","Azabu Toriizaka First 3階","2018/3/30","29港み生環き第251号"
"Ｈａｉｒ　Ｄｒｅｓｓ（ヘア・ドレス）","106-0045","東京都港区麻布十番一丁目5番9号","高橋ビル502","2014/12/26","26港み生環き第153号"
"ＷＨＩＴＥ　ＥＹＥ　麻布十番店","106-0045","東京都港区麻布十番一丁目5番11号","波田野ビル202","2022/10/18","4港み生環き第109号"
"ｅｑｕｒｉ　ｍａｎｏｎ　（エクリ　マノン）","106-0045","東京都港区麻布十番一丁目5番18号","カートブラン麻布十番2階","2019/1/30","30港み生環き第175号"
"ｉｎｓｅａ麻布十番ＡＮＮＥＸ　　（インシー麻布十番アネックス）","106-0045","東京都港区麻布十番一丁目5番18号","カートブラン麻布十番 5階","2014/6/13","26港み生環き第46号"
"ワヤンプリ麻布十番店","106-0045","東京都港区麻布十番一丁目5番19号","ラトリエ・メモワールビル1階","2018/2/28","29港み生環き第216号"
"ａｎｎｆｉｓｍ（アンフィズム）","106-0045","東京都港区麻布十番一丁目5番19号","ラトリエメモワール4階","2018/6/14","30港み生環き第42号"
"山本美容室","106-0045","東京都港区麻布十番一丁目5番25号","2階","2007/11/27","19港み生環き第89号"
"ＮＥＯ　ｂｙ　Ｍｏｒｐｈｏ　Ｂｅａｕｔｙ","106-0045","東京都港区麻布十番一丁目6番1号","V-city 2階","2024/3/11","5港み生環き第257号"
"Ｓｋｙｗａｒｄ（スカイワード）","106-0045","東京都港区麻布十番一丁目6番5号","ラ、ミュウーズ十番ビル 3階","2012/5/15","24港み生環き第16号"
"ＬＡＶＥＮＤＩＡ　Ａｚａｂｕ","106-0045","東京都港区麻布十番一丁目6番6号","魚可津ビル5階","2023/8/29","5港み生環き第103号"
"ＮＩＮＥ（ナイン）","106-0045","東京都港区麻布十番一丁目7番1号","ヨーロッパハウス2階","2018/3/30","29港み生環き第250号"
"麻布十番ビューティーヒルズ　アンレクレ","106-0045","東京都港区麻布十番一丁目7番1号","ヨーロッパハウス 4階","2015/11/17","27港み生環き第149号"
"ヴェレッツァ","106-0045","東京都港区麻布十番一丁目7番1号","ヨーロッパハウス 5階","1996/5/20","8港麻総衛環き第4号"
"Ｓａｌｕｄ　Ｍａｌｌｏｒｃａ　（サルー　マジョルカ）","106-0045","東京都港区麻布十番一丁目7番1号","ヨーロッパハウス 9階","2015/7/2","27港み生環き第63号"
"ｖｉ－ｔａ　ａｚａｂｕ－ｊｕｂａｎ（ヴィータ　アザブジュウバン）","106-0045","東京都港区麻布十番一丁目7番9号","酒井ビル 2階","2011/8/18","23港み生環き第58号"
"ｏｒｇｏ","106-0045","東京都港区麻布十番一丁目7番9号","酒井ビル2階","2020/7/15","2港み生環き第82号"
"ＧＡＮＡＤＯＲ（ガナドール）","106-0045","東京都港区麻布十番一丁目7番11号","深瀬ビル 2階","2008/3/19","19港み生環き第130号"
"サロン　ド　シュール","106-0045","東京都港区麻布十番一丁目7番11号","深瀬ビル 3階","2010/4/28","22港み生環き第15号"
"エステティック　サロン　ＡＭＯＲ","106-0045","東京都港区麻布十番一丁目8番1号","EX麻布十番ビル 4階","2022/3/17","3港み生環き第258号"
"アイラッシュリゾートカハラ麻布十番店","106-0045","東京都港区麻布十番一丁目8番6号","海老原ハイツ301","2017/2/1","28港み生環き第169号"
"株式会社　永井薬局　美フ酵素美顔室","106-0045","東京都港区麻布十番一丁目8番10号",,"1981/11/4","56港麻保衛環き第23号"
"ｅｑｕｒｉ　麻布十番（エクリ）","106-0045","東京都港区麻布十番一丁目8番10号","麻布十番TSビル 5階","2013/10/28","25港み生環き第126号"
"オリエンタルネイル","106-0045","東京都港区麻布十番一丁目8番11号","2階","2015/3/11","26港み生環き第209号"
"まつめ","106-0045","東京都港区麻布十番一丁目8番13号","HBビル 2階","2010/9/24","22港み生環き第103号"
"Ｍｅｌｏａ　Ｈａｉｒ　ｄｅｓｉｇｎ（メロアヘアーデザイン）","106-0045","東京都港区麻布十番一丁目8番13号","HBビル 2階","2012/5/18","24港み生環き第13号"
"Ｍ－Ｇｒａｃｅ（エムグレース）","106-0045","東京都港区麻布十番一丁目8番13号","Film10 4階","2010/4/27","22港み生環き第14号"
"ボンズヘアーサロン","106-0045","東京都港区麻布十番一丁目8番13号","FILM10 4階","2011/3/4","22港み生環き第187号"
"メンズロイヤル（ＭＥＮ’Ｓ　ＲＯＹＡＬ）","106-0045","東京都港区麻布十番一丁目8番13号","FILM10 4階","2022/8/30","4港み生環き第75号"
"ＬＩＮＫＳ　ＴＯＫＹＯ","106-0045","東京都港区麻布十番一丁目9番11号","CIMA麻布十番5階","2019/11/29","31港み生環き第179号"
"ＬＩＮＫＳ　ＴＯＫＹＯ","106-0045","東京都港区麻布十番一丁目9番11号","CIMA麻布十番5階","2021/10/22","3港み生環き第135号"
"ＬＩＮＫＳ　ＴＯＫＹＯ","106-0045","東京都港区麻布十番一丁目9番11号","CIMA麻布十番6階","2021/10/5","3港み生環き第136号"
"プルミエラムール","106-0045","東京都港区麻布十番一丁目10番3号","モンテプラザ604","2013/12/17","25港み生環き第152号"
"ａＺ　ｐｅｒｓｏｎａｌ　ｂｅａｕｔｙ","106-0045","東京都港区麻布十番一丁目10番3号","モンテプラザ麻布十番605","2016/12/13","28港み生環き第154号"
"Ｂｉｅｌｌｅ（ビエル）麻布十番店","106-0045","東京都港区麻布十番一丁目10番3号","モンテプラザ804号","2017/12/19","29港み生環き第170号"
"ドクターネイル爪革命麻布十番店","106-0045","東京都港区麻布十番一丁目10番3号","モンテプラザ501","2023/7/11","5港み生環き第75号"
