設置,施設名,郵便番号,所在地,経度,緯度,座標系,電話番号,定員
都,東京都石神井学園,177-0045,練馬区石神井台３－３５－２３,139.58884,35.74079,JGD2011,03-3996-4191,130
社福法人,クリスマス・ヴィレッジ,123-0845,足立区西新井本町４－１３－１６,139.77885,35.77288,JGD2011,03-3890-5291,78
社福法人,暁星学園,123-0873,足立区扇１－１２－２０,139.77405,35.76126,JGD2011,03-3896-1996,30
社福法人,東京愛育苑向島学園,125-0032,葛飾区水元３－１３－８,139.86394,35.7826,JGD2011,03-3608-7070,40
社福法人,共生会希望の家,125-0062,葛飾区青戸４－１４－１５,139.84972,35.75149,JGD2011,03-5650-2424,43
社福法人,江戸川つむぎの家,132-0013,江戸川区江戸川２－３８－２０,139.89879,35.6852,JGD2011,03-6231-8055,24
社福法人,今良学舎,192-0043,八王子市暁町３－２３－１８,139.33917,35.67678,JGD2011,042-686-3862,36
社福法人,武蔵野児童学園,193-0826,八王子市元八王子町２－１３２６,139.2829,35.66125,JGD2011,042-661-5167,52
社福法人,エスオーエスこどもの村,193-0841,八王子市裏高尾町９９１,139.24884,35.63493,JGD2011,042-661-8733,36
社福法人,こどものうち八栄寮,193-0944,八王子市館町２２３２－１,139.30614,35.63077,JGD2011,042-661-5891,52
社福法人,至誠学園,190-0022,立川市錦町６－２６－１５,139.4174,35.68461,JGD2011,042-524-2601,62
社福法人,至誠大地の家,190-0022,立川市錦町６－２６－１７,139.4174,35.68461,JGD2011,042-540-0088,42
赤十字,赤十字子供の家,180-0023,武蔵野市境南町１－２６－２７,139.54785,35.69767,JGD2011,0422-31-8283,40
社福法人,のぞみの家,180-0023,武蔵野市境南町５－６－２１,139.53819,35.69706,JGD2011,0422-31-2224,50
社福法人,朝陽学園,181-0015,三鷹市大沢２－４－１,139.53719,35.67856,JGD2011,0422-32-6234,52
社福法人,今井城学園,198-0023,青梅市今井２－１２０７－８,139.31419,35.80371,JGD2011,0428-31-2277,52
社福法人,東京恵明学園児童部,198-0051,青梅市友田町２－７１４－１,139.29326,35.76876,JGD2011,0428-23-0241,53
社福法人,砂町友愛園養護部,198-0172,青梅市沢井１－５０６,139.19614,35.81294,JGD2011,0428-78-8388,36
社福法人,双葉園,196-0022,昭島市中神町１２６０,139.38135,35.70815,JGD2011,042-542-1841,50
社福法人,調布学園,182-0033,調布市富士見町３－１８－１,139.54057,35.66228,JGD2011,042-483-7611,62
社福法人,第二調布学園,182-0033,調布市富士見町３－１８－１,139.54057,35.66228,JGD2011,042-483-7611,57
社福法人,二葉学園,182-0035,調布市上石原２－１７－７,139.52588,35.65522,JGD2011,042-482-2578,58
社福法人,精舎児童学園,194-0036,町田市木曽東３－６－１,139.42679,35.5616,JGD2011,042-722-5225,42
社福法人,バツト博士記念ホーム,194-0202,町田市下小山田町２７４５－１,139.4099,35.59523,JGD2011,042-797-1371,30
社福法人,二葉むさしが丘学園,187-0011,小平市鈴木町１－６２－１,139.49252,35.72692,JGD2011,042-344-9911,78
社福法人,東京サレジオ学園,187-0021,小平市上水南町４－７－１,139.4913,35.71013,JGD2011,042-321-0412,97
社福法人,至誠大空の家,191-0024,日野市万願寺１－１４－２,139.42082,35.67571,JGD2011,042-521-0086,36
公益法人,生長の家神の国寮,186-0003,国立市富士見台２－３９－１,139.44359,35.6875,JGD2011,042-572-8770,52
社福法人,れんげ学園,207-0033,東大和市芋窪５－１１６１－３,139.41428,35.74959,JGD2011,042-565-8451,57
社福法人,子供の家,204-0022,清瀬市松山３－１２－１７,139.51405,35.76651,JGD2011,042-491-4876,48
社福法人,ベトレヘム学園,204-0024,清瀬市梅園３－１４－２３,139.50096,35.77177,JGD2011,042-491-2529,57
都,東京都小山児童学園,203-0041,東久留米市野火止２－２２－２６,139.51587,35.76447,JGD2011,042-471-0041,64
社福法人,聖ヨゼフホーム,202-0015,西東京市保谷町４－１２－７,139.54709,35.73119,JGD2011,042-464-2211,67
都,東京都八街学園,289-1103,千葉県八街市八街に１５１,140.32584,35.66716,JGD2011,043-443-1021,64
都,東京都船形学園,294-0056,千葉県館山市船形１３７７,139.83968,35.03136,JGD2011,0470-27-2921,64
都,東京都勝山学園,299-2115,千葉県安房郡鋸南町下佐久間１４６９,139.84969,35.10979,JGD2011,0470-55-0541,64
都,東京都片瀬学園,251-0032,神奈川県藤沢市片瀬４－９－３８,139.4837,35.31684,JGD2011,0466-22-4464,48
