平成30年12月１日現在,,,,
年齢,計,男,女,
69,2353,1121,1232,
７０～７４,9403,4356,5047,
70,2424,1133,1291,
71,2233,1015,1218,
72,1374,652,722,
73,1547,725,822,
74,1825,831,994,
７５～７９,7886,3388,4498,
75,1715,768,947,
76,1728,764,964,
77,1688,733,955,
78,1485,636,849,
79,1270,487,783,
８０～８４,6296,2501,3795,
80,1378,583,795,
81,1293,509,784,
82,1364,517,847,
83,1173,465,708,
84,1088,427,661,
８５～８９,4344,1578,2766,
85,980,383,597,
86,1051,378,673,
87,896,300,596,
88,764,290,474,
89,653,227,426,
９０～９４,2038,624,1414,
90,573,180,393,
91,465,148,317,
92,411,130,281,
93,331,101,230,
94,258,65,193,
９５～１０３,609,108,501,
95,183,38,145,
96,139,29,110,
97,98,17,81,
98,69,10,59,
99,46,9,37,
100,35,2,33,
101,17,0,17,
102,8,0,8,
103,14,3,11,
１０４以上,14,4,10,
不詳者　　,0,0,0,
平成30年９月１日現在,,,,
年齢,計,男,女,
総計　　　,187346,91710,95636,
　０～４　,7977,4131,3846,
0,1502,773,729,
1,1538,795,743,
2,1608,840,768,
3,1643,846,797,
4,1686,877,809,
　５～９　,8135,4186,3949,
5,1581,809,772,
6,1633,835,798,
7,1679,899,780,
8,1640,789,851,
9,1602,854,748,
１０～１４,7523,3896,3627,
10,1549,816,733,
11,1504,793,711,
12,1558,782,776,
13,1428,738,690,
14,1484,767,717,
１５～１９,8146,4109,4037,
15,1442,721,721,
16,1566,803,763,
17,1541,768,773,
18,1644,835,809,
19,1953,982,971,
２０～２４,11157,5486,5671,
20,2110,1051,1059,
21,2061,1004,1057,
22,2202,1043,1159,
23,2384,1177,1207,
24,2400,1211,1189,
２５～２９,11519,5817,5702,
25,2301,1155,1146,
26,2421,1202,1219,
27,2236,1125,1111,
28,2223,1137,1086,
29,2338,1198,1140,
３０～３４,12383,6305,6078,
30,2388,1251,1137,
31,2321,1164,1157,
32,2490,1283,1207,
33,2522,1242,1280,
34,2662,1365,1297,
３５～３９,14026,7021,7005,
35,2729,1347,1382,
36,2750,1392,1358,
37,2690,1365,1325,
38,2928,1454,1474,
39,2929,1463,1466,
４０～４４,15135,7581,7554,
40,2937,1464,1473,
41,2980,1509,1471,
42,2964,1469,1495,
43,3031,1548,1483,
44,3223,1591,1632,
４５～４９,16182,8145,8037,
45,3265,1675,1590,
46,3306,1666,1640,
47,3226,1569,1657,
48,3166,1593,1573,
49,3219,1642,1577,
５０～５４,14063,7178,6885,
50,2992,1490,1502,
51,2932,1475,1457,
52,2587,1320,1267,
53,2890,1501,1389,
54,2662,1392,1270,
５５～５９,11323,5783,5540,
55,2505,1282,1223,
56,2375,1200,1175,
57,2227,1150,1077,
58,2125,1078,1047,
59,2091,1073,1018,
６０～６４,9157,4566,4591,
60,1957,990,967,
61,1853,910,943,
62,1778,883,895,
63,1747,862,885,
64,1822,921,901,
６５～６９,10153,4988,5165,
65,1834,911,923,
66,1792,903,889,
67,2032,1021,1011,
68,2142,1050,1092,
69,2353,1103,1250,
７０～７４,9360,4352,5008,
70,2434,1154,1280,
71,2176,999,1177,
72,1339,624,715,
73,1585,744,841,
74,1826,831,995,
７５～７９,7836,3364,4472,
75,1697,763,934,
76,1755,763,992,
77,1657,727,930,
78,1467,624,843,
79,1260,487,773,
８０～８４,6281,2493,3788,
80,1387,586,801,
81,1318,507,811,
82,1350,519,831,
83,1161,462,699,
84,1065,419,646,
８５～８９,4342,1575,2767,
85,1007,387,620,
86,1037,377,660,
87,897,303,594,
88,749,285,464,
89,652,223,429,
９０～９４,2036,620,1416,
90,571,180,391,
91,466,146,320,
92,425,139,286,
93,325,97,228,
94,249,58,191,
９５～１０３,599,110,489,
95,182,40,142,
96,139,29,110,
97,92,17,75,
98,67,10,57,
99,49,8,41,
100,31,3,28,
101,16,0,16,
102,9,1,8,
103,14,2,12,
１０４以上,13,4,9,
不詳者　　,0,0,0,
平成30年８月１日現在,,,,
年齢,計,男,女,
総計　　　,187248,91644,95604,
　０～４　,7973,4126,3847,
0,1486,763,723,
1,1535,801,734,
2,1632,839,793,
3,1634,844,790,
4,1686,879,807,
　５～９　,8153,4185,3968,
5,1580,802,778,
6,1662,850,812,
7,1654,878,776,
8,1638,803,835,
9,1619,852,767,
１０～１４,7490,3877,3613,
10,1528,795,733,
11,1520,801,719,
12,1550,778,772,
13,1414,727,687,
14,1478,776,702,
１５～１９,8173,4117,4056,
15,1442,724,718,
16,1564,792,772,
17,1545,775,770,
18,1678,859,819,
19,1944,967,977,
２０～２４,11161,5486,5675,
20,2066,1034,1032,
21,2080,1009,1071,
22,2199,1038,1161,
23,2396,1187,1209,
24,2420,1218,1202,
２５～２９,11546,5854,5692,
25,2312,1168,1144,
26,2361,1173,1188,
27,2260,1140,1120,
28,2222,1140,1082,
29,2391,1233,1158,
３０～３４,12379,6286,6093,
30,2364,1237,1127,
31,2296,1148,1148,
32,2479,1287,1192,
33,2541,1244,1297,
34,2699,1370,1329,
３５～３９,14031,7035,6996,
35,2719,1339,1380,
36,2775,1403,1372,
37,2666,1356,1310,
38,2955,1480,1475,
39,2916,1457,1459,
４０～４４,15202,7610,7592,
40,2971,1467,1504,
41,2974,1507,1467,
42,2956,1475,1481,
43,3062,1554,1508,
44,3239,1607,1632,
４５～４９,16148,8144,8004,
45,3250,1665,1585,
46,3308,1654,1654,
47,3218,1578,1640,
48,3165,1610,1555,
49,3207,1637,1570,
５０～５４,14006,7137,6869,
50,2989,1481,1508,
51,2886,1444,1442,
52,2635,1362,1273,
53,2857,1478,1379,
54,2639,1372,1267,
５５～５９,11277,5766,5511,
55,2508,1281,1227,
56,2352,1185,1167,
57,2194,1141,1053,
58,2155,1090,1065,
59,2068,1069,999,
６０～６４,9160,4563,4597,
60,1967,992,975,
61,1850,904,946,
62,1730,867,863,
63,1792,879,913,
64,1821,921,900,
６５～６９,10193,5001,5192,
65,1845,918,927,
66,1780,899,881,
67,2065,1023,1042,
68,2151,1065,1086,
69,2352,1096,1256,
７０～７４,9315,4327,4988,
70,2429,1154,1275,
71,2128,967,1161,
72,1333,629,704,
73,1585,737,848,
74,1840,840,1000,
７５～７９,7783,3337,4446,
75,1671,768,903,
76,1757,749,1008,
77,1656,728,928,
78,1455,610,845,
79,1244,482,762,
８０～８４,6311,2507,3804,
80,1408,598,810,
81,1321,515,806,
82,1334,508,826,
83,1175,466,709,
84,1073,420,653,
８５～８９,4306,1554,2752,
85,987,372,615,
86,1035,379,656,
87,888,293,595,
88,744,282,462,
89,652,228,424,
９０～９４,2034,621,1413,
90,578,177,401,
91,471,158,313,
92,416,139,277,
93,319,93,226,
94,250,54,196,
９５～１０３,594,107,487,
95,176,37,139,
96,142,29,113,
97,92,17,75,
98,67,11,56,
99,47,7,40,
100,29,3,26,
101,16,0,16,
102,12,2,10,
103,13,1,12,
１０４以上,13,4,9,
不詳者　　,0,0,0,
平成30年７月１日現在,,,,
年齢,計,男,女,
総計　　　,187264,91662,95602,
　０～４　,7948,4121,3827,
0,1461,752,709,
1,1552,815,737,
2,1606,826,780,
3,1662,854,808,
4,1667,874,793,
　５～９　,8146,4181,3965,
5,1581,813,768,
6,1664,839,825,
7,1634,870,764,
8,1643,802,841,
9,1624,857,767,
１０～１４,7486,3881,3605,
10,1538,815,723,
11,1517,788,729,
12,1525,768,757,
13,1420,728,692,
14,1486,782,704,
１５～１９,8207,4137,4070,
15,1461,737,724,
16,1551,778,773,
17,1549,785,764,
18,1686,867,819,
19,1960,970,990,
２０～２４,11208,5478,5730,
20,2033,997,1036,
21,2106,1027,1079,
22,2232,1048,1184,
23,2423,1201,1222,
24,2414,1205,1209,
２５～２９,11647,5910,5737,
25,2346,1202,1144,
26,2356,1149,1207,
27,2244,1150,1094,
28,2254,1148,1106,
29,2447,1261,1186,
３０～３４,12414,6316,6098,
30,2312,1206,1106,
31,2290,1152,1138,
32,2511,1300,1211,
33,2581,1271,1310,
34,2720,1387,1333,
３５～３９,14021,7032,6989,
35,2698,1323,1375,
36,2775,1398,1377,
37,2659,1358,1301,
38,2967,1477,1490,
39,2922,1476,1446,
４０～４４,15237,7624,7613,
40,2967,1465,1502,
41,2976,1512,1464,
42,2966,1483,1483,
43,3074,1553,1521,
44,3254,1611,1643,
４５～４９,16108,8129,7979,
45,3292,1673,1619,
46,3273,1649,1624,
47,3211,1584,1627,
48,3173,1621,1552,
49,3159,1602,1557,
５０～５４,13965,7128,6837,
50,2983,1481,1502,
51,2836,1413,1423,
52,2698,1410,1288,
53,2841,1459,1382,
54,2607,1365,1242,
５５～５９,11267,5745,5522,
55,2513,1273,1240,
56,2337,1188,1149,
57,2182,1124,1058,
58,2150,1074,1076,
59,2085,1086,999,
６０～６４,9132,4561,4571,
60,1935,974,961,
61,1851,909,942,
62,1723,860,863,
63,1790,885,905,
64,1833,933,900,
６５～６９,10235,4994,5241,
65,1816,895,921,
66,1818,918,900,
67,2060,1022,1038,
68,2186,1079,1107,
69,2355,1080,1275,
７０～７４,9260,4306,4954,
70,2399,1164,1235,
71,2077,938,1139,
72,1345,634,711,
73,1592,738,854,
74,1847,832,1015,
７５～７９,7737,3315,4422,
75,1658,767,891,
76,1775,756,1019,
77,1634,730,904,
78,1454,599,855,
79,1216,463,753,
８０～８４,6308,2520,3788,
80,1438,616,822,
81,1324,521,803,
82,1312,505,807,
83,1179,465,714,
84,1055,413,642,
８５～８９,4314,1559,2755,
85,1003,374,629,
86,1035,378,657,
87,878,297,581,
88,747,285,462,
89,651,225,426,
９０～９４,2025,615,1410,
90,573,179,394,
91,484,161,323,
92,410,134,276,
93,312,88,224,
94,246,53,193,
９５～１０３,585,106,479,
95,175,38,137,
96,136,29,107,
97,96,16,80,
98,64,11,53,
99,44,6,38,
100,27,3,24,
101,17,0,17,
102,14,2,12,
103,12,1,11,
１０４以上,14,4,10,
不詳者　　,0,0,0,
平成30年６月１日現在,,,,
年齢,計,男,女,
総計　　　,187270,91679,95591,
　０～４　,7974,4147,3827,
0,1464,756,708,
1,1541,809,732,
2,1615,831,784,
3,1697,876,821,
4,1657,875,782,
　５～９　,8085,4136,3949,
5,1560,790,770,
6,1664,839,825,
7,1626,867,759,
8,1635,799,836,
9,1600,841,759,
１０～１４,7483,3877,3606,
10,1552,825,727,
11,1498,777,721,
12,1530,769,761,
13,1431,734,697,
14,1472,772,700,
１５～１９,8237,4148,4089,
15,1488,757,731,
16,1513,752,761,
17,1559,797,762,
18,1723,884,839,
19,1954,958,996,
２０～２４,11227,5504,5723,
20,2052,1001,1051,
21,2118,1036,1082,
22,2259,1067,1192,
23,2419,1219,1200,
24,2379,1181,1198,
２５～２９,11703,5935,5768,
25,2388,1205,1183,
26,2348,1167,1181,
27,2264,1150,1114,
28,2254,1148,1106,
29,2449,1265,1184,
３０～３４,12464,6330,6134,
30,2296,1206,1090,
31,2328,1170,1158,
32,2504,1286,1218,
33,2585,1271,1314,
34,2751,1397,1354,
３５～３９,14065,7061,7004,
35,2698,1339,1359,
36,2763,1388,1375,
37,2699,1379,1320,
38,2978,1496,1482,
39,2927,1459,1468,
４０～４４,15242,7634,7608,
40,2965,1478,1487,
41,2962,1502,1460,
42,2986,1484,1502,
43,3065,1556,1509,
44,3264,1614,1650,
４５～４９,16090,8128,7962,
45,3319,1690,1629,
46,3258,1644,1614,
47,3203,1575,1628,
48,3182,1634,1548,
49,3128,1585,1543,
５０～５４,13924,7120,6804,
50,2991,1481,1510,
51,2790,1389,1401,
52,2703,1410,1293,
53,2852,1495,1357,
54,2588,1345,1243,
５５～５９,11224,5710,5514,
55,2530,1283,1247,
56,2321,1169,1152,
57,2148,1107,1041,
58,2173,1077,1096,
59,2052,1074,978,
６０～６４,9121,4549,4572,
60,1936,967,969,
61,1832,906,926,
62,1708,859,849,
63,1812,891,921,
64,1833,926,907,
６５～６９,10293,5031,5262,
65,1818,905,913,
66,1853,947,906,
67,2051,995,1056,
68,2218,1100,1118,
69,2353,1084,1269,
７０～７４,9197,4280,4917,
70,2408,1161,1247,
71,2013,916,1097,
72,1321,619,702,
73,1622,754,868,
74,1833,830,1003,
７５～７９,7709,3292,4417,
75,1655,752,903,
76,1784,758,1026,
77,1617,727,890,
78,1426,583,843,
79,1227,472,755,
８０～８４,6309,2523,3786,
80,1442,614,828,
81,1340,521,819,
82,1291,511,780,
83,1203,467,736,
84,1033,410,623,
８５～８９,4316,1553,2763,
85,1019,379,640,
86,1024,375,649,
87,873,296,577,
88,757,281,476,
89,643,222,421,
９０～９４,2013,611,1402,
90,568,176,392,
91,480,159,321,
92,414,138,276,
93,297,84,213,
94,254,54,200,
９５～１０３,580,106,474,
95,172,38,134,
96,138,30,108,
97,94,15,79,
98,67,13,54,
99,41,4,37,
100,26,3,23,
101,16,0,16,
102,14,2,12,
103,12,1,11,
１０４以上,14,4,10,
不詳者　　,0,0,0,
平成30年５月１日現在,,,,
年齢,計,男,女,
総計　　　,187107,91639,95468,
　０～４　,7958,4135,3823,
0,1458,756,702,
1,1536,797,739,
2,1622,836,786,
3,1684,873,811,
4,1658,873,785,
　５～９　,8082,4147,3935,
5,1561,800,761,
6,1658,848,810,
7,1615,842,773,
8,1628,803,825,
9,1620,854,766,
１０～１４,7451,3858,3593,
10,1539,811,728,
11,1516,784,732,
12,1491,755,736,
13,1454,750,704,
14,1451,758,693,
１５～１９,8275,4156,4119,
15,1500,763,737,
16,1529,751,778,
17,1558,806,752,
18,1727,885,842,
19,1961,951,1010,
２０～２４,11219,5525,5694,
20,2033,995,1038,
21,2133,1047,1086,
22,2264,1079,1185,
23,2411,1219,1192,
24,2378,1185,1193,
２５～２９,11681,5935,5746,
25,2399,1214,1185,
26,2339,1166,1173,
27,2205,1131,1074,
28,2251,1136,1115,
29,2487,1288,1199,
３０～３４,12464,6330,6134,
30,2296,1208,1088,
31,2320,1184,1136,
32,2510,1269,1241,
33,2591,1277,1314,
34,2747,1392,1355,
３５～３９,14088,7076,7012,
35,2725,1368,1357,
36,2747,1372,1375,
37,2730,1387,1343,
38,3002,1512,1490,
39,2884,1437,1447,
４０～４４,15285,7684,7601,
40,3009,1514,1495,
41,2978,1505,1473,
42,2949,1466,1483,
43,3077,1561,1516,
44,3272,1638,1634,
４５～４９,16065,8108,7957,
45,3333,1672,1661,
46,3238,1644,1594,
47,3177,1566,1611,
48,3220,1644,1576,
49,3097,1582,1515,
５０～５４,13848,7088,6760,
50,3001,1485,1516,
51,2677,1332,1345,
52,2775,1437,1338,
53,2842,1494,1348,
54,2553,1340,1213,
５５～５９,11198,5674,5524,
55,2516,1266,1250,
56,2329,1178,1151,
57,2147,1086,1061,
58,2146,1090,1056,
59,2060,1054,1006,
６０～６４,9106,4559,4547,
60,1923,970,953,
61,1820,896,924,
62,1698,854,844,
63,1816,903,913,
64,1849,936,913,
６５～６９,10308,5022,5286,
65,1792,886,906,
66,1890,963,927,
67,2059,1013,1046,
68,2228,1083,1145,
69,2339,1077,1262,
７０～７４,9159,4273,4886,
70,2459,1181,1278,
71,1894,865,1029,
72,1347,636,711,
73,1648,753,895,
74,1811,838,973,
７５～７９,7703,3288,4415,
75,1661,743,918,
76,1776,762,1014,
77,1623,728,895,
78,1410,579,831,
79,1233,476,757,
８０～８４,6309,2524,3785,
80,1435,605,830,
81,1357,528,829,
82,1275,506,769,
83,1201,478,723,
84,1041,407,634,
８５～８９,4311,1544,2767,
85,1028,388,640,
86,1025,361,664,
87,851,297,554,
88,754,273,481,
89,653,225,428,
９０～９４,1998,603,1395,
90,565,179,386,
91,480,160,320,
92,412,136,276,
93,295,80,215,
94,246,48,198,
９５～１０３,585,106,479,
95,179,40,139,
96,136,30,106,
97,96,14,82,
98,64,12,52,
99,41,4,37,
100,27,3,24,
101,16,0,16,
102,15,2,13,
103,11,1,10,
１０４以上,14,4,10,
不詳者　　,0,0,0,
平成30年４月１日現在,,,,
年齢,計,男,女,
総計　　　,186680,91483,95197,
　０～４　,7954,4122,3832,
0,1473,753,720,
1,1557,815,742,
2,1602,824,778,
3,1680,869,811,
4,1642,861,781,
　５～９　,8061,4146,3915,
5,1560,794,766,
6,1664,868,796,
7,1590,816,774,
8,1643,833,810,
9,1604,835,769,
１０～１４,7415,3840,3575,
10,1549,828,721,
11,1487,754,733,
12,1470,747,723,
13,1462,752,710,
14,1447,759,688,
１５～１９,8157,4112,4045,
15,1518,778,740,
16,1492,730,762,
17,1587,820,767,
18,1653,850,803,
19,1907,934,973,
２０～２４,11132,5492,5640,
20,2000,963,1037,
21,2127,1042,1085,
22,2241,1084,1157,
23,2418,1246,1172,
24,2346,1157,1189,
２５～２９,11644,5919,5725,
25,2380,1202,1178,
26,2310,1154,1156,
27,2201,1140,1061,
28,2299,1151,1148,
29,2454,1272,1182,
３０～３４,12512,6356,6156,
30,2293,1197,1096,
31,2330,1190,1140,
32,2510,1271,1239,
33,2578,1287,1291,
34,2801,1411,1390,
３５～３９,14062,7060,7002,
35,2691,1344,1347,
36,2764,1378,1386,
37,2725,1388,1337,
38,3022,1536,1486,
39,2860,1414,1446,
４０～４４,15339,7734,7605,
40,3042,1536,1506,
41,2957,1490,1467,
42,2964,1487,1477,
43,3063,1537,1526,
44,3313,1684,1629,
４５～４９,16051,8105,7946,
45,3301,1665,1636,
46,3228,1622,1606,
47,3208,1591,1617,
48,3214,1623,1591,
49,3100,1604,1496,
５０～５４,13775,7032,6743,
50,2979,1460,1519,
51,2588,1304,1284,
52,2882,1474,1408,
53,2763,1456,1307,
54,2563,1338,1225,
５５～５９,11156,5666,5490,
55,2499,1257,1242,
56,2317,1191,1126,
57,2136,1061,1075,
58,2139,1096,1043,
59,2065,1061,1004,
６０～６４,9104,4550,4554,
60,1921,957,964,
61,1784,890,894,
62,1730,859,871,
63,1807,916,891,
64,1862,928,934,
６５～６９,10352,5042,5310,
65,1793,884,909,
66,1880,974,906,
67,2068,1004,1064,
68,2274,1116,1158,
69,2337,1064,1273,
７０～７４,9107,4254,4853,
70,2441,1165,1276,
71,1823,837,986,
72,1387,667,720,
73,1661,755,906,
74,1795,830,965,
７５～７９,7708,3280,4428,
75,1664,738,926,
76,1770,763,1007,
77,1606,714,892,
78,1411,583,828,
79,1257,482,775,
８０～８４,6266,2512,3754,
80,1400,596,804,
81,1372,535,837,
82,1263,497,766,
83,1198,475,723,
84,1033,409,624,
８５～８９,4321,1557,2764,
85,1041,397,644,
86,1015,351,664,
87,849,298,551,
88,750,281,469,
89,666,230,436,
９０～９４,1963,592,1371,
90,544,172,372,
91,489,159,330,
92,395,135,260,
93,297,79,218,
94,238,47,191,
９５～１０３,587,108,479,
95,185,42,143,
96,133,28,105,
97,98,15,83,
98,61,12,49,
99,45,5,40,
100,23,2,21,
101,15,0,15,
102,16,2,14,
103,11,2,9,
１０４以上,14,4,10,
不詳者　　,0,0,0,
平成30年３月１日現在,,,,
年齢,計,男,女,
総計　　　,186299,91300,94999,
　０～４　,7969,4097,3872,
0,1482,755,727,
1,1578,809,769,
2,1616,821,795,
3,1633,850,783,
4,1660,862,798,
　５～９　,8031,4140,3891,
5,1562,809,753,
6,1674,872,802,
7,1578,797,781,
8,1631,836,795,
9,1586,826,760,
１０～１４,7379,3824,3555,
10,1544,826,718,
11,1464,737,727,
12,1464,750,714,
13,1478,757,721,
14,1429,754,675,
１５～１９,8028,4039,3989,
15,1535,780,755,
16,1455,716,739,
17,1598,817,781,
18,1563,808,755,
19,1877,918,959,
２０～２４,10897,5381,5516,
20,1936,956,980,
21,2074,1001,1073,
22,2137,1026,1111,
23,2417,1260,1157,
24,2333,1138,1195,
２５～２９,11655,5939,5716,
25,2372,1215,1157,
26,2309,1161,1148,
27,2199,1135,1064,
28,2351,1172,1179,
29,2424,1256,1168,
３０～３４,12582,6366,6216,
30,2357,1217,1140,
31,2345,1197,1148,
