令和2年12月1日現在,,,,
年齢,計,男,女,
36,2737,1397,1340,
37,2836,1464,1372,
38,2759,1406,1353,
39,2809,1403,1406,
４０～４４,14830,7412,7418,
40,2870,1460,1410,
41,2951,1473,1478,
42,3021,1517,1504,
43,2951,1465,1486,
44,3037,1497,1540,
４５～４９,16134,8098,8036,
45,2963,1491,1472,
46,3277,1624,1653,
47,3268,1672,1596,
48,3317,1661,1656,
49,3309,1650,1659,
５０～５４,14820,7443,7377,
50,3167,1580,1587,
51,3216,1631,1585,
52,3052,1526,1526,
53,3006,1516,1490,
54,2379,1190,1189,
５５～５９,12845,6632,6213,
55,3007,1545,1462,
56,2700,1453,1247,
57,2486,1258,1228,
58,2454,1239,1215,
59,2198,1137,1061,
６０～６４,9711,4851,4860,
60,2096,1040,1056,
61,2118,1103,1015,
62,1919,952,967,
63,1818,890,928,
64,1760,866,894,
６５～６９,8915,4415,4500,
65,1693,819,874,
66,1754,882,872,
67,1778,873,905,
68,1759,877,882,
69,1931,964,967,
７０～７４,10308,4793,5515,
70,2053,984,1069,
71,2298,1086,1212,
72,2343,1076,1267,
73,2231,1002,1229,
74,1383,645,738,
７５～７９,8130,3563,4567,
75,1448,660,788,
76,1749,786,963,
77,1653,712,941,
78,1682,721,961,
79,1598,684,914,
８０～８４,6371,2479,3892,
80,1442,592,850,
81,1216,450,766,
82,1251,513,738,
83,1236,483,753,
84,1226,441,785,
８５～８９,4597,1650,2947,
85,1076,419,657,
86,965,346,619,
87,861,321,540,
88,891,301,590,
89,804,263,541,
９０～９４,2302,733,1569,
90,642,224,418,
91,536,175,361,
92,459,132,327,
93,367,120,247,
94,298,82,216,
９５～１０３,749,156,593,
95,233,66,167,
96,168,31,137,
97,120,23,97,
98,79,21,58,
99,59,5,54,
100,40,6,34,
101,19,3,16,
102,20,1,19,
103,11,0,11,
１０４以上,14,4,10,
不詳者　　,0,0,0,
令和2年10月1日現在,,,,
年齢,計,男,女,
総計　　　,190062,92974,97088,
　０～４　,7670,4013,3657,
0,1356,707,649,
1,1492,805,687,
2,1560,809,751,
3,1585,813,772,
4,1677,879,798,
　５～９　,8391,4324,4067,
5,1671,864,807,
6,1737,891,846,
7,1672,848,824,
8,1617,819,798,
9,1694,902,792,
１０～１４,8020,4105,3915,
10,1682,810,872,
11,1640,869,771,
12,1592,840,752,
13,1542,803,739,
14,1564,783,781,
１５～１９,7866,4000,3866,
15,1463,768,695,
16,1524,777,747,
17,1450,724,726,
18,1646,847,799,
19,1783,884,899,
２０～２４,11247,5536,5711,
20,1956,978,978,
21,2123,1043,1080,
22,2324,1152,1172,
23,2383,1142,1241,
24,2461,1221,1240,
２５～２９,11655,5894,5761,
25,2347,1180,1167,
26,2406,1204,1202,
27,2250,1119,1131,
28,2410,1246,1164,
29,2242,1145,1097,
３０～３４,11888,5992,5896,
30,2255,1132,1123,
31,2300,1157,1143,
32,2428,1215,1213,
33,2360,1193,1167,
34,2545,1295,1250,
３５～３９,13742,6952,6790,
35,2628,1315,1313,
36,2755,1397,1358,
37,2776,1433,1343,
38,2794,1410,1384,
39,2789,1397,1392,
４０～４４,14841,7402,7439,
40,2908,1485,1423,
41,2973,1471,1502,
42,2970,1483,1487,
43,2964,1483,1481,
44,3026,1480,1546,
４５～４９,16108,8101,8007,
45,2977,1506,1471,
46,3283,1626,1657,
47,3267,1683,1584,
48,3321,1667,1654,
49,3260,1619,1641,
５０～５４,14876,7465,7411,
50,3202,1594,1608,
51,3223,1627,1596,
52,3006,1506,1500,
53,2985,1494,1491,
54,2460,1244,1216,
５５～５９,12721,6580,6141,
55,2939,1518,1421,
56,2720,1453,1267,
57,2472,1251,1221,
58,2394,1215,1179,
59,2196,1143,1053,
６０～６４,9694,4836,4858,
60,2115,1050,1065,
61,2100,1085,1015,
62,1893,942,951,
63,1821,898,923,
64,1765,861,904,
６５～６９,8940,4436,4504,
65,1701,828,873,
66,1773,885,888,
67,1766,873,893,
68,1747,878,869,
69,1953,972,981,
７０～７４,10256,4763,5493,
70,2073,995,1078,
71,2316,1082,1234,
72,2360,1095,1265,
73,2179,972,1207,
74,1328,619,709,
７５～７９,8188,3584,4604,
75,1493,686,807,
76,1762,786,976,
77,1647,699,948,
78,1671,727,944,
79,1615,686,929,
８０～８４,6355,2467,3888,
80,1412,581,831,
81,1204,452,752,
82,1286,523,763,
83,1213,467,746,
84,1240,444,796,
８５～８９,4571,1635,2936,
85,1065,414,651,
86,952,348,604,
87,852,308,544,
88,901,308,593,
89,801,257,544,
９０～９４,2273,729,1544,
90,629,230,399,
91,533,170,363,
92,462,135,327,
93,357,114,243,
94,292,80,212,
９５～１０３,744,156,588,
95,235,67,168,
96,167,32,135,
97,113,22,91,
98,84,20,64,
99,54,6,48,
100,39,5,34,
101,21,3,18,
102,22,1,21,
103,9,0,9,
１０４以上,16,4,12,
不詳者　　,0,0,0,
令和2年9月1日現在,,,,
年齢,計,男,女,
総計　　　,190090,92998,97092,
　０～４　,7706,4030,3676,
0,1369,708,661,
1,1489,805,684,
2,1573,817,756,
3,1569,811,758,
4,1706,889,817,
　５～９　,8381,4328,4053,
5,1669,863,806,
6,1744,898,846,
7,1628,818,810,
8,1648,844,804,
9,1692,905,787,
１０～１４,8002,4087,3915,
10,1670,794,876,
11,1632,866,766,
12,1581,830,751,
13,1540,802,738,
14,1579,795,784,
１５～１９,7875,4008,3867,
15,1450,755,695,
16,1523,776,747,
17,1457,724,733,
18,1637,848,789,
19,1808,905,903,
２０～２４,11296,5556,5740,
20,1910,954,956,
21,2154,1055,1099,
22,2356,1167,1189,
23,2401,1157,1244,
24,2475,1223,1252,
２５～２９,11671,5909,5762,
25,2370,1192,1178,
26,2404,1201,1203,
27,2288,1144,1144,
28,2396,1241,1155,
29,2213,1131,1082,
３０～３４,11979,6048,5931,
30,2263,1146,1117,
31,2331,1154,1177,
32,2417,1216,1201,
33,2383,1208,1175,
34,2585,1324,1261,
３５～３９,13699,6919,6780,
35,2615,1298,1317,
36,2757,1425,1332,
37,2770,1403,1367,
38,2786,1407,1379,
39,2771,1386,1385,
４０～４４,14881,7422,7459,
40,2953,1485,1468,
41,2965,1489,1476,
42,3008,1495,1513,
43,2952,1487,1465,
44,3003,1466,1537,
４５～４９,16126,8105,8021,
45,3021,1527,1494,
46,3244,1604,1640,
47,3300,1703,1597,
48,3299,1664,1635,
49,3262,1607,1655,
５０～５４,14881,7485,7396,
50,3200,1599,1601,
51,3220,1630,1590,
52,2984,1494,1490,
53,2915,1451,1464,
54,2562,1311,1251,
５５～５９,12629,6522,6107,
55,2920,1505,1415,
56,2658,1406,1252,
57,2487,1271,1216,
58,2369,1206,1163,
59,2195,1134,1061,
６０～６４,9640,4815,4825,
60,2096,1058,1038,
61,2068,1057,1011,
62,1900,953,947,
63,1821,887,934,
64,1755,860,895,
６５～６９,8989,4446,4543,
65,1710,829,881,
66,1780,894,886,
67,1771,875,896,
68,1738,862,876,
69,1990,986,1004,
７０～７４,10195,4746,5449,
70,2093,1013,1080,
71,2320,1073,1247,
72,2366,1109,1257,
73,2126,958,1168,
74,1290,593,697,
７５～７９,8204,3589,4615,
75,1538,704,834,
76,1759,784,975,
77,1627,697,930,
78,1700,728,972,
79,1580,676,904,
８０～８４,6350,2464,3886,
80,1402,577,825,
81,1195,449,746,
82,1302,532,770,
83,1223,461,762,
84,1228,445,783,
８５～８９,4567,1644,2923,
85,1053,412,641,
86,942,346,596,
87,871,315,556,
88,906,313,593,
89,795,258,537,
９０～９４,2272,724,1548,
90,619,221,398,
91,538,172,366,
92,454,136,318,
93,357,111,246,
94,304,84,220,
９５～１０３,731,147,584,
95,229,62,167,
96,164,29,135,
97,115,22,93,
98,84,19,65,
99,54,7,47,
100,32,4,28,
101,27,3,24,
102,18,1,17,
103,8,0,8,
１０４以上,16,4,12,
不詳者　　,0,0,0,
令和2年8月1日現在,,,,
年齢,計,男,女,
総計　　　,190187,93041,97146,
　０～４　,7736,4041,3695,
0,1361,711,650,
1,1514,814,700,
2,1558,808,750,
3,1570,823,747,
4,1733,885,848,
　５～９　,8361,4316,4045,
5,1675,867,808,
6,1726,895,831,
7,1619,808,811,
8,1672,859,813,
9,1669,887,782,
１０～１４,7983,4080,3903,
10,1662,806,856,
11,1645,866,779,
12,1550,802,748,
13,1562,818,744,
14,1564,788,776,
１５～１９,7890,4032,3858,
15,1442,746,696,
16,1523,790,733,
17,1453,723,730,
18,1651,851,800,
19,1821,922,899,
２０～２４,11413,5605,5808,
20,1955,975,980,
21,2173,1046,1127,
22,2385,1186,1199,
23,2445,1174,1271,
24,2455,1224,1231,
２５～２９,11693,5912,5781,
25,2388,1200,1188,
26,2410,1203,1207,
27,2292,1165,1127,
28,2381,1222,1159,
29,2222,1122,1100,
３０～３４,11978,6062,5916,
30,2259,1152,1107,
31,2379,1179,1200,
32,2384,1201,1183,
33,2377,1198,1179,
34,2579,1332,1247,
３５～３９,13746,6928,6818,
35,2634,1297,1337,
36,2783,1432,1351,
37,2790,1406,1384,
38,2807,1407,1400,
39,2732,1386,1346,
４０～４４,14899,7435,7464,
40,2979,1500,1479,
41,2979,1499,1480,
42,3013,1481,1532,
43,2952,1487,1465,
44,2976,1468,1508,
４５～４９,16145,8099,8046,
45,3062,1546,1516,
46,3267,1616,1651,
47,3278,1696,1582,
48,3296,1636,1660,
49,3242,1605,1637,
５０～５４,14890,7510,7380,
50,3208,1616,1592,
51,3223,1637,1586,
52,2971,1477,1494,
53,2865,1419,1446,
54,2623,1361,1262,
５５～５９,12526,6463,6063,
55,2873,1478,1395,
56,2642,1389,1253,
57,2493,1277,1216,
58,2339,1182,1157,
59,2179,1137,1042,
６０～６４,9612,4809,4803,
60,2125,1073,1052,
61,2038,1047,991,
62,1917,962,955,
63,1815,879,936,
64,1717,848,869,
６５～６９,9063,4468,4595,
65,1746,839,907,
66,1772,893,879,
67,1788,884,904,
68,1731,862,869,
69,2026,990,1036,
７０～７４,10152,4734,5418,
70,2104,1029,1075,
71,2318,1068,1250,
72,2372,1117,1255,
73,2077,926,1151,
74,1281,594,687,
７５～７９,8210,3592,4618,
75,1543,700,843,
76,1774,791,983,
77,1607,706,901,
78,1701,719,982,
79,1585,676,909,
８０～８４,6334,2461,3873,
80,1389,564,825,
81,1177,442,735,
82,1326,550,776,
83,1221,464,757,
84,1221,441,780,
８５～８９,4553,1632,2921,
85,1064,412,652,
86,947,347,600,
87,854,303,551,
88,899,318,581,
89,789,252,537,
９０～９４,2260,718,1542,
90,611,215,396,
91,542,176,366,
92,455,133,322,
93,352,109,243,
94,300,85,215,
９５～１０３,727,140,587,
95,225,59,166,
96,163,27,136,
97,117,21,96,
98,86,18,68,
99,55,7,48,
100,30,5,25,
101,27,2,25,
102,16,1,15,
103,8,0,8,
１０４以上,16,4,12,
不詳者　　,0,0,0,
令和2年7月1日現在,,,,
年齢,計,男,女,
総計　　　,190211,93064,97147,
　０～４　,7746,4057,3689,
0,1375,712,663,
1,1525,833,692,
2,1550,800,750,
3,1600,838,762,
4,1696,874,822,
　５～９　,8364,4318,4046,
5,1700,875,825,
6,1710,893,817,
7,1630,823,807,
8,1662,842,820,
9,1662,885,777,
１０～１４,7960,4064,3896,
10,1659,797,862,
11,1648,869,779,
12,1567,825,742,
13,1551,798,753,
14,1535,775,760,
１５～１９,7918,4048,3870,
15,1448,748,700,
16,1516,789,727,
17,1476,740,736,
18,1653,848,805,
19,1825,923,902,
２０～２４,11459,5628,5831,
20,1960,978,982,
21,2206,1061,1145,
22,2382,1170,1212,
23,2459,1202,1257,
24,2452,1217,1235,
２５～２９,11724,5932,5792,
25,2432,1228,1204,
26,2382,1172,1210,
27,2318,1210,1108,
28,2389,1207,1182,
29,2203,1115,1088,
３０～３４,12040,6103,5937,
30,2274,1161,1113,
31,2414,1204,1210,
32,2352,1194,1158,
33,2393,1204,1189,
34,2607,1340,1267,
３５～３９,13730,6912,6818,
35,2645,1311,1334,
36,2778,1430,1348,
37,2783,1387,1396,
38,2806,1401,1405,
39,2718,1383,1335,
４０～４４,14925,7454,7471,
40,3001,1499,1502,
41,2986,1515,1471,
42,3004,1473,1531,
43,2954,1495,1459,
44,2980,1472,1508,
４５～４９,16163,8095,8068,
45,3081,1546,1535,
46,3286,1622,1664,
47,3297,1682,1615,
48,3263,1632,1631,
49,3236,1613,1623,
５０～５４,14875,7517,7358,
50,3226,1637,1589,
51,3171,1596,1575,
52,2980,1487,1493,
53,2809,1392,1417,
54,2689,1405,1284,
５５～５９,12453,6418,6035,
55,2851,1460,1391,
56,2611,1384,1227,
57,2485,1255,1230,
58,2333,1193,1140,
59,2173,1126,1047,
６０～６４,9584,4787,4797,
60,2116,1057,1059,
61,2052,1060,992,
62,1889,945,944,
63,1822,885,937,
64,1705,840,865,
６５～６９,9089,4491,4598,
65,1740,842,898,
66,1786,902,884,
67,1760,870,890,
68,1788,888,900,
69,2015,989,1026,
７０～７４,10130,4722,5408,
70,2140,1038,1102,
71,2325,1059,1266,
72,2346,1129,1217,
73,2033,899,1134,
74,1286,597,689,
７５～７９,8197,3585,4612,
75,1547,700,847,
76,1786,785,1001,
77,1592,707,885,
78,1713,724,989,
79,1559,669,890,
８０～８４,6323,2458,3865,
80,1391,563,828,
81,1152,425,727,
82,1359,566,793,
83,1221,468,753,
84,1200,436,764,
８５～８９,4536,1622,2914,
85,1057,403,654,
86,926,341,585,
87,874,309,565,
88,907,315,592,
89,772,254,518,
９０～９４,2260,712,1548,
90,613,212,401,
91,543,175,368,
92,458,137,321,
93,344,103,241,
94,302,85,217,
９５～１０３,719,137,582,
95,218,55,163,
96,170,29,141,
97,114,22,92,
98,79,16,63,
99,62,7,55,
100,27,5,22,
101,25,2,23,
102,16,1,15,
103,8,0,8,
１０４以上,16,4,12,
不詳者　　,0,0,0,
令和2年6月1日現在,,,,
年齢,計,男,女,
総計　　　,190183,93028,97155,
　０～４　,7760,4064,3696,
0,1394,721,673,
1,1521,829,692,
2,1550,803,747,
3,1594,834,760,
4,1701,877,824,
　５～９　,8355,4306,4049,
5,1723,894,829,
6,1702,895,807,
7,1611,796,815,
8,1670,849,821,
9,1649,872,777,
１０～１４,7938,4061,3877,
10,1660,802,858,
11,1621,858,763,
12,1586,833,753,
13,1538,795,743,
14,1533,773,760,
１５～１９,7935,4050,3885,
15,1461,753,708,
16,1502,777,725,
17,1505,768,737,
18,1629,821,808,
19,1838,931,907,
２０～２４,11512,5634,5878,
20,2011,1003,1008,
21,2205,1057,1148,
22,2395,1164,1231,
23,2477,1211,1266,
24,2424,1199,1225,
２５～２９,11761,5950,5811,
25,2459,1245,1214,
26,2374,1173,1201,
27,2337,1199,1138,
28,2376,1219,1157,
29,2215,1114,1101,
３０～３４,12053,6091,5962,
30,2292,1158,1134,
31,2424,1213,1211,
32,2334,1193,1141,
33,2410,1203,1207,
34,2593,1324,1269,
３５～３９,13740,6930,6810,
35,2661,1321,1340,
36,2783,1429,1354,
37,2790,1400,1390,
38,2777,1395,1382,
39,2729,1385,1344,
４０～４４,14945,7452,7493,
40,3023,1518,1505,
41,2998,1501,1497,
42,2990,1480,1510,
43,2945,1486,1459,
44,2989,1467,1522,
４５～４９,16161,8102,8059,
45,3077,1558,1519,
46,3274,1613,1661,
47,3330,1705,1625,
48,3255,1629,1626,
49,3225,1597,1628,
５０～５４,14816,7475,7341,
50,3216,1629,1587,
51,3158,1595,1563,
52,2971,1478,1493,
53,2778,1368,1410,
54,2693,1405,1288,
５５～５９,12394,6398,5996,
55,2846,1487,1359,
56,2583,1359,1224,
57,2514,1273,1241,
58,2310,1174,1136,
59,2141,1105,1036,
６０～６４,9550,4778,4772,
60,2124,1056,1068,
61,2029,1058,971,
62,1894,937,957,
63,1808,882,926,
64,1695,845,850,
６５～６９,9133,4499,4634,
65,1765,851,914,
66,1784,898,886,
67,1759,876,883,
68,1816,907,909,
69,2009,967,1042,
７０～７４,10098,4723,5375,
70,2173,1062,1111,
71,2330,1073,1257,
72,2364,1127,1237,
73,1957,874,1083,
74,1274,587,687,
７５～７９,8194,3580,4614,
75,1570,714,856,
76,1770,778,992,
77,1592,702,890,
78,1723,726,997,
79,1539,660,879,
８０～８４,6318,2461,3857,
80,1374,554,820,
81,1159,433,726,
82,1358,562,796,
83,1240,465,775,
84,1187,447,740,
８５～８９,4533,1626,2907,
85,1072,404,668,
86,909,336,573,
87,885,315,570,
88,903,318,585,
89,764,253,511,
９０～９４,2256,709,1547,
90,619,212,407,
91,532,170,362,
92,453,135,318,
93,355,104,251,
94,297,88,209,
９５～１０３,715,135,580,
95,211,52,159,
96,181,32,149,
97,108,21,87,
98,76,15,61,
99,63,7,56,
100,27,5,22,
101,26,2,24,
102,16,1,15,
103,7,0,7,
１０４以上,16,4,12,
不詳者　　,0,0,0,
令和2年5月1日現在,,,,
年齢,計,男,女,
総計　　　,190204,93054,97150,
　０～４　,7799,4088,3711,
0,1410,740,670,
1,1543,832,711,
2,1549,809,740,
3,1595,822,773,
4,1702,885,817,
　５～９　,8347,4297,4050,
5,1718,889,829,
6,1702,891,811,
7,1614,807,807,
8,1665,857,808,
9,1648,853,795,
１０～１４,7917,4058,3859,
10,1654,809,845,
11,1633,865,768,
12,1583,828,755,
13,1556,798,758,
14,1491,758,733,
１５～１９,7971,4069,3902,
15,1487,770,717,
16,1472,758,714,
17,1514,777,737,
18,1655,825,830,
19,1843,939,904,
２０～２４,11542,5636,5906,
20,2032,1022,1010,
21,2205,1048,1157,
22,2401,1160,1241,
23,2487,1209,1278,
24,2417,1197,1220,
２５～２９,11784,5969,5815,
25,2478,1264,1214,
26,2371,1174,1197,
27,2373,1218,1155,
28,2369,1210,1159,
29,2193,1103,1090,
３０～３４,12069,6115,5954,
30,2288,1158,1130,
31,2442,1228,1214,
32,2351,1215,1136,
33,2386,1199,1187,
34,2602,1315,1287,
３５～３９,13785,6947,6838,
35,2657,1321,1336,
36,2774,1425,1349,
37,2814,1418,1396,
38,2782,1387,1395,
39,2758,1396,1362,
４０～４４,14922,7441,7481,
40,3033,1520,1513,
41,2951,1479,1472,
42,3023,1506,1517,
43,2962,1490,1472,
44,2953,1446,1507,
４５～４９,16154,8102,8052,
45,3103,1572,1531,
46,3282,1636,1646,
47,3332,1678,1654,
48,3236,1629,1607,
49,3201,1587,1614,
５０～５４,14824,7475,7349,
50,3268,1654,1614,
51,3117,1582,1535,
52,2980,1479,1501,
53,2676,1313,1363,
54,2783,1447,1336,
５５～５９,12326,6354,5972,
55,2824,1475,1349,
56,2543,1347,1196,
57,2501,1260,1241,
58,2320,1185,1135,
59,2138,1087,1051,
６０～６４,9503,4760,4743,
60,2108,1071,1037,
61,2023,1032,991,
62,1892,946,946,
63,1801,875,926,
64,1679,836,843,
６５～６９,9191,4550,4641,
65,1772,870,902,
66,1810,910,900,
67,1730,852,878,
68,1862,933,929,
69,2017,985,1032,
７０～７４,10060,4682,5378,
70,2187,1048,1139,
71,2305,1061,1244,
72,2421,1147,1274,
73,1845,821,1024,
74,1302,605,697,
７５～７９,8213,3586,4627,
75,1597,714,883,
76,1755,786,969,
77,1606,698,908,
78,1711,726,985,
79,1544,662,882,
８０～８４,6305,2461,3844,
80,1357,548,809,
81,1162,437,725,
82,1356,554,802,
83,1253,472,781,
84,1177,450,727,
８５～８９,4508,1620,2888,
85,1061,407,654,
86,922,335,587,
87,886,323,563,
88,897,305,592,
89,742,250,492,
９０～９４,2252,707,1545,
90,617,205,412,
91,534,172,362,
92,449,137,312,
93,349,104,245,
94,303,89,214,
９５～１０３,716,133,583,
95,213,51,162,
96,175,31,144,
97,110,21,89,
98,77,15,62,
99,64,8,56,
100,26,4,22,
101,27,2,25,
102,16,1,15,
103,8,0,8,
１０４以上,16,4,12,
不詳者　　,0,0,0,
令和2年4月1日現在,,,,
年齢,計,男,女,
総計　　　,189478,92683,96795,
　０～４　,7726,4052,3674,
0,1372,730,642,
1,1548,843,705,
2,1537,781,756,
3,1607,832,775,
4,1662,866,796,
　５～９　,8288,4249,4039,
5,1710,878,832,
6,1684,878,806,
7,1586,787,799,
8,1678,879,799,
9,1630,827,803,
１０～１４,7885,4053,3832,
10,1674,840,834,
11,1620,848,772,
12,1588,845,743,
13,1526,766,760,
14,1477,754,723,
１５～１９,7955,4062,3893,
15,1478,762,716,
16,1475,767,708,
17,1532,789,743,
18,1596,791,805,
19,1874,953,921,
２０～２４,11478,5589,5889,
20,2054,1036,1018,
21,2170,1029,1141,
22,2391,1129,1262,
23,2472,1208,1264,
24,2391,1187,1204,
２５～２９,11704,5938,5766,
25,2464,1267,1197,
26,2349,1148,1201,
27,2381,1230,1151,
28,2333,1193,1140,
29,2177,1100,1077,
３０～３４,11994,6079,5915,
30,2271,1150,1121,
31,2430,1225,1205,
32,2330,1201,1129,
33,2373,1188,1185,
34,2590,1315,1275,
３５～３９,13738,6921,6817,
35,2648,1319,1329,
36,2783,1425,1358,
37,2771,1400,1371,
38,2790,1389,1401,
39,2746,1388,1358,
４０～４４,14881,7421,7460,
40,3018,1524,1494,
41,2919,1445,1474,
42,3028,1520,1508,
43,2943,1469,1474,
44,2973,1463,1510,
４５～４９,16123,8099,8024,
45,3084,1553,1531,
46,3289,1667,1622,
47,3285,1658,1627,
48,3232,1612,1620,
49,3233,1609,1624,
５０～５４,14784,7437,7347,
50,3252,1633,1619,
51,3101,1589,1512,
52,2973,1459,1514,
53,2568,1274,1294,
54,2890,1482,1408,
５５～５９,12215,6297,5918,
55,2758,1456,1302,
56,2540,1337,1203,
57,2486,1250,1236,
58,2309,1196,1113,
59,2122,1058,1064,
６０～６４,9476,4745,4731,
60,2104,1074,1030,
61,2023,1038,985,
62,1878,923,955,
63,1766,868,898,
64,1705,842,863,
６５～６９,9184,4550,4634,
65,1755,876,879,
66,1829,906,923,
67,1736,850,886,
68,1847,945,902,
69,2017,973,1044,
７０～７４,10048,4685,5363,
70,2237,1083,1154,
71,2298,1048,1250,
72,2397,1127,1270,
73,1776,794,982,
74,1340,633,707,
７５～７９,8205,3573,4632,
75,1622,722,900,
76,1727,777,950,
77,1618,696,922,
78,1705,724,981,
79,1533,654,879,
８０～８４,6302,2463,3839,
80,1356,549,807,
81,1183,443,740,
82,1329,545,784,
83,1267,481,786,
84,1167,445,722,
８５～８９,4502,1619,2883,
85,1057,403,654,
86,924,340,584,
87,897,333,564,
88,897,295,602,
89,727,248,479,
９０～９４,2257,715,1542,
90,627,216,411,
91,547,174,373,
92,436,134,302,
93,352,102,250,
94,295,89,206,
９５～１０３,717,132,585,
95,214,51,163,
96,177,32,145,
97,105,19,86,
98,78,15,63,
99,64,8,56,
100,25,4,21,
101,31,2,29,
102,16,1,15,
103,7,0,7,
１０４以上,16,4,12,
不詳者　　,0,0,0,
令和2年3月1日現在,,,,
年齢,計,男,女,
総計,188345,92146,96199,
　０～４　,7577,3957,3620,
0,1303,705,598,
1,1537,820,717,
2,1494,751,743,
3,1603,814,789,
4,1640,867,773,
　５～９　,8256,4236,4020,
5,1685,876,809,
6,1674,866,808,
7,1582,799,783,
8,1696,891,805,
9,1619,804,815,
１０～１４,7811,4035,3776,
10,1655,845,810,
11,1611,841,770,
12,1565,840,725,
13,1504,750,754,
14,1476,759,717,
１５～１９,7864,3998,3866,
15,1483,762,721,
16,1457,766,691,
17,1550,790,760,
18,1510,743,767,
19,1864,937,927,
２０～２４,11171,5427,5744,
20,2041,1037,1004,
21,2154,1031,1123,
22,2205,1056,1149,
23,2409,1145,1264,
24,2362,1158,1204,
２５～２９,11663,5957,5706,
25,2476,1286,1190,
26,2362,1163,1199,
27,2369,1240,1129,
28,2322,1184,1138,
29,2134,1084,1050,
３０～３４,11882,6029,5853,
30,2289,1170,1119,
31,2400,1206,1194,
