令和3年10月1日現在,,,,
年齢,計,男,女,
65,1732,847,885,
66,1681,811,870,
67,1770,880,890,
68,1736,853,883,
69,1734,855,879,
７０～７４,10775,5051,5724,
70,1976,974,1002,
71,2084,1005,1079,
72,2281,1047,1234,
73,2336,1087,1249,
74,2098,938,1160,
７５～７９,7759,3400,4359,
75,1262,575,687,
76,1508,681,827,
77,1735,770,965,
78,1593,675,918,
79,1661,699,962,
８０～８４,6473,2555,3918,
80,1533,645,888,
81,1360,548,812,
82,1162,431,731,
83,1251,499,752,
84,1167,432,735,
８５～８９,4684,1684,3000,
85,1170,415,755,
86,994,384,610,
87,883,317,566,
88,810,292,518,
89,827,276,551,
９０～９４,2460,774,1686,
90,721,224,497,
91,558,202,356,
92,489,143,346,
93,383,105,278,
94,309,100,209,
９５～１０３,802,168,634,
95,251,61,190,
96,185,53,132,
97,130,21,109,
98,88,13,75,
99,57,11,46,
100,42,5,37,
101,23,2,21,
102,18,2,16,
103,8,0,8,
１０４以上,14,2,12,
不詳者　　,0,0,0,
令和3年8月1日現在,,,,
年齢,計,男,女,
総計　　　,191004,93281,97723,
　０～４　,7501,3899,3602,
0,1330,677,653,
1,1427,731,696,
2,1532,823,709,
3,1601,835,766,
4,1611,833,778,
　５～９　,8529,4385,4144,
5,1769,909,860,
6,1693,880,813,
7,1755,907,848,
8,1634,818,816,
9,1678,871,807,
１０～１４,8154,4195,3959,
10,1687,900,787,
11,1674,814,860,
12,1652,851,801,
13,1577,810,767,
14,1564,820,744,
１５～１９,7987,4072,3915,
15,1580,792,788,
16,1449,750,699,
17,1534,794,740,
18,1594,800,794,
19,1830,936,894,
２０～２４,11146,5463,5683,
20,1945,947,998,
21,2021,1003,1018,
22,2295,1121,1174,
23,2451,1209,1242,
24,2434,1183,1251,
２５～２９,11636,5849,5787,
25,2378,1186,1192,
26,2306,1160,1146,
27,2320,1157,1163,
28,2262,1133,1129,
29,2370,1213,1157,
３０～３４,11696,5857,5839,
30,2180,1089,1091,
31,2261,1153,1108,
32,2359,1176,1183,
33,2451,1209,1242,
34,2445,1230,1215,
３５～３９,13690,6942,6748,
35,2619,1345,1274,
36,2680,1317,1363,
37,2781,1420,1361,
38,2797,1427,1370,
39,2813,1433,1380,
４０～４４,14723,7365,7358,
40,2746,1385,1361,
41,2984,1505,1479,
42,2988,1494,1494,
43,3045,1494,1551,
44,2960,1487,1473,
４５～４９,15940,7983,7957,
45,3012,1483,1529,
46,3089,1560,1529,
47,3254,1599,1655,
48,3301,1714,1587,
49,3284,1627,1657,
５０～５４,15496,7733,7763,
50,3245,1600,1645,
51,3193,1609,1584,
52,3209,1628,1581,
53,2969,1472,1497,
54,2880,1424,1456,
５５～５９,12941,6655,6286,
55,2628,1365,1263,
56,2858,1470,1388,
57,2629,1373,1256,
58,2493,1263,1230,
59,2333,1184,1149,
６０～６４,9962,5010,4952,
60,2145,1107,1038,
61,2120,1064,1056,
62,2009,1026,983,
63,1894,950,944,
64,1794,863,931,
６５～６９,8661,4258,4403,
65,1697,838,859,
66,1718,820,898,
67,1764,880,884,
68,1750,861,889,
69,1732,859,873,
７０～７４,10780,5038,5742,
70,2010,973,1037,
71,2098,1024,1074,
72,2277,1038,1239,
73,2346,1097,1249,
74,2049,906,1143,
７５～７９,7749,3404,4345,
75,1259,576,683,
76,1512,679,833,
77,1751,779,972,
78,1565,679,886,
79,1662,691,971,
８０～８４,6464,2551,3913,
80,1540,642,898,
81,1344,536,808,
82,1146,425,721,
83,1272,514,758,
84,1162,434,728,
８５～８９,4685,1684,3001,
85,1169,414,755,
86,1002,381,621,
87,884,321,563,
88,804,285,519,
89,826,283,543,
９０～９４,2445,765,1680,
90,710,217,493,
91,553,198,355,
92,499,149,350,
93,383,105,278,
94,300,96,204,
９５～１０３,805,171,634,
95,256,66,190,
96,183,53,130,
97,130,19,111,
98,89,12,77,
99,57,11,46,
100,42,5,37,
101,22,3,19,
102,19,2,17,
103,7,0,7,
１０４以上,14,2,12,
不詳者　　,0,0,0,
令和3年7月1日現在,,,,
年齢,計,男,女,
総計　　　,191074,93314,97760,
　０～４　,7566,3931,3635,
0,1349,675,674,
1,1445,741,704,
2,1544,838,706,
3,1596,830,766,
4,1632,847,785,
　５～９　,8512,4371,4141,
5,1729,889,840,
6,1722,890,832,
7,1745,907,838,
8,1641,830,811,
9,1675,855,820,
１０～１４,8162,4196,3966,
10,1681,897,784,
11,1673,808,865,
12,1661,859,802,
13,1593,833,760,
14,1554,799,755,
１５～１９,7981,4064,3917,
15,1555,785,770,
16,1452,746,706,
17,1527,792,735,
18,1651,835,816,
19,1796,906,890,
２０～２４,11206,5503,5703,
20,1956,963,993,
21,2011,997,1014,
22,2334,1134,1200,
23,2452,1200,1252,
24,2453,1209,1244,
２５～２９,11629,5835,5794,
25,2348,1166,1182,
26,2331,1186,1145,
27,2313,1139,1174,
28,2268,1158,1110,
29,2369,1186,1183,
３０～３４,11751,5900,5851,
30,2185,1092,1093,
31,2268,1168,1100,
32,2407,1201,1206,
33,2432,1213,1219,
34,2459,1226,1233,
３５～３９,13734,6949,6785,
35,2656,1364,1292,
36,2675,1312,1363,
37,2802,1445,1357,
38,2792,1410,1382,
39,2809,1418,1391,
４０～４４,14739,7385,7354,
40,2730,1389,1341,
41,2995,1492,1503,
42,3009,1522,1487,
43,3039,1486,1553,
44,2966,1496,1470,
４５～４９,15965,7987,7978,
45,3013,1488,1525,
46,3089,1556,1533,
47,3297,1627,1670,
48,3317,1696,1621,
49,3249,1620,1629,
５０～５４,15388,7690,7698,
50,3235,1613,1622,
51,3211,1630,1581,
52,3146,1575,1571,
53,2966,1476,1490,
54,2830,1396,1434,
５５～５９,12945,6661,6284,
55,2693,1407,1286,
56,2835,1448,1387,
57,2608,1374,1234,
58,2483,1243,1240,
59,2326,1189,1137,
６０～６４,9928,4977,4951,
60,2141,1097,1044,
61,2088,1035,1053,
62,2028,1041,987,
63,1869,936,933,
64,1802,868,934,
６５～６９,8689,4276,4413,
65,1687,829,858,
66,1713,826,887,
67,1774,885,889,
68,1732,850,882,
69,1783,886,897,
７０～７４,10736,5017,5719,
70,2001,973,1028,
71,2133,1031,1102,
72,2279,1026,1253,
73,2322,1109,1213,
74,2001,878,1123,
７５～７９,7774,3406,4368,
75,1263,579,684,
76,1516,676,840,
77,1764,775,989,
78,1563,684,879,
79,1668,692,976,
８０～８４,6466,2562,3904,
80,1519,640,879,
81,1342,538,804,
82,1129,413,716,
83,1309,532,777,
84,1167,439,728,
８５～８９,4651,1665,2986,
85,1147,407,740,
86,993,373,620,
87,870,317,553,
88,818,289,529,
89,823,279,544,
９０～９４,2439,770,1669,
90,701,221,480,
91,554,194,360,
92,491,147,344,
93,398,117,281,
94,295,91,204,
９５～１０３,799,167,632,
95,256,65,191,
96,178,50,128,
97,132,20,112,
98,85,12,73,
99,56,10,46,
100,47,5,42,
101,19,3,16,
102,19,2,17,
103,7,0,7,
１０４以上,14,2,12,
不詳者　　,0,0,0,
令和3年6月1日現在,,,,
年齢,計,男,女,
総計　　　,191141,93368,97773,
　０～４　,7575,3941,3634,
0,1354,686,668,
1,1452,745,707,
2,1553,837,716,
3,1586,827,759,
4,1630,846,784,
　５～９　,8515,4369,4146,
5,1725,882,843,
6,1754,916,838,
7,1735,906,829,
8,1618,803,815,
9,1683,862,821,
１０～１４,8127,4178,3949,
10,1667,884,783,
11,1675,810,865,
12,1633,845,788,
13,1611,842,769,
14,1541,797,744,
１５～１９,8003,4068,3935,
15,1557,786,771,
16,1466,752,714,
17,1509,776,733,
18,1687,866,821,
19,1784,888,896,
２０～２４,11312,5555,5757,
20,1946,955,991,
21,2079,1041,1038,
22,2359,1137,1222,
23,2450,1203,1247,
24,2478,1219,1259,
２５～２９,11624,5844,5780,
25,2349,1166,1183,
26,2320,1191,1129,
27,2305,1139,1166,
28,2294,1159,1135,
29,2356,1189,1167,
３０～３４,11792,5909,5883,
30,2194,1097,1097,
31,2293,1166,1127,
32,2423,1216,1207,
33,2400,1207,1193,
34,2482,1223,1259,
３５～３９,13736,6965,6771,
35,2652,1363,1289,
36,2673,1313,1360,
37,2810,1453,1357,
38,2808,1426,1382,
39,2793,1410,1383,
４０～４４,14752,7380,7372,
40,2739,1387,1352,
41,3011,1503,1508,
42,3031,1519,1512,
43,3022,1494,1528,
44,2949,1477,1472,
４５～４９,15995,8009,7986,
45,3027,1488,1539,
46,3095,1571,1524,
47,3281,1617,1664,
48,3347,1717,1630,
49,3245,1616,1629,
５０～５４,15331,7652,7679,
50,3228,1600,1628,
51,3207,1630,1577,
52,3141,1581,1560,
53,2963,1467,1496,
54,2792,1374,1418,
５５～５９,12926,6674,6252,
55,2707,1416,1291,
56,2834,1478,1356,
57,2576,1346,1230,
58,2506,1259,1247,
59,2303,1175,1128,
６０～６４,9875,4947,4928,
60,2107,1071,1036,
61,2090,1033,1057,
62,2011,1045,966,
63,1875,928,947,
64,1792,870,922,
６５～６９,8728,4313,4415,
65,1676,832,844,
66,1739,836,903,
67,1764,878,886,
68,1740,862,878,
69,1809,905,904,
７０～７４,10706,4994,5712,
70,1993,951,1042,
71,2159,1044,1115,
72,2289,1041,1248,
73,2332,1104,1228,
74,1933,854,1079,
７５～７９,7790,3407,4383,
75,1247,568,679,
76,1552,695,857,
77,1750,770,980,
78,1565,681,884,
79,1676,693,983,
８０～８４,6459,2549,3910,
80,1502,633,869,
81,1327,529,798,
82,1136,421,715,
83,1308,528,780,
84,1186,438,748,
８５～８９,4651,1683,2968,
85,1134,414,720,
86,1013,378,635,
87,857,316,541,
88,835,299,536,
89,812,276,536,
９０～９４,2438,760,1678,
90,698,222,476,
91,563,190,373,
92,488,146,342,
93,392,111,281,
94,297,91,206,
９５～１０３,792,169,623,
95,251,69,182,
96,174,49,125,
97,136,20,116,
98,85,13,72,
99,53,8,45,
100,47,5,42,
101,19,3,16,
102,19,2,17,
103,8,0,8,
１０４以上,14,2,12,
不詳者　　,0,0,0,
令和3年5月1日現在,,,,
年齢,計,男,女,
総計　　　,191119,93354,97765,
　０～４　,7600,3946,3654,
0,1340,684,656,
1,1470,752,718,
2,1575,844,731,
3,1587,833,754,
4,1628,833,795,
　５～９　,8495,4383,4112,
5,1716,889,827,
6,1749,909,840,
7,1740,906,834,
8,1615,811,804,
9,1675,868,807,
１０～１４,8136,4163,3973,
10,1658,861,797,
11,1672,816,856,
12,1647,854,793,
13,1604,834,770,
14,1555,798,757,
１５～１９,8007,4063,3944,
15,1519,771,748,
16,1488,771,717,
17,1490,760,730,
18,1697,868,829,
19,1813,893,920,
２０～２４,11316,5546,5770,
20,1945,960,985,
21,2069,1042,1027,
22,2364,1132,1232,
23,2466,1212,1254,
24,2472,1200,1272,
２５～２９,11661,5875,5786,
25,2342,1167,1175,
26,2339,1191,1148,
27,2305,1141,1164,
28,2329,1188,1141,
29,2346,1188,1158,
３０～３４,11809,5928,5881,
30,2179,1080,1099,
31,2288,1166,1122,
32,2486,1242,1244,
33,2393,1212,1181,
34,2463,1228,1235,
３５～３９,13777,6974,6803,
35,2679,1356,1323,
36,2663,1319,1344,
37,2797,1448,1349,
38,2829,1440,1389,
39,2809,1411,1398,
４０～４４,14789,7397,7392,
40,2749,1387,1362,
41,3028,1513,1515,
42,2987,1498,1489,
43,3048,1516,1532,
44,2977,1483,1494,
４５～４９,15977,8003,7974,
45,2990,1469,1521,
46,3109,1578,1531,
47,3298,1647,1651,
48,3357,1689,1668,
49,3223,1620,1603,
５０～５４,15227,7610,7617,
50,3193,1583,1610,
51,3262,1657,1605,
52,3100,1569,1531,
53,2977,1476,1501,
54,2695,1325,1370,
５５～５９,12948,6678,6270,
55,2795,1453,1342,
56,2812,1465,1347,
57,2535,1334,1201,
58,2492,1246,1246,
59,2314,1180,1134,
６０～６４,9844,4930,4914,
60,2105,1057,1048,
61,2083,1055,1028,
62,2001,1017,984,
63,1867,934,933,
64,1788,867,921,
６５～６９,8741,4326,4415,
65,1654,821,833,
66,1743,852,891,
67,1791,891,900,
68,1708,838,870,
69,1845,924,921,
７０～７４,10640,4951,5689,
70,1994,965,1029,
71,2168,1031,1137,
72,2271,1032,1239,
73,2390,1123,1267,
74,1817,800,1017,
７５～７９,7820,3429,4391,
75,1274,587,687,
76,1581,698,883,
77,1726,771,955,
78,1578,676,902,
79,1661,697,964,
８０～８４,6466,2545,3921,
80,1506,632,874,
81,1315,524,791,
82,1144,427,717,
83,1300,517,783,
84,1201,445,756,
８５～８９,4645,1682,2963,
85,1118,414,704,
86,1010,384,626,
87,864,313,551,
88,834,302,532,
89,819,269,550,
９０～９４,2412,757,1655,
90,681,219,462,
91,561,184,377,
92,488,150,338,
93,394,113,281,
94,288,91,197,
９５～１０３,795,166,629,
95,252,68,184,
96,173,45,128,
97,133,19,114,
98,87,14,73,
99,54,10,44,
100,50,5,45,
101,17,2,15,
102,20,2,18,
103,9,1,8,
１０４以上,14,2,12,
不詳者　　,0,0,0,
令和3年4月1日現在,,,,
年齢,計,男,女,
総計　　　,190774,93163,97611,
　０～４　,7606,3944,3662,
0,1345,675,670,
1,1434,750,684,
2,1587,863,724,
3,1585,810,775,
4,1655,846,809,
　５～９　,8434,4352,4082,
5,1682,872,810,
6,1747,900,847,
7,1724,895,829,
8,1590,796,794,
9,1691,889,802,
１０～１４,8097,4138,3959,
10,1644,840,804,
11,1680,843,837,
12,1635,837,798,
13,1608,848,760,
14,1530,770,760,
１５～１９,7875,4009,3866,
15,1508,774,734,
16,1495,766,729,
17,1489,769,720,
18,1631,840,791,
19,1752,860,892,
２０～２４,11277,5508,5769,
20,1958,962,996,
21,2078,1045,1033,
22,2346,1125,1221,
23,2435,1169,1266,
24,2460,1207,1253,
２５～２９,11690,5892,5798,
25,2330,1159,1171,
26,2377,1218,1159,
27,2292,1125,1167,
28,2363,1214,1149,
29,2328,1176,1152,
３０～３４,11819,5931,5888,
30,2183,1083,1100,
31,2294,1166,1128,
32,2488,1251,1237,
33,2392,1210,1182,
34,2462,1221,1241,
３５～３９,13803,6989,6814,
35,2691,1355,1336,
36,2658,1325,1333,
37,2821,1463,1358,
38,2817,1438,1379,
39,2816,1408,1408,
４０～４４,14773,7386,7387,
40,2749,1390,1359,
41,3018,1522,1496,
42,2977,1479,1498,
43,3060,1524,1536,
44,2969,1471,1498,
４５～４９,15972,8006,7966,
45,3002,1476,1526,
46,3110,1564,1546,
47,3308,1678,1630,
48,3323,1677,1646,
49,3229,1611,1618,
５０～５４,15133,7573,7560,
50,3229,1609,1620,
51,3257,1633,1624,
52,3096,1591,1505,
53,2959,1450,1509,
54,2592,1290,1302,
５５～５９,12961,6682,6279,
55,2897,1486,1411,
56,2746,1444,1302,
57,2539,1325,1214,
58,2469,1233,1236,
59,2310,1194,1116,
６０～６４,9791,4893,4898,
60,2095,1037,1058,
61,2081,1060,1021,
62,2006,1025,981,
63,1853,910,943,
64,1756,861,895,
６５～６９,8771,4346,4425,
65,1682,828,854,
66,1738,865,873,
67,1807,886,921,
68,1714,834,880,
69,1830,933,897,
７０～７４,10607,4919,5688,
70,2005,959,1046,
71,2207,1056,1151,
72,2276,1027,1249,
73,2367,1103,1264,
74,1752,774,978,
７５～７９,7865,3457,4408,
75,1311,611,700,
76,1603,711,892,
77,1703,762,941,
78,1593,677,916,
79,1655,696,959,
８０～８４,6448,2536,3912,
80,1494,624,870,
81,1308,524,784,
82,1162,433,729,
83,1271,506,765,
84,1213,449,764,
８５～８９,4647,1674,2973,
85,1117,416,701,
86,1002,379,623,
87,861,310,551,
88,844,308,536,
89,823,261,562,
９０～９４,2404,759,1645,
90,671,221,450,
91,559,189,370,
92,501,151,350,
93,382,109,273,
94,291,89,202,
９５～１０３,787,167,620,
95,242,68,174,
96,172,44,128,
97,136,20,116,
98,84,15,69,
99,57,10,47,
100,49,5,44,
101,17,2,15,
102,21,2,19,
103,9,1,8,
１０４以上,14,2,12,
不詳者　　,0,0,0,
令和3年3月1日現在,,,,
年齢,計,男,女,
総計　　　,190403,93037,97366,
　０～４　,7614,3937,3677,
0,1353,662,691,
1,1411,762,649,
2,1612,866,746,
3,1563,798,765,
4,1675,849,826,
　５～９　,8442,4372,4070,
5,1682,877,805,
6,1723,895,828,
7,1714,886,828,
8,1609,811,798,
9,1714,903,811,
１０～１４,8030,4102,3928,
10,1630,816,814,
11,1661,841,820,
12,1632,839,793,
13,1594,850,744,
14,1513,756,757,
１５～１９,7760,3943,3817,
15,1500,774,726,
16,1511,771,740,
17,1479,770,709,
18,1569,799,770,
19,1701,829,872,
２０～２４,11050,5416,5634,
20,1932,965,967,
21,2105,1050,1055,
22,2178,1068,1110,
23,2409,1163,1246,
24,2426,1170,1256,
２５～２９,11747,5941,5806,
25,2366,1184,1182,
26,2397,1228,1169,
27,2297,1134,1163,
28,2362,1209,1153,
29,2325,1186,1139,
３０～３４,11867,5949,5918,
30,2207,1101,1106,
31,2302,1171,1131,
32,2472,1232,1240,
33,2426,1230,1196,
34,2460,1215,1245,
３５～３９,13777,6964,6813,
35,2629,1332,1297,
36,2688,1332,1356,
37,2821,1456,1365,
38,2842,1465,1377,
39,2797,1379,1418,
４０～４４,14774,7396,7378,
40,2767,1398,1369,
41,2994,1526,1468,
42,3003,1502,1501,
43,3069,1522,1547,
44,2941,1448,1493,
４５～４９,16021,8064,7957,
45,3012,1499,1513,
46,3110,1547,1563,
47,3318,1692,1626,
48,3307,1683,1624,
49,3274,1643,1631,
５０～５４,15040,7516,7524,
50,3232,1598,1634,
51,3234,1629,1605,
52,3061,1572,1489,
53,3034,1495,1539,
54,2479,1222,1257,
５５～５９,12981,6702,6279,
55,2981,1526,1455,
56,2730,1446,1284,
57,2530,1308,1222,
58,2463,1234,1229,
59,2277,1188,1089,
６０～６４,9797,4884,4913,
60,2106,1042,1064,
61,2082,1059,1023,
62,1993,1012,981,
63,1841,901,940,
64,1775,870,905,
６５～６９,8794,4367,4427,
65,1671,813,858,
66,1743,867,876,
67,1803,907,896,
68,1721,832,889,
69,1856,948,908,
７０～７４,10547,4893,5654,
70,1997,955,1042,
71,2209,1049,1160,
72,2338,1063,1275,
73,2329,1079,1250,
74,1674,747,927,
７５～７９,7936,3478,4458,
75,1332,619,713,
76,1651,736,915,
77,1696,752,944,
78,1609,680,929,
79,1648,691,957,
８０～８４,6423,2527,3896,
80,1470,616,854,
81,1297,513,784,
82,1175,447,728,
83,1282,517,765,
84,1199,434,765,
８５～８９,4642,1667,2975,
85,1108,421,687,
86,995,359,636,
87,868,325,543,
88,867,313,554,
89,804,249,555,
９０～９４,2371,754,1617,
90,661,223,438,
91,538,184,354,
92,503,153,350,
93,381,106,275,
94,288,88,200,
９５～１０３,776,163,613,
95,242,66,176,
96,177,43,134,
97,121,17,104,
98,83,19,64,
99,58,7,51,
100,51,6,45,
101,15,2,13,
102,20,2,18,
103,9,1,8,
１０４以上,14,2,12,
不詳者　　,0,0,0,
令和3年2月1日現在,,,,
年齢,計,男,女,
総計　　　,190036,92880,97156,
　０～４　,7579,3932,3647,
0,1340,661,679,
1,1385,754,631,
2,1631,861,770,
3,1551,788,763,
4,1672,868,804,
　５～９　,8426,4355,4071,
5,1680,863,817,
6,1700,886,814,
7,1714,884,830,
8,1606,814,792,
9,1726,908,818,
１０～１４,8004,4083,3921,
10,1619,802,817,
11,1678,855,823,
12,1625,851,774,
13,1565,819,746,
14,1517,756,761,
１５～１９,7810,3980,3830,
15,1521,798,723,
16,1502,769,733,
17,1460,750,710,
18,1583,813,770,
19,1744,850,894,
２０～２４,11058,5423,5635,
20,1945,971,974,
21,2084,1047,1037,
22,2189,1074,1115,
23,2400,1141,1259,
24,2440,1190,1250,
２５～２９,11693,5932,5761,
25,2338,1169,1169,
26,2412,1238,1174,
27,2282,1138,1144,
28,2347,1184,1163,
29,2314,1203,1111,
３０～３４,11805,5902,5903,
30,2211,1088,1123,
31,2271,1163,1108,
32,2455,1220,1235,
33,2368,1192,1176,
34,2500,1239,1261,
３５～３９,13707,6937,6770,
35,2599,1315,1284,
36,2709,1340,1369,
37,2818,1455,1363,
38,2793,1447,1346,
39,2788,1380,1408,
４０～４４,14795,7408,7387,
40,2801,1407,1394,
41,2965,1516,1449,
42,2992,1492,1500,
43,3050,1527,1523,
44,2987,1466,1521,
４５～４９,16007,8055,7952,
45,2985,1481,1504,
46,3118,1556,1562,
47,3347,1720,1627,
48,3264,1641,1623,
49,3293,1657,1636,
５０～５４,14954,7476,7478,
50,3221,1603,1618,
51,3216,1613,1603,
52,3044,1552,1492,
53,3065,1517,1548,
54,2408,1191,1217,
５５～５９,12964,6688,6276,
55,3045,1558,1487,
56,2673,1417,1256,
57,2526,1312,1214,
58,2483,1242,1241,
59,2237,1159,1078,
６０～６４,9783,4884,4899,
60,2120,1046,1074,
61,2073,1059,1014,
62,1970,1001,969,
63,1834,905,929,
64,1786,873,913,
６５～６９,8806,4378,4428,
65,1653,796,857,
66,1758,884,874,
67,1782,892,890,
68,1758,855,903,
69,1855,951,904,
７０～７４,10473,4851,5622,
70,2001,950,1051,
71,2241,1060,1181,
72,2344,1062,1282,
73,2283,1055,1228,
74,1604,724,880,
７５～７９,7979,3500,4479,
75,1371,629,742,
76,1697,762,935,
77,1676,750,926,
78,1610,672,938,
79,1625,687,938,
８０～８４,6420,2520,3900,
80,1483,608,875,
81,1277,504,773,
82,1175,460,715,
83,1281,508,773,
84,1204,440,764,
８５～８９,4629,1662,2967,
85,1101,422,679,
86,996,378,618,
87,851,298,553,
88,900,321,579,
89,781,243,538,
９０～９４,2371,756,1615,
90,671,230,441,
91,532,180,352,
92,483,145,338,
93,375,106,269,
94,310,95,215,
９５～１０３,760,156,604,
95,232,62,170,
96,168,37,131,
97,121,21,100,
98,85,18,67,
99,60,8,52,
100,47,5,42,
101,13,2,11,
102,24,2,22,
103,10,1,9,
１０４以上,13,2,11,
不詳者　　,0,0,0,
令和3年1月1日現在,,,,
年齢,計,男,女,
総計　　　,190126,92946,97180,
　０～４　,7623,3958,3665,
0,1346,676,670,
1,1414,760,654,
2,1621,862,759,
3,1549,789,760,
4,1693,871,822,
　５～９　,8420,4348,4072,
5,1684,883,801,
6,1696,871,825,
7,1714,871,843,
8,1626,830,796,
9,1700,893,807,
１０～１４,7992,4078,3914,
10,1623,807,816,
11,1685,873,812,
12,1602,831,771,
13,1556,816,740,
14,1526,751,775,
１５～１９,7823,3995,3828,
15,1506,802,704,
16,1504,766,738,
17,1469,754,715,
18,1586,818,768,
19,1758,855,903,
２０～２４,11109,5448,5661,
20,1939,955,984,
21,2078,1041,1037,
22,2243,1109,1134,
23,2366,1123,1243,
24,2483,1220,1263,
２５～２９,11688,5926,5762,
25,2334,1165,1169,
26,2423,1238,1185,
27,2263,1122,1141,
28,2381,1205,1176,
29,2287,1196,1091,
３０～３４,11859,5934,5925,
30,2216,1087,1129,
