令和元年12月1日現在,,,,
年齢,計,男,女,
25,2446,1225,1221,
26,2322,1172,1150,
27,2409,1245,1164,
28,2284,1164,1120,
29,2216,1125,1091,
３０～３４,11943,6045,5898,
30,2272,1141,1131,
31,2390,1227,1163,
32,2293,1156,1137,
33,2449,1260,1189,
34,2539,1261,1278,
３５～３９,13784,6947,6837,
35,2686,1355,1331,
36,2771,1411,1360,
37,2696,1363,1333,
38,2793,1388,1405,
39,2838,1430,1408,
４０～４４,14794,7392,7402,
40,2935,1466,1469,
41,2942,1470,1472,
42,2947,1470,1477,
43,3012,1483,1529,
44,2958,1503,1455,
４５～４９,16249,8117,8132,
45,3258,1618,1640,
46,3254,1654,1600,
47,3299,1650,1649,
48,3287,1636,1651,
49,3151,1559,1592,
５０～５４,14605,7398,7207,
50,3208,1632,1576,
51,3049,1513,1536,
52,2998,1526,1472,
53,2365,1181,1184,
54,2985,1546,1439,
５５～５９,11942,6139,5803,
55,2692,1447,1245,
56,2500,1270,1230,
57,2444,1233,1211,
58,2197,1133,1064,
59,2109,1056,1053,
６０～６４,9370,4668,4702,
60,2115,1097,1018,
61,1934,963,971,
62,1827,894,933,
63,1771,872,899,
64,1723,842,881,
６５～６９,9392,4664,4728,
65,1778,894,884,
66,1810,896,914,
67,1775,891,884,
68,1952,981,971,
69,2077,1002,1075,
７０～７４,9839,4581,5258,
70,2313,1110,1203,
71,2367,1095,1272,
72,2273,1029,1244,
73,1403,662,741,
74,1483,685,798,
７５～７９,8314,3618,4696,
75,1780,802,978,
76,1691,748,943,
77,1722,740,982,
78,1636,703,933,
79,1485,625,860,
８０～８４,6223,2424,3799,
80,1241,465,776,
81,1301,542,759,
82,1285,508,777,
83,1266,470,796,
84,1130,439,691,
８５～８９,4469,1614,2855,
85,1015,379,636,
86,924,354,570,
87,958,335,623,
88,852,286,566,
89,720,260,460,
９０～９４,2158,675,1483,
90,592,203,389,
91,506,151,355,
92,417,135,282,
93,368,109,259,
94,275,77,198,
９５～１０３,676,124,552,
95,218,51,167,
96,150,27,123,
97,105,22,83,
98,73,8,65,
99,51,7,44,
100,30,8,22,
101,28,1,27,
102,16,0,16,
103,5,0,5,
１０４以上,15,4,11,
不詳者　　,0,0,0,
令和元年10月1日現在,,,,
年齢,計,男,女,
総計　　　,188432,92158,96274,
　０～４　,7738,4048,3690,
0,1423,776,647,
1,1517,774,743,
2,1543,788,755,
3,1607,846,761,
4,1648,864,784,
　５～９　,8298,4222,4076,
5,1698,871,827,
6,1642,835,807,
7,1611,816,795,
8,1687,899,788,
9,1660,801,859,
１０～１４,7723,4033,3690,
10,1630,865,765,
11,1567,832,735,
12,1529,800,729,
13,1549,774,775,
14,1448,762,686,
１５～１９,8046,4092,3954,
15,1497,772,725,
16,1441,725,716,
17,1560,809,751,
18,1660,820,840,
19,1888,966,922,
２０～２４,11326,5515,5811,
20,2096,1043,1053,
21,2201,1066,1135,
22,2230,1060,1170,
23,2398,1145,1253,
24,2401,1201,1200,
２５～２９,11658,5904,5754,
25,2439,1223,1216,
26,2320,1168,1152,
27,2402,1240,1162,
28,2267,1149,1118,
29,2230,1124,1106,
３０～３４,11953,6062,5891,
30,2271,1140,1131,
31,2349,1212,1137,
32,2303,1166,1137,
33,2457,1263,1194,
34,2573,1281,1292,
３５～３９,13785,6943,6842,
35,2668,1344,1324,
36,2737,1383,1354,
37,2729,1373,1356,
38,2771,1388,1383,
39,2880,1455,1425,
４０～４４,14798,7390,7408,
40,2949,1460,1489,
41,2909,1452,1457,
42,2962,1483,1479,
43,2998,1472,1526,
44,2980,1523,1457,
４５～４９,16251,8129,8122,
45,3261,1617,1644,
46,3266,1671,1595,
47,3300,1658,1642,
48,3250,1610,1640,
49,3174,1573,1601,
５０～５４,14562,7379,7183,
50,3215,1624,1591,
51,3004,1495,1509,
52,2972,1501,1471,
53,2449,1238,1211,
54,2922,1521,1401,
５５～５９,11914,6120,5794,
55,2719,1447,1272,
56,2500,1269,1231,
57,2379,1202,1177,
58,2192,1136,1056,
59,2124,1066,1058,
６０～６４,9344,4655,4689,
60,2101,1082,1019,
61,1905,951,954,
62,1833,904,929,
63,1774,867,907,
64,1731,851,880,
６５～６９,9441,4696,4745,
65,1803,904,899,
66,1793,891,902,
67,1769,898,871,
68,1977,989,988,
69,2099,1014,1085,
７０～７４,9799,4551,5248,
70,2327,1102,1225,
71,2386,1111,1275,
72,2216,997,1219,
73,1345,633,712,
74,1525,708,817,
７５～７９,8281,3599,4682,
75,1792,804,988,
76,1679,730,949,
77,1711,750,961,
78,1648,705,943,
79,1451,610,841,
８０～８４,6232,2419,3813,
80,1233,466,767,
81,1341,553,788,
82,1253,487,766,
83,1290,480,810,
84,1115,433,682,
８５～８９,4463,1614,2849,
85,1014,387,627,
86,912,338,574,
87,984,345,639,
88,852,280,572,
89,701,264,437,
９０～９４,2141,662,1479,
90,586,197,389,
91,513,153,360,
92,407,128,279,
93,362,110,252,
94,273,74,199,
９５～１０３,663,121,542,
95,216,51,165,
96,142,26,116,
97,107,20,87,
98,67,9,58,
99,51,6,45,
100,32,8,24,
101,29,1,28,
102,14,0,14,
103,5,0,5,
１０４以上,16,4,12,
不詳者　　,0,0,0,
令和元年9月1日現在,,,,
年齢,計,男,女,
総計　　　,188266,92091,96175,
　０～４　,7786,4079,3707,
0,1436,779,657,
1,1521,782,739,
2,1535,790,745,
3,1632,851,781,
4,1662,877,785,
　５～９　,8272,4206,4066,
5,1701,877,824,
6,1600,806,794,
7,1637,837,800,
8,1689,901,788,
9,1645,785,860,
１０～１４,7700,4017,3683,
10,1623,862,761,
11,1561,826,735,
12,1523,797,726,
13,1565,786,779,
14,1428,746,682,
１５～１９,8027,4088,3939,
15,1501,773,728,
16,1448,726,722,
17,1554,805,749,
18,1688,843,845,
19,1836,941,895,
２０～２４,11258,5493,5765,
20,2105,1049,1056,
21,2151,1055,1096,
22,2222,1068,1154,
23,2396,1148,1248,
24,2384,1173,1211,
２５～２９,11670,5917,5753,
25,2461,1231,1230,
26,2323,1185,1138,
27,2401,1247,1154,
28,2265,1139,1126,
29,2220,1115,1105,
３０～３４,12012,6079,5933,
30,2301,1150,1151,
31,2346,1215,1131,
32,2311,1175,1136,
33,2508,1291,1217,
34,2546,1248,1298,
３５～３９,13788,6931,6857,
35,2666,1371,1295,
36,2728,1357,1371,
37,2746,1380,1366,
38,2731,1373,1358,
39,2917,1450,1467,
４０～４４,14836,7430,7406,
40,2930,1469,1461,
41,2969,1478,1491,
42,2945,1482,1463,
43,2978,1466,1512,
44,3014,1535,1479,
４５～４９,16225,8121,8104,
45,3232,1603,1629,
46,3278,1681,1597,
47,3284,1660,1624,
48,3246,1588,1658,
49,3185,1589,1596,
５０～５４,14557,7386,7171,
50,3211,1625,1586,
51,2978,1483,1495,
52,2915,1463,1452,
53,2554,1307,1247,
54,2899,1508,1391,
５５～５９,11823,6076,5747,
55,2658,1401,1257,
56,2511,1282,1229,
57,2352,1192,1160,
58,2201,1132,1069,
59,2101,1069,1032,
６０～６４,9321,4629,4692,
60,2072,1056,1016,
61,1911,960,951,
62,1835,892,943,
63,1761,868,893,
64,1742,853,889,
６５～６９,9499,4724,4775,
65,1803,911,892,
66,1797,890,907,
67,1761,885,876,
68,2018,1004,1014,
69,2120,1034,1086,
７０～７４,9761,4522,5239,
70,2326,1083,1243,
71,2399,1128,1271,
72,2163,983,1180,
73,1304,602,702,
74,1569,726,843,
７５～７９,8245,3580,4665,
75,1792,808,984,
76,1660,726,934,
77,1740,750,990,
78,1617,697,920,
79,1436,599,837,
８０～８４,6226,2419,3807,
80,1224,465,759,
81,1352,559,793,
82,1268,483,785,
83,1283,480,803,
84,1099,432,667,
８５～８９,4451,1609,2842,
85,999,380,619,
86,941,348,593,
87,980,344,636,
88,846,282,564,
89,685,255,430,
９０～９４,2143,667,1476,
90,596,197,399,
91,506,157,349,
92,403,124,279,
93,372,114,258,
94,266,75,191,
９５～１０３,651,115,536,
95,210,43,167,
96,144,27,117,
97,105,19,86,
98,64,11,53,
99,47,6,41,
100,37,7,30,
101,25,1,24,
102,13,0,13,
103,6,1,5,
１０４以上,15,3,12,
不詳者　　,0,0,0,
令和元年８月１日現在,,,,
年齢,計,男,女,
総計　　　,188152,92016,96136,
　０～４　,7815,4092,3723,
0,1468,798,670,
1,1498,770,728,
2,1537,800,737,
3,1658,854,804,
4,1654,870,784,
　５～９　,8247,4208,4039,
5,1691,876,815,
6,1597,803,794,
7,1663,852,811,
8,1659,882,777,
9,1637,795,842,
１０～１４,7676,3980,3696,
10,1631,858,773,
11,1533,799,734,
12,1539,806,733,
13,1557,784,773,
14,1416,733,683,
１５～１９,8039,4106,3933,
15,1495,777,718,
16,1444,726,718,
17,1558,796,762,
18,1685,850,835,
19,1857,957,900,
２０～２４,11270,5487,5783,
20,2090,1023,1067,
21,2141,1053,1088,
22,2261,1084,1177,
23,2366,1125,1241,
24,2412,1202,1210,
２５～２９,11655,5897,5758,
25,2469,1231,1238,
26,2297,1187,1110,
27,2374,1215,1159,
28,2276,1129,1147,
29,2239,1135,1104,
３０～３４,12060,6112,5948,
30,2350,1188,1162,
31,2332,1211,1121,
32,2318,1166,1152,
33,2495,1292,1203,
34,2565,1255,1310,
３５～３９,13773,6926,6847,
35,2673,1372,1301,
36,2741,1362,1379,
37,2745,1367,1378,
38,2673,1354,1319,
39,2941,1471,1470,
４０～４４,14847,7443,7404,
40,2926,1475,1451,
41,2979,1466,1513,
42,2939,1486,1453,
43,2958,1471,1487,
44,3045,1545,1500,
４５～４９,16213,8119,8094,
45,3252,1611,1641,
46,3252,1670,1582,
47,3289,1637,1652,
48,3228,1587,1641,
49,3192,1614,1578,
５０～５４,14537,7374,7163,
50,3210,1627,1583,
51,2970,1469,1501,
52,2875,1434,1441,
53,2615,1360,1255,
54,2867,1484,1383,
５５～５９,11792,6047,5745,
55,2642,1382,1260,
56,2515,1283,1232,
57,2325,1171,1154,
58,2173,1129,1044,
59,2137,1082,1055,
６０～６４,9290,4609,4681,
60,2040,1043,997,
61,1928,968,960,
62,1826,885,941,
63,1717,851,866,
64,1779,862,917,
６５～６９,9545,4750,4795,
65,1801,910,891,
66,1809,899,910,
67,1756,886,870,
68,2052,1006,1046,
69,2127,1049,1078,
７０～７４,9716,4489,5227,
70,2327,1075,1252,
71,2407,1135,1272,
72,2109,950,1159,
73,1303,608,695,
74,1570,721,849,
７５～７９,8234,3579,4655,
75,1808,816,992,
76,1648,741,907,
77,1736,736,1000,
78,1623,701,922,
79,1419,585,834,
８０～８４,6227,2427,3800,
80,1207,458,749,
81,1370,575,795,
82,1263,485,778,
83,1272,472,800,
84,1115,437,678,
８５～８９,4423,1593,2830,
85,1007,380,627,
86,922,337,585,
87,975,348,627,
88,839,275,564,
89,680,253,427,
９０～９４,2131,665,1466,
90,598,200,398,
91,512,153,359,
92,401,129,272,
93,359,111,248,
94,261,72,189,
９５～１０３,648,111,537,
95,209,38,171,
96,141,28,113,
97,105,18,87,
98,69,12,57,
99,45,6,39,
100,36,6,30,
101,23,1,22,
102,12,0,12,
103,8,2,6,
１０４以上,14,2,12,
不詳者　　,0,0,0,
令和元年７月１日現在,,,,
年齢,計,男,女,
総計　　　,188083,91976,96107,
　０～４　,7821,4092,3729,
0,1476,804,672,
1,1487,758,729,
2,1558,818,740,
3,1627,841,786,
4,1673,871,802,
　５～９　,8236,4205,4031,
5,1682,879,803,
6,1603,814,789,
7,1659,839,820,
8,1648,876,772,
9,1644,797,847,
１０～１４,7658,3973,3685,
10,1635,864,771,
11,1545,818,727,
12,1528,785,743,
13,1529,773,756,
14,1421,733,688,
１５～１９,8051,4116,3935,
15,1500,782,718,
16,1460,736,724,
17,1546,780,766,
18,1696,867,829,
19,1849,951,898,
２０～２４,11390,5541,5849,
20,2140,1036,1104,
21,2137,1041,1096,
22,2304,1107,1197,
23,2375,1133,1242,
24,2434,1224,1210,
２５～２９,11610,5857,5753,
25,2468,1205,1263,
26,2304,1212,1092,
27,2353,1188,1165,
28,2234,1115,1119,
29,2251,1137,1114,
３０～３４,12089,6144,5945,
30,2406,1233,1173,
31,2274,1176,1098,
32,2306,1159,1147,
33,2492,1289,1203,
34,2611,1287,1324,
３５～３９,13724,6870,6854,
35,2667,1363,1304,
36,2702,1337,1365,
37,2739,1356,1383,
38,2658,1346,1312,
39,2958,1468,1490,
４０～４４,14872,7474,7398,
40,2935,1491,1444,
41,2973,1458,1515,
42,2940,1498,1442,
43,2960,1474,1486,
44,3064,1553,1511,
４５～４９,16244,8151,8093,
45,3270,1614,1656,
46,3288,1674,1614,
47,3260,1635,1625,
48,3218,1593,1625,
49,3208,1635,1573,
５０～５４,14485,7340,7145,
50,3163,1588,1575,
51,2965,1473,1492,
52,2825,1405,1420,
53,2683,1408,1275,
54,2849,1466,1383,
５５～５９,11724,5997,5727,
55,2608,1372,1236,
56,2507,1265,1242,
57,2310,1176,1134,
58,2172,1120,1052,
59,2127,1064,1063,
６０～６４,9261,4606,4655,
60,2056,1060,996,
61,1897,947,950,
62,1828,891,937,
63,1705,842,863,
64,1775,866,909,
６５～６９,9620,4787,4833,
65,1814,921,893,
66,1788,887,901,
67,1808,912,896,
68,2046,1007,1039,
69,2164,1060,1104,
７０～７４,9655,4467,5188,
70,2330,1064,1266,
71,2375,1142,1233,
72,2059,925,1134,
73,1319,614,705,
74,1572,722,850,
７５～７９,8214,3566,4648,
75,1821,811,1010,
76,1632,740,892,
77,1746,738,1008,
78,1599,698,901,
79,1416,579,837,
８０～８４,6221,2423,3798,
80,1182,440,742,
81,1398,591,807,
82,1275,494,781,
83,1250,466,784,
84,1116,432,684,
８５～８９,4409,1583,2826,
85,988,374,614,
86,935,338,597,
87,977,343,634,
88,826,278,548,
89,683,250,433,
９０～９４,2139,668,1471,
90,595,199,396,
91,510,155,355,
92,412,129,283,
93,362,115,247,
94,260,70,190,
９５～１０３,646,113,533,
95,206,38,168,
96,143,31,112,
97,100,16,84,
98,74,11,63,
99,44,8,36,
100,34,6,28,
101,23,1,22,
102,14,0,14,
103,8,2,6,
１０４以上,14,3,11,
不詳者　　,0,0,0,
令和元年６月１日現在,,,,
年齢,計,男,女,
総計　　　,188144,92004,96140,
　０～４　,7859,4119,3740,
0,1488,813,675,
1,1491,758,733,
2,1552,816,736,
3,1631,846,785,
4,1697,886,811,
　５～９　,8180,4166,4014,
5,1670,874,796,
6,1574,785,789,
7,1659,843,816,
8,1636,865,771,
9,1641,799,842,
１０～１４,7649,3969,3680,
10,1614,853,761,
11,1555,825,730,
12,1520,783,737,
13,1529,774,755,
14,1431,734,697,
１５～１９,8110,4150,3960,
15,1494,779,715,
16,1484,757,727,
17,1513,755,758,
18,1716,876,840,
19,1903,983,920,
２０～２４,11474,5574,5900,
20,2158,1038,1120,
21,2155,1038,1117,
22,2340,1132,1208,
23,2365,1131,1234,
24,2456,1235,1221,
２５～２９,11602,5837,5765,
25,2416,1181,1235,
26,2321,1199,1122,
27,2382,1213,1169,
28,2224,1108,1116,
29,2259,1136,1123,
３０～３４,12108,6147,5961,
30,2405,1237,1168,
31,2257,1173,1084,
32,2333,1158,1175,
33,2496,1291,1205,
34,2617,1288,1329,
３５～３９,13779,6921,6858,
35,2689,1369,1320,
36,2692,1338,1354,
37,2732,1360,1372,
38,2693,1364,1329,
39,2973,1490,1483,
４０～４４,14869,7459,7410,
40,2937,1471,1466,
41,2972,1471,1501,
42,2923,1481,1442,
43,2984,1475,1509,
44,3053,1561,1492,
４５～４９,16257,8153,8104,
45,3264,1609,1655,
46,3328,1699,1629,
47,3251,1627,1624,
48,3208,1580,1628,
49,3206,1638,1568,
５０～５４,14442,7349,7093,
50,3137,1578,1559,
51,2971,1478,1493,
52,2791,1385,1406,
53,2694,1412,1282,
54,2849,1496,1353,
５５～５９,11697,5957,5740,
55,2585,1352,1233,
56,2527,1275,1252,
57,2302,1163,1139,
58,2136,1099,1037,
59,2147,1068,1079,
６０～６４,9237,4607,4630,
60,2031,1056,975,
61,1900,940,960,
62,1815,891,924,
63,1692,844,848,
64,1799,876,923,
６５～６９,9671,4805,4866,
65,1812,916,896,
66,1786,891,895,
67,1842,937,905,
68,2035,979,1056,
69,2196,1082,1114,
７０～７４,9620,4457,5163,
70,2335,1076,1259,
71,2391,1142,1249,
72,1986,898,1088,
73,1302,602,700,
74,1606,739,867,
７５～７９,8157,3535,4622,
75,1806,807,999,
76,1627,734,893,
77,1748,736,1012,
78,1581,693,888,
79,1395,565,830,
８０～８４,6241,2431,3810,
80,1189,446,743,
81,1399,589,810,
82,1288,489,799,
83,1233,474,759,
84,1132,433,699,
８５～８９,4390,1579,2811,
85,969,373,596,
86,954,343,611,
87,963,341,622,
88,820,277,543,
89,684,245,439,
９０～９４,2132,672,1460,
90,590,198,392,
91,507,154,353,
92,416,132,284,
93,365,119,246,
94,254,69,185,
９５～１０３,656,114,542,
95,216,40,176,
96,142,30,112,
97,99,15,84,
98,74,11,63,
99,45,10,35,
100,35,4,31,
101,23,2,21,
102,14,0,14,
103,8,2,6,
１０４以上,14,3,11,
不詳者　　,0,0,0,
令和元年５月１日現在,,,,
年齢,計,男,女,
総計　　　,188072,91979,96093,
　０～４　,7874,4112,3762,
0,1493,805,688,
1,1516,776,740,
2,1532,795,737,
3,1645,860,785,
4,1688,876,812,
　５～９　,8167,4167,4000,
5,1669,870,799,
6,1578,796,782,
7,1649,851,798,
8,1635,844,791,
9,1636,806,830,
１０～１４,7662,3980,3682,
10,1629,862,767,
11,1547,816,731,
12,1538,786,752,
13,1493,762,731,
14,1455,754,701,
１５～１９,8135,4163,3972,
15,1472,764,708,
16,1500,769,731,
17,1526,747,779,
18,1731,894,837,
19,1906,989,917,
２０～２４,11484,5578,5906,
20,2150,1025,1125,
21,2129,1029,1100,
22,2393,1159,1234,
23,2351,1122,1229,
24,2461,1243,1218,
２５～２９,11577,5806,5771,
25,2394,1175,1219,
26,2349,1208,1141,
27,2383,1205,1178,
28,2203,1098,1105,
29,2248,1120,1128,
３０～３４,12092,6150,5942,
30,2405,1238,1167,
31,2286,1196,1090,
32,2286,1156,1130,
33,2513,1277,1236,
34,2602,1283,1319,
３５～３９,13844,6949,6895,
35,2681,1361,1320,
36,2722,1363,1359,
37,2724,1342,1382,
38,2731,1381,1350,
39,2986,1502,1484,
４０～４４,14883,7478,7405,
40,2901,1454,1447,
41,3001,1500,1501,
42,2958,1491,1467,
43,2944,1462,1482,
44,3079,1571,1508,
４５～４９,16282,8167,8115,
45,3274,1634,1640,
46,3341,1681,1660,
47,3232,1628,1604,
48,3191,1570,1621,
49,3244,1654,1590,
５０～５４,14367,7318,7049,
50,3092,1571,1521,
51,2986,1482,1504,
52,2681,1330,1351,
53,2766,1441,1325,
54,2842,1494,1348,
５５～５９,11613,5928,5685,
55,2543,1336,1207,
56,2513,1266,1247,
57,2304,1168,1136,
58,2125,1076,1049,
59,2128,1082,1046,
６０～６４,9218,4595,4623,
60,2028,1033,995,
61,1895,947,948,
62,1803,883,920,
63,1688,842,846,
64,1804,890,914,
６５～６９,9721,4822,4899,
65,1838,932,906,
66,1763,874,889,
67,1880,953,927,
68,2037,997,1040,
69,2203,1066,1137,
７０～７４,9589,4431,5158,
70,2324,1069,1255,
71,2443,1158,1285,
72,1872,847,1025,
73,1322,619,703,
74,1628,738,890,
７５～７９,8123,3528,4595,
75,1784,814,970,
76,1638,726,912,
77,1738,739,999,
78,1588,694,894,
79,1375,555,820,
８０～８４,6247,2447,3800,
80,1195,452,743,
81,1396,581,815,
82,1304,499,805,
83,1225,475,750,
84,1127,440,687,
８５～８９,4386,1569,2817,
85,981,372,609,
86,966,356,610,
87,955,327,628,
88,801,276,525,
89,683,238,445,
９０～９４,2141,677,1464,
90,596,201,395,
91,511,158,353,
92,408,130,278,
93,371,120,251,
94,255,68,187,
９５～１０３,652,111,541,
95,210,36,174,
96,145,30,115,
97,98,18,80,
98,77,11,66,
99,41,8,33,
100,36,4,32,
101,23,2,21,
102,13,0,13,
103,9,2,7,
１０４以上,15,3,12,
不詳者　　,0,0,0,
平成31年４月１日現在,,,,
年齢,計,男,女,
総計　　　,187571,91748,95823,
　０～４　,7895,4102,3793,
0,1510,815,695,
1,1520,765,755,
2,1552,805,747,
3,1620,846,774,
4,1693,871,822,
　５～９　,8153,4177,3976,
5,1651,862,789,
6,1563,783,780,
7,1667,874,793,
8,1607,818,789,
9,1665,840,825,
１０～１４,7605,3939,3666,
10,1611,843,768,
11,1554,832,722,
12,1503,758,745,
13,1480,754,726,
14,1457,752,705,
１５～１９,8073,4124,3949,
15,1476,772,704,
16,1528,783,745,
17,1497,727,770,
18,1686,872,814,
19,1886,970,916,
２０～２４,11350,5537,5813,
20,2109,1016,1093,
21,2104,998,1106,
22,2378,1158,1220,
23,2332,1134,1198,
24,2427,1231,1196,
２５～２９,11487,5771,5716,
25,2351,1157,1194,
26,2348,1210,1138,
27,2343,1178,1165,
28,2173,1093,1080,
29,2272,1133,1139,
３０～３４,12071,6144,5927,
30,2402,1246,1156,
31,2286,1189,1097,
32,2315,1169,1146,
33,2495,1259,1236,
34,2573,1281,1292,
３５～３９,13858,6972,6886,
35,2723,1382,1341,
36,2703,1357,1346,
37,2730,1346,1384,
38,2721,1378,1343,
39,2981,1509,1472,
４０～４４,14890,7457,7433,
40,2879,1430,1449,
41,3014,1512,1502,
42,2941,1485,1456,
43,2973,1477,1496,
44,3083,1553,1530,
４５～４９,16282,8165,8117,
45,3294,1669,1625,
46,3299,1658,1641,
47,3234,1615,1619,
48,3214,1586,1628,
49,3241,1637,1604,
５０～５４,14303,7300,7003,
50,3095,1595,1500,
51,2974,1458,1516,
52,2588,1302,1286,
53,2875,1476,1399,
54,2771,1469,1302,
５５～５９,11563,5897,5666,
55,2545,1333,1212,
56,2488,1248,1240,
57,2294,1178,1116,
58,2117,1052,1065,
59,2119,1086,1033,
６０～６４,9213,4607,4606,
60,2040,1046,994,
61,1892,931,961,
62,1774,881,893,
63,1720,853,867,
64,1787,896,891,
６５～６９,9768,4838,4930,
65,1853,927,926,
66,1765,865,900,
67,1859,961,898,
68,2037,983,1054,
69,2254,1102,1152,
７０～７４,9566,4417,5149,
70,2326,1058,1268,
71,2428,1146,1282,
72,1801,820,981,
73,1365,649,716,
74,1646,744,902,
７５～７９,8086,3506,4580,
75,1764,807,957,
76,1641,720,921,
77,1727,736,991,
78,1576,683,893,
79,1378,560,818,
８０～８４,6249,2448,3801,
80,1216,459,757,
81,1375,576,799,
82,1314,504,810,
83,1217,469,748,
84,1127,440,687,
８５～８９,4363,1567,2796,
85,973,370,603,
86,972,364,608,
87,946,317,629,
88,790,272,518,
89,682,244,438,
９０～９４,2125,665,1460,
90,604,198,406,
91,493,153,340,
92,416,130,286,
93,356,118,238,
94,256,66,190,
９５～１０３,656,112,544,
95,210,37,173,
96,141,28,113,
97,103,19,84,
98,80,12,68,
99,40,8,32,
100,39,4,35,
101,21,2,19,
102,12,0,12,
103,10,2,8,
１０４以上,15,3,12,
不詳者　　,0,0,0,
平成31年３月１日現在,,,,
年齢,計,男,女,
総計　　　,187009,91483,95526,
　０～４　,7892,4102,3790,
0,1527,822,705,
1,1505,752,753,
2,1584,816,768,
3,1610,845,765,
4,1666,867,799,
　５～９　,8166,4184,3982,
5,1665,861,804,
6,1574,804,770,
7,1684,884,800,
8,1593,794,799,
9,1650,841,809,
１０～１４,7575,3920,3655,
10,1596,834,762,
11,1546,833,713,
12,1479,743,736,
13,1480,755,725,
14,1474,755,719,
１５～１９,7984,4067,3917,
15,1437,763,674,
16,1549,786,763,
17,1462,715,747,
18,1631,821,810,
19,1905,982,923,
２０～２４,11015,5419,5596,
20,2024,980,1044,
21,2083,1017,1066,
22,2144,1044,1100,
23,2327,1127,1200,
24,2437,1251,1186,
２５～２９,11474,5757,5717,
25,2355,1157,1198,
26,2323,1194,1129,
27,2324,1160,1164,
28,2164,1096,1068,
29,2308,1150,1158,
３０～３４,12147,6163,5984,
30,2404,1241,1163,
31,2319,1190,1129,
