"施設名称","施設郵便番号","施設所在地","施設方書","許可日","許可番号","施設種別"
"オークラ東京　Ｏｋｕｒａ　Ｆｉｔｎｅｓｓ＆Ｓｐａ","105-0001","東京都港区虎ノ門二丁目10番4号","27階","2019/9/4","28港み生環き第12号","その他の公衆浴場２号（スポーツ施設）"
"Ｔｈｅ　Ｓｐａ　ａｔ　ｔｈｅ　Ｔｏｋｙｏ　ＥＤＩＴＩＯＮ，　Ｔｏｒａｎｏｍｏｎ","105-0001","東京都港区虎ノ門四丁目1番1号","31階","2020/9/10","2港み生環き第104号","その他の公衆浴場２号（サウナを主とする施設）"
"ＴＨＥ　ＰＲＥＭＩＥＲ　ＣＬＵＢ","105-0001","東京都港区虎ノ門四丁目3番1号",,"1992/6/26","4港芝総衛環き第18号","その他の公衆浴場２号（スポーツ施設）"
"ｇｌａｍ　ＳＰＡ（グラム　スパ）","106-0031","東京都港区西麻布一丁目4番12号","綾ビル 1階","2019/7/4","30港み生環き第199号","その他の公衆浴場２号（その他）"
"ジブンサウナ　３Ｓ","106-0031","東京都港区西麻布一丁目4番22号","PRESTIGE西麻布地下1階","2022/2/7","3港み生環き第222号","その他の公衆浴場２号（サウナを主とする施設）"
"３Ｓジブンサウナ","106-0031","東京都港区西麻布一丁目4番22号","PRESTIGE西麻布地下1階","2023/7/7","5港み生環き第68号","その他の公衆浴場２号（サウナを主とする施設）"
"ｇｌａｍ　ｓｐａ　２","106-0031","東京都港区西麻布一丁目4番41号","麻布ファーストビル2階","2019/12/12","31港み生環き第178号","その他の公衆浴場２号（その他）"
"サウナ　スパ　テルマー湯　西麻布","106-0031","東京都港区西麻布一丁目7番2号","ECONACH西麻布地下1階～2階","2023/3/14","4港み生環き第225号","その他の公衆浴場２号（その他）"
"３７ｅｒ’ｓ　ＨＩＧＨ","106-0031","東京都港区西麻布一丁目8番12号","ARISTO西麻布2階","2022/12/12","4港み生環き第138号","その他の公衆浴場２号（サウナを主とする施設）"
"Ｓａｎｔｅｃｏｃｏ（サンテココ）１","106-0031","東京都港区西麻布一丁目11番6号","ホテル&レジデンス六本木708号室","2019/2/22","30港み生環き第166号","その他の公衆浴場２号（サウナを主とする施設）"
"Ｓａｎｔｅｃｏｃｏ（サンテココ）２","106-0031","東京都港区西麻布一丁目11番6号","ホテル&レジデンス六本木707号室","2019/2/22","30港み生環き第167号","その他の公衆浴場２号（サウナを主とする施設）"
"港区立西麻布いきいきプラザ","106-0031","東京都港区西麻布二丁目13番3号",,"2014/10/28","24港み生環き第181号","その他の公衆浴場２号（その他）"
"サウナアダムアンドイブ","106-0031","東京都港区西麻布三丁目5番5号",,"1995/5/16","6港麻総衛環き第20号","その他の公衆浴場２号（その他）"
"デトックスサロンルフロ","106-0031","東京都港区西麻布三丁目21番3号",,"2016/8/9","28港み生環き第51号","その他の公衆浴場２号（サウナを主とする施設）"
"ＰＬＵＳ　ＭＥ","106-0031","東京都港区西麻布四丁目2番4号","THE WALL 地下2階","2022/3/15","3港み生環き第245号","その他の公衆浴場２号（サウナを主とする施設）"
"パンテオン西麻布店","106-0031","東京都港区西麻布四丁目3番1号","バルビゾン68 4階","2013/10/7","25港み生環き第83号","その他の公衆浴場２号（サウナを主とする施設）"
"パンテオン西麻布店","106-0031","東京都港区西麻布四丁目3番1号","バルビゾン68 5階","2013/10/7","25港み生環き第84号","その他の公衆浴場２号（サウナを主とする施設）"
"パンテオン西麻布店","106-0031","東京都港区西麻布四丁目3番1号","バルビゾン68 6、7階","2010/1/28","21港み生環き第132号","その他の公衆浴場２号（サウナを主とする施設）"
"レッドカーペットスパ","106-0031","東京都港区西麻布四丁目3番1号","レスト西麻布 6、7階","2006/10/4","18港み生環き第86号","その他の公衆浴場２号（その他）"
"Ｍｅｎ’ｓ　Ｂｅａｕｔｙ　Ｓａｌｏｎ　ＯＬＩｅｓ","106-0031","東京都港区西麻布四丁目3番1号","バルビゾン68 3階","2022/4/12","3港み生環き第280号","その他の公衆浴場２号（その他）"
"ペントハウス西麻布店","106-0031","東京都港区西麻布四丁目22番7号","グランディアビル2階","2008/10/15","20港み生環き第82号","その他の公衆浴場２号（サウナを主とする施設）"
"ペントハウス西麻布店３階","106-0031","東京都港区西麻布四丁目22番7号","グランディアビル 3階","2019/5/24","31港み生環き第9号","その他の公衆浴場２号（その他）"
"Ｍａｊｅｓｔｙ　ｏｎａｒｉｍｏｎ　ｃｌｕｂ","105-0003","東京都港区西新橋三丁目23番16号","2階～5階","2022/1/25","3港み生環き第199号","その他の公衆浴場２号（スポーツ施設）"
"港区立神明いきいきプラザ","105-0013","東京都港区浜松町一丁目6番7号",,"2012/7/23","24港み生環き第3号","その他の公衆浴場２号（その他）"
"港区立飯倉いきいきプラザ","106-0044","東京都港区東麻布二丁目16番11号",,"2000/5/31","11港み生環き第2号","その他の公衆浴場２号（その他）"
"ＴＡＲＵ　ＳＡＵＮＡ　ＬＡＢＯ麻布十番","106-0044","東京都港区東麻布二丁目26番14号","ヘリテージ麻布十番ビル1階","2023/1/13","4港み生環き第171号","その他の公衆浴場２号（サウナを主とする施設）"
"水月（Ｍｉｚｕｋｉ）","105-0021","東京都港区東新橋一丁目9番1号","29階南ゾーン","2005/6/22","17港み生環き第28号","その他の公衆浴場２号（その他）"
"水月（Ｍｉｚｕｋｉ）","105-0021","東京都港区東新橋一丁目9番1号","29階北ゾーン","2005/6/22","17港み生環き第29号","その他の公衆浴場２号（その他）"
"豪華カプセルホテル安心お宿プレミア新橋汐留店　癒しの湯","105-0021","東京都港区東新橋二丁目7番8号",,"2016/11/8","28港み生環き第94号","その他の公衆浴場２号（その他）"
"ｔｈｅ　Ｓａｌｏｎ　ｂｙ　ｂ．ｇｌｅｎ　（ザ　サロン　バイ　ビーグレン）","105-0021","東京都港区東新橋二丁目18番2号","1階","2015/10/9","27港み生環き第126号","その他の公衆浴場２号（その他）"
"ＴＯＪＩ　ＴＯＫＹＯ　Ａｚａｂｕ－ｊｕｂａｎ","108-0073","東京都港区三田一丁目2番20号","矢島ビルディング1階、2階","2019/9/25","31港み生環き第93号","その他の公衆浴場２号（サウナを主とする施設）"
"エルプレイス三田","108-0073","東京都港区三田四丁目4番13号","1階","2021/12/22","3港み生環き第128号","その他の公衆浴場２号（その他）"
"三田アスレチッククラブ・ファイブ","108-0073","東京都港区三田五丁目5番10号",,"1988/10/25","63港芝総衛環き第33号","その他の公衆浴場２号（スポーツ施設）"
"港区立豊岡いきいきプラザ","108-0073","東京都港区三田五丁目7番7号",,"1980/9/3","55港芝保衛環き第20号","その他の公衆浴場２号（その他）"
"アーユルヴェーダサロン＆アロマテラピー　ｃａｓｔａｇｎａ　（カスターニャ）","107-0062","東京都港区南青山一丁目15番39号","Y'Sハウス南青山204号室","2010/2/25","21港み生環き第140号","その他の公衆浴場２号（その他）"
"たかの友梨ビュ－ティクリニック青山本店","107-0062","東京都港区南青山二丁目12番14号","ユニマット青山ビル新館4階","2018/10/29","30港み生環き第95号","その他の公衆浴場２号（サウナを主とする施設）"
"Ａ　ｔｏ　Ｚ（エー　トゥ　ゼット）","107-0062","東京都港区南青山二丁目13番7号","マトリス 地下1階","2015/7/2","27港み生環き第65号","その他の公衆浴場２号（その他）"
"港区立青山いきいきプラザ","107-0062","東京都港区南青山二丁目16番5号",,"1983/1/20","57港赤保衛環き第7号","その他の公衆浴場２号（その他）"
"Ｓｗａｙ","107-0062","東京都港区南青山二丁目27番18号","パサージュ青山1階","2023/3/29","4港み生環き第246号","その他の公衆浴場２号（サウナを主とする施設）"
"Ｉ．Ｂ．Ｅｓｔｈｅｔｉｑｕｅ（アイビーエステティック）","107-0062","東京都港区南青山二丁目27番26号","第8吉田ビル 2階","2002/2/8","13港み生環き第111号","その他の公衆浴場２号（その他）"
"ＷＯＲＫＩＮＧ　ＰＡＲＫ　ＥＮ","107-0062","東京都港区南青山三丁目3番3号","リビエラ南青山2階","2021/10/25","3港み生環き第116号","その他の公衆浴場２号（サウナを主とする施設）"
"ＬＯＣＡ　ＴＨＥ　ＣＬＡＳＳ．ＡＯＹＡＭＡ","107-0062","東京都港区南青山三丁目8番14号","AUSPICE表参道2階","2023/3/31","4港み生環き第247号","その他の公衆浴場２号（サウナを主とする施設）"
"清水湯","107-0062","東京都港区南青山三丁目12番3号",,"2008/5/1","19港み生環き第107号","普通公衆浴場（銭湯）"
"港区立青南いきいきプラザ","107-0062","東京都港区南青山四丁目10番1号",,"1983/2/4","57港赤保衛環き第8号","その他の公衆浴場２号（その他）"
"アムールスパ南青山店","107-0062","東京都港区南青山四丁目17番33号","nーOM1 1階","2012/2/9","23港み生環き第128号","その他の公衆浴場２号（その他）"
"アヴェダ　ライフスタイル　スパ","107-0062","東京都港区南青山五丁目5番21号","アヴェダ青山ビル 地下1階","2003/7/25","15港み生環き第63号","その他の公衆浴場２号（その他）"
"アモ園","107-0062","東京都港区南青山五丁目6番23号","スパイラル 7階","1994/9/20","6港赤総衛環き第18号","その他の公衆浴場２号（その他）"
"ベリーノ・ベレッツァ","107-0062","東京都港区南青山五丁目11番5号","住友南青山ビル 5階","2005/2/18","16港み生環き第118号","その他の公衆浴場２号（その他）"
"セントラルフィットネスクラブ南青山","107-0062","東京都港区南青山六丁目1番3号","コレッツィオーネビル 地下1階～地下2階","1998/10/15","10港み生環き第74号","その他の公衆浴場２号（スポーツ施設）"
"港区立南麻布いきいきプラザ","106-0047","東京都港区南麻布一丁目5番26号",,"1991/3/29","元港麻総衛環き第5号","その他の公衆浴場２号（その他）"
"麻布黒美水温泉竹の湯","106-0047","東京都港区南麻布一丁目15番12号",,"1987/5/21","61港麻保衛環き第29号","普通公衆浴場（銭湯）"
"Ｒｏｓｅ　Ｇｒｅｅｎ","106-0047","東京都港区南麻布三丁目5番5号","Ours2 1階","2022/2/28","3港み生環き第239号","その他の公衆浴場２号（その他）"
"ＴＨＥ　ＡＺＡＢＵ　ＨＯＵＳＥ","106-0047","東京都港区南麻布三丁目21番17号","B-City Tower Azabu Tokyo 1階","2021/4/14","2港み生環き第218号","その他の公衆浴場２号（サウナを主とする施設）"
"港区立ありすいきいきプラザ","106-0047","東京都港区南麻布四丁目6番7号",,"2014/8/6","26港み生環き第58号","その他の公衆浴場２号（その他）"
"東京ローンテニスクラブ","106-0047","東京都港区南麻布五丁目6番41号",,"1990/7/20","元港麻総衛環き第16号","その他の公衆浴場２号（スポーツ施設）"
"ＤＲＡＧＯＮ　ＳＰＡ　（ドラゴン　スパ）","106-0046","東京都港区元麻布三丁目1番35号","C-MA3 801号室","2006/5/10","18港み生環き第3号","その他の公衆浴場２号（サウナを主とする施設）"
"港区立麻布いきいきプラザ","106-0046","東京都港区元麻布三丁目9番6号",,"2024/2/20","4港み生環き第39号","その他の公衆浴場２号（その他）"
"港区立麻布いきいきプラザ","106-0046","東京都港区元麻布三丁目9番11号",,"2005/3/30","16港み生環き第117号","その他の公衆浴場２号（その他）"
"ＬＯＣＡ　ＴＨＥ　ＣＬＡＳＳ　元麻布","106-0046","東京都港区元麻布三丁目10番5号","カドル元麻布101","2022/4/26","4港み生環き第4号","その他の公衆浴場２号（サウナを主とする施設）"
"酵素浴６５℃","106-0046","東京都港区元麻布三丁目12番4号","SP元麻布地下1階","2021/11/8","3港み生環き第117号","その他の公衆浴場２号（その他）"
"ＡＲＫ　ＨＩＬＬＳ　ＳＰＡ（アーク　ヒルズ　スパ）","106-0032","東京都港区六本木一丁目3番40号","アークタワーズ ウエスト 地下1階～1階","2000/7/19","12港み生環き第19号","その他の公衆浴場２号（スポーツ施設）"
"エスフォルタ六本木","106-0032","東京都港区六本木一丁目6番1号","泉ガーデンタワー 2階","2002/9/24","13港み生環き第126号","その他の公衆浴場２号（スポーツ施設）"
"米ぬか酵素浴ＢｒａｎＲｏｏｍ六本木泉ガーデン店","106-0032","東京都港区六本木一丁目6番1号","泉ガーデンタワー1階A区画","2023/5/2","5港み生環き第7号","その他の公衆浴場２号（その他）"
