"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","知っている[人]","知らない[人]","無回答[人]"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","職業別","その他","31","22","9","0"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","職業別","無回答","14","8","4","2"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","居住地区別","芝地区","86","54","31","1"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","居住地区別","麻布地区","87","47","39","1"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","居住地区別","赤坂地区","81","49","32","0"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","居住地区別","高輪地区","146","91","54","1"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","居住地区別","芝浦港南地区","139","87","51","1"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","居住地区別","無回答","19","12","6","1"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","住居形態別","持家（一戸建）","64","48","16","0"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","住居形態別","持家（マンション）","267","178","85","4"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","住居形態別","借家（一戸建）","9","4","5","0"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","住居形態別","民間の賃貸マンション・アパート","151","64","87","0"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","住居形態別","都営住宅・区営住宅・区立住宅","26","20","6","0"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","11","8","3","0"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","住居形態別","社宅・公務員宿舎","10","5","5","0"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","住居形態別","寮・寄宿舎・住み込み・間借り","4","2","2","0"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","住居形態別","その他","5","4","1","0"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","住居形態別","無回答","11","7","3","1"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","定住意向別","ずっと住み続けていたい","279","193","84","2"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","定住意向別","当分は住んでいたい","203","110","93","0"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","45","22","23","0"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","5","2","3","0"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","定住意向別","近いうちに区外に転居する予定である","13","6","7","0"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","定住意向別","わからない","10","7","3","0"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","定住意向別","無回答","3","0","0","3"

"第33回港区民世論調査クロス集計表・区政全般Q4","Ver202203",,,,,,,
