地域階層,地域コード,地域,1月中／出生数,2月中／出生数,3月中／出生数,4月中／出生数,5月中／出生数,6月中／出生数,7月中／出生数,8月中／出生数,9月中／出生数,10月中／出生数,11月中／出生数,12月中／出生数,平成24年中の出生数
4,13218,福生市,29,41,33,33,50,26,37,44,37,45,29,35,439
4,13219,狛江市,49,51,51,52,54,45,56,62,43,58,47,54,622
4,13220,東大和市,75,50,53,59,64,59,69,82,64,68,61,58,762
4,13221,清瀬市,63,51,38,33,50,37,41,38,43,55,42,46,537
4,13222,東久留米市,69,74,80,66,78,68,63,74,72,87,73,70,874
4,13223,武蔵村山市,44,52,40,38,54,45,59,50,44,51,50,33,560
4,13224,多摩市,84,105,79,51,109,68,93,93,65,94,76,77,994
4,13225,稲城市,57,62,64,59,59,56,67,75,69,67,67,66,768
4,13227,羽村市,36,33,46,27,37,26,38,44,28,49,47,28,439
4,13228,あきる野市,54,56,53,47,48,47,52,60,51,59,56,44,627
4,13229,西東京市,144,132,115,126,144,143,162,137,123,140,142,116,1624
1,13550,町村部,42,49,40,38,55,52,54,60,53,59,46,39,587
2,13300,郡部,28,33,32,26,36,37,36,37,35,39,32,29,400
4,13303,瑞穂町,16,18,15,12,17,19,17,23,22,16,19,15,209
4,13305,日の出町,9,14,14,14,17,10,17,11,12,16,9,13,156
4,13307,檜原村,1,0,2,0,1,5,2,2,0,1,2,0,16
4,13308,奥多摩町,2,1,1,0,1,3,0,1,1,6,2,1,19
2,13350,島部,14,16,8,12,19,15,18,23,18,20,14,10,187
3,13360,大島支庁,10,8,5,7,7,4,6,13,12,8,4,7,91
4,13361,大島町,8,3,3,1,6,2,2,11,6,7,4,4,57
4,13362,利島村,0,0,0,0,0,0,0,0,0,0,0,0,0
4,13363,新島村,1,3,1,3,1,2,1,1,5,0,0,0,18
4,13364,神津島村,1,2,1,3,0,0,3,1,1,1,0,3,16
3,13380,三宅支庁,2,2,1,0,6,2,4,3,4,2,2,2,30
4,13381,三宅村,1,2,1,0,5,2,3,3,1,2,1,2,23
4,13382,御蔵島村,1,0,0,0,1,0,1,0,3,0,1,0,7
3,13400,八丈支庁,2,4,1,4,4,8,4,5,2,6,5,1,46
4,13401,八丈町,2,4,1,4,4,8,4,5,2,5,5,1,45
4,13402,青ヶ島村,0,0,0,0,0,0,0,0,0,1,0,0,1
3,13420,小笠原支庁,0,2,1,1,2,1,4,2,0,4,3,0,20
4,13421,小笠原村,0,2,1,1,2,1,4,2,0,4,3,0,20
,,,,,,,,,,,,,,,
人口の動き（平成24年中）,,,,,,,,,,,,,,,
第13表　区市町村、月別出生数,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,
