管理番号,調査時期,調査地点ID,調査年月日,調査時刻,問１_居住地区分,問１_都道府県名,問１_区市町村名,問１_国名,問１_入国空港・港,問１_出国空港・港,問2_性別,問2_年齢,問3-①_日帰り-宿泊,問3-②_区内宿泊数,問3-②_区外宿泊数,問3-②_区外地名,問3-②_区外宿泊施設名,問3-②_総宿泊数,問3-②_区内宿泊施設数,問3-②_1．実家や知人・親戚宅,問3-②_2．旅館,問3-②_3．ホテル,問3-②_4．民泊,問3-②_5．保養所・研修所,問3-②_6．車中泊・交通機関泊,問3-②_7．その他,問3-②_その他/内容,問3-②_無回答,問4-①_主要目的,問4-①_主要目的／その他,問4-②_目的１,問4-②_場所１,問4-②_目的２,問4-②_場所２,問4-②_目的３,問4-②_場所３,問4-②_目的４,問4-②_場所４,問4-②_目的５,問4-②_場所５,問4-②_目的６,問4-②_場所６,問4-②_その他/内容,問⑤_同行者数,問⑤_0.一人,問⑤_1.家族,問⑤_2.友人,問⑤_3.職場・学校等の団体旅行,問⑤_4.その他,問⑤_4.その他/内容,問⑤_無回答,問⑥_来訪回数-現在の観光地,問⑥_来訪回数-台東区,問⑦_1.台東区公式観光情報サイト,問⑦_2.その他インターネットサイト,問⑦_3.台東区公式SNS,問⑦_4.その他SNS・ブログの投稿を見て,問⑦_5.パンフレット類,問⑦_6.観光情報誌・ガイドブック,問⑦_7.テレビ・ラジオ,問⑦_8.新聞・雑誌の記事,問⑦_9.旅行会社,問⑦_10.観光案内所,問⑦_11.宿泊施設からの案内,問⑦_12.ポスター・チラシを見て,問⑦_13.地元・以前来た,問⑦_14.仕事上・取引先からの情報,問⑦_15.家族・知人等の情報,問⑦_16.その他,問⑦_16.その他/内容,問⑦_具体的名称,問⑦_無回答,問⑧_観光地点1,問⑧_1-時間,問⑧_観光地点2,問⑧_2-時間,問⑧_観光地点3,問⑧_3-時間,問⑧_観光地点4,問⑧_4-時間,問⑧_調査地点,問⑧_調査地点-時間,問⑧_観光地点5,問⑧_5-時間,問⑧_観光地点6,問⑧_6-時間,問⑧_観光地点7,問⑧_7-時間,問⑧_観光地点8,問⑧_8-時間,問⑨_利用交通機関,問⑩_費用総額,問⑩_①交通費,問⑩_②宿泊費,問⑩_③土産代,問⑩_③土産代-品名,問⑩_④飲食費,問⑩_④飲食費-品名,問⑩_⑤入場料,問⑩_⑥体験プログラム費用,問⑩_⑥体験プログラム-内容,問⑩_⑦その他費用,問⑩_⑦その他-具体的項目,問⑩_⑧パック料金,問⑩_⑧パック料金内訳,問⑪_①現在の観光地,問⑪_②観光地内の案内サイン類,問⑪_③観光地への交通アクセス・駐車場,問⑪_④食事,問⑪_⑤土産品,問⑪_⑥宿泊施設,問⑪_⑦観光情報,問⑪_⑧総合満足度,問⑪_総合満足度理由,問⑫_再来訪意向-観光地,問⑫_再来訪意向-台東区,問⑬_紹介意向-観光地,問⑬_紹介意向-台東区,問⑭_良かったこと-1,問⑭_1-理由,問⑭_良かったこと-2,問⑭_2-理由,問⑭_残念-1,問⑭_1-理由,問⑭_残念-2,問⑭_2-理由,問⑮_大きな荷物の有無,問⑮_大きな荷物理由,問⑮_4.その他/理由,問⑮_預かり所等の活用,問⑮_料金,問⑯_意見
16,1,3,2018/6/30,13:38,1,東京都,新宿区,,,,1,1,1,,,,,,,0,0,0,0,0,0,0,,1,2,,1,41,,,,,,,,,,,,2,0,0,1,0,0,,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,,,,,,103,,,,,,,,,,3,1300,300,,1000,,,,,,,,,,,3,3,3,4,4,0,4,5,観光地が多い,5,5,4,4,2,便利だから,12,街の景観が良い,6,人が多い,999,,2,999,,2,,
17,1,3,2018/6/30,13:50,2,茨城県,常総市,,,,2,7,1,,,,,,,0,0,0,0,0,0,0,,1,2,,1,41,7,56,,,,,,,,,,5,0,1,0,0,0,,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,56,60,,,,,,,103,,,,,,,,,,3,1300,300,,,,1000,,,,,,,,,4,4,4,4,,0,4,4,あまりよくわからない,3,3,3,3,12,ゴミが思ったほど散らばっていない,999,,8,wifiがつながるところが多いといい,999,,2,999,,2,,
18,1,3,2018/6/30,13:45,2,島根県,益田市,,,,1,5,2,2,,,,2,1,0,0,1,0,0,0,0,,0,2,,3,33,23,35,1,41,,,,,,,,4,0,1,0,0,0,,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,33,60,35,30,,,,,103,,,,,,,,,,3,45300,300,20000,10000,,15000,,,,,,,,,5,4,4,3,3,3,4,4,食事、土産品が人が多くて回れなかった,4,4,3,3,5,にぎやかで良かった,999,,14,暑いのでミストとかあると良い,999,,2,4,ホテルにあずけてある,2,,道案内をわかりやすくしてほしい
19,1,3,2018/6/30,14:00,1,東京都,国立市,,,,2,9,1,,,,,,,0,0,0,0,0,0,0,,1,4,食事,,,,,,,,,,,,,,2,0,1,0,0,0,,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,46,30,51,90,,,,,103,,,,,,,,,,3,11000,,,6000,やげんのとうがらし、今半のビーフカレーハヤシ,5000,今半,,,,,,,,5,5,5,5,5,0,5,5,いつ来ても普通に楽しめる,5,5,5,5,5,活気がある、ミストが良い,7,物価が安い,999,,999,,2,999,,2,,休憩場所（ミスト）が多い、トイレが多いと良い
20,1,3,2018/6/30,14:06,2,群馬県,桐生市,,,,2,2,1,,,,,,,0,0,0,0,0,0,0,,1,2,,1,41,10,40,,,,,,,,,,2,0,0,1,0,0,,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,40,120,,,,,,,103,,,,,,,,,,3,3300,300,,2000,,1000,,,,,,,,,4,4,4,4,4,0,4,4,遊ぶスポットが多い,4,4,4,4,5,活気がある,999,,6,人が多く、混雑している,999,,2,999,,2,,街がきれいでまた来たい
21,1,3,2018/6/30,14:14,2,愛知県,半田市,,,,2,1,2,,2,浦安,エミオン東京ベイ,2,,0,0,0,0,0,0,0,,1,4,修学旅行,,,,,,,,,,,,,,260,0,0,0,1,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,修学旅行,,0,,,,,,,,,103,,,,,,,,,,6,2000,,,2000,,,,,,,,,,,4,4,4,5,5,0,3,3,あまり滞在時間がなくよくわからない,4,4,3,3,4,お店が多くて楽しめた,999,,999,,999,,2,4,ホテルにあずけてある,2,,
22,1,3,2018/6/30,14:22,2,宮崎県,宮崎市,,,,2,13,2,1,,,,1,1,0,0,1,0,0,0,0,,0,2,,1,41,3,35,,,,,,,,,,40,0,0,0,0,1,観光ツアー,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,新聞の朝刊の掲載,0,35,60,,,,,,,103,,,,,,,,,,999,3000,,,3000,,,,,,,,,,,3,3,3,4,4,2,3,3,初めてなのでよくわからない,3,3,3,3,1,東京らしい名所が多く楽しめた,999,,6,人が多く疲れた,999,,2,4,バスに預けている,2,,
23,1,3,2018/6/30,14:36,1,東京都,板橋区,,,,2,1,1,,,,,,,0,0,0,0,0,0,0,,1,2,,2,33,1,41,,,,,,,,,,3,0,0,1,0,0,,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,33,60,,,,,,,103,,,,,,,,,,3,4000,,,3000,,1000,,,,,,,,,5,5,4,5,5,5,5,5,観光エリアが近く移動しやすい,5,5,5,5,4,食事が美味しい,999,,6,人が多い,999,,2,999,,2,,
24,1,3,2018/6/30,14:44,2,千葉県,市原市,,,,2,2,1,,,,,,,0,0,0,0,0,0,0,,1,2,,1,41,7,56,,,,,,,,,,4,0,1,0,0,0,,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,56,120,,,,,,,103,,,,,,,,,,13,9000,,,3000,,6000,,,,,,,,,4,4,3,4,4,0,4,4,駐車場がわかりにくい,4,4,4,4,5,にぎわっている,999,,14,駐車料金が高いような気がする,999,,2,999,,2,,車でも行きやすいように改善してほしい（駐車スペースがない）
25,1,3,2018/6/30,14:50,1,東京都,調布市,,,,2,1,1,,,,,,,0,0,0,0,0,0,0,,1,2,,1,41,,,,,,,,,,,,2,0,0,1,0,0,,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,,,,,,103,,,,,,,,,,3,3000,,,2000,,1000,,,,,,,,,4,4,4,4,4,0,3,3,あまり行くスポットがない,,,,,12,街の景観がよい,999,,999,,999,,2,999,,2,,
26,1,3,2018/6/30,14:57,1,東京都,江東区,,,,2,9,1,,,,,,,0,0,0,0,0,0,0,,1,4,バーゲン,,,,,,,,,,,,,,2,0,1,0,0,0,,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,56,120,,,,,,,103,,,,,,,,,,999,53000,,,50000,バッグ、キャリーケース,3000,,,,,,,,,4,4,4,5,5,0,4,4,街に活気がある,5,5,5,5,5,にぎわっている,999,,6,人が多い、日本人が少ない,999,,2,999,,2,,三社祭は継続してほしい
27,1,3,2018/6/30,15:05,1,東京都,中野区,,,,2,2,1,,,,,,,0,0,0,0,0,0,0,,1,2,,1,41,3,56,7,51,,,,,,,,2,0,0,1,0,0,,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,56,30,51,30,,,,,103,,,,,,,,,,3,2270,270,,1000,和菓子、おせんべい（雷おこし）,1000,,,,,,,,,4,4,4,4,4,0,3,3,浅草の中心が駅から遠い（わかりにくい）,4,4,4,4,5,活気がある,12,景観がきれい、日本らしい,13,地下鉄からの案内がわかりにくい,999,,2,999,,2,,アクセスがわかりにくいので案内を増やしてほしい
28,1,3,2018/6/30,15:14,2,千葉県,柏市,,,,2,1,1,,,,,,,0,0,0,0,0,0,0,,1,2,,1,41,,,,,,,,,,,,2,0,1,0,0,0,,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,,,,,,103,,,,,,,,,,3,1000,,,,,1000,,,,,,,,,4,3,3,4,3,3,3,3,千葉に近い,4,4,4,4,5,にぎわっている、華やか,999,,12,人が多すぎて食べ歩きができない,999,,2,999,,2,,
29,1,3,2018/6/30,15:22,1,東京都,港区,,,,2,8,1,,,,,,,0,0,0,0,0,0,0,,1,2,,1,41,7,51,,,,,,,,,,2,0,0,1,0,0,,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,51,60,,,,,,,103,,,,,,,,,,3,5280,280,,3000,おせんべい、和菓子etc,2000,回転ずし,,,,,,,,4,4,4,5,5,0,4,4,浅草が好きだから,5,5,5,5,4,お店が多く、毎回楽しめる,999,,6,人が多く歩きづらい,999,,2,999,,2,,浅草にあまり新しいお店を出店しないでほしい
30,1,3,2018/6/30,15:30,1,東京都,北区,,,,2,13,999,,,,,,,0,0,0,0,0,0,0,,1,4,バーゲン,,,,,,,,,,,,,,2,0,1,0,0,0,,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,,,,,,103,,,,,,,,,,3,22800,300,,20000,ショッピング、洋服rtc,2500,いしかみ（食事処）,,,,,,,,4,3,3,4,5,0,4,4,街の人が親しみやすい,5,5,5,5,5,活気、人情がある,999,,999,,999,,2,999,,2,,
31,1,3,2018/6/30,15:35,2,愛知県,常滑市,,,,2,1,2,,2,浦安,ホテルエミオン東京ベイ,2,,0,0,0,0,0,0,0,,1,4,修学旅行,,,,,,,,,,,,,,260,0,0,0,1,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,修学旅行,,0,17,90,,,,,,,103,,,,,,,,,,6,3000,,,3000,,,,,,,,,,,4,4,4,3,3,0,3,3,観光スポットが密集している,4,4,4,4,5,賑やかで活気がある,999,,6,人が多くてはぐれてしまった,999,,2,4,バスに預けている,2,,
32,1,3,2018/6/30,15:42,2,埼玉県,春日部市,,,,2,7,1,,,,,,,0,0,0,0,0,0,0,,1,2,,1,41,3,51,,,,,,,,,,2,0,0,1,0,0,,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,56,120,,,,,,,103,,,,,,,,,,3,21300,300,,20000,洋服,1000,,,,,,,,,4,4,4,4,4,0,3,3,街が親しみやすい、友人が多くできた,5,5,5,5,4,セール実施中で洋服をいっぱい買えた,999,,6,人が多くて嫌。,999,,2,999,,2,,今のままでいいと思う
33,1,3,2018/6/30,15:47,2,千葉県,船橋市,,,,2,3,1,,,,,,,0,0,0,0,0,0,0,,1,4,お祭り,,,,,,,,,,,,,,3,0,0,1,0,0,,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,0,,,,,,,,,103,,,,,,,,,,3,4300,300,,2000,雷おこし,2000,屋台などで食べる予定,,,,,,,,5,4,4,3,3,0,4,4,交通が便利で行きやすい,4,4,4,4,12,浴衣の人が多く、華やか,999,,9,トイレが少ない、増やしてほしい,999,,2,999,,2,,活気があってよいが、女子トイレを増やしてほしい
34,1,3,2018/6/30,15:53,1,東京都,足立区,,,,2,3,1,,,,,,,0,0,0,0,0,0,0,,1,2,,1,41,,,,,,,,,,,,2,0,0,1,0,0,,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,,,,,,103,,,,,,,,,,3,2240,240,,,,2000,屋台などで食べる予定,,,,,,,,4,4,4,4,4,0,3,3,観光地が密集している,4,4,4,4,5,賑やかで、人が多い,999,,12,ごみが散らばっている、外国人に悪いイメージがつく,999,,2,999,,2,,案内標札をわかりやすくするともっといいと思う
35,1,3,2018/6/30,15:58,2,神奈川県,平塚市,,,,1,4,1,,,,,,,0,0,0,0,0,0,0,,1,2,,22,41,8,20,,,,,,,,,,1,1,0,0,0,0,,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,20,60,,,,,,,103,,,,,,,,,,3,2200,400,,,,1000,,800,,,,,,,5,3,3,3,4,0,4,4,歴史的名所、美術館など多く、趣味で来れる,5,5,4,4,1,美術館が良かった,12,景観が良く、古いものを大切にしている,8,wifiが入りにくい,999,,2,4,コインロッカー,1,500,魅力的なスポットが多いので、標識等わかりやすくすれば観光客がふえる
36,1,4,2018/6/27,16:35,1,東京都,品川区,,,,1,5,1,,,,,,,0,0,0,0,0,0,0,,1,4,,,,,,,,,,,,,,,1,1,0,0,0,0,,0,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,,,,,,,,,104,120,,,,,,,,,2,5720,720,,,,5000,バル,,,,,,,,5,5,5,5,5,0,5,5,,5,5,5,5,4,飲食店が多い,999,,999,,999,,2,999,,999,,
37,1,4,2018/6/27,16:25,1,東京都,墨田区,,,,1,8,1,,,,,,,0,0,0,0,0,0,0,,1,1,,,,,,,,,,,,,,,1,1,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,,,,,,,,,104,120,,,,,,,,,999,3000,,,,,3000,飲み会,,,,,,,,3,3,4,4,3,0,3,3,エレベーター,,,,,999,,999,,2,エレベーターがない,999,,2,999,,999,,
38,1,4,2018/6/27,16:20,1,東京都,新宿区,,,,2,9,1,,,,,,,0,0,0,0,0,0,0,,1,2,,3,59,,,,,,,,,,,,2,0,0,1,0,0,,0,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,,,,,,,,,104,60,,,,,,,,,2,50360,360,,50000,材料,,,,,,,,,,5,5,5,3,5,0,5,5,,5,5,5,5,4,買い物に便利,999,,999,,999,,2,999,,999,,バスの便が良い
39,1,4,2018/6/27,16:10,3,海外,,インドネシア,成田,成田,2,2,1,,,,,,,0,0,0,0,0,0,0,,1,2,,3,59,1,59,,,,,,,,,,2,0,1,0,0,0,,0,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,104,120,2,,3,,,,,,3,11000,,,10000,雑貨,1000,ランチ,,,,,,,,5,5,5,5,5,5,3,3,,5,5,5,5,1,全部良い,2,全部良い,999,,999,,2,999,,999,,
