,,,,,,,,,,,,
エリア,エリア,,枝番,,設置場所,ラック数,住所,ポート名称,備考,,,
4.本駒込・白山,E4,-,01,.,千石南自転車駐車場,12,白山5－17-13,E4-01.千石南自転車駐車場,,,,
,E4,-,02,.,向丘地域活動センター,6,向丘1-20-8,E4-02.向丘地域活動センター,開設時間9：00～21：30,,,
,E4,-,03,.,昭和小学校北側（不忍通り）,16,本駒込2-28-31,E4-03.昭和小学校北側（不忍通り）,,,,
,E4,-,04,.,セブンイレブン本駒込一丁目店,3,本駒込1-11-3,E4-04.セブンイレブン本駒込一丁目店,,,,
,E4,-,07,.,ファミリーマート本駒込二丁目店,4,本駒込2-10-1,E4-07.ファミリーマート本駒込二丁目店,,,,
,E4,-,08,.,ドコモバイクシェア向丘ポート,10,向丘2-16-10,E4-08.ドコモバイクシェア向丘ポート,,,,
,E4,-,10,.,白山四丁目第二児童遊園横,5,白山4-4,E4-10.白山四丁目第二児童遊園横,,,,
,E4,-,11,.,プライマル千石,3,白山1-19-7,E4-11.プライマル千石,,,,
,E4,-,12,.,文京宮下公園,4,千石4-23,E4-12.文京宮下公園,,,,
,E4,-,14,.,NTT東日本大塚ビル,5,千石1-6-12,E4-14.NTT東日本大塚ビル,,,,
,E4,-,15,.,千石４丁目,5,千石4-34-16,E4-15.千石４丁目,,,,
,E4,-,16,,ビレッジワン,7,千石2-34-4,E4-16ビレッジワン,,,,
5.根津・千駄木,E5,-,01,.,文京総合体育館,15,本郷7-1-2,E5-01.文京総合体育館,,,,
,E5,-,02,.,不忍通りふれあい館,6,根津2-20-7,E5-02.不忍通りふれあい館,開設時間8：30～21：30,,,
,E5,-,03,.,汐見地域活動センター（本郷図書館）,2,千駄木3-2-6,E5-03.汐見地域活動センター（本郷図書館）,,,,
,E5,-,04,.,保健サービスセンター本郷支所,5,千駄木5-20-18,E5-04.保健サービスセンター本郷支所,,,,
,E5,-,05,.,駒込地域活動センター,4,本駒込3-22-4,E5-05.駒込地域活動センター,,,,
,E5,-,07,.,湯島三丁目児童遊園,4,湯島3-26-6,E5-07.湯島三丁目児童遊園,,,,
,E5,-,08,.,セブン-イレブン 文京動坂上店,4,本駒込3-10-21,E5-08.セブン-イレブン 文京動坂上店,,,,
,E5,-,09,.,男女平等センター,7,本駒込3-10-21,E5-09.男女平等センター,,,,
,E5,-,12,.,NK本郷ビル,6,本郷3丁目9,E5-12.NK本郷ビル,,,,
,E5,-,13,.,弥生二丁目,6,弥生2丁目5,E5-13.弥生二丁目,,,,
,E5,-,14,.,上野広小路駅（湯島側）,12,湯島3-39-3,E5-14.上野広小路駅（湯島側）,,,,
,E5,-,15,.,文京千駄木の郷,5,千駄木5-19-2,E5-15.文京千駄木の郷,,,,
,E5,-,17,.,Village藍染,5,根津2-33-14,E5-17.Village藍染,,,,
,E5,-,18,.,団子坂上広場,5,千駄木5-4,E5-18.団子坂上広場,,,,
,E5,-,19,.,千駄木公園,3,千駄木5-43,E5-19.千駄木公園,,,,
,E5,-,20,.,本郷２丁目,6,本郷2-17-2,E5-20.本郷２丁目,,,,
,E5,-,21,.,動坂公園,5,本駒込4-18,E5-21.動坂公園,,,,
,E5,-,22,.,千駄木2丁目,5,千駄木2-32-8,E5-22.千駄木2丁目,,,,
,E5,-,23,.,ビレッジ千駄木,6,千駄木2-11-1,E5-23.ビレッジ千駄木,,,,
,E5,-,24,.,本郷6丁目,5,本郷6-5-8,E5-24.本郷6丁目,,,,
,E5,-,25,,ジェノヴィア東大前グリーンヴェール,11,本郷5-30-18,E5-25ジェノヴィア東大前グリーンヴェール,,,,
,E5,-,26,,本郷４丁目,4,本郷4-36-2,E5-26本郷４丁目,,,,
,E5,-,27,,真正館駐車場,3,本郷4-36-2,E5-27真正館駐車場,,,,
,E5,-,30,,湯島３丁目15,10,湯島３丁目15-2,E5-30湯島３丁目15,,,,
,,,69 ,,箇所,570,ラック,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
