アセットDB番号,台帳番号,種別,局,団体名,台帳名称,分類,所在（都道府県）,所在（区市町村）,所在（町、字）,所在（地番）,所在（その他）,住居表示,緯度（世界測地系）,経度（世界測地系）,構造,面積（㎡）,竣工日,取得年月日,階数高（地上）,高さ（m),DB追加・更新年月日
213000297,213000297,建物,総務局,,職員渋谷住宅,行政財産,東京都,渋谷区,渋谷,１丁目,2番地8,,35.661536,139.706273,鉄骨鉄筋コンクリート造,1381.49,19990309,,7,,20191108
214000152,214000152,建物,総務局,,職員中目黒住宅,行政財産,東京都,目黒区,中目黒,２丁目,３０７－４,,35.642555,139.704024,鉄骨鉄筋コンクリート造,14904.87,20000131,,9,,20191108
214000298,214000298,建物,総務局,,職員中目黒住宅（旧消防寮）,行政財産,東京都,目黒区,中目黒,２丁目,３０７－４,,35.642857,139.704451,鉄骨鉄筋コンクリート造,1415.95,20000131,,5,,20191108
200037401,200037401,建物,総務局,,小笠原地区テレビ放送難視聴解消事業用局舎（父島）,行政財産,東京都,小笠原村,父島,,字洲崎２９番地,,27.072331,142.195605,鉄筋コンクリート造,102.08,19960228,,1,,20191108
200037402,200037402,建物,総務局,,小笠原地区テレビ放送難視聴解消事業用局舎（母島）,行政財産,東京都,小笠原村,母島,,字元地１９９番地３・５,,26.64078,142.158074,鉄筋コンクリート造,102.08,19960228,,1,,20191108
200000178,200000178,建物,総務局,,二ッ塚中継局舎,行政財産,東京都,青梅市,長淵,９丁目,１４１７－１１５,,35.763318,139.254705,鉄筋コンクリート造,130.2,19780331,,1,,20191108
200000179,200000179,建物,総務局,,夜明山中継局舎,行政財産,東京都,小笠原村,父島,,字夜明山４８,,27.087549,142.218791,鉄筋コンクリート造,28,19800825,,1,,20191108
200031216,200031216,建物,総務局,,東京都立川地域防災センター住宅棟,行政財産,東京都,立川市,緑町,,３２３３－２他,,35.706272,139.407903,鉄骨鉄筋コンクリート造,7149.92,19910201,,10,,20191108
200031217,200031217,建物,総務局,,東京都立川地域防災センター防災棟,行政財産,東京都,立川市,緑町,,３２３３－２他,,35.706568,139.408022,鉄骨鉄筋コンクリート造,7302.5,19910201,,4,,20191108
200033155,200033155,建物,総務局,,多摩稲城中継所局舎,行政財産,東京都,稲城市,若葉台,４丁目,２４番,,35.62758,139.465026,鉄筋コンクリート造,120,19900331,,1,,20191108
200033156,200033156,建物,総務局,,南氷川中継所局舎,行政財産,東京都,西多摩郡奥多摩町,氷川,,字南氷川１５３８番２,,35.800261,139.098153,鉄筋コンクリート造,32,19900331,,1,,20191108
200033158,200033158,建物,総務局,,白鬚中継所局舎,行政財産,東京都,墨田区,堤通,２丁目,2006,,35.735132,139.817289,鉄骨造,78.89,19900331,,13,,20191108
200033527,200033527,建物,総務局,,神津島中継所無線局舎,行政財産,東京都,神津島村,,,字秩父山９６－２,,34.196027,139.142186,鉄筋コンクリート造,42,19920313,,1,,20191108
200033534,200033534,建物,総務局,,三原山中継所無線局舎,行政財産,東京都,八丈島八丈町,大賀郷,,Feb-63,,33.092184,139.811845,鉄筋コンクリート造,137.58,19920312,,1,,20191108
200041117,200041117,建物,総務局,,宮塚山中継所局舎,行政財産,東京都,新島村,本村,,字宮塚山２１５番２ほか,,34.393496,139.267239,鉄筋コンクリート造,135.53,19920313,,2,,20191108
216000091,216000091,建物,総務局,,東京都多摩広域防災倉庫,行政財産,東京都,立川市,緑町,,3256番5,,35.708144,139.408023,鉄筋コンクリート造,14775.73,19901102,,3,,20191108
216000098,216000098,建物,総務局,,東京都多摩広域防災倉庫（管理棟）,行政財産,東京都,立川市,緑町,,3256番5,,35.707437,139.408125,鉄筋コンクリート造,1110.15,19901102,,2,,20191108
216000099,216000099,建物,総務局,,東京都多摩広域防災倉庫（作業棟）,行政財産,東京都,立川市,緑町,,3256番5,,35.708823,139.407944,鉄筋コンクリート造,1082.63,19901102,,2,,20191108
216000100,216000100,建物,総務局,,東京都多摩広域防災倉庫（庁舎棟）,行政財産,東京都,立川市,緑町,,3256番5,,35.707467,139.407787,鉄筋コンクリート造,819.26,20010321,,3,,20191108
200000068,200000068,建物,総務局,,大島支庁職員公舎椿荘,行政財産,東京都,大島町,元町,,馬の背２４７－６,,34.760795,139.358984,鉄筋コンクリート造,678.12,19700423,,4,,20191108
200035943,200035943,建物,総務局,,大島支庁庁舎,行政財産,東京都,大島町,元町,,字オンダシ２２２－１,,34.757417,139.357499,鉄筋コンクリート造,3417.71,19940622,,3,,20191108
200036901,200036901,建物,総務局,,大島支庁新島出張所・島しょ保健所新島支所（総務局分,行政財産,東京都,新島村,本村,,2006/3/7,,34.372623,139.252789,鉄筋コンクリート造,379.79,19950825,,2,,20191108
200036902,200036902,建物,総務局,,大島支庁長公舎,行政財産,東京都,大島町,元町,３丁目,2月3日,,34.749942,139.357286,鉄筋コンクリート造,110.78,19960122,,1,,20191108
200042656,200042656,建物,総務局,,仲野住宅１号棟,行政財産,東京都,大島町,元町,,字仲野２０９－２,,34.758575,139.355748,鉄筋コンクリート造,860.88,19881130,,3,,20191108
200042657,200042657,建物,総務局,,仲野住宅２号棟,行政財産,東京都,大島町,元町,,字仲野２０９－２,,34.758344,139.355751,鉄筋コンクリート造,860.88,19881130,,3,,20191108
200042936,200042936,建物,総務局,,大島支庁神津島出張所,行政財産,東京都,神津島村,,,1204,,34.203128,139.133759,鉄筋コンクリート造,415.3,20050323,,2,,20191108
206000034,206000034,建物,総務局,,神津島かじやま住宅,行政財産,東京都,神津島村,,,261,,34.211473,139.14236,鉄筋コンクリート造,402.96,19910331,,2,,20191108
207000004,207000004,建物,総務局,,東京都職員公舎新島本村住宅,行政財産,東京都,新島村,本村,４丁目,,,34.369736,139.257135,鉄筋コンクリート造,706.48,19920229,,3,,20191108
207000238,207000238,建物,総務局,,仲野二住宅,行政財産,東京都,大島町,元町,,字仲野２０９番地１,,34.758589,139.35527,鉄筋コンクリート造,859.1,19930331,,3,,20191108
208000307,208000307,建物,総務局,,東京都職員公舎大島第二椿荘,行政財産,東京都,大島町,元町,,字馬の背２４７番地６,,34.761264,139.359194,鉄筋コンクリート造,966.33,19840131,,4,,20191108
210000241,210000241,建物,総務局,,大島支庁職員公舎中川原住宅,行政財産,東京都,新島村,本村,６丁目,２番地,,34.373006,139.252747,鉄筋コンクリート造,284.18,19950823,,2,,20191108
211000183,211000183,建物,総務局,,東京都職員公舎第三椿荘,行政財産,東京都,大島町,元町,,字馬の背２４７－６,,34.761032,139.359087,鉄筋コンクリート造,724.58,20090716,,3,,20191108
211000311,211000311,建物,総務局,,東京都職員公舎第一椿荘,行政財産,東京都,大島町,元町,,字馬の背２４７－６,,34.760804,139.35897,鉄筋コンクリート造,724.58,20120314,,3,,20191108
212000276,212000276,建物,総務局,,神津島第二かじやま住宅,行政財産,東京都,神津島村,,,２６１番地１,,34.21121,139.141961,鉄筋コンクリート造,442.94,19970731,,2,,20191108
217000291,217000291,建物,総務局,,前浜海岸住宅,行政財産,東京都,新島村,本村,６丁目,5月15日,,34.37251,139.251476,鉄筋コンクリート造,399.16,20171001,,2,,20191108
200034695,200034695,建物,総務局,,三宅支庁（第二庁舎）,行政財産,東京都,三宅島三宅村,伊豆,,642,,34.119227,139.517473,鉄筋コンクリート造,572.77,19940224,,2,,20191108
200041847,200041847,建物,総務局,,三宅支庁職員公舎（つわぶきＤ）,行政財産,東京都,三宅島三宅村,伊豆,,638,,34.119094,139.518725,鉄筋コンクリート造,231.5,19760214,,2,,20191108
200042062,200042062,建物,総務局,,三宅支庁職員公舎（つわぶきＣ）,行政財産,東京都,三宅島三宅村,伊豆,,636,,34.119636,139.518447,鉄筋コンクリート造,231.5,19760214,,2,,20191108
200042401,200042401,建物,総務局,,三宅支庁職員公舎（椎の木荘１号棟）,行政財産,東京都,三宅島三宅村,伊豆,,６４８－３,,34.11826,139.517186,鉄筋コンクリート造,829.19,19880412,,3,,20191108
200042402,200042402,建物,総務局,,三宅支庁職員公舎（椎の木荘２号棟）,行政財産,東京都,三宅島三宅村,伊豆,,６４８－３,,34.118025,139.517315,鉄筋コンクリート造,832.67,19880412,,3,,20191108
207000267,207000267,建物,総務局,,三宅支庁職員公舎（つわぶきＡ）,行政財産,東京都,三宅島三宅村,伊豆,,６３６番地１,,34.119831,139.518719,鉄筋コンクリート造,875.28,19930421,,3,,20191108
207000269,207000269,建物,総務局,,三宅支庁職員公舎（つわぶきＢ）,行政財産,東京都,三宅島三宅村,伊豆,,６３８番地,,34.119194,139.51901,鉄筋コンクリート造,426.06,19830224,,2,,20191108
211000315,211000315,建物,総務局,,三宅支庁庁舎,行政財産,東京都,三宅島三宅村,伊豆,,642,,34.118747,139.517365,鉄筋コンクリート造,1939.86,20120308,,2,,20191108
213000277,213000277,建物,総務局,,三宅支庁職員公舎（椎の木荘３号棟）,行政財産,東京都,三宅島三宅村,伊豆,,６４８番地参,,34.11777,139.517315,鉄筋コンクリート造,771.9,19990729,,3,,20191108
200030551,200030551,建物,総務局,,八丈支庁支庁長公舎,行政財産,東京都,八丈島八丈町,大賀郷,,1180,,33.104019,139.786471,鉄筋コンクリート造,95,19890315,,1,,20191108
200042094,200042094,建物,総務局,,八丈支庁職員公舎（桜平第三住宅３号棟）,行政財産,東京都,八丈島八丈町,三根,,1622,,33.119191,139.80413,鉄筋コンクリート造,457.97,19870128,,3,,20191108
200042095,200042095,建物,総務局,,八丈支庁職員公舎（桜平第三住宅４号棟）,行政財産,東京都,八丈島八丈町,三根,,1622,,33.119172,139.804349,鉄筋コンクリート造,453.11,19870128,,3,,20191108
200042937,200042937,建物,総務局,,大賀郷住宅Ａ棟,行政財産,東京都,八丈島八丈町,大賀郷,,1180,,33.103716,139.786752,鉄筋コンクリート造,445.2,19900215,,3,,20191108
200042938,200042938,建物,総務局,,大賀郷住宅Ｂ棟,行政財産,東京都,八丈島八丈町,大賀郷,,1180,,33.103812,139.786905,鉄筋コンクリート造,488.4,19900215,,3,,20191108
200042939,200042939,建物,総務局,,大賀郷住宅Ｃ棟,行政財産,東京都,八丈島八丈町,大賀郷,,1180,,33.103997,139.786688,鉄筋コンクリート造,323.24,19900215,,2,,20191108
207000235,207000235,建物,総務局,,大賀郷住宅D棟,行政財産,東京都,八丈島八丈町,大賀郷,,１１８４番地２,,33.103736,139.785991,鉄筋コンクリート造,517.5,19930219,,3,,20191108
207000236,207000236,建物,総務局,,桜平二住宅,行政財産,東京都,八丈島八丈町,三根,,1622,,33.119657,139.804117,鉄筋コンクリート造,1229.01,19820810,,3,,20191108
211000274,211000274,建物,総務局,,八丈支庁庁舎,行政財産,東京都,八丈島八丈町,大賀郷,,Feb-66,,33.109798,139.78894,鉄筋コンクリート造,4651.45,20120223,,3,,20191108
211000275,211000275,建物,総務局,,八丈支庁職員公舎（桜平第一住宅）,行政財産,東京都,八丈島八丈町,三根,,1622,,33.119518,139.804576,鉄筋コンクリート造,1331.97,20111125,,4,,20191108
200000112,200000112,建物,総務局,,小笠原支庁職員公舎（奥村単身）,行政財産,東京都,小笠原村,父島,,字奥村,,27.098371,142.205017,軽量鉄骨造,111.33,19690331,,1,,20191108
200000116,200000116,建物,総務局,,小笠原支庁清瀬職員公舎（３号棟）,行政財産,東京都,小笠原村,父島,,字清瀬,,27.100893,142.196696,鉄筋コンクリート造,467.5,19691001,,4,,20191108
200000131,200000131,建物,総務局,,小笠原支庁職員公舎（旧２号棟）,行政財産,東京都,小笠原村,父島,,字清瀬,,27.100061,142.197169,鉄筋コンクリート造,748,19690331,,4,,20191108
200026973,200026973,建物,総務局,,小笠原支庁庁舎,行政財産,東京都,小笠原村,父島,,字西町,,27.095619,142.190973,鉄筋コンクリート造,2043.35,19690809,,2,,20191108
200034461,200034461,建物,総務局,,小笠原支庁母島出張所庁舎,行政財産,東京都,小笠原村,母島,,字元地,,26.640608,142.16077,鉄筋コンクリート造,903.77,19930930,,2,,20191108
200041848,200041848,建物,総務局,,清瀬職員住宅７号棟,行政財産,東京都,小笠原村,父島,,字清瀬,,27.100877,142.196269,鉄筋コンクリート造,291.84,19770310,,2,,20191108
200042658,200042658,建物,総務局,,小笠原支庁職員公舎（清瀬職員住宅５号棟）,行政財産,東京都,小笠原村,父島,,字清瀬３５,,27.100466,142.196422,鉄筋コンクリート造,418.53,19890331,,2,,20191108
209000384,209000384,建物,総務局,,小笠原支庁清瀬職員住宅４号棟,行政財産,東京都,小笠原村,父島,,字清瀬,,27.100676,142.197768,鉄筋コンクリート造,766.41,19841130,,3,,20191108
213000296,213000296,建物,総務局,,小笠原支庁清瀬職員住宅１号棟,行政財産,東京都,小笠原村,父島,,３５番２,,27.10004,142.196652,鉄筋コンクリート造,1426.06,19990309,,4,,20191108
213000300,213000300,建物,総務局,,小笠原支庁清瀬職員住宅２号棟,行政財産,東京都,小笠原村,父島,,３５番地の２,,27.100075,142.197168,鉄筋コンクリート造,1236.63,19990309,,4,,20191108
217000281,217000281,建物,総務局,,母島都職員住宅１号棟,行政財産,東京都,小笠原村,母島,,字元地200番地,,26.642636,142.162095,鉄筋コンクリート造,225.1,20030309,,2,,20191108
217000283,217000283,建物,総務局,,母島都職員住宅２号棟,行政財産,東京都,小笠原村,母島,,字元地200番地,,26.642463,142.162038,鉄筋コンクリート造,298.1,20030309,,2,,20191108
200014978,200014978,建物,財務局,,第二再開発事務所庁舎,普通財産,東京都,江東区,白河,３丁目,5月1日,,35.682918,139.805654,鉄筋コンクリート造,"1,105.60",19590116,,2,,20191108
200033517,200033517,建物,財務局,,第二再開発事務所会議室・倉庫,普通財産,東京都,江東区,白河,３丁目,5月1日,,35.682772,139.805867,鉄骨造,245.82,19920217,,2,,20191108
200040858,200040858,建物,財務局,,旧中水道第１配水池ポンプ棟,普通財産,東京都,多摩市,聖ヶ丘,５丁目,3月2日,,35.626727,139.463482,鉄筋コンクリート造,374.28,19990201,,2,,20191108
200017969,200017969,建物,財務局,,旧玉川高等学校校舎,普通財産,東京都,世田谷区,玉川,１丁目,1月20日,,35.609324,139.633956,鉄筋コンクリート造,"8,114.44",19780214,,3,,20191108
200017970,200017970,建物,財務局,,旧玉川高等学校格技場,普通財産,東京都,世田谷区,玉川,１丁目,1月20日,,35.609802,139.63412,鉄筋コンクリート造,"1,248.59",19780214,,2,,20191108
200017971,200017971,建物,財務局,,旧玉川高等学校付属棟,普通財産,東京都,世田谷区,玉川,１丁目,1月20日,,35.60884,139.633651,鉄筋コンクリート造,168,19780214,,1,,20191108
200017973,200017973,建物,財務局,,旧玉川高等学校プ－ル附属棟,普通財産,東京都,世田谷区,玉川,１丁目,1月20日,,35.610318,139.633267,鉄筋コンクリート造,324,19781002,,2,,20191108
200033189,200033189,建物,財務局,,旧玉川高等学校体育館,普通財産,東京都,世田谷区,玉川,１丁目,1月20日,,35.609548,139.63369,鉄筋コンクリート造,"2,422.67",19911125,,2,,20191108
200015788,200015788,建物,財務局,,旧田園調布警察署沼部（交）,普通財産,東京都,大田区,田園調布南,,２３－１５,,35.582006,139.674942,軽量鉄骨造,24.79,19730519,,1,,20191108
200017472,200017472,建物,財務局,,旧市ヶ谷商業高等学校校舎1,普通財産,東京都,新宿区,矢来町,,6,,35.700489,139.73093,鉄筋コンクリート造,"2,556.37",19561220,,3,,20191108
200017473,200017473,建物,財務局,,旧市ヶ谷商業高等学校体育館,普通財産,東京都,新宿区,矢来町,,6,,35.70087,139.731167,鉄骨鉄筋コンクリート造,809.87,19610331,,2,,20191108
200017474,200017474,建物,財務局,,旧市ヶ谷商業高等学校校舎2,普通財産,東京都,新宿区,矢来町,,6,,35.700835,139.730897,鉄筋コンクリート造,"2,879.89",19650331,,3,,20191108
200017475,200017475,建物,財務局,,旧市ヶ谷商業高等学校部室,普通財産,東京都,新宿区,矢来町,,6,,35.700321,139.731283,鉄筋コンクリート造,248.97,19710910,,3,,20191108
200034124,200034124,建物,財務局,,旧市ヶ谷商業高等学校更衣室及び物置,普通財産,東京都,新宿区,矢来町,,6,,35.70107,139.731241,鉄筋コンクリート造,34.75,19930226,,1,,20191108
200034125,200034125,建物,財務局,,旧市ヶ谷商業高等学校更衣室,普通財産,東京都,新宿区,矢来町,,6,,35.700376,139.731411,鉄筋コンクリート造,13.5,19930226,,1,,20191108
200032717,200032717,建物,財務局,,東京都庁第一本庁舎,行政財産,東京都,新宿区,西新宿,２丁目,８番,,35.689497,139.691749,鉄骨造・一部鉄骨鉄筋コンクリート造,196755.04,19910330,,48,,20191108
200032716,200032716,建物,財務局,,東京都庁第二本庁舎,行政財産,東京都,新宿区,西新宿,２丁目,９番,,35.688029,139.692071,鉄骨造・一部鉄骨鉄筋コンクリート造,139949.78,19910330,,34,,20191108
200032715,200032715,建物,財務局,,東京都議会議事堂,行政財産,東京都,新宿区,西新宿,２丁目,５番,,35.690107,139.693158,鉄骨鉄筋コンクリート造、一部鉄骨造,17246.63,19910330,,7,,20191108
200000243,200000243,建物,主税局,,千代田都税事務所,行政財産,東京都,千代田区,内神田,２丁目,4番8,,35.689096,139.76818,鉄骨鉄筋コンクリート造,"6,225",19750331,,8,,20191108
209000290,209000290,建物,主税局,,港都税事務所,行政財産,東京都,港区,麻布台,３丁目,1番8,,35.660022,139.740217,鉄骨鉄筋コンクリート造,"3,570.23",20091102,,8,,20191108
200000246,200000246,建物,主税局,,新宿都税事務所,行政財産,東京都,新宿区,西新宿,7丁目,21番1,,35.696788,139.698816,鉄筋コンクリート造,"3,840.27",19711215,,6,,20191108
200000250,200000250,建物,主税局,,台東都税事務所,行政財産,東京都,台東区,雷門,１丁目,38番4,,35.709902,139.792164,鉄骨鉄筋コンクリート造,"4,436.43",19760615,,5,,20191108
216000298,216000298,建物,主税局,,墨田都税事務所,行政財産,東京都,墨田区,業平,１丁目,12番19,,35.707819,139.809128,鉄筋コンクリート造,"3,240.26",20170330,,4,,20191108
200000252,200000252,建物,主税局,,江東都税事務所,行政財産,東京都,江東区,大島,３丁目,141番3,,35.689996,139.827673,鉄骨鉄筋コンクリート造,"5,191.25",19760331,,4,,20191108
200000255,200000255,建物,主税局,,大田都税事務所,行政財産,東京都,大田区,西蒲田,７丁目,11番4,,35.564282,139.711235,鉄筋コンクリート造,"5,122.84",19690506,,5,,20191108
200031176,200031176,建物,主税局,,中野都税事務所,行政財産,東京都,中野区,中野,４丁目,649番3,,35.709597,139.663799,鉄骨鉄筋コンクリート造,"5,385.79",19901109,,6,,20191108
200000263,200000263,建物,主税局,,杉並都税事務所,行政財産,東京都,杉並区,成田東,５丁目,13番5,,35.699645,139.63404,鉄筋コンクリート造,"3,487.41",19671125,,5,,20191108
200037898,200037898,建物,主税局,,豊島都税事務所,行政財産,東京都,豊島区,西池袋,１丁目,17番1,,35.730917,139.708432,鉄骨鉄筋コンクリート造,"9,304.05",19960731,,7,,20191108
200000264,200000264,建物,主税局,,北都税事務所,行政財産,東京都,北区,中十条,１丁目,10番1,,35.758227,139.729212,鉄骨鉄筋コンクリート造,"2,809.66",19681007,,3,,20191108
200029775,200029775,建物,主税局,,板橋都税事務所,行政財産,東京都,板橋区,大山東町,,44番8,,35.749492,139.706127,鉄筋コンクリート造,"4,652.52",19880223,,5,,20191108
213000245,213000245,建物,主税局,,足立都税事務所,行政財産,東京都,足立区,西新井栄町,２丁目,1053番1,,35.777947,139.788252,鉄筋コンクリート造,"3,435.52",20140110,,4,,20191108
200000273,200000273,建物,主税局,,江戸川都税事務所,行政財産,東京都,江戸川区,中央,４丁目,1965番1,,35.709572,139.868277,鉄筋コンクリート造,"3,399.29",19711115,,5,,20191108
200000279,200000279,建物,主税局,,八王子都税事務所,行政財産,東京都,八王子市,明神町,３丁目,596番2,,35.656377,139.343478,鉄筋コンクリート造,"5,066.18",19690531,,4,,20191108
214000334,214000334,建物,主税局,,立川都税事務所,行政財産,東京都,立川市,錦町,４丁目,30番1,,35.691902,139.420783,鉄骨鉄筋コンクリート造,"11,229.96",20150227,,4,,20191108
200000286,200000286,建物,主税局,,小平都税支所,行政財産,東京都,小平市,花小金井,１丁目,785,,35.73016,139.514148,鉄筋コンクリート造,"4,241.69",19631206,,3,,20191108
200000288,200000288,建物,主税局,,品川自動車税事務所,行政財産,東京都,品川区,東大井,１丁目,217番1,,35.605048,139.746644,鉄筋コンクリート造,481.8,19780306,,4,,20191108
200022949,200022949,建物,主税局,,練馬自動車税事務所,行政財産,東京都,練馬区,北町,２丁目,8番6,,35.765995,139.657752,鉄骨造,380.34,19820331,,4,,20191108
211000310,211000310,建物,主税局,,足立自動車税事務所,行政財産,東京都,足立区,南花畑,５丁目,2340番1外6,,35.797054,139.816752,鉄骨造,438.5,20120328,,3,,20191108
200000292,200000292,建物,主税局,,多摩自動車税事務所,行政財産,東京都,国立市,北,３丁目,30,,35.702456,139.430359,鉄筋コンクリート造,350.36,19770331,,2,,20191108
200026807,200026807,建物,主税局,,八王子自動車税事務所,行政財産,東京都,八王子市,滝山町,１丁目,270番5,,35.691317,139.346725,鉄筋コンクリート造,396.9,19850125,,2,,20191108
200010302,200010302,建物,生活文化局,,砂川公設小売市場,普通財産,東京都,立川市,一番町,５丁目,8月23日,,35.732598,139.375304,鉄骨鉄筋コンクリート造,875.52,19710602,,1,,20191108
200001072,200001072,建物,生活文化局,,旧小笠原伯爵邸,普通財産,東京都,新宿区,河田町,,１７番地　１号,,35.698436,139.71744,鉄筋コンクリート造,"1,106.64",19270328,,2,,20191108
200001388,200001388,建物,生活文化局,,東京都渋谷公園通りギャラリー,普通財産,東京都,渋谷区,神南,１丁目,Mar-35,,35.662543,139.699632,鉄骨鉄筋コンクリート造,361.78,19710903,,9,,20191108
200001601,200001601,建物,生活文化局,,トーキョーアーツアンドスペース本郷,普通財産,東京都,文京区,本郷,２丁目,9月5日,,35.702962,139.759287,鉄筋コンクリート造,484.72,19490401,,3,,20191108
200015556,200015556,建物,生活文化局,,東京都江戸東京博物館（分館）万世橋交番,行政財産,東京都,小金井市,関野町,２丁目,,,35.715806,139.514256,鉄筋コンクリート造,13.42,19300907,,1,,20191108
200019947,200019947,建物,生活文化局,,東京都美術館,行政財産,東京都,台東区,上野公園,,1月2日,,35.717309,139.772916,鉄骨鉄筋コンクリート造,"37,711.57",19750331,,2,,20191108
200019954,200019954,建物,生活文化局,,東京文化会館,行政財産,東京都,台東区,上野公園,,１－２のうち,,35.714315,139.775248,鉄骨鉄筋コンクリート造,"21,234.18",19610331,,4,,20191108
200023463,200023463,建物,生活文化局,,東京都庭園美術館本館,普通財産,東京都,港区,白金台,５丁目,2月26日,,35.636922,139.71905,鉄筋コンクリート造,"2,131.63",19330501,,4,,20191108
200023467,200023467,建物,生活文化局,,東京都庭園美術館券売所棟,普通財産,東京都,港区,白金台,５丁目,2月26日,,35.637255,139.71941,鉄筋コンクリート造,71.14,19330501,,1,,20191108
200023468,200023468,建物,生活文化局,,東京都庭園美術館警備室,普通財産,東京都,港区,白金台,５丁目,2月26日,,35.637254,139.719716,鉄筋コンクリート造,28.49,19330501,,1,,20191108
200026894,200026894,建物,生活文化局,,東京文化会館リハーサル棟,行政財産,東京都,台東区,上野公園,,１－２のうち,,35.713943,139.774782,鉄骨鉄筋コンクリート造,"1,333.96",19841127,,1,,20191108
200031080,200031080,建物,生活文化局,,東京芸術劇場,行政財産,東京都,豊島区,西池袋,１丁目,８番１号,,35.729692,139.708059,鉄骨鉄筋コンクリート造,"51,355.20",19900828,,10,,20191108
200033985,200033985,建物,生活文化局,,東京都江戸東京博物館,行政財産,東京都,墨田区,横網,１丁目,２０－２６ほか１筆,,35.696503,139.796061,鉄骨鉄筋コンクリート造,"48,940.68",19920801,,7,,20191108
