地区,16登録頭数,16予防注射頭数,17登録頭数,17予防注射頭数,18登録頭数,18予防注射頭数,19登録頭数,19予防注射頭数,20登録頭数,20予防注射頭数,21登録頭数,21予防注射頭数,22登録頭数,22予防注射頭数,23登録頭数,23予防注射頭数,24登録頭数,24予防注射頭数,25登録頭数,25予防注射頭数,26登録頭数,26予防注射頭数,27登録頭数,27予防注射頭数,28登録頭数,28予防注射頭数,29登録頭数,29予防注射頭数,30登録頭数,30予防注射頭数,R1登録頭数,R1予防注射頭数,R2登録頭数,R2予防注射頭数,R3登録頭数,R3予防注射頭数,R4登録頭数,R4予防注射頭数
武蔵村山市,3929,2605,4095,2643,4219,2689,4453,2907,4619,2967,4664,3039,4782,3012,4829,2882,4760,3022,4402,3076,4349,3130,3960,3143,3924,3021,3901,3059,3951,2945,3979,3001,3932,2934,3916,2983,3902,2932
多摩市,4971,3906,5237,4279,5494,4167,5764,4256,5760,4635,5702,4446,5792,4472,5946,4587,5881,4616,5853,4598,5787,4685,5823,4530,5809,4555,5759,4442,5708,4410,5637,4289,5836,3995,5910,4026,5272,4129
稲城市,2877,2229,2994,2236,3248,2488,3378,2782,3543,2814,3676,2979,3825,3001,3811,2837,3925,3196,3959,3180,3979,3204,4028,3117,4209,3035,4233,3031,4156,2693,3816,3033,3905,3070,4039,3126,4250,3458
羽村市,2149,1811,2239,1829,2242,1880,2320,1975,2419,2052,2527,2056,2590,2122,2679,2096,2735,2189,2738,2200,2688,2156,2676,2154,2653,2098,2482,2055,2446,2031,2320,2023,2325,1973,2443,1973,2433,1979
あきる野市,5012,3938,4993,3922,5029,3929,4982,3964,5124,3894,5134,3878,5175,3853,5212,3739,5074,3703,4967,3745,4898,3706,4837,3693,4734,3629,4602,3536,4468,3445,4484,3349,4512,3229,4527,3229,4452,3273
西東京市,6100,4727,6472,4956,6951,5290,7392,5639,7698,5955,8023,6132,8177,6261,8296,6395,8432,6408,8566,6460,8684,6458,8721,6379,8687,6273,7945,6178,7740,6056,7395,5972,7354,6002,7457,5994,7490,5939
瑞穂町,1983,1519,2013,1496,2080,1519,2125,1571,2198,1622,2254,1616,2267,1600,2303,1639,2312,1631,2326,1630,2307,1624,2294,1574,2254,1454,2072,1453,1994,1362,1925,1365,1877,1289,1762,1281,1748,1306
日の出町,1068,853,1090,816,1110,828,1092,816,1081,764,1093,745,1104,760,1117,757,1129,763,1140,775,1074,742,1016,732,998,704,969,630,964,613,987,597,941,607,953,1114,965,435
檜原村,275,156,272,141,262,134,247,125,231,153,216,165,209,170,197,169,185,146,194,150,175,137,164,135,158,129,157,109,136,104,133,106,132,98,116,100,110,90
奥多摩町,468,365,448,342,433,325,415,309,393,302,394,282,379,255,375,246,359,231,346,220,333,188,317,196,310,191,293,172,265,182,276,178,259,171,265,177,238,184
大島町,710,496,726,440,742,442,780,460,782,469,742,448,809,434,757,433,547,435,520,306,487,359,479,345,455,317,446,289,426,282,367,255,331,207,307,197,265,163
利島村,13,12,13,13,13,13,13,13,13,13,12,13,11,11,8,8,9,10,8,8,9,9,12,9,9,10,7,8,7,7,8,7,6,6,6,6,5,6
新島村,264,208,256,211,250,199,248,198,236,204,239,202,230,199,237,204,236,203,227,180,214,195,191,162,187,161,192,145,181,139,181,131,159,117,154,106,149,95
神津島村,111,83,110,106,110,80,105,85,108,81,107,88,114,79,110,88,106,79,91,75,83,80,82,69,73,68,73,60,70,54,64,55,65,10,64,47,57,41
三宅村,116,36,104,48,121,76,135,99,137,91,140,86,130,96,130,86,128,78,124,72,117,73,95,74,84,78,79,66,82,65,78,57,72,51,69,52,62,41
御蔵島村,10,10,9,11,8,9,7,8,7,7,7,8,6,7,6,6,9,9,7,8,7,7,7,8,4,5,3,4,3,3,2,2,3,3,3,3,3,2
八丈町,528,430,519,407,508,376,500,379,471,383,419,360,393,337,400,319,397,331,362,315,338,289,314,294,300,271,291,264,274,225,243,218,224,192,209,184,209,174
青ケ島村,16,16,13,15,12,13,6,11,5,6,6,6,7,6,8,8,8,8,10,8,11,11,9,11,9,9,8,9,8,8,6,8,5,6,4,4,2,3
小笠原村,104,94,102,92,90,84,101,96,97,86,90,90,89,79,82,85,89,78,86,79,86,75,88,75,80,80,78,74,76,68,66,57,61,54,60,51,62,50
