"全国地方公共団体コード","ID","地方公共団体名","子育て施設ID","子育て施設名称","年齢","年齢区分","最低入居指数"
"132241","132241KSSN000095","多摩市","132241KSLT000023","関戸みどりの保育園","0","0歳","10"
"132241","132241KSSN000072","多摩市","132241KSLT000023","関戸みどりの保育園","1","1歳","41"
"132241","132241KSSN000023","多摩市","132241KSLT000023","関戸みどりの保育園","2","2歳","25"
"132241","132241KSSN000112","多摩市","132241KSLT000023","関戸みどりの保育園","3","3歳","非公開"
"132241","132241KSSN000133","多摩市","132241KSLT000023","関戸みどりの保育園","4","4歳",""
"132241","132241KSSN000048","多摩市","132241KSLT000023","関戸みどりの保育園","5","5歳",""
"132241","132241KSSN000096","多摩市","132241KSLT000024","おだ学園保育園","0","0歳","33"
"132241","132241KSSN000073","多摩市","132241KSLT000024","おだ学園保育園","1","1歳","38"
"132241","132241KSSN000024","多摩市","132241KSLT000024","おだ学園保育園","2","2歳","非公開"
"132241","132241KSSN000113","多摩市","132241KSLT000024","おだ学園保育園","3","3歳",""
"132241","132241KSSN000134","多摩市","132241KSLT000024","おだ学園保育園","4","4歳","非公開"
"132241","132241KSSN000049","多摩市","132241KSLT000024","おだ学園保育園","5","5歳",""
