事業箇所,事業区間,区間延長,事業認可、区域決定,用地取得率
一般都道第173号 上館日野線（北野街道）（南平７～９丁目交差点）,日野市南平七丁目～同市南平九丁目,390m,平成20年11月5日区域決定,83%
主要地方道第46号 八王子あきる野線（高尾街道）（並木橋交差点）,八王子市四谷町～同市泉町,260m,平成23年11月30日区域決定,84%
一般都道第112号 ひばりヶ丘停車場線（谷戸町）,西東京市谷戸町二丁目～同市谷戸町三丁目,720m,平成2年1月26日区域決定,94%
一般都道第114号 武蔵野狛江線（吉祥寺通り）（下連雀５）,三鷹市下連雀五丁目～同市下連雀八丁目,210m,平成29年10月18日事業認可,46%
一般都道第229号　府中調布線（旧甲州街道）,府中市若松町一丁目～白糸台一丁目,820m,平成9年1月23日区域決定,47%
主要地方道第7号 杉並あきる野線（五日市街道）（武蔵野中央交差点）,武蔵野市中町三丁目～同市緑町一丁目,550m,平成19年1月29日区域決定,88%
主要地方道第7号 杉並あきる野線（五日市街道）（関前三丁目交差点）,武蔵野市関前三丁目～同市八幡町三丁目,240m,平成12年5月17日区域決定,92%
主要地方道第17号 所沢府中線（府中街道）（府中刑務所角交差点）,府中市栄町三丁目～同市晴見町四丁目,240m,平成22年2月19日区域決定,20%
主要地方道第17号 所沢府中線（府中街道）（府中栄町三丁目交差点）,府中市栄町三丁目地内,330m,平成8年4月24日区域決定,34%
一般都道第113号 杉並武蔵野線 （四軒寺交差点）,武蔵野市吉祥寺東町一丁目～同市吉祥寺北町一丁目,190m,平成23年10月24日事業認可,86%
一般都道第114号　武蔵野狛江線（松原通り）（松原交差点）,狛江市和泉本町一丁目～同市中和泉二丁目,235m,平成30年11月8日事業認可,31%
一般都道第121号 武蔵野調布線（三鷹通り）（深大寺五差路交差点）,調布市深大寺東町五丁目～同市深大寺元町五丁目,420m,平成19年2月16日区域決定,90%
主要地方道第4号 東京所沢線（所沢街道）（南町）,東久留米市南町一丁目～同市南沢五丁目,830m,平成18年3月20日区域決定,76%
主要地方道第4号 東京所沢線（所沢街道）（下里）,東久留米市下里五丁目地内,760m,平成11年2月4日区域決定,91%
主要地方道第4号 東京所沢線（所沢街道）（全生園）,東村山市青葉町一丁目～同市青葉町二丁目,900m,平成17年12月6日区域決定,62%
主要地方道第7号 杉並あきる野線 （五日市街道）（回田町）,小平市回田町～同市喜平町一丁目,670m,平成17年10月14日区域決定,58%
主要地方道第7号 杉並あきる野線 （五日市街道）（一番町）,立川市一番町二丁目地内,270m,平成18年3月3日区域決定,83%
一般?道第226号 東村山清瀬線（恩多町）,東村山市恩多町五丁目～同市青葉町二丁目,420m,平成25年6月17日区域決定,23%
一般都道第227号 小平停車場野中新田線（大沼町）,小平市大沼町一丁目～同市大沼町二丁目,600m,平成21年8月13日区域決定,93%
主要地方道第5号 新宿青梅線（青梅街道）（奈良橋庚申塚交差点）,東大和市中央二丁目～同市奈良橋六丁目,160m,平成21年4月15日区域決定,52%
主要地方道第5号 新宿青梅線（青梅街道）（かたくりの湯入口交差点）,武蔵村山市本町一丁目～同市本町四丁目,370m,平成22年10月29日区域決定,91%
主要地方道第7号 杉並あきる野線（五日市街道）（喜平橋交差点）,小平市上水南町三丁目～同市喜平町一丁目,320m,平成18年1月25日区域決定,91%
主要地方道第16号 立川所沢線（立川通り）（けやき台小学校西交差点）,立川市幸町三丁目～同市若葉町一丁目,420m,平成20年5月19日区域決定,63%
一般都道第226号 東村山清瀬線（野火止小入口交差点）,東村山市恩多町五丁目地内,370m,平成19年6月25日区域決定,74%
主要地方道第11号　大田調布線（等々力大橋（仮称））,世田谷区玉堤二丁目～同区野毛二丁目,,平成29年9月28日区域決定,40%
