事業名,事業箇所,事業区間,延長,事業認可,用地取得率
放射第7号線,大泉,練馬区大泉学園町二丁目 ～ 西大泉五丁目,"2,000ｍ",平成18年7月24日,98%
放射第9号線,Ⅲ期,豊島区巣鴨三丁目 ～ 五丁目,465ｍ,平成11年3月12日,89%
放射第35号線,早宮・北町,練馬区早宮二丁目 ～ 北町五丁目,"1,330ｍ",平成16年12月28日,99%
"放射第36号線
ほか1路線",小茂根・早宮,板橋区小茂根四丁目 ～ 練馬区早宮二丁目,"1,970ｍ",平成23年12月1日,85%
環状第5の1号線,雑司ヶ谷Ⅱ期,豊島区雑司が谷三丁目 ～ 南池袋二丁目,"1,400ｍ",平成23年10月24日,66%
環状第5の1号線,西巣鴨Ⅰ期,豊島区上池袋一丁目～豊島区西巣鴨三丁目,770ｍ,令和4年4月25日,0%
補助第26号線,南長崎,豊島区南長崎六丁目 ～ 長崎五丁目,320ｍ,平成26年3月24日,80%
補助第26号線,千早,豊島区千早四丁目 ～ 要町三丁目,460ｍ,平成25年10月28日,94%
補助第73号線,池袋本町,豊島区池袋本町二丁目 ～ 板橋区板橋一丁目,"1,070ｍ",平成27年1月6日,50%
補助第81号線,南池袋,豊島区南池袋二丁目 ～ 四丁目,260ｍ,平成17年11月16日,80%
補助第81号線,巣鴨,豊島区巣鴨五丁目 ～ 北区西ヶ原三丁目,930ｍ,平成27年2月24日,34%
補助第82号線,上池袋,豊島区上池袋三丁目 ～ 池袋本町三丁目,640ｍ,平成27年1月6日,72%
補助第82号線,池袋本町,豊島区池袋本町三丁目 ～ 板橋区大山金井町,490ｍ,平成27年1月6日,75%
補助第133号線,中村南,中野区上鷺宮一丁目 ～ 練馬区中村北三丁目,"1,105ｍ",平成29年10月18日,20%
補助第156号線,南大泉,練馬区東大泉四丁目 ～ 西大泉一丁目,"1,400m",令和3年4月23日,1%
補助第172号線,早宮,練馬区早宮三丁目,390ｍ,平成24年6月15日,44%
補助第172号線,長崎,豊島区長崎一丁目 ～ 五丁目,"1,620ｍ",平成27年1月6日,69%
補助第230号線,大泉町Ⅰ期,練馬区大泉町三丁目 ～ 土支田三丁目,850ｍ,平成21年7月21日,96%
補助第230号線,大泉町Ⅱ期,練馬区大泉学園町七丁目 ～ 大泉町三丁目,"1,250ｍ",平成22年8月10日,72%
補助第233号線,大泉学園町,練馬区大泉学園町四丁目 ～ 八丁目,500ｍ,平成27年8月20日,45%
放射第32号線,押上,墨田区押上三丁目 ～ 京島三丁目,860ｍ,平成24年10月3日,74%
環状第4号線,東向島,墨田区東向島四丁目 ～ 京島一丁目,600ｍ,平成25年6月20日,42%
補助第120号線,八広,墨田区八広六丁目 ～ 四丁目,420ｍ,平成15年3月5日,99%
補助第120号線,八広Ⅱ期,墨田区八広六丁目 ～ 五丁目,320ｍ,平成23年3月31日,49%
補助第142号線,南小岩,江戸川区南小岩五丁目 ～ 東小岩四丁目,560ｍ,平成27年1月6日,74%
補助第142号線,南小岩五,江戸川区南小岩五丁目 ～ 南小岩四丁目,160ｍ,平成27年6月11日,56%
補助第142号線,東小岩四,江戸川区東小岩五丁目 ～ 東小岩四丁目,160ｍ,平成27年6月11日,46%
補助第143号線,東小岩,江戸川区東小岩六丁目 ～ 南小岩八丁目,620ｍ,平成26年9月19日,76%
補助第143号線,柴又,葛飾区柴又七丁目 ～ 柴又四丁目,580m,令和元年12月20日,4%
補助第144号線,東砂,江東区東砂六丁目 ～ 東砂五丁目,385ｍ,平成27年8月20日,39%
補助第277号線,東水元,葛飾区東水元一丁目 ～ 東水元二丁目,410ｍ,平成23年6月10日,97%
補助第277号線,水元Ⅰ期,葛飾区水元三丁目 ～ 東水元四丁目,675m,令和3年6月21日,7%
放射第8号線,湯島天神下,文京区湯島三丁目,50ｍ,平成18年6月30日,99%
環状第4号線,目白台,新宿区西早稲田三丁目 ～ 文京区目白台二丁目,775ｍ,平成13年5月31日,98%
環状第4号線,本駒込,文京区本駒込二丁目 ～ 本駒込六丁目,600ｍ,平成26年8月13日,81%
環状第4号線,荒川,荒川区荒川一丁目 ～ 南千住一丁目,380ｍ,平成28年2月22日,54%
補助第73号線,赤羽西,北区赤羽西一丁目 ～ 東十条六丁目,730ｍ,平成14年2月25日,99%
補助第73号線,上十条,北区上十条二丁目,335ｍ,平成27年2月24日,19%
補助第73号線,十条仲原,北区上十条二丁目 ～ 十条仲原二丁目,560ｍ,平成27年2月24日,23%
補助第85号線,十条,北区上十条一丁目 ～ 上十条三丁目,620ｍ,令和2年3月3日,1%
補助第85号線,赤羽台,北区赤羽台三丁目 ～ 赤羽三丁目,380ｍ,平成9年3月6日,99%
補助第85号線,赤羽台Ⅱ期,北区赤羽台二丁目 ～ 三丁目,740ｍ,平成26年12月11日,87%
補助第86号線,赤羽南,北区赤羽南一丁目,300ｍ,平成28年3月15日,17%
補助第86号線,赤羽西,北区赤羽西五丁目 ～ 一丁目,"1,150ｍ",平成27年2月24日,68%
補助第90号線,梶原,荒川区西尾久五丁目 ～ 北区堀船三丁目,900ｍ,平成28年3月15日,71%
補助第90号線,荒川,荒川区荒川一丁目 ～ 七丁目,"1,120ｍ",平成27年2月24日,66%
補助第90号線,町屋,荒川区荒川七丁目 ～ 町屋一丁目,108m,平成27年3月4日,14%
補助第92号線,中里,北区中里三丁目 ～ 田端六丁目,160m,令和3年3月5日,0%
補助第94号線,不忍通り,台東区池之端二丁目 ～ 文京区千駄木二丁目,845ｍ,平成6年7月25日,97%
補助第109号線,神明南,足立区北加平町 ～ 神明一丁目,"1,210m",令和3年6月21日,3%
補助第136号線,本木,足立区扇一丁目 ～ 本木一丁目,840ｍ,平成14年3月27日,98%
補助第136号線,関原,足立区関原一丁目 ～ 梅田四丁目,490ｍ,平成3年12月21日,99%
補助第136号線,梅田その２,足立区梅田四丁目 ～ 三丁目,580ｍ,平成12年3月27日,99%
補助第136号線,足立,足立区足立一丁目 ～ 三丁目,630ｍ,平成26年9月19日,88%
補助第138号線,中央本町,足立区中央本町一丁目 ～ 弘道一丁目,700ｍ,平成23年10月24日,69%
補助第138号線,綾瀬新橋,足立区弘道二丁目 ～ 綾瀬四丁目,290ｍ,平成25年2月15日,99%
補助第138号線,興野,足立区興野一丁目 ～ 本木二丁目,350ｍ,平成26年2月7日,93%
補助第261号線,古千谷,足立区古千谷一丁目 ～ 伊興四丁目,"1,040ｍ",平成12年12月27日,99%
補助第261号線,神明,足立区神明二丁目 ～ 六木三丁目,720ｍ,平成28年2月22日,84%
補助第261号線,伊興,足立区伊興四丁目 ～ 竹の塚六丁目,910ｍ,平成29年2月22日,48%
青梅3･4･4(第二工区),,青梅市天ヶ瀬町 ～ 日向和田一丁目,880ｍ,平成17年12月2日,95%
福生3･4･4,,瑞穂町大字殿ヶ谷字榎内川添 ～ 大字武蔵,"1,430ｍ",平成24年7月4日,36%
福生3･3･30,,福生市福生,650ｍ,平成20年12月11日,91%
秋多3･4･6,,あきる野市草花,410ｍ,平成11年6月22日,93%
町田3･3･36(旭町),,町田市本町田 ～ 旭町,800ｍ,平成19年9月6日,99%
町田3･3･36(高ヶ坂Ⅰ期),,町田市旭町三丁目 ～ 本町田,990m,令和3年12月20日,0%
八王子3･4･28(Ⅱ期),,八王子市石川町 ～ 宇津木町,"1,140ｍ",平成25年6月20日,87%
日野3･4･3(三沢Ⅰ期),,日野市三沢,595ｍ,平成25年12月5日,87%
日野3･4･3(三沢Ⅱ期),,日野市三沢,790ｍ,平成27年8月20日,57%
八王子3･3･10,,八王子市上野町 ～ 同市緑町,755ｍ,平成28年2月26日,46%
武蔵野3･4･24(Ⅰ期),,武蔵野市境南町四丁目 ～ 境二丁目,480ｍ,平成15年3月5日,96%
武蔵野3･4･24(Ⅱ期),,武蔵野市境南町五丁目 ～ 三丁目,630ｍ,平成18年11月9日,68%
三鷹3･2･6,,三鷹市野崎二丁目 ～ 武蔵野市関前一丁目,"3,100ｍ",平成14年7月3日,99%
三鷹3･4･7(下連雀),,三鷹市下連雀五丁目 ～ 七丁目,780ｍ,平成23年12月1日,89%
府中3･2･2の2,,府中市西原町一丁目 ～ 国立市谷保,"1,330ｍ",平成23年7月5日,99%
府中3･4･5,,府中市西原町三丁目 ～ 国立市富士見台一丁目,360ｍ,平成25年7月3日,92%
調布3･4･2(水道道路),,狛江市岩戸南四丁目～狛江市東和泉三丁目,"1,610ｍ",令和3年2月9日,6%
調布3･4･11(佐須町),,調布市佐須町一丁目 ～ 富士見町三丁目,950ｍ,平成18年11月24日,84%
調布3･4･17(仙川),,調布市若葉町二丁目 ～ 三丁目,645ｍ,平成9年11月28日,98%
調布3･4･17(緑ヶ丘),,調布市仙川町三丁目 ～ 三鷹市北野四丁目,"1,060ｍ",平成28年2月17日,40%
調布3･4･17(野川大橋北),,調布市西つつじケ丘四丁目～入間町一丁目,695m,令和5年3月1日,0%
調布3･4･18(Ⅰ期),,調布市八雲台二丁目 ～ 柴崎一丁目,840ｍ,平成28年2月17日,59%
調布3･4･18(Ⅱ期),,調布市柴崎一丁目 ～ 深大寺南町三丁目,750ｍ,平成28年12月27日,16%
西東京3･2･6(Ⅰ期),,西東京市富士町一丁目 ～ 北町三丁目,"3,100ｍ",平成12年11月17日,99%
西東京3･2･6(Ⅱ期),,西東京市柳沢一丁目 ～ 富士町六丁目,800ｍ,平成14年1月10日,100%
西東京3･4･9(Ⅰ期),,西東京市北原町三丁目 ～ 西原町四丁目,"1,380ｍ",平成23年9月28日,98%
西東京3･4･9(Ⅱ期),,西東京市中町六丁目 ～ 北原町二丁目,"1,210ｍ",平成27年1月26日,65%
西東京3･4･12他1,,西東京市東町三丁目,240ｍ,平成10年7月10日,69%
西東京3･4･13,,西東京市栄町二丁目 ～ ひばりヶ丘北二丁目,190ｍ,令和元年12月20日,9%
西東京3･3･14(Ⅱ期),,西東京市北町六丁目 ～ 二丁目,445ｍ,平成30年3月22日,26%
小平3･2･8,,国分寺市東戸倉二丁目 ～ 小平市小川町一丁目,"1,445ｍ",平成25年7月30日,75%
昭島3･2･3,,昭島市中神町,430m,平成25年12月5日,11%
昭島3･2･11,,昭島市東町二丁目 ～ 福島町,385m,平成27年8月28日,99%
立川3･2･4(Ⅰ工区),,東大和市上北台一丁目 ～ 武蔵村山市神明四丁目,"1,100ｍ",平成23年12月1日,54%
立川3･2･4(Ⅱ工区),,武蔵村山市神明四丁目 ～ 中央一丁目,"1,215ｍ",平成28年2月5日,47%
立川3･2･4(Ⅲ工区),,武蔵村山市中央一丁目 ～ 三ツ木一丁目,"1,575ｍ",平成27年3月31日,51%
立川3･2･4(Ⅳ工区),,武蔵村山市三ツ木一丁目 ～ 中原三丁目,"1,175ｍ",平成28年3月15日,49%
立川3･2･38,,昭島市中神町 ～ 立川市上砂町三丁目,395ｍ,平成27年12月24日,51%
立川3･3･30,,立川市羽衣町二丁目 ～ 栄町六丁目,"2,520m",令和4年3月18日,0%
国分寺3･2･8,,府中市武蔵台三丁目 ～ 国分寺市東戸倉二丁目,"2,530ｍ",平成19年11月26日,99%
国分寺3･4･10,,小平市上水本町一丁目 ～ 国分寺市北町一丁目,320ｍ,平成22年10月4日,87%
国分寺3･4･11(東元町),,府中市栄町二丁目 ～ 国分寺市東元町三丁目,720ｍ,平成31年3月20日,19%
東村山3･3･8(本町),,東村山市本町一丁目 ～ 久米川町四丁目,990ｍ,平成25年11月25日,92%
東村山3･3･8(久米川),,東村山市久米川町四丁目 ～ 五丁目,"1,740ｍ",平成28年3月15日,73%
東村山3･4･11(青葉二丁目),,東村山市青葉町二丁目 ～ 久米川町一丁目,780ｍ,平成24年12月7日,47%
東村山3･4･11(久米川),,東村山市久米川町一丁目,890ｍ,平成28年2月5日,60%
東村山3･4･15の1(金山町),,東久留米市金山町二丁目 ～ 氷川台二丁目,770ｍ,平成30年2月28日,46%
東村山3･4･15の1(神宝町),,東久留米市浅間町二丁目 ～ 金山町二丁目,585m,平成31年3月20日,86%
東村山3･4･15の2(上清戸),,清瀬市中清戸一丁目 ～ 上清戸二丁目,660ｍ,平成20年10月1日,100%
東村山3･4･15の2(中清戸),,清瀬市中清戸三丁目 ～ 一丁目,570ｍ,平成29年1月25日,63%
