,,,平成24年度金額[千円],平成24年度構成比[％],平成24年度23区構成比[％],平成24年度指数,平成25年度金額[千円],平成25年度構成比[％],平成25年度23区構成比[％],平成25年度指数,平成26年度金額[千円],平成26年度構成比[％],平成26年度23区構成比[％],平成26年度指数,平成27年度金額[千円],平成27年度構成比[％],平成27年度23区構成比[％],平成27年度指数,平成28年度（同時補正を含む予算額）金額[千円],平成28年度（同時補正を含む予算額）構成比[％],平成28年度（同時補正を含む予算額）指数
歳入,繰越金,,2908945,2.7,2.9,100,2784160,2.7,2.9,96,3186648,2.9,3.1,110,2922413,2.6,3.2,100,1500000,1.4,52
歳入,諸収入,,1732126,1.6,1.9,100,1542044,1.5,2,89,1168015,1.1,2.1,67,1294218,1.2,2,75,1219145,1.1,70
歳入,地方債,,4134200,3.9,2.2,100,1926000,1.9,1.3,47,4100000,3.8,1.7,99,2434000,2.2,1.3,59,3346000,3,81
歳入,歳入合計,,106633645,100,100,100,102167246,100,100,96,109495042,100,100,103,111959120,100,100,105,110218228,100,103
歳出,義務的経費,人件費,19799121,19.1,19.5,100,18449147,18.6,18.7,93,18281331,17.2,17.3,92,18490838,17.1,16.9,93,18373992,16.6,93
歳出,義務的経費,扶助費,32000061,30.8,29.2,100,32613435,33,29.3,102,33279046,31.2,28.5,104,35625133,32.9,29.9,111,34368529,31.2,107
歳出,義務的経費,公債費,3861955,3.7,3.7,100,3400792,3.4,3.4,88,2964287,2.8,2.9,77,3569814,3.3,2.5,92,3636391,3.3,94
歳出,義務的経費,小計,55661137,53.6,52.4,100,54463374,55,51.4,98,54524664,51.2,48.7,98,57685785,53.3,49.4,104,56378912,51.1,101
歳出,投資的経費,普通建設事業費,11660746,11.2,10.7,100,7165804,7.2,10.5,61,11627401,10.9,12.9,100,10403792,9.6,11.6,89,10805475,9.8,93
歳出,投資的経費,災害復旧費,11244,0,0,100,,,,,,,,,,,,,,,
歳出,投資的経費,失業対策費,,,,,,,,,,,,,,,,,,,
歳出,投資的経費,小計,11671990,11.2,10.8,100,7165804,7.2,10.5,61,11627401,10.9,12.9,100,10403792,9.6,11.6,89,10805475,9.8,93
歳出,物件費,,17562247,16.9,15.9,100,17802423,18,16.1,101,18422779,17.3,15.8,105,19155139,17.7,16.2,109,22221762,20.1,127
歳出,維持補修費,,694314,0.7,0.9,100,658208,0.7,0.9,95,782409,0.7,0.9,113,863647,0.8,0.9,124,1942692,1.8,280
歳出,補助費等,,6547479,6.3,6.3,100,6642043,6.7,6.4,101,6603026,6.2,6.3,101,6191132,5.7,5.4,95,7674625,7,117
歳出,積立金,,1838936,1.8,3.5,100,2029574,2.1,4.3,110,3975582,3.7,5.7,216,3066725,2.8,6.6,167,317729,0.3,17
歳出,投資及び出資金,,,,,,,,,,,,,,,,,,,,
歳出,貸付金,,33870,0,0.7,100,19148,0,0.8,57,91058,0.1,0.7,269,5382,0,0.6,16,22480,0,66
歳出,繰出金,,9839512,9.5,9.5,100,10200025,10.3,9.6,104,10545710,9.9,9,107,10835370,10,9.3,110,10754553,9.8,109
歳出,予備費,,,,,,,,,,,,,,,,,,100000,0.1,
歳出,歳出合計,,103849485,100,100,100,98980599,100,100,95,106572629,100,100,103,108206972,100,100,104,110218228,100,106
