出荷制限品目１,出荷制限品目２,出荷制限地域
青果物,うわばみそう（野生）,福島県／須賀川市及び国見町
青果物,くさそてつ（こごみ）,宮城県／気仙沼市及び栗原市
青果物,くさそてつ（こごみ）,福島県／福島市、二本松市、伊達市、郡山市、田村市、相馬市、桑折町、国見町、川俣町、古殿町、三春町、広野町、楢葉町、大玉村及び葛尾村
青果物,くさそてつ（こごみ）（野生）,福島県／会津美里町及び南相馬市
青果物,くさそてつ（こごみ）（野生）,栃木県／大田原市、那須塩原市及び那須町
青果物,くさそてつ（こごみ）（野生）,宮城県／大崎市
青果物,こしあぶら,岩手県／盛岡市、花巻市、北上市、遠野市、一関市、釜石市、奥州市及び住田町
青果物,こしあぶら,宮城県／気仙沼市、登米市、栗原市、大崎市、七ヶ宿町、大和町及び南三陸町
青果物,こしあぶら,福島県／福島市、二本松市、伊達市、本宮市、郡山市、須賀川市、田村市、白河市、会津若松市、喜多方市、相馬市、南相馬市、いわき市、桑折町、国見町、川俣町、鏡石町、石川町、浅川町、古殿町、三春町、小野町、矢吹町、棚倉町、矢祭町、塙町、磐梯町、猪苗代町、会津坂下町、柳津町、三島町、金山町、会津美里町、下郷町、南会津町、広野町、新地町、大玉村、天栄村、玉川村、平田村、西郷村、泉崎村、中島村、鮫川村、北塩原村、昭和村、川内村及び葛尾村
青果物,こしあぶら,長野県／長野市、中野市、軽井沢町、木島平村及び野沢温泉村
青果物,こしあぶら（野生）,福島県／西会津町、只見町
青果物,こしあぶら（野生）,茨城県／日立市、常陸太田市及び常陸大宮市
青果物,こしあぶら（野生）,栃木県／宇都宮市、鹿沼市、日光市、大田原市、矢板市、那須塩原市、さくら市、那須烏山市、茂木町、市貝町、塩谷町、高根沢町、那須町及び那珂川町
青果物,さんしょう（野生）,栃木県／宇都宮市、日光市、大田原市及び那須塩原市
青果物,せり（野生）,岩手県／奥州市
青果物,ぜんまい,岩手県／一関市、奥州市及び住田町
青果物,ぜんまい,宮城県／気仙沼市、大崎市及び丸森町
青果物,ぜんまい,福島県／二本松市、郡山市、須賀川市、田村市、相馬市、南相馬市、いわき市、川俣町、楢葉町、川内村及び葛尾村
青果物,ぜんまい（野生）,福島県／広野町及び大玉村
青果物,ぜんまい（野生）,栃木県／鹿沼市、日光市及び那須町
青果物,たけのこ,岩手県／一関市、陸前高田市（旧矢作村、旧横田村の区域に限る。）、奥州市
青果物,たけのこ,宮城県／栗原市（旧築館町、旧志波姫町、旧高清水町及び旧瀬峰町の区域を除く。）、大崎市（旧三本木町の区域に限る。）、丸森町（旧耕野村、旧丸森町及び旧小斎村の区域を除く。）
青果物,たけのこ,福島県／福島市、二本松市、伊達市、本宮市、郡山市、須賀川市、田村市、白河市、相馬市、南相馬市、いわき市、桑折町、川俣町、三春町、広野町、楢葉町、新地町、大玉村、天栄村、西郷村、川内村及び葛尾村
青果物,たけのこ,茨城県／北茨城市、ひたちなか市、潮来市、鉾田市、小美玉市、大洗町及び利根町
青果物,たけのこ,栃木県／日光市、大田原市、矢板市、那須塩原市及び那須町
青果物,たけのこ,千葉県／我孫子市
青果物,たらのめ（野生）,宮城県／気仙沼市、栗原市及び大崎市
青果物,たらのめ（野生）,福島県／福島市、二本松市、伊達市、本宮市、郡山市、須賀川市、田村市、白河市、相馬市、南相馬市、いわき市、桑折町、川俣町、鏡石町、古殿町、塙町、猪苗代町、広野町、新地町、大玉村、西郷村、泉崎村、鮫川村、川内村及び葛尾村
青果物,たらのめ（野生）,栃木県／宇都宮市、日光市、大田原市、矢板市、那須塩原市、さくら市、市貝町、塩谷町、那須町
青果物,ふき,福島県／葛尾村
青果物,ふき（野生のものに限る。）,福島県／桑折町、楢葉町及び天栄村
青果物,ふきのとう（野生のものに限る。）,福島県／福島市、伊達市、本宮市、田村市、相馬市、南相馬市、桑折町、国見町、川俣町、広野町、楢葉町、葛尾村
青果物,ワサビ（畑において栽培されたものに限る。）,福島県／伊達市及び川俣町（山木屋の区域に限る。）
青果物,わらび,福島県／伊達市、南相馬市、いわき市、川俣町、楢葉町、鮫川村及び葛尾村
青果物,わらび（野生）,岩手県／一関市、陸前高田市、釜石市、奥州市及び平泉町
青果物,わらび（野生）,福島県／福島市、二本松市、喜多方市及び広野町
青果物,わらび（野生）,栃木県／宇都宮市、鹿沼市、日光市、大田原市及び矢板市
青果物,原木くりたけ（露地栽培）,岩手県／一関市及び奥州市
青果物,原木くりたけ（露地栽培）,栃木県／宇都宮市、足利市、佐野市、鹿沼市、真岡市、大田原市、矢板市、那須塩原市、さくら市、那須烏山市、上三川町、茂木町、市貝町、芳賀町、壬生町、塩谷町及び高根沢町
青果物,原木シイタケ（施設栽培）,福島県／川俣町
青果物,原木シイタケ（施設栽培）,福島県／伊達市（ただし、県の定める管理計画に基づき管理される原木シイタケ（施設栽培）を除く。）
青果物,原木シイタケ（施設栽培）,栃木県／鹿沼市、日光市、大田原市、矢板市、那須塩原市、さくら市、芳賀町、壬生町及び那須町（ただし、県の定める管理計画に基づき管理される原木シイタケ（施設栽培）を除く。）
青果物,原木シイタケ（施設栽培）,茨城県／土浦市、鉾田市（ただし、県の定める管理計画に基づき管理される原木シイタケ（施設栽培）を除く）及び茨城町
青果物,原木シイタケ（施設栽培）,千葉県／君津市、富津市、山武市（ただし、県の定める管理計画に基づき管理される原木シイタケ（施設栽培）を除く。）
青果物,原木シイタケ（露地栽培）,岩手県／平泉町
青果物,原木シイタケ（露地栽培）,岩手県／大船渡市、花巻市、北上市、遠野市、一関市、陸前高田市、釜石市、奥州市、金ケ崎町、住田町、大槌町、山田町（ただし、県の定める管理計画に基づき管理される原木シイタケ（露地栽培）を除く。）
青果物,原木シイタケ（露地栽培）,宮城県／石巻市、白石市、名取市、角田市、東松島市、蔵王町、七ヶ宿町、村田町、丸森町、富谷町、大衡村及び色麻町
青果物,原木シイタケ（露地栽培）,宮城県／仙台市、気仙沼市、登米市、栗原市、大崎市、川崎町、大和町、加美町、南三陸町（ただし、県の定める管理計画に基づき管理される原木シイタケ（露地栽培）を除く。）
青果物,原木シイタケ（露地栽培）,福島県／福島市、二本松市、伊達市、本宮市、相馬市、南相馬市、田村市（福島第一原子力発電所から半径２０キロメートル圏内の区域に限る。）、川俣町、浪江町、双葉町、大熊町、富岡町、楢葉町、広野町、飯舘村、葛尾村、川内村（東京電力株式会社福島第一原子力発電所から半径２０キロメートル圏内の区域に限る。）
青果物,原木シイタケ（露地栽培）,茨城県／土浦市、ひたちなか市、守谷市、常陸大宮市、那珂市、行方市、鉾田市、つくばみらい市、小美玉市、茨城町及び阿見町
青果物,原木シイタケ（露地栽培）,栃木県／足利市、矢板市、那須塩原市、上三川町、壬生町、塩谷町、高根沢町及び那須町
青果物,原木シイタケ（露地栽培）,栃木県／宇都宮市、栃木市（旧岩舟町の区域を除く。）、日光市、真岡市、大田原市、那須烏山市、茂木町、市貝町、芳賀町、那珂川町、鹿沼市、さくら市、益子町（ただし、県の定める管理計画に基づき管理される原木シイタケ（露地栽培）を除く。）
青果物,原木シイタケ（露地栽培）,千葉県／流山市、八千代市、我孫子市、白井市
青果物,原木シイタケ（露地栽培）,千葉県／千葉市、佐倉市、君津市、富津市、印西市、山武市（ただし、県の定める管理計画に基づき管理される原木シイタケ（露地栽培）を除く。）
青果物,原木なめこ（露地栽培）,岩手県／大船渡市、一関市、陸前高田市、奥州市及び釜石市
青果物,原木なめこ（露地栽培）,福島県／相馬市及びいわき市
青果物,原木なめこ（露地栽培）,栃木県／佐野市、鹿沼市、日光市、大田原市、矢板市、那須塩原市、那須烏山市、壬生町、那須町及び那珂川町
青果物,野生きのこ,青森県／階上町
青果物,野生きのこ,青森県／青森市、十和田市、鰺ヶ沢町（ナラタケを除く。）
青果物,野生きのこ,岩手県／大船渡市、遠野市、一関市、陸前高田市、釜石市、奥州市、金ケ崎町、平泉町及び住田町
青果物,野生きのこ,宮城県／仙台市、栗原市、大崎市及び村田町
青果物,野生きのこ,福島県／福島市、二本松市、伊達市、本宮市、郡山市、須賀川市、田村市、白河市、会津若松市、喜多方市、相馬市、南相馬市、いわき市、桑折町、国見町、川俣町、鏡石町、石川町、浅川町、古殿町、三春町、小野町、矢吹町、棚倉町、矢祭町、塙町、西会津町、磐梯町、猪苗代町、会津坂下町、柳津町、三島町、会津美里町、下郷町、只見町、広野町、楢葉町、富岡町、大熊町、双葉町、浪江町、新地町、大玉村、天栄村、玉川村、平田村、西郷村、泉崎村、中島村、鮫川村、北塩原村、昭和村、川内村、葛尾村及び飯舘村
青果物,野生きのこ,栃木県／鹿沼市、日光市、真岡市、大田原市、矢板市、那須塩原市、那須烏山市、益子町、茂木町、塩谷町、那須町、那珂川町
青果物,野生きのこ,群馬県／沼田市、安中市、長野原町、東吾妻町、みなかみ町、嬬恋村及び高山村
青果物,野生きのこ,埼玉県／鳩山町、ときがわ町、横瀬町及び皆野町
青果物,野生きのこ,山梨県／富士吉田市、富士河口湖町及び鳴沢村
青果物,野生きのこ,長野県／軽井沢町及び御代田町
青果物,野生きのこ,長野県／小諸市、佐久市、小海町、佐久穂町、南牧村（マツタケを除く。）
青果物,野生きのこ,静岡県／富士宮市、富士市、御殿場市、裾野市及び小山町
,イカナゴ（稚魚を除く）,福島県／福島県海域
,ウスメバル,福島県／福島県海域
,ウミタナゴ,福島県／福島県海域
,カサゴ,福島県／福島県海域
,キツネメバル,福島県／福島県海域
,クロダイ,岩手県／三陸南部沖海域
,クロダイ,宮城県／宮城県沖の全海域
,クロダイ,福島県／福島県海域
,サクラマス,福島県／福島県海域
,シロメバル,福島県／福島県海域
,スズキ,福島県／福島県海域
,ヌマガレイ,福島県／福島県海域
,ムラソイ,福島県／福島県海域
,ビノスガイ,福島県／福島県海域
,アメリカナマズ（養殖を除く）,茨城県／霞ヶ浦、北浦及び外浪逆浦並びにこれらの湖沼に流入する河川並びに常陸利根川
,アユ（養殖により生産されたものを除く。）,宮城県／宮城県内の阿武隈川（支流を含む。ただし、白幡堰堤の上流を除く。）
,アユ（養殖により生産されたものを除く。）,福島県／真野川（支流を含む。）、新田川（支流を含む。）及び福島県内の阿武隈川のうち信夫ダムの下流（支流を含む。）
,イワナ（養殖により生産されたものを除く。）,岩手県／砂鉄川（支流を含む。）
,イワナ（養殖により生産されたものを除く。）,福島県／秋元湖、小野川湖及び檜原湖並びにこれらの湖に流入する河川（支流を含む。）、長瀬川（酸川との合流点から上流の部分に限る。）並びに福島県内の阿武隈川（支流を含む。）
,イワナ（養殖により生産されたものを除く。）,宮城県／一迫川のうち花山ダムの上流（支流を含む。）、江合川のうち鳴子ダムの上流（支流を含む。）、碁石川のうち釜房ダムの上流（支流を含む。）、三迫川のうち栗駒ダムの上流（支流を含む。）、名取川のうち秋保大滝の上流（支流を含む。）、二迫川のうち荒砥沢ダムの上流（支流を含む。）、広瀬川（支流を含む。）及び松川（支流を含む。ただし、濁川及びその支流並びに澄川４号堰堤の上流を除く。）
,イワナ（養殖により生産されたものを除く。）,群馬県／吾妻川のうち岩島橋から東京電力（株）佐久発電所吾妻川取水施設まで（支流を含む。）及び薄根川（支流を含む。）
,ウグイ,福島県／秋元湖、猪苗代湖、小野川湖及び檜原湖並びにこれらの湖に流入する河川（支流を含む。ただし、酸川及びその支流を除く。）、日橋川のうち東京電力株式会社金川発電所の上流（支流を含む。）、真野川（支流を含む。）並びに福島県内の阿武隈川（支流を含む。）
,ウグイ,宮城県／宮城県内の阿武隈川（支流を含む。ただし、七ヶ宿ダムの上流を除く。）及び同県内の北上川（支流を含む。）
,ウナギ,福島県／福島県内の阿武隈川（支流を含む）
,ウナギ,茨城県／茨城県内の利根川のうち境大橋の下流（支流を含む。ただし、霞ヶ浦、北浦及び外浪逆浦並びにこれらの湖沼に流入する河川並びに常陸利根川を除く。）
,ウナギ,千葉県／千葉県内の利根川のうち境大橋の下流（支流を含む。ただし、印旛排水機場及び印旛水門の上流、両総用水第一揚水機場の下流、八筋川、与田浦並びに与田浦川を除く。）
,ギンブナ（養殖を除く）,千葉県／手賀沼及びこれに流入する河川（支流を含む。）並びに手賀川（支流を含む。）
,コイ（養殖により生産されたものを除く。）,福島県／秋元湖、小野川湖及び檜原湖並びにこれらの湖に流入する河川（支流を含む。）、阿賀川のうち大川ダムの下流（支流を含む。ただし、東京電力株式会社金川発電所の上流及び片門ダムの上流を除く。）、長瀬川（酸川との合流点から上流の部分に限る。）並びに福島県内の阿武隈川（支流を含む。）
,コイ（養殖により生産されたものを除く。）,千葉県／手賀沼及びこれに流入する河川（支流を含む。）並びに手賀川（支流を含む。）
,フナ（養殖により生産されたものを除く。）,福島県／秋元湖、小野川湖及び檜原湖並びにこれらの湖に流入する河川（支流を含む。）、阿賀川のうち大川ダムの下流（支流を含む。ただし、東京電力株式会社金川発電所の上流及び片門ダムの上流を除く。）、長瀬川（酸川との合流点から上流の部分に限る。）、真野川（支流を含む。）並びに福島県内の阿武隈川のうち信夫ダムの下流（支流を含む。）
,ヤマメ（養殖により生産されたものを除く。）,宮城県／白石川（支流を含む。ただし、七ヶ宿ダムの上流を除く。）
,ヤマメ（養殖により生産されたものを除く。）,福島県／秋元湖、猪苗代湖、小野川湖及び檜原湖並びにこれらの湖に流入する河川（支流を含む。ただし、酸川（支流を含む。）を除く。）、太田川（支流を含む。）、新田川（支流を含む。）、日橋川のうち東京電力株式会社金川発電所の上流（支流を含む。）、真野川（支流を含む。）並びに福島県内の阿武隈川（支流を含む。）
,ヤマメ（養殖により生産されたものを除く。）,群馬県／吾妻川のうち岩島橋から東京電力株式会社佐久発電所吾妻川取水施設までの区間（支流を含む。）
,牛（県外への移動（１２月齢未満の牛のものを除く。）及びと畜場への出荷）,岩手県全域（ただし、県の定める出荷・検査方針に基づき管理される牛を除く。）
,牛（県外への移動（１２月齢未満の牛のものを除く。）及びと畜場への出荷）,宮城県全域（ただし、県の定める出荷・検査方針に基づき管理される牛を除く。）
,牛（県外への移動（１２月齢未満の牛のものを除く。）及びと畜場への出荷）,福島県全域（ただし、県の定める出荷・検査方針に基づき管理される牛を除く。）
,牛（県外への移動（１２月齢未満の牛のものを除く。）及びと畜場への出荷）,栃木県全域（ただし、県の定める出荷・検査方針に基づき管理される牛を除く。）
