街区,調査地点,試料採取日,ベンゼンｍｇ／Ｌ（０．０１）,シアンｍｇ／Ｌ（不検出）,ヒ素ｍｇ／Ｌ（０．０１）,水銀ｍｇ／Ｌ（０．０００５）,鉛ｍｇ／Ｌ（０．０１）,備考
５街区,Ｍ３７－３,2016/11/21,0.060,不検出,-,-,-,
５街区,Ｍ３７－７,2016/11/21,0.002,-,0.007,-,-,
５街区,Ｍ３８－８,2016/11/24,0.004,-,-,-,-,
５街区,Ｍ３９－８,2016/11/24,不検出,-,-,-,-,
５街区,Ｍ４０－７,2016/11/21,不検出,-,-,-,-,
５街区,Ｎ３２－６,2016/11/21,不検出,-,-,-,-,
５街区,Ｎ３９－５,2016/11/21,0.001,-,-,-,-,
５街区,Ｎ４１－１,2016/11/21,0.006,不検出,-,-,-,
５街区,Ｏ２８－４,2016/12/1,-,-,0.004,-,-,
５街区,Ｏ３３－３,2016/11/21,0.001,-,0.007,-,-,
５街区,Ｏ３４－７,2016/12/1,0.008,-,-,-,-,
５街区,Ｏ３８－１,2016/11/21,0.013,不検出,0.022,-,-,
５街区,Ｏ３８－３,2016/11/21,-,不検出,-,-,-,
５街区,Ｏ３９－９,2016/11/29,-,不検出,-,-,-,
５街区,Ｏ４０－２,2016/11/24,-,不検出,-,-,-,
５街区,Ｏ４０－９,2016/11/29,不検出,-,-,-,-,
５街区,Ｏ４１－２,2016/11/29,0.007,不検出,-,-,-,
５街区,Ｏ４２－７,2016/11/29,0.088,0.1,-,-,-,
５街区,Ｐ２８－４,2016/12/1,-,-,0.009,-,-,
５街区,Ｐ２９－４,2016/12/1,-,-,0.007,-,-,
５街区,Ｐ３５－６,2016/12/2,不検出,-,-,-,-,
５街区,Ｐ３６－３,2016/12/1,0.004,0.1,-,-,-,
５街区,Ｐ３６－６,2016/12/1,0.004,-,-,-,-,
５街区,Ｐ３８－１,2016/12/1,-,不検出,-,-,-,
５街区,Ｐ３８－６,2016/12/6,-,不検出,-,-,-,不採用
５街区,Ｐ４１－５,2016/12/1,-,0.1,-,-,-,
５街区,Ｑ３０－３,2016/12/1,不検出,-,-,-,-,
５街区,Ｑ３５－５,2016/12/1,不検出,-,-,-,-,
５街区,Ｑ３６－５,2016/12/1,0.001,-,-,-,-,
５街区,Ｑ３７－５,2016/12/1,0.044,不検出,-,-,-,
５街区,Ｑ３８－２,2016/12/1,-,不検出,-,-,-,
５街区,Ｑ３９－８,2016/12/1,-,不検出,-,-,-,
５街区,Ｑ４０－１,2016/12/1,-,不検出,-,-,-,
５街区,Ｑ４１－７,2016/11/29,-,不検出,-,-,-,
６街区,Ａ１０－６,2016/12/2,-,0.2,-,-,-,
６街区,Ａ１０－７,2016/12/2,0.010,0.1,0.008,-,-,
６街区,Ａ１１－３,2016/12/2,-,不検出,0.006,-,-,
６街区,Ａ１７－４,2016/12/2,-,-,0.003,-,-,
６街区,Ａ１８－４,2016/12/2,-,-,0.009,-,-,
６街区,Ａ１９－４,2016/12/2,-,-,0.023,-,-,
６街区,Ａ７－７,2016/12/2,-,0.1,-,-,-,
６街区,Ａ８－４,2016/12/2,-,-,0.002,-,-,
６街区,Ａ９－２,2016/12/2,-,-,-,-,不検出,
６街区,Ｂ１０－５,2016/11/28,0.14,1.0,0.022,-,-,
６街区,Ｂ１１－５,2016/11/28,0.012,0.6,-,-,-,
６街区,Ｂ１５－９,2016/11/30,-,0.4,-,-,-,
６街区,Ｂ９－２,2016/12/2,0.098,0.4,-,-,-,
６街区,Ｃ１０－５,2016/11/28,0.001,0.2,-,-,-,
６街区,Ｃ１１－５,2016/11/30,0.074,0.6,-,-,-,
６街区,Ｃ１２－５,2016/11/28,0.008,不検出,0.005,-,-,
６街区,Ｃ１３－２,2016/11/28,0.001,不検出,0.003,-,-,
６街区,Ｃ２０－５,2016/11/30,-,不検出,-,-,-,
６街区,Ｃ２５－３,2016/12/2,-,不検出,-,-,-,
６街区,Ｃ２６－７,2016/12/2,-,1.2,-,-,-,
６街区,Ｃ７－１,2016/12/2,-,不検出,-,-,-,
６街区,Ｃ８－５,2016/11/30,-,不検出,-,-,-,
６街区,Ｃ９－２,2016/12/2,0.12,0.8,-,-,-,
６街区,Ｄ１０－５,2016/11/28,0.025,0.7,0.012,-,-,
６街区,Ｄ１１－５,2016/11/28,0.23,1.0,0.015,不検出,-,
６街区,Ｄ１２－５,2016/11/28,0.14,0.7,0.021,-,-,
６街区,Ｄ１３－２,2016/11/28,-,不検出,-,-,-,
６街区,Ｄ１７－５,2016/11/30,-,-,-,-,不検出,
６街区,Ｄ２０－８,2016/11/30,0.012,-,-,-,-,
６街区,Ｄ２３－１,2016/11/30,不検出,不検出,-,-,-,
６街区,Ｄ２４－８,2016/11/30,-,不検出,-,-,-,
６街区,Ｄ２５－５,2016/12/2,-,不検出,-,-,-,
６街区,Ｄ２６－７,2016/12/2,-,不検出,-,-,-,
６街区,Ｄ６－５,2016/12/1,0.035,不検出,-,-,-,
６街区,Ｄ８－６,2016/11/30,不検出,-,-,-,-,
６街区,Ｅ１０－５,2016/12/6,-,不検出,-,-,-,
６街区,Ｅ１１－２,2016/11/30,0.030,0.5,0.017,-,-,
６街区,Ｅ１２－４,2016/11/28,-,1.2,-,-,-,
６街区,Ｅ１２－６,2016/11/28,-,0.8,-,-,-,
６街区,Ｅ１３－２,2016/11/28,-,不検出,-,-,-,
６街区,Ｅ１４－８,2016/11/28,不検出,-,-,-,-,
６街区,Ｅ２０－７,2016/11/30,0.082,-,-,-,-,
６街区,Ｅ７－１,2016/12/1,-,-,0.007,-,-,
６街区,Ｆ１０－６,2016/11/28,不検出,0.3,-,-,-,
６街区,Ｆ１１－５,2016/11/28,-,1.2,-,-,-,
６街区,Ｆ１５－１,2016/11/30,不検出,-,-,-,-,
６街区,Ｆ１６－２,2016/11/30,不検出,-,-,-,-,
６街区,Ｆ２３－５,2016/12/2,-,不検出,-,-,-,
６街区,Ｆ６－３,2016/12/1,0.010,0.1,-,-,-,
６街区,Ｆ９－９,2016/11/30,0.10,0.2,-,-,-,
６街区,Ｇ１０－３,2016/11/30,0.001,-,-,-,-,
６街区,Ｇ１２－１,2016/11/28,-,0.2,-,-,-,
６街区,Ｇ１２－３,2016/11/28,0.11,0.1,0.018,-,-,
６街区,Ｇ１３－２,2016/11/28,-,不検出,-,-,-,
６街区,Ｇ２５－１,2016/12/6,0.002,-,0.008,-,-,
６街区,Ｇ６－３,2016/12/1,-,不検出,-,-,-,
６街区,Ｇ８－１,2016/12/1,不検出,不検出,不検出,-,-,
６街区,Ｇ９－１,2016/11/30,0.021,0.4,0.009,-,-,
６街区,Ｚ１８－７,2016/12/2,-,-,0.008,-,-,
６街区,Ｚ２１－８,2016/12/2,-,不検出,-,-,-,
６街区,Ｚ２２－９,2016/12/2,-,不検出,-,-,-,
７街区,Ｉ１０－３,2016/11/29,-,0.4,-,-,-,
７街区,Ｉ１２－５,2016/11/22,-,0.1,0.007,-,-,
７街区,Ｉ１３－５,2016/11/22,不検出,不検出,0.003,-,-,
７街区,Ｉ１６－４,2016/11/29,-,-,0.003,-,-,
７街区,Ｉ１７－５,2016/11/29,-,-,0.006,-,-,
７街区,Ｉ１８－６,2016/11/29,-,不検出,0.006,-,-,
７街区,Ｉ１８－７,2016/11/29,-,-,0.006,-,-,
７街区,Ｉ２４－３,2016/11/25,0.011,不検出,-,-,-,
７街区,Ｊ１０－６,2016/11/22,-,0.2,-,-,-,
７街区,Ｊ１２－５,2016/11/22,-,0.1,-,-,-,
７街区,Ｊ１３－５,2016/12/6,-,不検出,-,-,-,
７街区,Ｊ１８－８,2016/11/29,-,-,0.004,-,-,
７街区,Ｊ７－５,2016/11/25,-,0.4,-,-,-,
７街区,Ｊ８－８,2016/11/25,0.001,0.1,-,-,-,
７街区,Ｋ１０－２,2016/11/22,-,不検出,-,-,-,
７街区,Ｋ１０－５,2016/11/22,-,不検出,0.008,-,-,
７街区,Ｋ１１－４,2016/12/6,-,不検出,-,-,-,
７街区,Ｋ１２－４,2016/11/22,-,不検出,-,-,-,
７街区,Ｋ１５－２,2016/11/22,-,-,0.006,-,-,
７街区,Ｋ１５－８,2016/11/22,-,-,0.005,-,-,
７街区,Ｋ１６－２,2016/11/22,-,-,0.009,-,-,
７街区,Ｋ１６－８,2016/11/22,-,-,0.004,-,-,
７街区,Ｋ１７－２,2016/11/22,-,-,0.008,-,-,
７街区,Ｋ１８－７,2016/11/25,-,-,0.011,-,-,
７街区,Ｋ１９－２,2016/11/29,-,-,0.014,-,-,
７街区,Ｋ１９－７,2016/11/29,-,-,0.016,-,-,
７街区,Ｋ２４－３,2016/11/25,0.010,-,-,-,-,
７街区,Ｋ２５－２,2016/11/25,0.009,-,-,-,-,
７街区,Ｋ５－６,2016/11/25,-,不検出,-,-,-,
７街区,Ｋ６－２,2016/12/6,0.003,0.1,0.003,-,-,
７街区,Ｋ８－７,2016/11/29,0.001,不検出,-,-,-,
７街区,Ｋ９－８,2016/11/22,-,不検出,-,-,-,
７街区,Ｌ１４－６,2016/12/6,-,不検出,-,-,-,
７街区,Ｌ１５－５,2016/12/6,-,-,0.008,-,-,
７街区,Ｌ１６－５,2016/11/22,-,-,0.001,-,-,
７街区,Ｌ１７－２,2016/11/22,-,不検出,0.010,-,-,
７街区,Ｌ１８－９,2016/11/25,-,-,0.011,-,-,
７街区,Ｌ２２－６,2016/11/25,-,-,0.004,-,-,
７街区,Ｌ２３－３,2016/11/25,-,-,0.003,-,-,
７街区,Ｌ２５－１,2016/11/25,0.021,0.1,-,-,-,
７街区,Ｌ５－５,2016/12/6,0.006,0.2,0.005,-,-,
７街区,Ｌ６－２,2016/11/25,-,不検出,0.010,-,-,
７街区,Ｌ７－６,2016/11/29,0.009,-,-,-,-,
７街区,Ｌ９－７,2016/11/22,不検出,-,-,-,-,
７街区,Ｍ１７－３,2016/11/29,-,-,0.004,-,-,
７街区,Ｍ１８－９,2016/11/25,-,-,0.005,-,-,
７街区,Ｍ２０－４,2016/11/25,-,-,0.019,-,-,
７街区,Ｍ２１－３,2016/11/25,-,-,0.001,-,-,
７街区,Ｍ２１－７,2016/11/25,-,-,0.012,-,-,
７街区,Ｍ２３－２,2016/11/25,-,-,0.003,-,-,
７街区,Ｍ４－２,2016/11/29,-,不検出,-,-,不検出,
７街区,Ｍ４－８,2016/11/25,-,不検出,-,-,-,
７街区,Ｍ５－２,2016/11/25,不検出,不検出,0.002,-,-,
７街区,Ｍ６－２,2016/11/29,0.001,不検出,0.016,-,-,
７街区,Ｍ７－５,2016/11/25,-,不検出,-,-,-,
７街区,Ｍ８－１,2016/11/29,-,0.3,-,-,-,
７街区,Ｍ８－９,2016/11/29,-,-,0.006,-,-,
７街区,Ｎ１２－２,2016/11/29,0.003,0.3,-,-,-,
７街区,Ｎ１４－６,2016/11/29,-,不検出,-,-,-,
７街区,Ｎ２２－１,2016/11/25,-,-,0.013,-,-,
７街区,Ｎ２３－２,2016/11/25,-,-,0.011,-,-,
７街区,Ｎ２４－９,2016/11/25,-,-,不検出,-,-,
７街区,Ｎ５－２,2016/11/25,-,不検出,-,-,-,
７街区,Ｎ６－２,2016/11/29,-,0.4,0.011,-,-,
７街区,Ｏ２３－４,2016/11/25,-,-,0.003,-,-,
７街区,Ｏ２４－９,2016/11/25,-,-,0.007,-,-,
７街区,Ｐ２１－３,2016/11/25,0.008,-,0.026,-,-,
７街区,Ｐ２２－３,2016/11/25,-,-,0.009,-,-,
