調査日１回目,調査日２回目,街区,調査地点,位置,番号,表の見方,ベンゼン地下水基準０．０１ｍｇ／Ｌ（定量下限値０．００１ｍｇ／Ｌ）１回目,ベンゼン地下水基準０．０１ｍｇ／Ｌ（定量下限値０．００１ｍｇ／Ｌ）２回目,シアン地下水基準不検出（定量下限値０．１ｍｇ／Ｌ）１回目,シアン地下水基準不検出（定量下限値０．１ｍｇ／Ｌ）２回目,ヒ素地下水基準０．０１ｍｇ／Ｌ（定量下限値０．００１ｍｇ／Ｌ）１回目,ヒ素地下水基準０．０１ｍｇ／Ｌ（定量下限値０．００１ｍｇ／Ｌ）２回目
2月1日,2月15日,６街区,、,地下ピット内,７,（都）環境科学研究所,0.28,0.28,1.0,1.1,0.017,0.015
2月1日,2月15日,６街区,、,地下ピット内,７,ユーロフィン,0.31,0.30,0.8,0.9,0.015,0.015
2月1日,2月15日,６街区,、,地下ピット内,７,湘南分析センター,0.24,0.25,1.0,0.9,0.017,0.015
2月2日,2月16日,６街区,Ｆ９－９,地下ピット内,８,９回結果,0.1,※,0.2,※,,
2月2日,2月16日,６街区,Ｆ９－９,地下ピット内,８,環境管理センター,0.22,0.21,0.5,0.5,,
2月2日,2月16日,６街区,Ｆ９－９,地下ピット内,８,（都）環境科学研究所,0.21,0.19,0.7,0.7,,
2月2日,2月16日,６街区,Ｆ９－９,地下ピット内,８,ユーロフィン,0.22,0.20,0.5,0.7,,
2月2日,2月16日,６街区,Ｆ９－９,地下ピット内,８,湘南分析センター,0.17,0.19,0.6,0.6,,
2月2日,2月16日,６街区,Ｅ１２－４,地下ピット内,９,９回結果,,,1.2,※,,
2月2日,2月16日,６街区,Ｅ１２－４,地下ピット内,９,環境管理センター,,,0.7,0.8,,
2月2日,2月16日,６街区,Ｅ１２－４,地下ピット内,９,（都）環境科学研究所,,,1.1,1.1,,
2月2日,2月16日,６街区,Ｅ１２－４,地下ピット内,９,ユーロフィン,,,0.7,0.9,,
2月2日,2月16日,６街区,Ｅ１２－４,地下ピット内,９,湘南分析センター,,,0.7,0.8,,
2月2日,2月16日,６街区,Ｆ１１－５,地下ピット内,１０,９回結果,,,1.2,※,,
2月2日,2月16日,６街区,Ｆ１１－５,地下ピット内,１０,環境管理センター,,,1.1,1.0,,
2月2日,2月16日,６街区,Ｆ１１－５,地下ピット内,１０,（都）環境科学研究所,,,1.4,1.4,,
2月2日,2月16日,６街区,Ｆ１１－５,地下ピット内,１０,ユーロフィン,,,0.8,1.1,,
2月2日,2月16日,６街区,Ｆ１１－５,地下ピット内,１０,湘南分析センター,,,1.1,1.1,,
ポンプ入らず,2月15日,５街区,Ｋ２８－６,屋外,１１,９回結果,0.096,※,,,,
ポンプ入らず,2月15日,５街区,Ｋ２８－６,屋外,１１,環境管理センター,-,0.050,,,,
ポンプ入らず,2月15日,５街区,Ｋ２８－６,屋外,１１,（都）環境科学研究所,-,-,,,,
ポンプ入らず,2月15日,５街区,Ｋ２８－６,屋外,１１,ユーロフィン,-,0.050,,,,
ポンプ入らず,2月15日,５街区,Ｋ２８－６,屋外,１１,湘南分析センター,-,0.041,,,,
詰り,詰り,５街区,Ｌ２８－９,屋外,１２,９回結果,不検出,不検出,,,,
詰り,詰り,５街区,Ｌ２８－９,屋外,１２,環境管理センター,-,-,,,,
詰り,詰り,５街区,Ｌ２８－９,屋外,１２,（都）環境科学研究所,-,-,,,,
詰り,詰り,５街区,Ｌ２８－９,屋外,１２,ユーロフィン,-,-,,,,
詰り,詰り,５街区,Ｌ２８－９,屋外,１２,湘南分析センター,-,-,,,,
2月10日,2月23日,５街区,Ｌ３９－３,地下ピット内,１３,９回結果,0.063,※,,,,
2月10日,2月23日,５街区,Ｌ３９－３,地下ピット内,１３,環境管理センター,0.071,0.071,,,,
2月10日,2月23日,５街区,Ｌ３９－３,地下ピット内,１３,（都）環境科学研究所,-,-,,,,
2月10日,2月23日,５街区,Ｌ３９－３,地下ピット内,１３,ユーロフィン,0.066,0.071,,,,
2月10日,2月23日,５街区,Ｌ３９－３,地下ピット内,１３,湘南分析センター,0.052,0.057,,,,
2月10日,2月23日,５街区,Ｍ３７－３,地下ピット内,１４,９回結果,0.06,※,不検出,不検出,,
2月10日,2月23日,５街区,Ｍ３７－３,地下ピット内,１４,環境管理センター,0.001,0.001,不検出,不検出,,
2月10日,2月23日,５街区,Ｍ３７－３,地下ピット内,１４,（都）環境科学研究所,-,-,-,-,,
2月10日,2月23日,５街区,Ｍ３７－３,地下ピット内,１４,ユーロフィン,0.001,0.001,不検出,不検出,,
2月10日,2月23日,５街区,Ｍ３７－３,地下ピット内,１４,湘南分析センター,0.001,0.001,不検出,不検出,,
2月10日,2月23日,５街区,Ｉ２９－４,先客エリア,１５,９回結果,0.027,※,,,,
2月10日,2月23日,５街区,Ｉ２９－４,先客エリア,１５,環境管理センター,0.048,0.064,,,,
2月10日,2月23日,５街区,Ｉ２９－４,先客エリア,１５,（都）環境科学研究所,-,-,,,,
2月10日,2月23日,５街区,Ｉ２９－４,先客エリア,１５,ユーロフィン,0.044,0.069,,,,
2月10日,2月23日,５街区,Ｉ２９－４,先客エリア,１５,湘南分析センター,0.034,0.051,,,,
2月8日,2月22日,５街区,Ｑ３７－５,屋外,１６,９回結果,0.044,※,不検出,不検出,,
2月8日,2月22日,５街区,Ｑ３７－５,屋外,１６,環境管理センター,0.024,0.026,不検出,不検出,,
2月8日,2月22日,５街区,Ｑ３７－５,屋外,１６,（都）環境科学研究所,-,-,-,-,,
2月8日,2月22日,５街区,Ｑ３７－５,屋外,１６,ユーロフィン,0.026,0.027,不検出,不検出,,
2月8日,2月22日,５街区,Ｑ３７－５,屋外,１６,湘南分析センター,0.018,0.021,不検出,不検出,,
ポンプ入らず,2月14日,６街区,Ｂ９－２,屋外,１７,９回結果,0.098,※,0.4,※,,
ポンプ入らず,2月14日,６街区,Ｂ９－２,屋外,１７,環境管理センター,-,0.079,-,0.1,,
ポンプ入らず,2月14日,６街区,Ｂ９－２,屋外,１７,（都）環境科学研究所,-,-,-,-,,
ポンプ入らず,2月14日,６街区,Ｂ９－２,屋外,１７,ユーロフィン,-,0.087,-,0.1,,
ポンプ入らず,2月14日,６街区,Ｂ９－２,屋外,１７,湘南分析センター,-,0.072,-,0.1,,
2月8日,2月25日,６街区,Ｃ９－２,屋外,１８,９回結果,0.12,※,0.8,※,,
2月8日,2月25日,６街区,Ｃ９－２,屋外,１８,環境管理センター,0.006,0.031,0.1,0.1,,
2月8日,2月25日,６街区,Ｃ９－２,屋外,１８,（都）環境科学研究所,-,-,-,-,,
2月8日,2月25日,６街区,Ｃ９－２,屋外,１８,ユーロフィン,0.007,0.031,0.1,0.1,,
2月8日,2月25日,６街区,Ｃ９－２,屋外,１８,湘南分析センター,0.005,0.024,0.1,0.2,,
2月3日,2月14日,６街区,Ｃ１１－５,地下ピット内,１９,９回結果,0.074,※,0.6,※,,
2月3日,2月14日,６街区,Ｃ１１－５,地下ピット内,１９,環境管理センター,0.12,0.096,0.5,0.4,,
2月3日,2月14日,６街区,Ｃ１１－５,地下ピット内,１９,（都）環境科学研究所,-,-,-,-,,
2月3日,2月14日,６街区,Ｃ１１－５,地下ピット内,１９,ユーロフィン,0.10,0.10,0.6,0.4,,
2月3日,2月14日,６街区,Ｃ１１－５,地下ピット内,１９,湘南分析センター,0.089,0.096,0.6,0.4,,
2月3日,2月17日,６街区,Ｄ１０－５,地下ピット内,２０,９回結果,0.025,※,0.7,※,0.012,※
2月3日,2月17日,６街区,Ｄ１０－５,地下ピット内,２０,環境管理センター,0.037,0.039,0.6,0.6,0.021,0.020
2月3日,2月17日,６街区,Ｄ１０－５,地下ピット内,２０,（都）環境科学研究所,-,-,-,-,-,-
2月3日,2月17日,６街区,Ｄ１０－５,地下ピット内,２０,ユーロフィン,0.038,0.036,0.7,0.7,0.014,0.019
2月3日,2月17日,６街区,Ｄ１０－５,地下ピット内,２０,湘南分析センター,0.030,0.030,0.7,0.7,0.018,0.018
2月3日,2月14日,６街区,Ｄ１２－５,地下ピット内,２１,９回結果,0.14,※,0.7,※,0.021,※
2月3日,2月14日,６街区,Ｄ１２－５,地下ピット内,２１,環境管理センター,0.21,0.19,0.8,0.6,0.028,0.018
2月3日,2月14日,６街区,Ｄ１２－５,地下ピット内,２１,（都）環境科学研究所,-,-,-,-,-,-
2月3日,2月14日,６街区,Ｄ１２－５,地下ピット内,２１,ユーロフィン,0.22,0.19,1.0,0.8,0.019,0.016
2月3日,2月14日,６街区,Ｄ１２－５,地下ピット内,２１,湘南分析センター,0.17,0.17,0.9,0.6,0.022,0.017
2月2日,2月17日,６街区,Ｅ１２－６,地下ピット内,２２,９回結果,,,0.8,※,,
2月2日,2月17日,６街区,Ｅ１２－６,地下ピット内,２２,環境管理センター,,,0.5,0.7,,
2月2日,2月17日,６街区,Ｅ１２－６,地下ピット内,２２,（都）環境科学研究所,,,-,-,,
2月2日,2月17日,６街区,Ｅ１２－６,地下ピット内,２２,ユーロフィン,,,0.4,0.7,,
2月2日,2月17日,６街区,Ｅ１２－６,地下ピット内,２２,湘南分析センター,,,0.6,0.7,,
2月6日,2月17日,６街区,Ｅ２０－７,地下ピット内,２３,９回結果,0.082,※,,,,
2月6日,2月17日,６街区,Ｅ２０－７,地下ピット内,２３,環境管理センター,0.12,0.12,,,,
2月6日,2月17日,６街区,Ｅ２０－７,地下ピット内,２３,（都）環境科学研究所,-,-,,,,
2月6日,2月17日,６街区,Ｅ２０－７,地下ピット内,２３,ユーロフィン,0.12,0.12,,,,
2月6日,2月17日,６街区,Ｅ２０－７,地下ピット内,２３,湘南分析センター,0.093,0.099,,,,
ポンプ入らず,2月13日,５街区,Ｏ４２－７,屋外,２４,９回結果,0.088,※,0.1,※,,
ポンプ入らず,2月13日,５街区,Ｏ４２－７,屋外,２４,環境管理センター,-,0.074,-,0.4,,
ポンプ入らず,2月13日,５街区,Ｏ４２－７,屋外,２４,（都）環境科学研究所,-,-,-,-,,
ポンプ入らず,2月13日,５街区,Ｏ４２－７,屋外,２４,ユーロフィン,-,0.085,-,0.6,,
ポンプ入らず,2月13日,５街区,Ｏ４２－７,屋外,２４,湘南分析センター,-,0.060,-,0.5,,
2月8日,2月22日,５街区,Ｐ３６－３,屋外,２５,９回結果,0.004,※,0.1,※,,
2月8日,2月22日,５街区,Ｐ３６－３,屋外,２５,環境管理センター,0.005,0.005,0.1,0.1,,
2月8日,2月22日,５街区,Ｐ３６－３,屋外,２５,（都）環境科学研究所,-,-,-,-,,
2月8日,2月22日,５街区,Ｐ３６－３,屋外,２５,ユーロフィン,0.005,0.004,0.1,0.1,,
2月8日,2月22日,５街区,Ｐ３６－３,屋外,２５,湘南分析センター,0.004,0.004,0.1,0.1,,
2月6日,2月17日,６街区,Ｂ１０－５,地下ピット内,２６,９回結果,0.14,※,1.0,※,0.022,※
2月6日,2月17日,６街区,Ｂ１０－５,地下ピット内,２６,環境管理センター,0.15,0.17,0.8,0.9,0.036,0.032
2月6日,2月17日,６街区,Ｂ１０－５,地下ピット内,２６,（都）環境科学研究所,-,-,-,-,-,-
2月6日,2月17日,６街区,Ｂ１０－５,地下ピット内,２６,ユーロフィン,0.18,0.16,0.9,1.0,0.027,0.030
2月6日,2月17日,６街区,Ｂ１０－５,地下ピット内,２６,湘南分析センター,0.14,0.14,0.8,1.0,0.030,0.028
2月3日,2月16日,６街区,Ｇ１２－３,地下ピット内,２７,９回結果,0.11,※,0.1,※,0.018,※
2月3日,2月16日,６街区,Ｇ１２－３,地下ピット内,２７,環境管理センター,0.18,0.18,0.5,0.5,0.031,0.029
2月3日,2月16日,６街区,Ｇ１２－３,地下ピット内,２７,（都）環境科学研究所,-,-,-,-,-,-
2月3日,2月16日,６街区,Ｇ１２－３,地下ピット内,２７,ユーロフィン,0.19,0.17,0.5,0.6,0.021,0.023
2月3日,2月16日,６街区,Ｇ１２－３,地下ピット内,２７,湘南分析センター,0.14,0.15,0.6,0.6,0.025,0.024
詰り,詰り,６街区,Ｇ８－１,屋外,２８,９回結果,不検出,不検出,不検出,不検出,不検出,不検出
詰り,詰り,６街区,Ｇ８－１,屋外,２８,環境管理センター,-,-,-,-,-,-
詰り,詰り,６街区,Ｇ８－１,屋外,２８,（都）環境科学研究所,-,-,-,-,-,-
詰り,詰り,６街区,Ｇ８－１,屋外,２８,ユーロフィン,-,-,-,-,-,-
詰り,詰り,６街区,Ｇ８－１,屋外,２８,湘南分析センター,-,-,-,-,-,-
ポンプ入らず,2月22日,７街区,Ｌ２５－１,駐車場棟１Ｆ,２９,１０回結果,0.021,※,0.1,※,,
ポンプ入らず,2月22日,７街区,Ｌ２５－１,駐車場棟１Ｆ,２９,環境管理センター,-,0.031,-,0.1,,
ポンプ入らず,2月22日,７街区,Ｌ２５－１,駐車場棟１Ｆ,２９,（都）環境科学研究所,-,-,-,-,,
ポンプ入らず,2月22日,７街区,Ｌ２５－１,駐車場棟１Ｆ,２９,ユーロフィン,-,0.032,-,0.1,,
ポンプ入らず,2月22日,７街区,Ｌ２５－１,駐車場棟１Ｆ,２９,湘南分析センター,-,0.025,-,0.1,,
トラベルスタンダード（2/10採水）,,,,,,１１回結果,0.010,※,,,,
トラベルスタンダード（2/10採水）,,,,,,環境管理センター,-,0.010,,,,
トラベルスタンダード（2/10採水）,,,,,,（都）環境科学研究所,-,-,,,,
トラベルスタンダード（2/10採水）,,,,,,ユーロフィン,-,0.010,,,,
トラベルスタンダード（2/10採水）,,,,,,湘南分析センター,-,0.007,,,,
