 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"1,411",171,"2,667",471,195,171,346,471,"1,216",-,"2,321",-
,74.0%,26.4%,82.6%,30.4%,93.3%,26.4%,87.6%,30.4%,71.6%,-,81.9%,-
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
東南アジア,"106,252","23,948","220,629","49,587","31,381","23,786","57,024","49,233","74,871",162,"163,605",354
,101.3%,123.3%,105.5%,127.4%,114.5%,123.4%,109.0%,127.4%,96.6%,112.5%,104.3%,123.8%
台湾,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"9,849","5,041","20,858","9,777","2,998","4,966","5,976","9,639","6,851",75,"14,882",138
,82.5%,117.8%,88.9%,114.2%,87.8%,119.6%,93.9%,115.8%,80.4%,59.5%,87.1%,57.7%
中国(香港含む),"61,953","43,966","135,279","93,598","12,100","43,727","20,605","93,296","49,853",239,"114,674",302
,82.0%,92.3%,86.9%,95.0%,94.2%,92.5%,83.8%,95.3%,79.5%,61.1%,87.4%,46.0%
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
内航計,"19,634","17,118","39,806","29,857","9,482","15,459","19,275","26,721","10,152","1,659","20,531","3,136"
,80.9%,81.4%,81.3%,77.7%,72.1%,81.3%,69.5%,77.1%,91.2%,82.4%,96.7%,83.0%
内航定期計,"16,553","3,826","32,286","7,263","8,116","2,175","15,909","4,139","8,437","1,651","16,377","3,124"
,101.0%,81.7%,98.6%,84.1%,98.2%,70.0%,92.5%,73.7%,103.8%,104.8%,105.4%,103.3%
北海道,"4,974",176,"9,712",176,"2,595",176,"5,000",176,"2,379",-,"4,712",-
,88.6%,38.6%,86.1%,25.5%,90.5%,61.5%,86.6%,61.3%,86.6%,-,85.5%,-
東北,"3,245",948,"7,070","1,580","1,397",862,"3,384","1,362","1,848",86,"3,686",218
,83.9%,73.8%,89.7%,56.1%,78.0%,76.7%,82.6%,54.6%,89.1%,53.8%,97.4%,68.6%
関東,-,-,44,140,-,-,-,140,-,-,44,-
,-,-,25.1%,333.3%,-,-,-,368.4%,-,-,176.0%,-
伊豆諸島,307,-,307,-,222,-,222,-,85,-,85,-
,-,-,-,-,-,-,-,-,-,-,-,-
中部,"1,514",601,"2,891","1,431",591,601,855,"1,431",923,-,"2,036",-
,85.7%,41.8%,91.2%,74.3%,97.2%,51.4%,74.6%,88.3%,79.7%,-,100.5%,-
近畿,"1,560",559,"2,737","1,060",53,536,227,"1,012","1,507",23,"2,510",48
,331.9%,130.9%,296.5%,96.1%,240.9%,130.4%,189.2%,94.1%,336.4%,143.8%,312.6%,171.4%
中国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
九州,"2,127",18,"4,122",62,992,-,"1,884",18,"1,135",18,"2,238",44
,92.5%,14.1%,90.1%,40.0%,92.0%,-,88.9%,17.8%,93.0%,66.7%,91.2%,81.5%
沖縄,"2,826","1,524","5,403","2,814","2,266",-,"4,337",-,560,"1,524","1,066","2,814"
,118.9%,163.0%,114.1%,147.4%,119.5%,-,114.1%,-,116.9%,163.0%,114.0%,147.4%
内航不定期,"3,081","13,292","7,520","22,594","1,366","13,284","3,366","22,582","1,715",8,"4,154",12
,39.1%,81.3%,46.4%,75.8%,28.0%,83.5%,32.0%,77.8%,57.0%,1.8%,72.9%,1.6%
,,,,,,,,,,,,
各下段： 対前年比％,,,,,,,,,,,,
