区市町村別事業中地区一覧,,,,,,,,,,,,,,,,,,,,,
区市町村,施行者,地 　 区　  名,施行地区,"面積
（ha）","総事業費
（億円）","都市計画
決定告示
年月日","施行認可
告示
年月日","完了予定
年度",整理前公共用地,,,,整理後公共用地,,,,保留地,合算減歩率,公共減歩率,保留地減歩率,備考
中野,組合,中野二丁目,中野区中野二丁目、三丁目、五丁目の各一部,2.4,98,H27.3.6,H28.5.12,R7,"3,519.38","1,612.58",259.47,"1,647.33","8,236.83","5,132.83",725.26,"2,378.74","2,781.03",40,25.1,14.8,
中野,都市機構,中野三丁目,中野三丁目、四丁目の各一部,1,84.1,H27.3.6,H27.7.13,R10,"1,739.00","1,739.00",-,-,"4,746.00","3,838.00",-,908,539,41.9,35.5,6.4,
中野,都市機構,中野四丁目新北口駅前,中野区中野四丁目の一部,5.2,89.5,H31.3.28,R3.1.13,R11,"27,388.00","27,388.00",-,-,"26,093.00","26,093.00",-,-,825,-1.9,-5.3,3.4,
杉並,個人,阿佐ヶ谷駅北東周辺,杉並区阿佐谷北一丁目の一部,2.7,6.2,―,R1.8.30,R12,910.77,910.77,-,-,"1,965.92","1,965.92",-,-,411.53,5.6,4.1,1.5,
練馬,個人,大泉町一丁目北,練馬区大泉町一丁目の一部,0.4,2.3,S44.5.8,R4.1.31,R5,209.64,209.64,-,-,"1,025.97",789.14,236.83,-,-,21.8,21.8,-,
練馬,個人,大泉町四丁目,練馬区大泉町四丁目の一部,0.5,4.4,S44.5.8,R4.2.9,R6,－,－,－,－,"1,629.88","1,295.09",334.79,-,795,43.5,29.2,14.3,
足立,個人,北綾瀬駅前,足立区谷中四丁目の一部,1.2,5.3,―,R3.11.4,R6,"3,960.92","3,960.92",―,―,"3,962.54","3,962.54",―,―,―,0,0,―,
江戸川,個人,東葛西九丁目,江戸川区東葛西九丁目の一部,4.9,3,S40.6.18,R4.7.27,R7,"2,010.49","2,010.49",―,―,"3,459.76",877.35,"1,460.72","1,121.69",―,3.1,3.1,―,
八王子,組合,川口,八王子市川口町、上川町、美山町、西寺方町の各一部,172.3,197.8,H30.2.28,H30.2.28,R8,"43,964.36","31,895.13",516,"11,553.23","1,297,534.03","34,907.78","968,192.66","293,649.49","266,893.55",90.6,74.7,15.9,
日野,組合,日野市川辺堀之内,日野市大字豊田、大字川辺堀之内、大字上田の各一部,18.7,85.2,―,H21.3.24,R7,"15,541.71","10,285.64",460.47,"4,795.60","50,858.57","40,691.37","6,453.72","3,713.48","27,776.00",36.8,20.6,16.2,
清瀬,組合,中清戸四丁目,清瀬市中清戸四丁目の一部,3.7,15.4,―,R3.12.10,R6,828.12,828.12,-,-,"9,680.36","8,557.44","1,122.92",-,"2,438.00",30.9,24.2,6.7,
武蔵村山,個人,神明一丁目,武蔵村山市神明一丁目の一部,0.6,2.9,―,R4.3.18,R5,72.43,72.43,―,―,"1,712.65","1,430.20",282.45,―,"2,446.00",69,27.7,41.3,
稲城,組合,稲城南山東部,稲城市大字東長沼字七号及び字八号の各一部並びに字十号、大字百村字十四号、字十五号、大字矢野口字上網、字奥畑、字井戸久保、字根方、字坂上、字西山、字大久保及び字谷戸の各一部,87.5,576.4,R3.12.17,H18.4.12,R6,"44,577.00","43,906.83",-,670.17,"348,422.23","144,065.80","138,694.10","65,662.23","262,764.25",68.3,36.6,31.7,
稲城,組合,稲城小田良,稲城市大字坂浜字十三号、第十四号、第十五号、第十六号、第十七号、十八号の各一部,29.5,111.4,H9.8.1,H24.12.25,R6,"18,428.36","16,021.78",-,"2,406.58","107,254.48","62,217.70","43,231.97","1,804.81","61,747.09",54.4,32.1,22.3,
西東京,個人,新町四丁目,西東京市新町四丁目の一部,1,3.2,―,R3.11.22,R5,―,―,―,―,"1,423.64","1,135.62",288.02,―,992.01,25.2,14.9,10.4,
西東京,個人,柳沢五丁目,西東京市柳沢五丁目の一部,0.8,4.9,―,R5.7.20,R7,―,―,―,―,"1,890.14","1,637.12",253.02,―,1743.11,43.1,22.4,20.7,
あきる野,個人,あきる野市野辺,あきる野市野辺字川原、小川字秋見ヶ崎、小川字上久保の一部,2.3,8.4,―,R4.11.25,R8,―,―,―,―,"6,512.89","4,416.12","2,096.77",―,―,28.4,28.4,―,
瑞穂,組合,瑞穂町殿ケ谷,西多摩郡瑞穂町大字殿ヶ谷字土手向、字土手内、字春名塚、字榎向中原、字榎内川添、大字石畑字旭岳、字武蔵野、字砂前、大字武蔵、武蔵村山市中原三丁目の各一部,38.8,149.4,―,H8.6.11,R6,"55,195.13","54,739.13",456,-,"103,666.54","83,466.54","20,200.00",-,"33,989.81",24.8,14.6,10.2,
,,,※（　）は現在の地名,,,,,,,,,,,,,,,,,,
