区市町村別完了地区一覧,,,,,,,,,,,,,,,,,,,,,,,
区市町村,施行者,地 　 区　  名,施行地区　,"面積
（ha）","総事業費
（億円）","都市計画
決定告示
年月日","施行
認可告示
年月日","換地処分
公告年月日",終了または解散認可年月日,整理前公共用地,,,,整理後公共用地,,,,保留地,合算減歩率,公共減歩率,保留地減歩率,国土調査法第19条第5項承認,備考
江戸川,組合,東小松川南,江戸川区東小松川一丁目及び東船堀町の各一部,7.5,3.5,―,S42.11.25,S46.8.23,S47.12.5,,,,,,,,,,29.8,18.9,11,,
江戸川,組合,東小松川北,江戸川区東小松川二丁目の一部,6.2,2.3,―,S42.11.25,S48.11.2,S49.5.20,,,,,,,,,,26.5,17.7,8.8,,
江戸川,組合,宇喜田,江戸川区宇喜田町、長島町、桑川町の各一部,68.3,44,―,S42.12.28,S61.5.23,S62.3.30,,,,,,,,,,23.4,15.8,7.6,,
江戸川,組合,小島,江戸川区小島町一丁目、二丁目、新田一丁目、二丁目、宇喜田町の各一部,94.5,45.5,―,S42.12.28,S56.5.27,S57.3.17,,,,,,,,,,24.1,19,5.1,,
江戸川,組合,新田,江戸川区新田一丁目、二丁目、葛西一丁目、二丁目、宇喜田町の各一部,86.2,46.4,―,S42.12.28,S60.6.28,S61.1.31,,,,,,,,,,24,19.1,5,,
江戸川,組合,長島,江戸川区長島町、宇喜田町、葛西一丁目の各一部,42.2,14.7,―,S42.12.28,S56.3.3,S56.7.25,,,,,,,,,,17.8,11.6,6.2,,
江戸川,組合,葛西,江戸川区葛西一丁目、長島町の各一部,93,166.5,S40.6.18,S44.12.6,H22.1.8,H25.5.21,"107,076.46","28,521.14",-,"78,555.32","290,406.47","261,470.09","28,936.38",-,"30,201.42",26,22.3,3.7,○,
江戸川,組合,堀江,江戸川区堀江町の全域,152.3,122.7,S40.6.18,S45.5.20,S57.10.12,S58.3.31,,,,,,,,,,28.3,23.2,5.1,,
江戸川,組合,春江,江戸川区春江町二丁目及び西瑞江一丁目の各一部,40.4,45.7,S44.5.8,S46.12.28,H4.8.27,H6.3.28,,,,,,,,,,13.9,10.3,3.6,,
江戸川,組合,小岩陣地,江戸川区東小岩一丁目、南小岩二丁目、鹿骨町、西篠崎町、北篠崎町の各一部,12.3,0.4,―,S54.1.11,S54.9.10,S55.7.29,,,,,,,,,,8.1,8.1,―,,
江戸川,組合,東葛西,江戸川区東葛西八丁目、九丁目の各一部,38.9,83.6,S40.6.18,S62.8.10,H21.4.28,H24.1.16,"54,290.52","9,340.41",-,"44,950.11","72,948.01","55,035.12","11,925.13","5,987.76","12,073.52",9.1,5.6,3.5,○,
江戸川,組合,西篠崎,江戸川区西篠崎一丁目、二丁目の各一部,2.9,0.9,S44.5.8,H18.12.25,H24.6.6,H26.3.28,"8,090.84","2,246.62","5,126.00",718.22,"9,882.00","5,052.00","4,830.00",-,-,3.4,3.4,―,○,
八王子,個人,大和田台,八王子市大和田町字中原の全部及び字石川道、上山之上、宅地通、上宅地添（八王子市富士見町）,14.9,1.3,―,S35.2.25,S35.6.28,S37.5.17,,,,,,,,,,23,23,―,,
八王子,個人,南楢原,八王子市楢原町（清川町）,14.3,1.6,―,S39.12.15,S40.2.20,,,,,,,,,,,23.9,23.9,―,,
八王子,個人,戸吹北,八王子市戸吹町の一部,23.2,19.9,H19.12.27,H20.4.14,H22.1.27,H22.6.25,,,,,,,,,,6.4,6.4,―,,
八王子,個人,叶谷東部,八王子市叶谷町の一部,1.1,2.1,―,H21.6.12,H22.11.22,H23.2.28,,,,,,,,,,48.4,21,27.3,,
八王子,個人,大塚望地,八王子市大塚、鹿島の各一部,0.7,3,―,H24.2.23,H26.4.14,H26.7.14,,,,,,,,,,60.6,22.2,38.5,,
八王子,組合,大塚,八王子市大塚字１、字3、字10～14、字19、字20の各一部（八王子市大塚の一部）,18.6,20.7,―,S48.8.16,S55.2.14,S55.11.11,,,,,,,,,,35.2,26.6,8.6,,
八王子,組合,長沼,八王子市長沼町の一部,4.9,7,―,S54.3.10,S57.8.31,S57.11.8,,,,,,,,,,20.9,15.3,5.6,,
八王子,組合,駒木野,八王子市裏高尾町の一部,3.1,5.2,―,S56.3.31,S59.5.15,S59.5.19,,,,,,,,,,32.3,17.5,14.8,,
八王子,組合,長房,八王子市長房町の一部,1.9,3.6,―,S56.3.31,S58.11.25,S59.3.12,,,,,,,,,,31.2,19.9,11.3,,
八王子,組合,八王子市片倉,八王子市片倉町、打越町の各一部,26.4,82.6,S57.1.21,S57.2.27,H6.1.14,H7.3.15,,,,,,,,,,29.1,22.2,6.9,,
八王子,組合,寺田中央,八王子市寺田町の一部,3.5,6.4,―,S59.6.1,S62.10.31,S63.3.31,,,,,,,,,,25.8,13.3,12.5,,
八王子,組合,釜貫,八王子市片倉町の一部,10.7,57.7,―,S63.3.23,H7.9.22,H8.3.29,,,,,,,,,,35,24.1,10.9,,
八王子,組合,天野,八王子市大塚、東中野一号、二号、三号の各一部（八王子市大塚、東中野の各一部）,7.1,40.2,―,H1.6.16,H9.11.28,H10.3.31,,,,,,,,,,29.4,27.1,2.3,,
八王子,組合,天野谷戸,八王子市大塚、東中野三号～七号までの各一部（八王子市大塚、東中野の各一部）,10.6,58.6,―,H1.9.21,H9.11.28,H10.3.27,,,,,,,,,,38.7,28.2,10.5,,
八王子,組合,小比企・時田,八王子市木比企町、片倉町の各一部,9.3,30.5,―,H2.11.5,H11.11.19,H12.3.28,,,,,,,,,,29.5,21.3,8.2,,
八王子,組合,楢原東部,八王子市楢原町の一部,6.4,19.7,―,H4.3.25,H8.10.11,H9.3.31,,,,,,,,,,31.4,24.2,7.2,,
八王子,組合,楢原西部,八王子市楢原町、犬目町の各一部,7.8,11.7,―,H14.10.8,H21.5.15,H21.9.28,"3,737.49","3,737.49",-,-,"17,861.68","13,461.02","4,400.66",-,"9,032.67",31.4,19.2,12.2,○,
八王子,組合,八王子インター北,八王子市左入町、梅坪町、滝山町一丁目の各一部,15.4,45.1,―,H25.1.23,H28.3.11,H29.6.14,"9,663.61","9,029.23",,634.38,"30,277.92","19,310.43","10,195.69",771.8,"36,699.00",39.7,14.3,25.4,,
八王子,都市機構,北八王子,東京都八王子市,107,2.7,S34.8.27,S36.3.10,S41.3.8,,,,,,,,,,,25,7.2,17.8,,
八王子,都市機構,宇津木台,東京都八王子市,77,185.3,S55.1.22,S56.7.15,S63.5.31,,,,,,,,,,,38.1,33.9,4.2,,
八王子,都市機構,南八王子,東京都八王子市,394.3,"2,560.30",S60.12.10,S63.10.8,H20.3.28,,,,,,,,,,,43.7,36.1,7.6,○,
八王子,住宅供給公社,打越南部,八王子市北野台五丁目、打越町の各一部,19.8,"5,704.30",S63.6.17,H1.4.10,H9.8.18,,,,,,,,,,,48.1,41.1,7,,公社施行
立川,都市機構,立川基地跡地関連,立川市緑町、泉町、?松町一丁目、三丁目の各一部,58.8,210.8,H7.5.15,H9.3.31,H18.12.11,,,,,,,,,,,22.5,19.5,3,○,
昭島/立川,都市機構,立川基地跡地昭島,昭島市福島町、築地町、中神町及び立川市泉町の各一部,66.1,101.1,H24.3.2,H25.1.24,H30.12.19,,23275,15201,-,8074,223878,99397,65144,59337,57513,41.4,31.5,10,,
青梅,組合,青梅,青梅市大字勝沼、大字河辺、大字東青梅の各一部,56.7,2.3,―,S28.12.24,S39.11.5,,,,,,,,,,,22.9,17.4,5.5,,
,組合,城前,青梅市師岡字筑間、字城前、字大塚、勝沼字柿沢の各一部（青梅市大字師岡の一部）,12.7,2.6,―,S40.6.8,S47.1.31,S47.5.22,,,,,,,,,,22.1,12.9,9.2,,
青梅,都市機構,青梅羽村,東京都青梅市・羽村市,166.2,6.8,S36.12.25,S39.1.16,S41.8.1,,,,,,,,,,,18.8,5.8,13,,
府中,個人,府中市小野宮農住組合,府中市住吉町三丁目の一部,1.6,5.5,―,H9.9.24,H12.9.29,H13.3.16,,,,,,,,,,31.8,22.2,9.6,,
府中,組合,府中市四谷三丁目,府中市四谷三丁目の一部,3,3.8,S40.6.7,S56.3.9,S58.11.30,S59.3.24,,,,,,,,,,29.2,27.9,1.3,,
府中,組合,西府,府中市西府町一丁目、二丁目、本宿町一丁目、二丁目、日新町一丁目の各一部,12.8,8.5,―,H15.3.12,H25.8.16,H26.5.12,"19,093.82","15,647.39",-,"3,446.43","37,172.73","26,146.60","7,705.78","3,320.35","8,072.44",24,16.6,7.4,○,
府中,組合,日新町四丁目,府中市日新町四丁目の一部,4.2,8.9,S40.6.18,H22.4.28,H26.8.29,H27.6.12,"6,940.03","4,579.44",-,"2,360.59","12,430.30","9,578.76","2,550.49",301.05,"3,950.04",26.7,15.5,11.2,,
昭島,個人,福島町矢崎地区,昭島市福島町二丁目の一部,1.5,4.3,―,H26.8.7,H29.2.7,H29.3.24,"1,457.30",804.76,-,652.54,"3,791.35","2,850.87",-,940.48,"3,506.33",41.2,16.6,24.7,,
調布,組合,仙川駅南,調布市仙川町一丁目の一部,2.3,5.9,―,H8.2.26,H11.10.29,H11.12.1,,,,,,,,,,22.1,20.7,1.4,,
調布,組合,布田六丁目,調布市布田六丁目の一部,2.8,5.1,―,H13.7.26,H17.1.11,H17.3.31,"1,875.39","1,402.67",-,472.72,"6,149.52","4,441.54",853.99,853.99,"1,110.14",20.3,16.1,4.2,,
調布,組合,調布市国領北浦,調布市国領町四丁目の一部,1,3.5,―,H25.4.30,H26.12.19,H27.3.13,609.43,609.43,-,-,"3,146.48","2,518.46",628.02,-,"1,010.29",36.1,25.8,10.3,,
町田,個人,三蔵寺橋,町田市高ヶ坂字2号の一部（町田市高ヶ坂三丁目１６２の一部、２１０、２１１及び２１５）,1,2,―,H12.12.28,H14.6.25,H14.10.11,,,,,,,,,,54.3,37,17.3,,
町田,個人,能ヶ谷藤の木,町田市能ヶ谷町字三号の一部（町田市能ヶ谷三丁目の一部）,0.6,3,―,H21.2.13,H23.2.18,H23.3.24,776.82,651.72,-,125.1,"2,371.94","2,011.29",360.65,-,"1,265.21",54.7,30.5,24.2,,
町田,個人,南町田駅周辺地区,町田市鶴間二丁目、三丁目の各一部,18.2,40.7,H28.8.5,H28.11.28,R4.7.20,R4.9.30,"82,747.51","19,788.39","59,898.92","6,060.20","83,032.69","15,280.80","65,623.25","2,128.64",－,0.3,0.3,―,,
町田,組合,小川第一,町田市小川字4号、字16号～18号までの全部及び小川字１号～字3号、字5号、字9号、字13号～15号、成瀬字1号の各一部（町田市つくし野一、三、四丁目及びつくし野二丁目の各一部）,95.1,11.4,―,S40.7.6,S43.10.15,S44.4.10,,,,,,,,,,37.8,16.3,21.5,,
町田,組合,小川第二,町田市小川の一部（町田市南つくし野一丁目から四丁目、つくし野二丁目及び小川一、四丁目の各一部）,70.6,15.2,―,S43.10.1,S46.11.1,S47.5.22,,,,,,,,,,41.1,20.1,20.9,,
町田,組合,真光寺広袴,町田市真光寺二、三丁目、広袴一丁目から三丁目の各一部（町田市真光寺二、三丁目、広袴一丁目から三丁目の各一部）,22.1,29.3,―,S44.7.1,H11.2.26,H12.3.28,,,,,,,,,,26.9,18.3,8.6,,
町田,組合,小川蜂谷戸,町田市小川字3号、字5号、字6号、字7号、金森字13号の各一部（町田市小川一丁目から四丁目の各一部）,30.6,12.1,―,S44.8.25,S47.10.24,S49.4.21,,,,,,,,,,42.9,19.9,22.9,,
町田,組合,成瀬,町田市成瀬台一丁目、三丁目、四丁目の全部及び成瀬台二丁目、成瀬一丁目、二丁目の各一部（町田市成瀬台一、三、四丁目及び成瀬台二丁目及び成瀬一、三丁目の各一部）,92.2,43.5,―,S45.3.6,S50.10.20,S51.4.22,,,,,,,,,,46.5,18.3,28.3,,
町田,組合,小川蜂谷戸第二,町田市小川町5号、6号、7号、金森12号の各一部（町田市小川一丁目から四丁目の各一部）,22.4,13.5,―,S45.12.19,S49.3.19,S49.7.17,,,,,,,,,,46.5,19.4,27.8,,
町田,組合,南町田第一,町田市鶴間字8号～12号、字17号、字18号の各一部（町田市鶴間二、三丁目及び鶴間一丁目の一部）,38.9,18.4,―,S47.5.13,S50.4.9,S50.12.23,,,,,,,,,,45.6,31.7,13.9,,
町田,組合,成瀬南,町田市成瀬字２号、字7号、字８号の全部及び成瀬字１号、字３号から６号、字8号から１１号、字３１号、字３２号、小川字２号、字３号の各一部（町田市南成瀬一、三から七丁目、南成瀬二、八丁目及び成瀬が丘一から三丁目の各一部）,99.8,120.5,―,S47.9.1,S54.6.9,S55.10.24,,,,,,,,,,41.8,20.4,21.4,,
町田,組合,成瀬中央,町田市成瀬字１５号、字１６号、字２８号、字２９号、字３０号の各一部（町田市成瀬一、二丁目の各一部,23.2,33.3,―,S48.4.12,S54.3.3,S54.11.10,,,,,,,,,,53,20.4,32.5,,
町田,組合,南町田第二,町田市鶴間字6号～字9号の一部（町田市鶴間一丁目の一部）,4.3,3.9,―,S52.9.7,S54.6.4,S54.10.6,,,,,,,,,,30.3,17.1,13.2,,
町田,組合,上谷戸,町田市金森字７号、字１３号の各一部（町田市金森１１００から金森１１０３）,1.7,2.9,―,S53.9.20,S54.4.7,S54.11.21,,,,,,,,,,40.6,15.9,24.7,,
町田,組合,成瀬西,町田市成瀬字１２号から１４号、字１６号の各一部（町田市成瀬一丁目の一部及び成瀬２１８０から３０５０）,15.6,43.8,―,S54.8.10,S59.11.22,S60.3.27,,,,,,,,,,53.4,25.7,27.6,,
町田,組合,三輪,町田市三輪町字１６号から１８号、字２０号、字２３号から２９号の各一部（町田市三輪緑山一丁目から四丁目の各一部）,71.3,166.1,―,S56.10.29,S63.11.26,H1.3.29,,,,,,,,,,42.8,26.8,16,,
町田,組合,竹桜,町田市下小山田町字鳥居松の全部及び字宮の前、字金原、字向台、字富貴谷、字熊の堂、字谷、字竹の内の各一部（町田市下小山田町４０００から４０３６）,9.9,22.6,―,S57.10.5,S61.12.4,S62.11.18,,,,,,,,,,57.6,32.9,24.7,,
町田,組合,高ヶ坂,町田市高ヶ坂字６号から８号、成瀬字１０号の各一部（町田市南成瀬二丁目、高ヶ坂七丁目の一部）,6.2,22.6,―,S58.6.29,H1.1.21,H1.3.29,,,,,,,,,,43.5,34.6,8.9,,
町田,組合,馬駈,町田市図師町字3号、字7号、忠生四丁目の各一部（町田市図師町字三号５８４から６１６）,6.8,23.2,―,S58.10.8,H1.1.28,H1.3.29,,,,,,,,,,36.7,24.1,12.7,,
町田,組合,京浜団地,町田市小川字２号、字３号、字６号、字７号、成瀬字4号、字8～10号、金森字７号、字１３号の各一部（町田市成瀬が丘一から三丁目、小川一、二丁目の一部及び金森１８７９、１９２４）,31,2.5,―,S60.4.18,S61.11.15,H1.2.13,,,,,,,,,,16.1,16.1,―,,
町田,組合,金井,町田市金井町字８号から１０号、字２４号から２６号の各一部（町田市金井一、二丁目の各一部）,18.7,81.4,―,S60.7.8,H3.10.11,H4.3.19,,,,,,,,,,49.8,31.1,18.7,,
町田,組合,金井関山,町田市金井町字３号から５号、字９号、大蔵町字関山、野津田町字川島の各一部（町田市金井三、四丁目、薬師台三丁目の各一部、大蔵町字関山３１７８から３１８４及び野津田町字川島３５３１から３５６０）,27.4,119.9,―,S62.2.10,H6.1.14,H6.3.30,,,,,,,,,,51,33.5,17.5,,
町田,組合,下小山田,町田市下小山田町字丁八反、字山谷、字御新造、字清長寺谷、字罕場及び字枝畠の各一部（町田市下小山田町２７２０から２８１０）,14.5,62.5,―,H2.11.30,H9.1.31,H9.3.31,,,,,,,,,,49,33.4,15.6,,
町田,組合,成瀬東,町田市成瀬字２７号及び字２８号の各一部（町田市成瀬台二丁目及び成瀬三丁目の各一部）,13.2,54.4,―,H3.9.3,H8.9.6,H9.3.24,,,,,,,,,,47.1,42.2,4.9,,
町田,組合,三輪沢谷戸,町田市三輪緑山一丁目、四丁目の各一部（町田市三輪緑山一丁目、四丁目の各一部）,18.1,75,―,H5.10.12,H9.10.31,H10.3.27,,,,,,,,,,53,39.3,13.7,,
町田,組合,野津田中央,町田市野津田町字田中前及び字袋の各一部（町田市野津田町２５３４から２５４４）,4.1,17.2,―,H5.10.12,H11.2.19,H13.9.6,,,,,,,,,,46.5,28.7,17.8,,
町田,組合,野津田薬師池下,町田市野津田町字田中前の一部（町田市野津田町字田中前２４０５から２４１５）,3.5,11.5,―,H5.12.21,H11.2.5,H11.9.8,,,,,,,,,,40.7,30.3,10.4,,
町田,組合,上小山田杉谷戸,町田市上小山田町字一号、字四号、字五号、字十三号、字十九号の各一部（町田市上小山田町３０００から３０９３）,22.9,103.6,―,H6.9.1,H20.4.18,H20.9.30,"18,623.65","10,719.12",-,"7,904.53","87,929.58","44,117.56","37,690.01","6,122.01","58,080.80",60.5,32.9,27.6,○,
町田,組合,相原町根岸,町田市相原町字根岸の一部（町田市相原町字根岸２８９０から２８９８）,1.9,7.3,―,H7.11.1,H11.6.11,H11.11.29,,,,,,,,,,41.8,21.2,20.6,,
町田,組合,小山町馬場,町田市小山町字二号から字四号の各一部（町田市小山町４６５０から４６９２）,5.6,40,―,H7.12.6,H17.9.9,H17.12.15,"4,364.28","2,582.45",-,"1,781.83","21,135.33","11,524.12","4,090.40","5,520.81","21,794.04",75,32.6,42.4,,
町田,組合,能ヶ谷東部,町田市能ヶ谷町字四号から字七号、字一六号の各一部（町田市能ヶ谷四、五、六丁目の各一部）,25.2,118.2,―,H9.3.6,H16.2.27,H16.8.23,,,,,,,,,,56.2,39.8,16.4,○,
町田,組合,能ヶ谷,町田市能ヶ谷町及び広袴町の各一部（町田市能ヶ谷四、六、七丁目の各一部及び広袴町９００）,7.2,39.6,―,H9.9.11,H14.11.8,H15.3.18,,,,,,,,,,46.5,23.3,23.2,,
町田,組合,木曽横町,町田市木曽町の一部（町田市木曽西四丁目１５４８から１６２１）,1,3.2,―,H9.9.11,H11.9.22,H12.1.12,,,,,,,,,,38.7,23.8,14.9,,
町田,組合,金井中央,町田市金井五丁目の一部（町田市金井五丁目の一部）,5.4,33.2,―,H12.11.9,H17.4.25,H17.9.13,,,,,,,,,,67.4,28.6,38.8,○,
町田,組合,小山町田端,町田市小山町字三十号、字三十一号の各一部（町田市小山町４６００から４６０９）,1.7,11.1,―,H13.2.15,H17.2.10,H17.3.31,,,,,,,,,,69.5,28.6,40.9,○,
町田,組合,野津田丸山,町田市野津田町字丸山、山崎町字五号の各一部（町田市野津田町３５７０から３５８５、山崎町９５１）,3.6,9.2,―,H13.3.16,H18.10.20,H19.2.28,,,,,,,,,,60,35.3,24.7,○,
町田,組合,大蔵,町田市大蔵町字関山、野津田町字川島の各一部（町田市大蔵町３５００から３５１１、野津田町字川島３６００から３６０４）,2.5,17.3,―,H13.7.19,H16.2.6,H16.8.18,,,,,,,,,,61.1,33.4,27.8,,
町田,組合,小山御嶽堂沼,町田市小山町字九号、字十号、字十七号の各一部（町田市小山町５０００から５０５１）,8.3,35.9,―,H14.9.17,H20.2.15,H20.5.27,"6,570.45","2,154.75",-,"4,415.70","24,455.97","17,145.93","3,788.99","3,521.05","21,877.40",52,23.4,28.6,○,
町田,組合,木曽境川,町田市木曽町字十三号の一部（町田市木曽西一丁目の一部,1.9,6.9,―,H17.9.2,H21.1.16,H21.3.12,,,,,,,,,,49.7,22.8,26.9,○,
町田,組合,山崎町横峰,町田市山崎町字十号、字十四号、字十五号の各一部（町田市山崎町３５００から３５１２）,3.4,14.6,―,H17.9.2,H21.9.11,H22.2.1,"2,761.20",782.92,-,"1,978.28","12,757.81","7,918.51","1,406.58","3,432.72","14,238.90",77.4,31.9,45.5,,
町田,組合,小山片所,町田市小山町字二十一号の一部及び小山ヶ丘三丁目の一部,3.3,20.8,―,H27.5.19,R2.10.30,R3.2.26,"2,311.32","1,544.64",-,766.68,"9,472.83","6,977.59","1,563.76",931.48,"13,566.12",68.5,23.7,44.8,,
町田,組合,野津田東,町田市野津田町字松葉、綾部前、袋、川島、袋ノ上の各一部,17.7,111.1,―,H10.5.21,R2.1.17,R4.3.10,"12,638.35","6,963.11",-,"5,675.24","66,524.28","36,407.93","9,477.03","20,639.32","69,056.86",74.8,32.8,42,,
町田,都市機構,鶴川,東京都町田市,121.3,20.4,S38.3.29,S39.9.1,S43.7.31,,,,,,,,,,,42.8,16,26.8,,
町田,都市機構,鶴川第二,東京都町田市,64.3,619.2,S61.1.21,S62.4.25,H15.5.30,,,,,,,,,,,48,37.1,10.9,,
小金井,個人,小金井市東町二丁目,小金井市東町二丁目の一部,1,2,―,H26.9.30,H30.5.18,H31.1.29,232,232,-,-,"2,048.76","1,420.66",628.1,-,508.34,22.9,17.9,5,,
小平,組合,小平市栄町,小平市栄町、小川西町の各一部,22.9,36.7,S59.7.16,S59.11.1,H5.4.23,H6.3.10,"6,178.86","6,178.86",-,-,"78,448.33","64,468.85","9,232.72","4,746.76","3,102.04",33.8,32.4,1.4,,
小平,組合,小平市小川西町,小平市小川西町五丁目の一部,7.4,14.9,―,H6.8.30,H12.6.23,H12.12.5,,,,,,,,,,28.3,25,3.3,,
小平,組合,小平市小川町一丁目,小平市小川町一丁目の一部,18,42,―,H17.1.27,H25.9.13,H26.4.22,"5,366.88","4,120.49",-,"1,246.39","55,748.64","44,928.29","9,099.56","1,720.79","15,396.59",37.6,28.8,8.8,○,
小平,組合,小平市小川四番,小平市小川町一丁目の一部,2.3,9,―,H29.10.6,R3.12.10,R4.3.30,"1,664.58","1,450.34",-,214.24,"6,579.60","4,428.41","1,341.07",810.12,"4,665.14",43.9,22.5,21.4,,
日野,個人,平山七生台（第一工区）,日野市平山、南平の各一部,29.6,9.6,―,S44.8.29,S48.1.27,S49.10.8,,,,,,,,,,29.6,29.6,―,,
日野,個人,平山七生台（第二工区）,日野市平山、南平の各一部,21.9,5.7,―,S44.8.29,S49.6.29,S49.10.8,,,,,,,,,,28.4,28.4,―,,
日野,個人,日野市下河内農住組合,日野市百草、落川の各一部,3,6.8,―,S63.2.22,H3.9.11,H4.3.19,,,,,,,,,,25.7,21.5,4.2,,
日野,組合,吹上団地,日野市豊田字築、字宮根、字吹上、字下黒川、字上黒川の各一部（日野市豊田の一部）,27.6,5,―,S39.6.20,S47.6.30,S48.3.17,,,,,,,,,,30.2,23.1,7.1,,
日野,組合,日野市平山下耕地,日野市平山四丁目の一部,12.6,17.4,―,S55.7.29,S60.7.31,S61.1.27,,,,,,,,,,26.8,18.7,8,,
日野,組合,日野市金田,日野市落川、三沢の各一部,4.4,6.1,―,S56.2.18,S59.3.31,S59.10.31,,,,,,,,,,27.6,19.8,7.9,,
日野,組合,日野市南平,日野市南平四丁目、五丁目、七丁目の各一部,4,16.7,―,H1.8.18,H14.5.17,H14.7.23,"3,973.71","1,944.31",-,"2,029.40","14,109.49","12,142.40","1,370.09",597,308.79,29.3,28.4,0.9,,
日野,組合,日野市四ツ谷前,日野市栄町一丁目、二丁目の各一部,6.2,26.6,―,H3.11.13,H15.7.4,H15.10.16,"5,182.58","2,934.51",-,"2,248.07","21,974.91","18,785.33","2,753.77",435.81,636.55,30.6,29.5,1.1,○,
日野,組合,日野市落川,日野市落川、百草の各一部,5,22.5,―,H5.3.12,H14.9.13,H14.12.16,,,,,,,,,,31.8,18,13.8,,
日野,組合,日野市東光寺上第１,日野市新町四丁目、五丁目、栄町五丁目の各一部,18.8,38.2,S40.6.7,H5.12.3,H21.8.21,H22.1.18,"17,735.00","14,981.50","1,394.00","1,359.50","62,219.43","45,342.35","11,804.01","5,073.07","9,417.30",31.7,26.2,5.5,○,
日野,組合,日野市東光寺上第２,日野市新町五丁目、栄町五丁目の各一部,6,15.3,―,H5.12.3,H15.6.27,H15.12.18,"3,370.83","2,354.92",-,"1,015.91","14,036.22","11,187.49","2,005.37",843.36,"6,127.86",29.8,18.9,10.9,○,
日野,組合,日野市日野駅北,日野市新町一丁目、栄町一丁目の各一部,3.9,32.1,S40.6.7,H6.10.4,H21.10.30,H22.3.2,"5,902.76","4,584.22",-,"1,336.54","13,548.58","11,309.59","1,950.90",288.09,"2,743.23",31.5,23.2,8.3,○,
日野,組合,日野市百草園駅北,日野市落川、三沢の各一部,2.2,8.4,―,H6.10.19,H13.10.26,H14.2.28,,,,,,,,,,32.4,20.5,11.9,,
日野,組合,日野市新町,日野市新町一丁目、三丁目の各一部,5.4,16.2,S40.6.7,H6.11.7,H16.10.1,H17.1.17,"5,658.31","3,341.20",-,"2,317.11","15,255.36","10,124.83","2,518.69","2,611.84","5,002.56",30.5,20.1,10.5,,
日野,組合,日野市東豊田,日野市東豊田一丁目、二丁目の各一部,7.2,22.1,―,H8.1.16,H20.11.28,H21.2.13,"7,921.08","4,103.49",-,"3,817.59","21,675.51","17,039.92","2,880.66","1,754.93","6,116.89",31.1,21.5,9.6,○,
日野,組合,日野市平山,日野市平山五丁目の一部,4.7,15.7,―,H14.11.1,H21.12.11,H22.3.17,"6,568.84","2,197.69",-,"4,371.15","12,727.48","9,292.92","2,101.21","1,333.35","5,873.67",30.1,15.4,14.7,○,
日野,組合,日野市日野台二丁目,日野市日野台二丁目、新町四丁目の各一部,0.8,2.5,S40.6.7,H21.1.13,H22.10.29,H23.2.25,636.76,636.76,-,-,"2,707.20","2,190.52",516.68,-,"1,512.78",45.6,26.3,19.3,○,
日野,組合,日野市落川河原,日野市落川の一部,1.4,4.1,―,H22.1.12,H25.1.25,H25.7.10,"1,230.63",368.53,-,862.1,"3,646.49","2,641.42",588.83,416.24,"2,026.58",35.7,19.4,16.3,,
日野,都市機構,豊田,東京都日野市,132.9,6.2,S31.4.13,S32.3.18,S40.4.27,,,,,,,,,,,34.3,16,18.3,,
東村山,個人,久米川駅北口地区,東村山市栄町一丁目の一部,0.3,6,―,H18.4.12,H19.8.31,H19.9.28,720.13,720.13,-,-,"1,285.65","1,285.65",-,-,-,24.1,24.1,―,,
東村山/東久留米,組合,恩多柳窪,東村山市恩多町一丁目、東久留米市柳窪四丁目、五丁目の各一部,8.9,10.3,―,S55.9.8,S60.2.7,S60.3.30,,,,,,,,,,25.3,21.8,3.6,,
東村山,組合,東村山諏訪,東村山市諏訪町二丁目、三丁目、野口町四丁目の各一部,11.2,20.9,―,S56.8.4,S60.10.31,S61.1.21,,,,,,,,,,32.7,20.1,12.5,,
東村山,組合,東村山駅東口,東村山市本町二丁目の一部,1.2,3.7,―,H3.12.18,H7.6.30,H8.3.12,,,,,,,,,,21.4,19,2.4,,
東村山,組合,久米川南,東村山市久米川町四丁目の一部,1.7,3.6,―,H8.3.18,H10.12.2,H11.3.31,820.08,820.08,-,-,"3,491.09","2,812.41",678.68,-,945.62,22.8,16.8,6,,
東村山,組合,東村山市廻田町一丁目,東村山市廻田町一丁目の一部,1.1,3.9,―,H28.1.18,H29.8.17,H29.12.22,474.26,474.26,-,-,"3,012.15","2,362.71",649.44,-,"2,160.90",45.4,24.5,20.9,,
国立,組合,谷保第一,国立市大字青柳字向新田、大字谷保字組ノ下、字寺ノ下、字上ノ下、字上新田、字中新田、字下新田の各一部,12.1,31.1,―,S62.1.13,H4.8.21,H5.4.14,,,,,,,,,,9.2,7.2,2,,
国立,組合,谷保第二,国立市大字谷保字下モノ下タの一部,2.6,2.9,―,H1.2.16,H3.9.3,H4.1.16,,,,,,,,,,17.2,15,2.3,,
国立,組合,国立市寺之下,国立市大字谷保字岨ノ下、字寺ノ下、字上ノ下、字上新田の各一部,12.7,41.7,―,H7.2.10,H12.7.7,H13.3.16,,,,,,,,,,26.5,26.2,0.3,,
国立,組合,国立市青柳・石田,国立市大字青柳字甲州道中北、大字石田字石田街道、字青柳入の各一部,7.4,12.7,―,H7.5.16,H11.10.8,H12.3.14,"2,534.81","2,534.81",-,-,"20,462.47","16,036.42","3,116.06","1,309.99","2,091.92",28,25,2.9,○,
