,,,,,,,,2024年3月30日更新,
64,氷川台駅,2734,氷川台駅第十,練馬区氷川台3-36-3,35.74943,139.66675,170,0,170
65,平和台駅,3840,平和台駅第二,練馬区早宮2-16-32,35.75656267,139.6553171,580,0,580
66,平和台駅,3840,平和台駅地下,練馬区平和台2-25-11,35.75822,139.6539,1860,0,1860
67,平和台駅,3840,平和台駅前地下,練馬区早宮2-17-50,35.75701915,139.6542505,330,0,330
68,平和台駅,3840,早宮,練馬区早宮2-18-34,35.75635072,139.6522156,270,10,280
69,平和台駅,3840,早宮第二,練馬区早宮2-18-31,35.75686707,139.6520103,470,20,490
70,平和台駅,3840,早宮第四,練馬区早宮2-17-45,35.75709881,139.6536898,300,0,300
71,地下鉄赤塚駅,1003,地下鉄赤塚駅南,練馬区田柄2-49-3,35.76996492,139.6431021,986,17,1003
72,新桜台駅,166,新桜台駅,練馬区桜台1-27-14,35.74033985,139.6675245,160,6,166
73,新江古田駅,186,新江古田駅,練馬区豊玉北1-14-14,35.73356822,139.6688012,186,0,186
74,練馬春日町駅,850,練馬春日町駅,練馬区春日町3-29-28,35.7513144,139.64102,850,0,850
75,光が丘駅,3382,光が丘,練馬区光が丘3-7-12,35.7581227,139.6295122,2220,0,2220
76,光が丘駅,3382,光が丘第二,練馬区光が丘3-10-1,35.75827185,139.6271137,352,46,398
77,光が丘駅,3382,光が丘第三,練馬区光が丘3-10-2,35.75874492,139.6282948,390,0,390
78,光が丘駅,3382,光が丘第四,練馬区光が丘3-9-1,35.75810656,139.6288185,174,0,174
79,光が丘駅,3382,田柄,練馬区田柄5-27-7,35.75912248,139.6318061,181,19,200
,－,－,合計,－,,,38552,684,39236
