項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,35歳未満／実数（円）,35歳未満／構成比（％）,35～39歳／実数（円）,35～39歳／構成比（％）,40～44歳／実数（円）,40～44歳／構成比（％）,45～49歳／実数（円）,45～49歳／構成比（％）,50～54歳／実数（円）,50～54歳／構成比（％）,55～59歳／実数（円）,55～59歳／構成比（％）,60～64歳／実数（円）,60～64歳／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）,（再掲）75歳以上／実数（円）,（再掲）75歳以上／構成比（％）
2,5,2,1,0,家賃地代,15989,4.7,63076,20.6,37383,12.6,18206,5.9,22447,5.7,29159,6,5187,1.1,8911,2.9,4726,1.6,5145,1.7
2,5,2,2,0,設備修繕・維持,14209,4.2,158,0.1,564,0.2,711,0.2,2112,0.5,6775,1.4,12700,2.7,3511,1.2,28649,9.4,51573,17.5
2,6,2,2,1,設備材料,1717,0.5,142,0,98,0,276,0.1,1377,0.3,2786,0.6,3900,0.8,2731,0.9,1678,0.6,1964,0.7
2,6,2,2,2,工事その他のサービス,12492,3.7,16,0,466,0.2,435,0.1,735,0.2,3989,0.8,8800,1.9,780,0.3,26971,8.9,49608,16.8
2,4,3,0,0,光熱・水道,17143,5,11966,3.9,15723,5.3,16769,5.4,17455,4.4,20867,4.3,19829,4.3,17596,5.8,16716,5.5,16317,5.5
2,5,3,1,0,電気代,8590,2.5,5952,1.9,7330,2.5,8648,2.8,8342,2.1,10633,2.2,9237,2,8741,2.9,8617,2.8,8067,2.7
2,5,3,2,0,ガス代,3362,1,2311,0.8,2777,0.9,3126,1,3623,0.9,4211,0.9,4154,0.9,3330,1.1,3273,1.1,3375,1.1
2,5,3,3,0,他の光熱,75,0,-,-,8,0,19,0,77,0,29,0,26,0,147,0,108,0,69,0
2,5,3,4,0,上下水道料,5116,1.5,3703,1.2,5608,1.9,4976,1.6,5414,1.4,5995,1.2,6412,1.4,5378,1.8,4717,1.6,4806,1.6
2,4,4,0,0,家具・家事用品,11053,3.2,19717,6.5,7123,2.4,9041,2.9,15868,4,11667,2.4,27484,5.9,7467,2.4,7260,2.4,6499,2.2
2,5,4,1,0,家庭用耐久財,3443,1,7672,2.5,143,0,1609,0.5,1705,0.4,2475,0.5,19653,4.2,575,0.2,1902,0.6,1835,0.6
2,6,4,1,1,家事用耐久財,1154,0.3,3558,1.2,143,0,1474,0.5,1241,0.3,1852,0.4,810,0.2,182,0.1,1006,0.3,1497,0.5
2,6,4,1,2,冷暖房用器具,1856,0.5,103,0,-,-,-,-,-,-,623,0.1,18843,4.1,177,0.1,657,0.2,235,0.1
2,6,4,1,3,一般家具,433,0.1,4011,1.3,-,-,135,0,464,0.1,-,-,-,-,216,0.1,239,0.1,103,0
2,5,4,2,0,室内装備・装飾品,1208,0.4,580,0.2,320,0.1,1406,0.5,5326,1.4,2060,0.4,908,0.2,354,0.1,536,0.2,437,0.1
2,5,4,3,0,寝具類,705,0.2,1678,0.5,444,0.1,668,0.2,1575,0.4,317,0.1,767,0.2,778,0.3,456,0.2,477,0.2
2,5,4,4,0,家事雑貨,2037,0.6,2828,0.9,2533,0.9,2105,0.7,2857,0.7,2629,0.5,2079,0.4,2625,0.9,1355,0.4,1264,0.4
2,5,4,5,0,家事用消耗品,2814,0.8,2304,0.8,3135,1.1,2832,0.9,3785,1,3651,0.8,3660,0.8,2742,0.9,2292,0.8,1976,0.7
2,5,4,6,0,家事サービス,847,0.2,4655,1.5,547,0.2,421,0.1,619,0.2,535,0.1,416,0.1,393,0.1,719,0.2,510,0.2
2,4,5,0,0,被服及び履物,17119,5,19994,6.5,18917,6.4,18319,5.9,24603,6.2,23887,4.9,20226,4.4,24531,8,10506,3.5,10174,3.4
2,5,5,1,0,和服,290,0.1,3501,1.1,-,-,30,0,-,-,195,0,-,-,99,0,90,0,148,0.1
2,5,5,2,0,洋服,7702,2.3,6045,2,11541,3.9,7093,2.3,10101,2.6,13462,2.8,9505,2,14374,4.7,3694,1.2,4299,1.5
2,6,5,2,1,男子用洋服,2231,0.7,666,0.2,3227,1.1,724,0.2,2144,0.5,3050,0.6,6044,1.3,5574,1.8,916,0.3,1025,0.3
2,6,5,2,2,婦人用洋服,4786,1.4,3648,1.2,4810,1.6,4562,1.5,6655,1.7,9730,2,3461,0.7,8800,2.9,2746,0.9,3274,1.1
2,6,5,2,3,子供用洋服,685,0.2,1731,0.6,3504,1.2,1808,0.6,1302,0.3,683,0.1,-,-,-,-,32,0,-,-
2,5,5,3,0,シャツ・セーター類,3186,0.9,2135,0.7,2205,0.7,4733,1.5,5059,1.3,4336,0.9,4542,1,2585,0.8,2370,0.8,2079,0.7
2,6,5,3,1,男子用シャツ・セーター類,892,0.3,336,0.1,290,0.1,559,0.2,1539,0.4,1676,0.3,1536,0.3,959,0.3,680,0.2,569,0.2
2,6,5,3,2,婦人用シャツ・セーター類,2169,0.6,1390,0.5,1527,0.5,3689,1.2,3262,0.8,2599,0.5,3006,0.6,1626,0.5,1685,0.6,1510,0.5
2,6,5,3,3,子供用シャツ・セーター類,125,0,409,0.1,388,0.1,485,0.2,258,0.1,61,0,-,-,-,-,5,0,-,-
2,5,5,4,0,下着類,1287,0.4,1102,0.4,725,0.2,1504,0.5,1561,0.4,1232,0.3,1585,0.3,1882,0.6,1093,0.4,605,0.2
2,6,5,4,1,男子用下着類,393,0.1,23,0,53,0,300,0.1,453,0.1,419,0.1,687,0.1,637,0.2,383,0.1,387,0.1
2,6,5,4,2,婦人用下着類,703,0.2,665,0.2,128,0,592,0.2,822,0.2,674,0.1,898,0.2,1244,0.4,622,0.2,217,0.1
2,6,5,4,3,子供用下着類,191,0.1,414,0.1,544,0.2,612,0.2,287,0.1,138,0,-,-,-,-,88,0,-,-
2,5,5,5,0,生地・糸類,92,0,87,0,76,0,114,0,71,0,159,0,32,0,77,0,95,0,48,0
2,5,5,6,0,他の被服,1024,0.3,1813,0.6,813,0.3,970,0.3,2555,0.6,726,0.1,884,0.2,1382,0.5,595,0.2,587,0.2
2,5,5,7,0,履物類,2133,0.6,1307,0.4,3025,1,3239,1,3825,1,1781,0.4,1970,0.4,2781,0.9,1443,0.5,1095,0.4
2,5,5,8,0,被服関連サービス,1406,0.4,4005,1.3,532,0.2,637,0.2,1429,0.4,1996,0.4,1708,0.4,1351,0.4,1126,0.4,1314,0.4
2,4,6,0,0,保健医療,16152,4.7,8270,2.7,10588,3.6,17474,5.6,18714,4.8,18838,3.9,10700,2.3,14280,4.7,18234,6,17776,6
2,5,6,1,0,医薬品,2478,0.7,1135,0.4,1345,0.5,1158,0.4,1881,0.5,2463,0.5,2032,0.4,4026,1.3,2969,1,2801,0.9
2,5,6,2,0,健康保持用摂取品,1543,0.5,35,0,445,0.1,414,0.1,606,0.2,2292,0.5,1101,0.2,2840,0.9,1988,0.7,1788,0.6
2,5,6,3,0,保健医療用品・器具,3098,0.9,3492,1.1,4021,1.4,1767,0.6,2481,0.6,7931,1.6,922,0.2,2069,0.7,2965,1,785,0.3
2,5,6,4,0,保健医療サービス,9033,2.6,3608,1.2,4778,1.6,14135,4.6,13746,3.5,6153,1.3,6645,1.4,5345,1.8,10313,3.4,12403,4.2
2,4,7,0,0,交通・通信,47215,13.8,40432,13.2,28350,9.6,32636,10.5,42639,10.8,99718,20.6,168289,36.2,32882,10.8,24287,8,13938,4.7
2,5,7,1,0,交通,9735,2.8,13457,4.4,7374,2.5,7342,2.4,11983,3,15842,3.3,22364,4.8,9831,3.2,5748,1.9,4806,1.6
2,5,7,2,0,自動車等関係費,24340,7.1,7899,2.6,6996,2.4,8926,2.9,10181,2.6,63917,13.2,132478,28.5,8948,2.9,10584,3.5,2572,0.9
2,6,7,2,1,自動車等購入,13873,4.1,-,-,-,-,-,-,-,-,43139,8.9,109200,23.5,-,-,3117,1,-,-
2,6,7,2,2,自転車購入,454,0.1,1188,0.4,-,-,-,-,470,0.1,-,-,1041,0.2,2383,0.8,-,-,-,-
2,6,7,2,3,自動車等維持,10013,2.9,6711,2.2,6996,2.4,8926,2.9,9711,2.5,20778,4.3,22237,4.8,6565,2.2,7467,2.5,2572,0.9
2,5,7,3,0,通信,13140,3.8,19076,6.2,13980,4.7,16368,5.3,20475,5.2,19959,4.1,13447,2.9,14102,4.6,7954,2.6,6559,2.2
2,4,8,0,0,教育,18358,5.4,3596,1.2,19883,6.7,38220,12.3,73429,18.6,62299,12.9,7334,1.6,875,0.3,499,0.2,797,0.3
2,5,8,1,0,授業料等,14645,4.3,3407,1.1,15978,5.4,30266,9.8,57670,14.6,49198,10.2,7033,1.5,837,0.3,401,0.1,797,0.3
2,5,8,2,0,教科書・学習参考教材,173,0.1,-,-,202,0.1,190,0.1,1070,0.3,415,0.1,1,0,38,0,-,-,-,-
2,5,8,3,0,補習教育,3541,1,189,0.1,3703,1.2,7764,2.5,14689,3.7,12686,2.6,301,0.1,-,-,98,0,-,-
2,4,9,0,0,教養娯楽,34652,10.1,29750,9.7,34527,11.6,35841,11.6,36198,9.2,30564,6.3,40892,8.8,34140,11.2,34622,11.4,22702,7.7
2,5,9,1,0,教養娯楽用耐久財,2127,0.6,887,0.3,4577,1.5,1091,0.4,5511,1.4,3858,0.8,436,0.1,1187,0.4,1592,0.5,766,0.3
2,5,9,2,0,教養娯楽用品,6507,1.9,6463,2.1,6591,2.2,8532,2.8,7919,2,6399,1.3,9442,2,5142,1.7,5546,1.8,4071,1.4
2,5,9,3,0,書籍・他の印刷物,3962,1.2,1556,0.5,3845,1.3,3319,1.1,4067,1,3682,0.8,3688,0.8,4465,1.5,4448,1.5,4344,1.5
2,5,9,4,0,教養娯楽サービス,22056,6.5,20844,6.8,19515,6.6,22899,7.4,18702,4.7,16625,3.4,27326,5.9,23346,7.7,23037,7.6,13520,4.6
