設置,施設名,郵便番号,所在地,経度,緯度,座標系,電話番号,定員
社福法人,朝陽学園,181-0015,三鷹市大沢２－４－１,139.537136,35.678254,JGD2011,0422-32-6234,52
社福法人,今井城学園,198-0023,青梅市今井２－１２０７－８,139.314056,35.803528,JGD2011,0428-31-2277,52
社福法人,東京恵明学園児童部,198-0051,青梅市友田町２－７１４－１,139.294081,35.768499,JGD2011,0428-23-0241,53
社福法人,砂町友愛園養護部,198-0172,青梅市沢井１－５０６,139.20204,35.809659,JGD2011,0428-78-8388,36
社福法人,双葉園,196-0022,昭島市中神町１２６０,139.382215,35.709385,JGD2011,042-542-1841,50
社福法人,調布学園,182-0033,調布市富士見町３－１８－１,139.540061,35.662217,JGD2011,042-483-7611,88
社福法人,第二調布学園,182-0033,調布市富士見町３－１８－１,139.540061,35.662217,JGD2011,042-483-7611,30
社福法人,二葉学園,182-0035,調布市上石原２－１７－７,139.525941,35.655357,JGD2011,042-482-2578,58
社福法人,精舎児童学園,194-0036,町田市木曽東３－６－１,139.426894,35.561251,JGD2011,042-722-5225,42
社福法人,バツト博士記念ホーム,194-0202,町田市下小山田町２７４５－１,139.409389,35.595111,JGD2011,042-797-1371,30
社福法人,二葉むさしが丘学園,187-0011,小平市鈴木町１－６２－１,139.492463,35.72757,JGD2011,042-344-9911,78
社福法人,東京サレジオ学園,187-0021,小平市上水南町４－７－１,139.490464,35.709005,JGD2011,042-321-0412,97
社福法人,至誠大空の家,191-0024,日野市万願寺１－１４－２,139.420627,35.675651,JGD2011,042-521-0086,36
公益法人,生長の家神の国寮,186-0003,国立市富士見台２－３９－１,139.443896,35.687409,JGD2011,042-572-8770,52
社福法人,れんげ学園,207-0033,東大和市芋窪５－１１６１－３,139.41346,35.749134,JGD2011,042-565-8451,57
社福法人,子供の家,204-0022,清瀬市松山３－１２－１７,139.514053,35.76651,JGD2011,042-491-4876,48
社福法人,ベトレヘム学園,204-0024,清瀬市梅園３－１４－２３,139.501347,35.770518,JGD2011,042-491-2529,57
都,東京都小山児童学園,203-0041,東久留米市野火止２－２２－２６,139.515887,35.764102,JGD2011,042-471-0041,64
社福法人,聖ヨゼフホーム,202-0015,西東京市保谷町４－１２－７,139.546625,35.730946,JGD2011,042-464-2211,67
都,東京都八街学園,289-1103,千葉県八街市八街に１５１,140.325201,35.66595,JGD2011,043-443-1021,64
都,東京都船形学園,294-0056,千葉県館山市船形１３７７,139.839256,35.030714,JGD2011,0470-27-2921,64
都,東京都勝山学園,299-2115,千葉県安房郡鋸南町下佐久間１４６９,139.841506,35.107351,JGD2011,0470-55-0541,64
都,東京都片瀬学園,251-0032,神奈川県藤沢市片瀬４－９－３８,139.482739,35.315956,JGD2011,0466-22-4464,48
