実数・増加率,年次・四半期・月次コード,年次・四半期・月次,西暦（年）,月,調査世帯数（世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,実収入（円）,実収入／経常収入（円）,実収入／経常収入／勤め先収入（円）,実収入／経常収入／勤め先収入／世帯主の定期収入（円）,実収入／経常収入／勤め先収入／世帯主の臨時収入・賞与（円）,実収入／経常収入／勤め先収入／配偶者・他の世帯員収入（円）,実収入／経常収入／事業・内職収入（円）,実収入／経常収入／他の経常収入（円）,実収入／特別収入（円）,実収入以外の受取(繰入金を除く)（円）,繰入金（円）,可処分所得（円）,貯蓄純増（円）,平均消費性向（％）,実支出（円）,実支出／生計支出（円）,実支出／生計支出／消費支出（円）,実支出／生計支出／消費支出／食料（円）,実支出／生計支出／消費支出／住居（円）,実支出／生計支出／消費支出／光熱・水道（円）,実支出／生計支出／消費支出／家具・家事用品（円）,実支出／生計支出／消費支出／被服及び履物（円）,実支出／生計支出／消費支出／保健医療（円）,実支出／生計支出／消費支出／交通・通信（円）,実支出／生計支出／消費支出／教育（円）,実支出／生計支出／消費支出／教養娯楽（円）,実支出／生計支出／消費支出／その他の消費支出（円）,実支出／生計支出／土地家屋購入（円）,実支出／その他の実支出（円）,実支出以外の支払(繰越金を除く)（円）,繰越金（円）
jissu,tuki,実数_平成26年3月,2014,3,357,3.33,1.6,47.8,510464,498814,492241,"428,678","13,875","49,688","1,755","4,818","11,649","481,454","73,541","406,564","18,609",99.1,"514,166","410,266",402851,"84,778","37,450","28,367","22,509","24,467","16,563","57,283","26,797","40,887","63,751","7,415","103,900","496,755","54,537"
jissu,tuki,実数_平成26年4月,2014,4,361,3.39,1.68,48.7,553050,529882,499354,"421,163","17,597","60,595","1,758","28,771","23,168","454,110","67,362","449,680","46,031",81.7,"470,954","367,585",367585,"77,124","35,802","24,747","7,608","17,472","12,143","39,067","51,405","45,767","56,448",-,"103,370","542,422","61,146"
jissu,tuki,実数_平成26年5月,2014,5,366,3.39,1.65,48.7,498218,494037,485218,"423,852","4,801","56,565","2,605","6,214","4,181","442,761","75,650","385,128","26,762",93,"471,118","358,028",358028,"85,595","26,613","22,181","14,395","19,610","10,916","44,748","35,570","40,217","58,183",-,"113,090","489,282",56229
jissu,tuki,実数_平成26年6月,2014,6,369,3.36,1.62,48.3,856786,852062,814650,"423,145","301,872","89,632","3,745","33,668","4,723","439,230","72,413","648,341","301,651",50.7,"537,383","328,938",328938,"81,067","26,048","19,648","12,727","22,750","9,940","37,492","17,523","43,785","57,957",-,"208,445","772,383","58,664"
jissu,tuki,実数_平成26年7月,2014,7,371,3.34,1.61,48.7,612077,608896,600654,"394,357","147,983","58,315","4,315","3,927","3,181","445,921","76,255","477,102","111,379",72.5,"491,790","356,815",346076,"81,760","25,011","17,833","13,309","18,399","12,388","57,401","22,060","44,405","53,511","10,738","134,975","578,565","63,899"
jissu,tuki,実数_平成26年8月,2014,8,349,3.36,1.6,48.6,506907,498323,463980,"404,665","15,609","43,706","5,859","28,484","8,584","410,184","76,778","409,591","52,972",82.6,"437,649","340,333",338381,"88,456","22,084","20,530","10,810","14,326","14,511","42,240","14,125","49,072","62,227","1,952","97,316","489,143","67,078"
jissu,tuki,実数_平成26年9月,2014,9,359,3.32,1.6,48.7,466190,461114,452382,"400,440","4,561","47,381","5,346","3,386","5,076","456,183","81,369","372,167","-17,038",100,"473,108","379,085",372079,"81,944","27,542","19,671","12,573","13,884","15,043","79,377","27,099","35,638","59,307","7,006","94,023","466,561","64,073"
jissu,tuki,実数_平成26年10月,2014,10,364,3.34,1.6,48.7,519617,514570,470947,"414,068","7,437","49,441","7,130","36,494","5,047","436,411","70,059","413,949","49,586",81.8,"450,873","345,204",338522,"84,221","33,492","19,997","12,907","17,039","12,881","38,470","30,191","38,240","51,085","6,683","105,669","512,646",62569
jissu,tuki,実数_平成26年11月,2014,11,361,3.34,1.61,49,475452,468997,455485,"398,736","7,345","49,406","7,695","5,816","6,455","403,877","69,637","383,999","41,774",84.9,"417,522","326,069",326069,"86,111","25,738","19,394","12,148","20,444","15,085","34,800","18,336","39,653","54,359",-,"91,453","473,723",57721
jissu,tuki,実数_平成26年12月,2014,12,360,3.37,1.63,48.7,979250,956629,921933,"399,932","420,307","101,694","11,510","23,185","22,621","535,358","75,382","802,437","350,879",50.8,"584,665","407,852",407852,"103,143","36,017","24,949","13,386","20,456","15,429","47,264","18,507","51,984","76,716",-,"176,813","924,998",80327
jissu,tuki,実数_平成27年1月,2015,1,367,3.35,1.64,47.8,502885,489700,477136,"404,726","7,066","65,343","6,748","5,817","13,185","477,168","90,584","402,887","-2,868",94.5,"484,307","384,309",380771,"85,707","27,453","28,230","9,376","21,103","14,468","57,432","26,137","41,597","69,269","3,538","99,998","520,511","65,820"
jissu,tuki,実数_平成27年2月,2015,2,374,3.33,1.67,48.9,509393,503842,458196,"399,630","3,704","54,861","5,151","40,496","5,551","458,862","67,645","417,027","48,987",82.2,"449,079","356,714",342866,"80,747","25,069","31,565","13,583","16,522","13,474","52,386","25,820","33,595","50,105","13,848","92,366","521,619","65,202"
meimoku,nen,対前年（同期・同月）名目増加率_平成23年平均,2011,,-,-,-,-,-8.2,-8.3,-8.1,-6.8,-24.1,8.6,-40.8,-5.4,-5.7,-8.6,-3.4,-7.8,-20.8,-,-6.1,-4.9,-7.1,-1.1,-7.4,-5.5,-10.1,-15.5,-2.2,-5.5,0.5,-15.5,-10.9,72.7,-9.9,-10.4,-1.9
meimoku,nen,対前年（同期・同月）名目増加率_平成24年平均,2012,,-,-,-,-,1.8,1.5,1.7,-0.1,5.4,10.4,16.9,-4.5,25,5.3,-2.6,1.3,3,-,2,1.4,3.2,0.8,8.2,8.3,5.6,8.4,5.4,8.2,-4.6,-0.1,2.6,-31.4,4.1,4.5,-3.2
meimoku,nen,対前年（同期・同月）名目増加率_平成25年平均,2013,,-,-,-,-,0.6,0.9,1.9,0.2,4.9,9.5,-31.8,-18.4,-16.8,5,0.1,0.4,-12.2,-,5.8,7.3,4.5,3.8,15.9,1.9,5.6,3.9,0.6,10.2,-1.6,1.4,2.6,86,1.1,0.8,-8.6
meimoku,nen,対前年（同期・同月）名目増加率_平成26年平均,2014,,-,-,-,-,1.2,1,0.7,1.6,7,-11.4,65.6,-2.3,18.6,-5.8,-2.2,0.2,26.2,-,-4.7,-7.6,-2.9,0.8,-11.1,0.2,9.2,2.3,-8.1,-3.1,-8.3,2.3,-7.7,-83.5,5.4,0.4,-1.4
meimoku,sihan,対前年（同期・同月）名目増加率_平成25年10～12月,2013,10～12,-,-,-,-,-0.5,-0.4,0.8,0.5,2.2,0,-35.8,-22.8,-4.6,-0.4,14.7,-0.5,12.5,-,1.2,1.6,1,2,33.6,-1.5,4.8,-3.5,0.4,-10.3,6.4,-9.9,0.3,13.2,-0.2,-0.5,4.2
meimoku,sihan,対前年（同期・同月）名目増加率_平成26年1～3月,2014,1～3,-,-,-,-,6.2,5.5,6.2,9.1,-20.4,-8.6,-49.6,-2.3,50,-4.1,0.6,4.9,...,-,-2.9,-6.4,-1,0.2,-4.2,-1.5,63.3,7.9,-4.1,-6,-6.8,-2,-5.2,-77.1,11.4,5,1.8
meimoku,sihan,対前年（同期・同月）名目増加率_平成26年4～6月,2014,4～6,-,-,-,-,4.1,4.2,5,4.8,13.2,-4.8,3.1,-12.4,-1.7,-4.7,-2.4,1.5,31.5,-,-2.5,-8,-5,-1.2,-3.3,2.8,-8.1,6.7,-26.6,-12.6,4.3,5.1,-16.3,-100,14.4,3.4,-8.8
meimoku,sihan,対前年（同期・同月）名目増加率_平成26年7～9月,2014,7～9,-,-,-,-,-4.2,-4.3,-5.2,-3.6,13.5,-28,153.1,10.9,3.7,-12.9,0.9,-4.5,45.6,-,-9.1,-10.8,-5.4,-1.4,-23.4,-5.3,-1.5,-1.7,-2.4,6.4,-23.3,-7.4,-5.3,-78,-3.1,-7.3,0.1
meimoku,sihan,対前年（同期・同月）名目増加率_平成26年10～12月,2014,10～12,-,-,-,-,-0.6,-1,-2.1,-3.3,2.4,-4.2,226.6,3.7,28.2,-0.7,-7.8,-0.7,-9.3,-,-3.9,-5.2,0.1,5.4,-13,5.3,-2.8,-3.7,1.9,-2.2,-10,15.2,-3.3,-90,-0.2,0.9,1.5
meimoku,tuki,対前年（同期・同月）名目増加率_平成26年2月,2014,2,-,-,-,-,9.2,8.8,11.3,14,-57.1,-0.8,-72.4,-13.7,55.8,5.2,3.2,7.5,70.1,-,5.4,2.2,-0.8,-1,-4,0.9,55.3,-10,2.3,3.3,3.8,-12.4,-3,...,16.4,10.1,-5
meimoku,tuki,対前年（同期・同月）名目増加率_平成26年3月,2014,3,-,-,-,-,2.4,1.4,1.8,4.3,5.1,-16.6,-56.7,11.1,82.1,0.3,-5.6,0.7,3.8,-,4.7,3.5,1.6,1.6,7.5,0.3,101.7,12,14.2,-7.4,9.1,-0.8,-14.8,...,9.8,-2.4,-2.4
meimoku,tuki,対前年（同期・同月）名目増加率_平成26年4月,2014,4,-,-,-,-,4.6,1.9,3,2.4,51.1,-2.3,-36,-11.5,167,-3.8,4.6,4.2,334.5,-,-5.7,-8.7,-8.3,-3.3,15.7,2.5,-24.9,-5,-15.1,-9.6,-14.5,13.3,-28.8,-100,6.5,8,-3.8
meimoku,tuki,対前年（同期・同月）名目増加率_平成26年5月,2014,5,-,-,-,-,5.7,6.1,5.7,7.8,3.8,-7.4,28.9,34.4,-29.8,1.1,1.3,4,930.9,-,7.1,5.8,5.8,4.4,-8.5,6.2,10.6,3.6,-7.2,15.9,49.8,0.1,-3.5,-,11.6,1.9,-12.6
meimoku,tuki,対前年（同期・同月）名目増加率_平成26年6月,2014,6,-,-,-,-,2.9,4.6,5.8,4.2,11.8,-4.8,21,-18.4,-73.8,-10.8,-11.3,-1.7,11,-,-7.1,-18.9,-11.4,-4.7,-17.1,-0.4,-13.1,21.5,-47.4,-34.2,7.4,2.1,-12.9,-100,20.4,1.3,-10
meimoku,tuki,対前年（同期・同月）名目増加率_平成26年7月,2014,7,-,-,-,-,-4.9,-4.9,-5.3,-6.8,11.8,-25.9,57.1,21.7,-14,-14.4,4.6,-5.6,30,-,-8,-9.9,-8.5,-4.7,-25.9,-9,18.9,3.1,-13.3,-6.9,0.2,-11.5,-13.4,-39.6,-2.6,-9.1,-4.5
meimoku,tuki,対前年（同期・同月）名目増加率_平成26年8月,2014,8,-,-,-,-,-2.6,-3,-4.2,-0.8,85.4,-35.6,177.8,4.6,24.5,-9.2,-6.7,-3.2,31,-,-5.7,-7.2,-7.3,4.4,-16.5,-2.3,-22.4,3.2,6.8,-35.2,13.3,0,-3.8,13,0.1,-6.6,0.3
meimoku,tuki,対前年（同期・同月）名目増加率_平成26年9月,2014,9,-,-,-,-,-5,-4.9,-6.1,-3.2,-37.4,-22.4,319.3,85.6,-10.1,-14.6,5.5,-4.5,31.8,-,-13.2,-14.6,-0.6,-3.8,-26.1,-4.9,3.6,-11.5,-0.5,91.4,-43.6,-11.2,1.4,-90,-6.9,-5.9,5
meimoku,tuki,対前年（同期・同月）名目増加率_平成26年10月,2014,10,-,-,-,-,0.7,0.3,-1.3,1.4,4.1,-19.7,321.9,7.1,69,3.6,1.5,-1,-21.5,-,3.8,2.6,0.6,3,14.3,4.5,-0.9,-0.2,-13.8,-6.6,-9,21.5,-7.6,...,7.9,-0.3,8.6
meimoku,tuki,対前年（同期・同月）名目増加率_平成26年11月,2014,11,-,-,-,-,-3.6,-4,-5.5,-4.4,32.8,-16.7,214.1,30.5,37.1,-5.4,-10.5,-2.6,-9.6,-,-7.3,-7.1,-7,6.1,-36.4,-2.1,-4.1,-10.1,2.7,-15.8,-5.8,2.7,-9.1,-100,-7.6,-3.1,-3
meimoku,tuki,対前年（同期・同月）名目増加率_平成26年12月,2014,12,-,-,-,-,0.3,-0.1,-0.8,-6.6,1.9,15,193.3,-6,19.6,-0.4,-12.7,0.4,-7.2,-,-6.9,-9.4,6.2,6.9,-9.4,12.6,-3.5,0.4,19,16.1,-15.2,21.9,4.7,-100,-0.5,3.7,-0.2
meimoku,tuki,対前年（同期・同月）名目増加率_平成27年1月,2015,1,-,-,-,-,-1.5,-1.6,-2.5,-5.7,-2,23.7,131.3,5.8,3.4,13.4,5.5,-1.7,-106.9,-,9.7,12.7,12.4,11.1,5.2,5.9,-17.4,-4.2,56,47.3,22.7,15.6,-0.9,58.2,-0.6,1.4,6.7
meimoku,tuki,対前年（同期・同月）名目増加率_平成27年2月,2015,2,-,-,-,-,-5.5,-5.4,-8.6,-9.5,70.1,-4.5,326.8,33.8,-17.8,7.2,-0.7,-3.5,-27,-,4.4,10.4,9.2,7.7,-19.8,2.2,10.1,30.4,-1.4,35,33,9.8,1.5,50.5,-13.7,-4.4,9.2
jissitu,nen,対前年（同期・同月）実質増加率_平成23年平均,2011,,-,-,-,-,-7.7,-7.8,-7.6,-6.3,-23.7,9.1,-40.5,-4.9,-5.2,-,-,-7.3,-,-,-,-,-6.6,-0.4,-6.8,-8,-4.8,-15.8,-1.6,-6.1,0.5,-12.5,-,-,-,-,-
jissitu,nen,対前年（同期・同月）実質増加率_平成24年平均,2012,,-,-,-,-,2.3,2,2.2,0.4,5.9,11,17.5,-4,25.6,-,-,1.8,-,-,-,-,3.7,1.5,8.9,2,12.1,8.6,5.7,8.3,-4.9,2.5,-,-,-,-,-
jissitu,nen,対前年（同期・同月）実質増加率_平成25年平均,2013,,-,-,-,-,0.4,0.7,1.7,0,4.7,9.3,-31.9,-18.6,-17,-,-,0.2,-,-,-,-,4.3,4.2,16.5,-3.7,8.3,4.3,1.2,9.8,-1.8,2.4,-,-,-,-,-
jissitu,nen,対前年（同期・同月）実質増加率_平成26年平均,2014,,-,-,-,-,-1.7,-1.9,-2.2,-1.4,3.9,-14,60.8,-5.1,15.1,-,-,-2.7,-,-,-,-,-5.7,-2.5,-11.6,-5,5.7,0.5,-8.7,-5.4,-10.4,-1.4,-,-,-,-,-
jissitu,sihan,対前年（同期・同月）実質増加率_平成25年10～12月,2013,10～12,-,-,-,-,-1.7,-1.6,-0.4,-0.7,1,-1.2,-36.6,-23.7,-5.7,-,-,-1.7,-,-,-,-,-0.2,0.3,34.3,-5.7,4.7,-3.2,1.3,-11.1,6.1,-10.5,-,-,-,-,-
jissitu,sihan,対前年（同期・同月）実質増加率_平成26年1～3月,2014,1～3,-,-,-,-,4.7,4,4.7,7.6,-21.5,-9.9,-50.3,-3.6,47.9,-,-,3.5,-,-,-,-,-2.4,-1.2,-3.8,-6.4,59.6,7,-3.1,-6.8,-7.4,-3.5,-,-,-,-,-
jissitu,sihan,対前年（同期・同月）実質増加率_平成26年4～6月,2014,4～6,-,-,-,-,0.3,0.4,1.2,1,9.1,-8.3,-0.7,-15.6,-5.3,-,-,-2.2,-,-,-,-,-8.5,-5.6,-3.9,-4.3,-12.3,5,-27.3,-15.1,1.5,0.4,-,-,-,-,-
jissitu,sihan,対前年（同期・同月）実質増加率_平成26年7～9月,2014,7～9,-,-,-,-,-7.5,-7.6,-8.5,-6.9,9.6,-30.5,144.3,7,0.1,-,-,-7.8,-,-,-,-,-8.7,-5.4,-24.2,-10,-5,-3.7,-3.7,3.5,-25.4,-11.6,-,-,-,-,-
jissitu,sihan,対前年（同期・同月）実質増加率_平成26年10～12月,2014,10～12,-,-,-,-,-3.4,-3.8,-4.9,-6,-0.5,-6.9,217.4,0.8,24.6,-,-,-3.5,-,-,-,-,-2.7,2.5,-13.8,1.1,-5,-5.9,0.3,-5,-12.5,10.8,-,-,-,-,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成26年2月,2014,2,-,-,-,-,7.5,7.1,9.5,12.2,-57.8,-2.4,-72.8,-15.1,53.3,-,-,5.8,-,-,-,-,-2.4,-2.7,-3.5,-4.1,51.4,-11.7,3.4,2.6,3.2,-13.9,-,-,-,-,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成26年3月,2014,3,-,-,-,-,0.7,-0.3,0.1,2.6,3.3,-18,-57.4,9.2,79.1,-,-,-1,-,-,-,-,-0.1,-0.6,7.9,-5.5,97.9,11.9,15.4,-8.2,8.1,-2.6,-,-,-,-,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成26年4月,2014,4,-,-,-,-,0.9,-1.7,-0.7,-1.3,45.7,-5.8,-38.3,-14.7,157.5,-,-,0.5,-,-,-,-,-11.6,-7.4,15.2,-3.6,-28,-6.9,-16,-12.1,-16.8,7.8,-,-,-,-,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成26年5月,2014,5,-,-,-,-,1.6,2,1.6,3.7,-0.2,-11,23.9,29.2,-32.5,-,-,0,-,-,-,-,1.7,-0.7,-9,-2.3,5.2,1.9,-8.1,12.4,45.7,-3.8,-,-,-,-,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成26年6月,2014,6,-,-,-,-,-1,0.7,1.8,0.3,7.6,-8.4,16.5,-21.5,-74.8,-,-,-5.4,-,-,-,-,-14.7,-8.9,-17.7,-7.1,-17.3,20.2,-48,-36.1,4.5,-2.8,-,-,-,-,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成26年7月,2014,7,-,-,-,-,-8.1,-8.1,-8.5,-10,8,-28.4,51.8,17.6,-16.9,-,-,-8.8,-,-,-,-,-11.6,-8.2,-26.8,-14.1,14.5,1.5,-14.5,-9.8,-2.5,-15.6,-,-,-,-,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成26年8月,2014,8,-,-,-,-,-5.9,-6.3,-7.4,-4.2,79.1,-37.8,168.4,1.1,20.3,-,-,-6.5,-,-,-,-,-10.4,0.2,-17.3,-7,-25.1,0.3,5.3,-36.8,10.2,-4.4,-,-,-,-,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成26年9月,2014,9,-,-,-,-,-8.3,-8.2,-9.4,-6.6,-39.6,-25.1,304.7,79.2,-13.2,-,-,-7.8,-,-,-,-,-4.1,-8.2,-26.8,-8.9,0,-13.2,-2.1,86.7,-45.1,-15,-,-,-,-,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成26年10月,2014,10,-,-,-,-,-2.4,-2.8,-4.4,-1.7,0.9,-22.2,308.8,3.8,63.8,-,-,-4.1,-,-,-,-,-2.5,-0.4,13.1,0.7,-4.5,-3,-15.1,-9.5,-11.5,16.2,-,-,-,-,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成26年11月,2014,11,-,-,-,-,-6.1,-6.5,-8,-6.9,29.3,-18.9,205.8,27.1,33.5,-,-,-5.2,-,-,-,-,-9.4,3.6,-37,-6,-5.9,-11.9,1.1,-18.3,-8.4,-1.1,-,-,-,-,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成26年12月,2014,12,-,-,-,-,-2.4,-2.8,-3.5,-9.1,-0.9,11.9,185.3,-8.6,16.3,-,-,-2.3,-,-,-,-,3.3,4,-10.3,7.3,-4.7,-1.8,16.7,13.2,-17.5,17.8,-,-,-,-,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成27年1月,2015,1,-,-,-,-,-4.4,-4.5,-5.3,-8.4,-4.9,20.1,124.6,2.7,0.4,-,-,-4.6,-,-,-,-,9.1,6.9,4.2,0.2,-17.5,-6.6,53.1,45,19.4,11.9,-,-,-,-,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成27年2月,2015,2,-,-,-,-,-8.2,-8.1,-11.2,-12.1,65.3,-7.2,314.8,30,-20.1,-,-,-6.2,-,-,-,-,6.1,3.9,-20.7,-3.8,10.3,27.6,-3.4,33.1,29.8,6,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成27年2月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
主要指標２　―勤労者世帯―,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
