ID,寄附種別,寄附タイトル,都道府県コード又は市町村コード,都道府県,市区町村,行政区,寄附金額,寄附年月日,寄附年度
80,地域防災対策推進寄付金,地震に強いまちづくりを推進するために！,131130,東京都,渋谷区,,35000,2020/5/1,2020
81,一般寄付,目黒区におまかせ！,131016,東京都,千代田区,,35000,2020/5/1,2020
82,一般寄付,目黒区におまかせ！,231002,愛知県,名古屋市,緑区,12000,2020/5/1,2020
83,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,131113,東京都,大田区,,12000,2020/5/1,2020
84,社会福祉施設整備寄付金,福祉を充実させたい！（社会福祉施設整備基金）,272035,大阪府,豊中市,,24000,2020/5/1,2020
85,産業振興・地域経済活性化寄付金,目黒区の産業振興と地域の活性化を応援したい！,131091,東京都,品川区,,12000,2020/5/1,2020
86,一般寄付,目黒区におまかせ！,131067,東京都,台東区,,7000,2020/5/1,2020
87,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,141003,神奈川県,横浜市,戸塚区,16000,2020/5/1,2020
88,一般寄付,目黒区におまかせ！,131229,東京都,葛飾区,,25000,2020/5/1,2020
89,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,282049,兵庫県,西宮市,,7000,2020/5/1,2020
90,一般寄付,目黒区におまかせ！,261009,京都府,京都市,下京区,12000,2020/5/1,2020
91,一般寄付,目黒区におまかせ！,221309,静岡県,浜松市,中区,24000,2020/5/1,2020
92,一般寄付,目黒区におまかせ！,132012,東京都,八王子市,,7000,2020/5/1,2020
93,障害福祉推進寄付金,子どもたちの療育用教材の充実に！,131075,東京都,墨田区,,12000,2020/5/1,2020
94,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,141003,神奈川県,横浜市,神奈川区,7000,2020/5/1,2020
95,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,131091,東京都,品川区,,12000,2020/5/1,2020
96,サクラ寄付金,目黒のサクラを守りたい！（サクラ基金）,122271,千葉県,浦安市,,12000,2020/5/1,2020
97,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,131148,東京都,中野区,,16000,2020/5/1,2020
98,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,331007,岡山県,岡山市,北区,12000,2020/5/1,2020
99,サクラ寄付金,目黒のサクラを守りたい！（サクラ基金）,142077,神奈川県,茅ヶ崎市,,10000,2020/5/1,2020
100,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,131130,東京都,渋谷区,,12000,2020/5/1,2020
101,一般寄付,目黒区におまかせ！,131130,東京都,渋谷区,,12000,2020/5/1,2020
102,一般寄付,目黒区におまかせ！,231002,愛知県,名古屋市,千種区,15000,2020/5/1,2020
103,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,111007,埼玉県,さいたま市,桜区,12000,2020/5/1,2020
104,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,052019,秋田県,秋田市,,12000,2020/5/1,2020
105,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,271403,大阪府,堺市,南区,12000,2020/5/1,2020
106,一般寄付,目黒区におまかせ！,252085,滋賀県,栗東市,,35000,2020/5/1,2020
107,障害福祉推進寄付金,子どもたちの療育用教材の充実に！,281000,兵庫県,神戸市,東灘区,16000,2020/5/1,2020
108,一般寄付,目黒区におまかせ！,141305,神奈川県,川崎市,高津区,12000,2020/5/1,2020
109,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,131083,東京都,江東区,,16000,2020/5/1,2020
110,一般寄付,目黒区におまかせ！,131105,東京都,目黒区,,10000,2020/5/1,2020
111,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,401307,福岡県,福岡市,南区,12000,2020/5/1,2020
112,図書資料充実寄付金,図書館の資料を充実させたい！,131121,東京都,世田谷区,,7000,2020/5/1,2020
113,サクラ寄付金,目黒のサクラを守りたい！（サクラ基金）,141305,神奈川県,川崎市,幸区,10000,2020/5/1,2020
114,サクラ寄付金,目黒のサクラを守りたい！（サクラ基金）,141003,神奈川県,横浜市,神奈川区,16000,2020/5/1,2020
115,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,252018,滋賀県,大津市,,10000,2020/5/1,2020
116,図書資料充実寄付金,図書館の資料を充実させたい！,222127,静岡県,焼津市,,18000,2020/5/1,2020
117,サクラ寄付金,目黒のサクラを守りたい！（サクラ基金）,131083,東京都,江東区,,12000,2020/5/1,2020
118,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,131148,東京都,中野区,,12000,2020/5/1,2020
119,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,041009,宮城県,仙台市,青葉区,12000,2020/5/1,2020
120,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,131156,東京都,杉並区,,12000,2020/5/1,2020
121,一般寄付,目黒区におまかせ！,221309,静岡県,浜松市,中区,12000,2020/5/1,2020
122,一般寄付,目黒区におまかせ！,131032,東京都,港区,,24000,2020/5/1,2020
123,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,142131,神奈川県,大和市,,12000,2020/5/1,2020
124,一般寄付,目黒区におまかせ！,012076,北海道,帯広市,,16000,2020/5/1,2020
125,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,272116,大阪府,茨木市,,12000,2020/5/1,2020
126,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,212130,岐阜県,各務原市,,12000,2020/5/1,2020
127,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,132012,東京都,八王子市,,12000,2020/5/1,2020
128,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,131121,東京都,世田谷区,,18000,2020/5/1,2020
129,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,131113,東京都,大田区,,35000,2020/5/1,2020
130,一般寄付,目黒区におまかせ！,141305,神奈川県,川崎市,多摩区,16000,2020/5/1,2020
131,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,122173,千葉県,柏市,,12000,2020/5/1,2020
132,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,141003,神奈川県,横浜市,神奈川区,16000,2020/5/1,2020
133,社会福祉施設整備寄付金,福祉を充実させたい！（社会福祉施設整備基金）,131041,東京都,新宿区,,12000,2020/5/1,2020
134,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,231002,愛知県,名古屋市,西区,51000,2020/5/1,2020
135,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,252018,滋賀県,大津市,,16000,2020/5/1,2020
136,サクラ寄付金,目黒のサクラを守りたい！（サクラ基金）,131059,東京都,文京区,,16000,2020/6/1,2020
137,一般寄付,目黒区におまかせ！,131130,東京都,渋谷区,,12000,2020/6/1,2020
138,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,132144,東京都,国分寺市,,10000,2020/6/1,2020
139,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,131121,東京都,世田谷区,,32000,2020/6/1,2020
140,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,112089,埼玉県,所沢市,,35000,2020/6/1,2020
141,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,131121,東京都,世田谷区,,16000,2020/6/1,2020
142,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,131156,東京都,杉並区,,12000,2020/6/1,2020
143,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,131041,東京都,新宿区,,16000,2020/6/1,2020
144,サクラ寄付金,目黒のサクラを守りたい！（サクラ基金）,131121,東京都,世田谷区,,60000,2020/6/1,2020
145,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,112151,埼玉県,狭山市,,12000,2020/6/1,2020
146,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,141003,神奈川県,横浜市,戸塚区,12000,2020/6/1,2020
147,一般寄付,目黒区におまかせ！,131130,東京都,渋谷区,,24000,2020/6/1,2020
148,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,131113,東京都,大田区,,18000,2020/6/1,2020
149,コミュニティ活動支援寄付金,めぐろのまちづくり活動を応援したい！,232131,愛知県,西尾市,,12000,2020/6/1,2020
150,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,232131,愛知県,西尾市,,16000,2020/6/1,2020
151,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,162078,富山県,黒部市,,7000,2020/6/1,2020
152,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,232114,愛知県,豊田市,,16000,2020/6/1,2020
153,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,131211,東京都,足立区,,12000,2020/6/1,2020
154,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,281000,兵庫県,神戸市,灘区,16000,2020/6/1,2020
155,学校備品等整備寄付金,次代を担う子どもたちのために学校備品等を充実させたい！,131105,東京都,目黒区,,50000,2020/6/1,2020
156,一般寄付,目黒区におまかせ！,131059,東京都,文京区,,26000,2020/6/1,2020
157,産業振興・地域経済活性化寄付金,目黒区の産業振興と地域の活性化を応援したい！,272159,大阪府,寝屋川市,,14000,2020/6/1,2020
158,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,341002,広島県,広島市,安芸区,12000,2020/6/1,2020
159,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,442011,大分県,大分市,,12000,2020/6/1,2020
160,サクラ寄付金,目黒のサクラを守りたい！（サクラ基金）,131113,東京都,大田区,,24000,2020/6/1,2020
161,サクラ寄付金,目黒のサクラを守りたい！（サクラ基金）,342076,広島県,福山市,,12000,2020/6/1,2020
162,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,131121,東京都,世田谷区,,35000,2020/6/1,2020
163,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,132021,東京都,立川市,,16000,2020/6/1,2020
164,産業振興・地域経済活性化寄付金,目黒区の産業振興と地域の活性化を応援したい！,131091,東京都,品川区,,35000,2020/6/1,2020
165,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,131024,東京都,中央区,,26000,2020/6/1,2020
166,学校施設整備寄付金,学校の環境整備のために！（学校施設整備基金）,141003,神奈川県,横浜市,都筑区,12000,2020/6/1,2020
167,学校備品等整備寄付金,次代を担う子どもたちのために学校備品等を充実させたい！,132128,東京都,日野市,,35000,2020/6/1,2020
168,地域防災対策推進寄付金,地震に強いまちづくりを推進するために！,232190,愛知県,小牧市,,12000,2020/6/1,2020
169,サクラ寄付金,目黒のサクラを守りたい！（サクラ基金）,231002,愛知県,名古屋市,天白区,12000,2020/6/1,2020
170,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,112275,埼玉県,朝霞市,,16000,2020/6/1,2020
171,一般寄付,目黒区におまかせ！,131130,東京都,渋谷区,,25000,2020/6/1,2020
172,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,131032,東京都,港区,,32000,2020/6/1,2020
173,一般寄付,目黒区におまかせ！,282146,兵庫県,宝塚市,,12000,2020/6/1,2020
174,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,022012,青森県,青森市,,25000,2020/6/1,2020
175,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,431001,熊本県,熊本市,中央区,16000,2020/7/1,2020
176,社会福祉施設整備寄付金,福祉を充実させたい！（社会福祉施設整備基金）,232220,愛知県,東海市,,12000,2020/7/1,2020
177,一般寄付,目黒区におまかせ！,131130,東京都,渋谷区,,24000,2020/7/1,2020
178,一般寄付,目黒区におまかせ！,231002,愛知県,名古屋市,天白区,16000,2020/7/1,2020
179,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,162078,富山県,黒部市,,7000,2020/7/1,2020
180,一般寄付,目黒区におまかせ！,131130,東京都,渋谷区,,16000,2020/7/1,2020
181,一般寄付,目黒区におまかせ！,131130,東京都,渋谷区,,24000,2020/7/1,2020
182,一般寄付,目黒区におまかせ！,131130,東京都,渋谷区,,12000,2020/7/1,2020
183,一般寄付,目黒区におまかせ！,131032,東京都,港区,,24000,2020/7/1,2020
184,サクラ寄付金,目黒のサクラを守りたい！（サクラ基金）,010006,北海道,紋別郡遠軽町,,16000,2020/7/1,2020
185,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,221007,静岡県,静岡市,駿河区,35000,2020/7/1,2020
186,一般寄付,目黒区におまかせ！,162078,富山県,黒部市,,12000,2020/7/1,2020
187,社会福祉施設整備寄付金,福祉を充実させたい！（社会福祉施設整備基金）,252018,滋賀県,大津市,,7000,2020/7/1,2020
188,一般寄付,目黒区におまかせ！,131130,東京都,渋谷区,,20000,2020/7/1,2020
189,サクラ寄付金,目黒のサクラを守りたい！（サクラ基金）,401005,福岡県,北九州市,小倉南区,12000,2020/7/1,2020
190,サクラ寄付金,目黒のサクラを守りたい！（サクラ基金）,131032,東京都,港区,,16000,2020/7/1,2020
191,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,131156,東京都,杉並区,,10000,2020/7/1,2020
192,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,141003,神奈川県,横浜市,磯子区,24000,2020/7/1,2020
193,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,102059,群馬県,太田市,,60000,2020/7/1,2020
194,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,131032,東京都,港区,,1100000,2020/7/1,2020
195,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,282146,兵庫県,宝塚市,,16000,2020/7/1,2020
196,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,131105,東京都,目黒区,,2000,2020/7/1,2020
197,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,131075,東京都,墨田区,,16000,2020/7/1,2020
198,図書資料充実寄付金,図書館の資料を充実させたい！,131121,東京都,世田谷区,,12000,2020/7/1,2020
199,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,132292,東京都,西東京市,,12000,2020/7/1,2020
200,学校備品等整備寄付金,次代を担う子どもたちのために学校備品等を充実させたい！,092088,栃木県,小山市,,12000,2020/7/1,2020
201,一般寄付,目黒区におまかせ！,131059,東京都,文京区,,35000,2020/7/1,2020
202,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,132063,東京都,府中市,,12000,2020/7/1,2020
203,一般寄付,目黒区におまかせ！,041009,宮城県,仙台市,宮城野区,16000,2020/7/1,2020
204,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,131113,東京都,大田区,,18000,2020/7/1,2020
205,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,232068,愛知県,春日井市,,7000,2020/7/1,2020
206,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,022021,青森県,弘前市,,16000,2020/7/1,2020
207,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,402036,福岡県,久留米市,,15000,2020/7/1,2020
208,図書資料充実寄付金,図書館の資料を充実させたい！,131091,東京都,品川区,,15000,2020/7/1,2020
209,一般寄付,目黒区におまかせ！,131156,東京都,杉並区,,12000,2020/7/1,2020
210,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,352110,山口県,長門市,,24000,2020/8/1,2020
211,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,261009,京都府,京都市,中京区,16000,2020/8/1,2020
212,サクラ寄付金,目黒のサクラを守りたい！（サクラ基金）,131016,東京都,千代田区,,12000,2020/8/1,2020
213,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,131121,東京都,世田谷区,,12000,2020/8/1,2020
214,一般寄付,目黒区におまかせ！,132128,東京都,日野市,,15000,2020/8/1,2020
215,一般寄付,目黒区におまかせ！,132128,東京都,日野市,,12000,2020/8/1,2020
216,学校施設整備寄付金,学校の環境整備のために！（学校施設整備基金）,092088,栃木県,小山市,,10000,2020/8/1,2020
217,新型コロナウイルス感染症対策寄付金,新型コロナウイルス等感染症対策を応援したい！,141003,神奈川県,横浜市,神奈川区,12000,2020/8/1,2020
218,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,131148,東京都,中野区,,16000,2020/8/1,2020
219,一般寄付,目黒区におまかせ！,131016,東京都,千代田区,,35000,2020/8/1,2020
220,一般寄付,目黒区におまかせ！,132047,東京都,三鷹市,,12000,2020/8/1,2020
221,サクラ寄付金,目黒のサクラを守りたい！（サクラ基金）,131121,東京都,世田谷区,,60000,2020/8/1,2020
