全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,種別,町字ID,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_-地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,子供預かり料金種別,子供預かり料金,子供預かり料金備考,子供預かり開所時間,子供預かり閉所時間,病児保育の有無,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考,入園案内ホームページ,所在地
132292,132292KSLT000022,西東京市,アスクたなし保育園,,,認可保育所,,東京都,西東京市,向台町,5丁目5-46,,35.71948139,139.5296802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市向台町5-5-46
132292,132292KSLT000023,西東京市,レイモンド田無保育園,,,認可保育所,,東京都,西東京市,田無町,2丁目14-15,,35.72841656,139.5432986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市田無町2-14-15
132292,132292KSLT000024,西東京市,サムエル保育園分園,,,認可保育所,,東京都,西東京市,田無町,4丁目1-61,,35.72722176,139.5383136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市田無町4-1-61
132292,132292KSLT000025,西東京市,Nicot 田無,,,認可保育所,,東京都,西東京市,向台町,2丁目6-11,,35.71913788,139.542877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市向台町2-6-11
132292,132292KSLT000026,西東京市,ｸﾞﾛｰﾊﾞﾙｷｯｽﾞ柳沢園,,,認可保育所,,東京都,西東京市,保谷町,3丁目24-25,,35.72941329,139.5513735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市保谷町3-24-25
132292,132292KSLT000027,西東京市,谷戸のびのび保育園,,,認可保育所,,東京都,西東京市,谷戸町,3丁目13-14,,35.74632144,139.5462367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市谷戸町3-13-14
132292,132292KSLT000028,西東京市,アスクたなし南町保育園,,,認可保育所,,東京都,西東京市,南町,6丁目10-17,,35.72562155,139.5318021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市南町6-10-17
132292,132292KSLT000029,西東京市,田無ひまわり保育園,,,認可保育所,,東京都,西東京市,田無町,7丁目2-21,,35.73055323,139.5323262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市田無町7-2-21
132292,132292KSLT000030,西東京市,武蔵野どろんこ保育園,,,認可保育所,,東京都,西東京市,新町,5丁目14-14,,35.71507701,139.5343964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市新町5-14-14
132292,132292KSLT000031,西東京市,田無すくすく保育園,,,認可保育所,,東京都,西東京市,南町,1丁目3-28,,35.72777126,139.5453205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市南町1-3-28
132292,132292KSLT000032,西東京市,子パンダ保育園,,,認可保育所,,東京都,西東京市,保谷町,3丁目17-21,,35.73125884,139.551794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市保谷町3-17-21
