区市町村コード,区市町村,都心南部、冬夕、風速8m/s,都心南部、冬昼、風速8m/s,都心南部、冬早朝、風速8m/s,都心南部、冬夕、風速4m/s,都心南部、冬昼、風速4m/s,都心南部、冬早朝、風速4m/s,多摩東部、冬夕、風速8m/s,多摩東部、冬昼、風速8m/s,多摩東部、冬早朝、風速8m/s,多摩東部、冬夕、風速4m/s,多摩東部、冬昼、風速4m/s,多摩東部、冬早朝、風速4m/s,大正関東、冬夕、風速8m/s,大正関東、冬昼、風速8m/s,大正関東、冬早朝、風速8m/s,大正関東、冬夕、風速4m/s,大正関東、冬昼、風速4m/s,大正関東、冬早朝、風速4m/s,立川断層、冬夕、風速8m/s,立川断層、冬昼、風速8m/s,立川断層、冬早朝、風速8m/s,立川断層、冬夕、風速4m/s,立川断層、冬昼、風速4m/s,立川断層、冬早朝、風速4m/s
13220,東大和市,9,9,9,9,9,9,12,12,12,12,12,12,7,7,7,7,7,7,15,14,14,15,14,14
13221,清瀬市,8,8,8,8,8,8,9,9,9,9,9,9,5,5,5,5,5,5,7,7,7,7,7,7
13222,東久留米市,15,15,14,15,15,14,21,21,20,21,20,20,10,10,10,10,10,10,14,14,14,14,14,14
13223,武蔵村山市,8,8,8,8,8,8,14,14,14,14,14,14,7,7,7,7,7,7,21,19,19,21,19,19
13224,多摩市,20,20,20,20,20,20,22,22,22,22,22,22,20,19,19,20,19,19,20,20,20,20,20,20
13225,稲城市,14,14,14,14,14,14,15,15,14,15,15,14,12,12,12,12,12,12,10,10,10,10,10,10
13227,羽村市,6,6,6,6,6,6,12,12,12,12,12,12,6,6,6,6,6,6,21,19,18,20,19,18
13228,あきる野市,8,8,8,8,8,8,16,16,16,16,16,16,9,9,9,9,9,9,18,17,17,18,17,17
13229,西東京市,123,121,121,123,121,121,173,173,156,171,156,156,115,114,114,115,114,113,86,85,85,86,85,85
13303,瑞穂町,5,5,5,5,5,5,10,10,10,10,10,10,5,5,5,5,5,5,17,16,16,17,16,16
13305,日の出町,2,2,2,2,2,2,5,5,4,5,4,4,2,2,2,2,2,2,5,4,4,5,4,4
13307,檜原村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13308,奥多摩町,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
,区部合計,20414,19588,19479,20301,19551,19453,17250,17262,16753,17202,16800,16737,14044,13923,13869,14021,13911,13861,3056,3035,3024,3054,3033,3023
,多摩合計,2012,1985,1977,2007,1983,1976,2558,2559,2467,2549,2475,2464,1933,1916,1910,1930,1914,1908,2253,2182,2159,2242,2176,2156
,都合計,22426,21574,21456,22308,21535,21429,19808,19821,19220,19751,19276,19201,15977,15839,15778,15951,15825,15769,5309,5216,5184,5296,5210,5179
