区分,歳入総額,1特別区税,2地方譲与税,内訳・地方揮発油譲与税,内訳・地方道路譲与税,内訳・自動車重量譲与税,内訳・航空機燃料譲与税,3利子割交付金,4配当割交付金,5株式等譲渡所得割交付金,6地方消費税交付金,7ゴルフ場利用税交付金,8自動車取得税交付金,9地方特例交付金,10特別区財政調整交付金,内訳・普通交付金,内訳・特別交付金,11交通安全対策特別交付金,12分担金負担金,内訳・(1)同級他団体からのもの,内訳・(2)その他,13使用料,内訳・(1)授業料,内訳・高等学校,内訳・幼稚園,内訳・その他,内訳・(2)保育園使用料,内訳・(3)公営住宅使用料,内訳・(4)その他,14手数料,内訳・(1)法定受託事務に係るもの,内訳・(2)自治事務に係るもの,15国庫支出金,内訳・(1)生活保護費負担金,内訳・(2)児童保護費等負担金,内訳・(3)障害者自立支援給付費等負担金,内訳・(4)子どものための金銭の給付交付金,内訳・(5)公立高等学校授業料不徴収交付金,内訳・(6)普通建設事業費支出金,内訳・(7)災害復旧事業費支出金,内訳・(8)委託金,内訳・(9)財政補給金,内訳・(10)社会資本整備総合交付金,内訳・(11)がんばる地域交付金,内訳・(12)その他,16都支出金,内訳・(1)国庫財源を伴うもの,内訳・①児童保護費等負担金,内訳・②障害者自立支援給付費等負担金,内訳・③子どものための金銭の給付交付金,内訳・④普通建設事業費支出金,内訳・⑤災害復旧事業費支出金,内訳・⑥委託金,内訳・⑦石油貯蔵施設立地対策等交付金,内訳・⑧その他,内訳・(2)都費のみのもの,内訳・①普通建設事業費支出金,内訳・②災害復旧事業費支出金,内訳・③その他,17財産収入,内訳・(1)財産運用収入,内訳・(2)財産売却収入,内訳・①土地建物,内訳・②立木竹,内訳・③その他,18寄付金,19繰入金,20繰越金,内訳・(1)純繰越金,内訳・(2)繰越事業費等充当財源繰越額,21諸収入,内訳・(1)延滞金加算金及び過料,内訳・(2)預金利子,内訳・(3)貸付金元利収入,内訳・(4)受託事業収入,内訳・①同級他団体からのもの,内訳・②民間からのもの,内訳・(5)収益事業収入,内訳・(6)雑入,内訳・①一部事務組合配分金,内訳・②その他,22特別区債,区分,,,
目黒区,92199858,43599508,349030,104511,0,244519,0,648573,820157,690842,3818247,0,116100,71821,15666291,14496674,1169617,28816,970289,145378,824911,2425891,33396,0,33396,0,582841,154976,1654678,456834,46786,410048,9850031,4315906,301163,1236937,1943904,0,270031,0,3242,0,384457,9678,1384713,4608312,2016286,160486,618468,424537,156938,0,102533,0,553324,2592026,545847,0,2046179,734796,79796,655000,655000,0,0,8424,2322623,3761882,3759757,2125,761391,172597,1279,59156,452,0,452,30000,497907,0,497907,490000,目,,,
大田区,251467086,70592144,1752354,283994,0,664438,803922,1110696,1399306,1175623,9907006,0,316563,372406,71327210,69002991,2324219,69129,2527298,382024,2145274,6964658,0,0,0,0,1398299,912316,4654043,1114072,100439,1013633,45574008,25567478,1339307,4020663,6607412,0,71691,0,9938,0,3593188,9234,4355097,15053028,7482723,905008,2011094,1443075,201117,0,240267,4563,2677599,7570305,3538200,0,4032105,450653,376347,74306,63590,0,10716,84537,7831732,7501011,7304471,196540,4543652,400273,2832,1531642,1098654,0,1098654,30000,1480251,0,1480251,1800000,大,,,
世田谷区,265943370,113279836,1148032,343761,0,804271,0,1846287,2329776,1959544,10659101,0,382153,310108,46251317,44240784,2010533,90329,1660978,31846,1629132,6125551,104225,0,104225,0,1469010,475500,4076816,1309289,189685,1119604,36860664,15205611,1556080,4501710,7427682,0,468103,0,4549,0,3356032,10544,4330353,19163078,7734431,778122,2250855,1640189,1488169,0,287746,0,1289350,11428647,4184283,0,7244364,1205765,529450,676315,654454,0,21861,456065,2224213,7531414,6130405,1401009,8429870,372156,3094,4139936,1145094,107502,1037592,30000,2739590,0,2739590,2720000,世,,,
渋谷区,91892062,45611394,383627,114871,0,268756,0,670202,851190,719131,6163881,0,127932,42819,7106619,5406382,1700237,34376,772759,141224,631535,3433248,8617,0,8617,0,324759,179012,2920860,701356,58274,643082,9589168,4943786,380451,973953,1450921,0,386148,0,2336,0,243622,7281,1200670,3759536,2413272,250248,487051,309419,153685,0,31316,0,1181553,1346264,199727,0,1146537,454494,335194,119300,117063,0,2237,80837,0,9540696,8003724,1536972,1032997,136373,2922,21798,0,0,0,30000,841904,0,841904,815800,渋,,,
中野区,132377128,32274585,391035,117089,0,273946,0,498877,629363,529258,4112000,0,129865,105133,35961227,34322395,1638832,24155,635277,196330,438947,1986019,14786,0,14786,0,559958,272428,1138847,515258,52887,462371,21822340,11785158,521564,1958195,2167163,0,246406,0,6640,0,3053625,21161,2062428,9352500,3001435,289999,1023763,458459,116642,0,125577,0,986995,6351065,3588013,0,2763052,3018969,334542,2684427,2684427,0,0,834653,2105343,2891971,1823239,1068732,1476300,107499,1315,487734,262754,0,262754,30000,586998,0,586998,13083000,中,,,
杉並区,172912473,60804002,691163,206958,0,484205,0,1018176,1283310,1078500,6817794,0,229519,177189,42717631,40195473,2522158,56261,775899,168492,607407,3984447,62541,0,62541,0,1098033,480637,2343236,770207,81027,689180,23756557,11880423,571316,2944656,4164501,0,396404,0,150258,0,869550,4810,2774639,10441570,4948441,450928,1472256,886184,709308,0,172169,0,1257596,5493129,1628575,0,3864554,221092,211558,9534,3694,0,5840,21045,5256894,7448570,7417160,31410,1586647,153217,2295,143615,0,0,0,30000,1257520,0,1257520,3776000,杉,,,
豊島区,132057929,30229178,416331,124664,0,291667,0,441994,560557,473125,5253493,0,138362,98418,30309038,27778274,2530764,25113,905258,178064,727194,3004529,17946,0,17946,0,703258,119792,2163533,634731,67514,567217,19607187,11513883,333439,1544047,1876466,0,370039,0,104362,0,1964245,15969,1884737,6683909,3861164,193956,772224,400716,378891,0,117207,0,1998170,2822745,1071011,0,1751734,271909,205205,66704,66704,0,0,59368,27793071,49462,0,49462,2039896,161903,977,70813,386617,211,386406,30000,1389586,0,1389586,3063000,豊,,,
北区,131431519,26492081,431942,129338,0,302604,0,418651,528563,444730,4468002,9187,144008,160122,49904399,47802137,2102262,26690,1371162,104834,1266328,3023259,12423,0,12423,0,965067,205766,1840003,542682,75968,466714,23702654,14675913,678855,2623772,2721077,0,16399,0,117669,0,516596,4344,2348029,7039656,3874689,434038,1311020,574729,270353,0,134612,0,1149937,3164967,390813,0,2774154,455232,403059,52173,51967,0,206,9364,4721396,2887834,2720535,167299,3307905,134563,1150,2036637,269367,229459,39908,30000,836188,0,836188,1342000,北,,,
荒川区,90632356,15820130,260989,78149,0,182840,0,242169,306496,258322,2745038,0,86831,122198,37165916,35151207,2014709,18396,1068426,87603,980823,1957580,49609,0,49609,0,606107,255906,1045958,340807,53855,286952,16257598,9758754,384855,1396069,2052761,0,120235,0,83307,0,905652,2336,1553629,4802158,2929796,193832,698035,442292,682228,0,84186,0,829223,1872362,91588,0,1780774,283717,234018,49699,49602,0,97,7235,1610286,2474175,2366366,107809,1798889,85742,399,1159199,75715,0,75715,30000,447834,0,447834,3005000,荒,,,
板橋区,197573583,43273546,738581,221157,0,517424,0,684178,862683,725204,6991276,4408,246445,339888,66690599,64165310,2525289,56377,2843559,152720,2690839,3763520,10933,0,10933,0,741471,196717,2814399,794352,122469,671883,42323262,26840930,1487596,4173804,5189290,0,298163,0,369605,0,294054,4692,3665128,11611510,8047854,743798,2085636,1117813,697934,0,204717,0,3197956,3563656,786431,0,2777225,475065,473496,1569,1569,0,0,29022,2600175,5293530,5284444,9086,2394403,200975,1505,43311,561783,0,561783,30000,1556829,0,1556829,4832000,板,,,
練馬区,249988640,62985596,963988,288652,0,675336,0,1023936,1291521,1085957,8514826,0,320540,352428,82154472,79648173,2506299,70855,1043493,126853,916640,3865902,37084,0,37084,0,1249928,335544,2243346,821080,160129,660951,46151822,23555650,1576812,4381270,7123069,0,315594,0,226216,0,4126680,15654,4830877,17219683,10369823,788407,2190479,1544749,1875492,0,233600,0,3737096,6849860,2820996,0,4028864,1233250,204353,1028897,989878,0,39019,131088,8861562,2646516,2154447,492069,3442525,206176,0,996518,539127,0,539127,30000,1670704,0,1670704,5807600,練,,,
足立区,272069308,45299469,987532,295702,0,691830,0,679029,857284,721306,8637810,2264,329605,544087,101926107,98986514,2939593,77502,2259533,92591,2166942,4518144,12551,0,12551,0,1070840,234829,3199924,829510,78287,751223,59075087,34300223,1550332,5566149,7345130,0,836148,0,191007,0,3849748,13502,5422848,16872453,10693279,775166,2784965,1600208,1383159,0,199273,0,3950508,6179174,1962841,0,4216333,808645,382812,425833,390585,0,35248,23252,10291850,4830194,3642741,1187453,10506645,162239,1606,8326750,174696,0,174696,30000,1811354,0,1811354,1992000,足,,,
葛飾区,177309502,31871431,623512,186701,0,436811,0,492481,621501,522768,5546217,0,208049,347842,70927227,68763961,2163266,49930,1617442,69247,1548195,2587119,13932,0,13932,0,784317,144423,1644447,515501,2545,512956,33199982,18916041,1494093,3143556,4702412,0,475567,0,4660,0,1120667,19015,3323971,10522258,6931885,930503,1571777,1033329,953220,0,143289,0,2299767,3590373,1059324,0,2531049,293720,220754,72966,68919,0,4047,32860,3027254,7475452,7413097,62355,4185956,128921,2312,3059293,212664,5478,207186,30000,752766,0,752766,2641000,葛,,,
江戸川区,245281349,50404673,994936,297919,0,697017,0,788060,995027,837254,8251884,0,331823,453759,89165102,87599034,1566068,70310,2397669,182161,2215508,4117027,14707,0,14707,0,818987,20732,3262601,814583,75303,739280,50128314,27578750,1523953,4136032,8139179,0,1597055,0,203892,0,2162121,33936,4753396,13024508,6950756,767552,2067463,1771652,526632,0,159525,1160,1656772,6073752,1412211,0,4661541,545035,493644,51391,46552,0,4839,147079,3936814,12719154,9168630,3550524,3652238,328252,2819,1008392,524293,0,524293,30000,1758482,0,1758482,1506100,江,,,
