市町村名,歳出合計（千円）,1議会費（千円）,2総務費（千円）,総務費の内訳・(1)総務管理費（千円）,総務費の内訳・(2)徴税費（千円）,総務費の内訳・(3)戸籍・住民基本台帳費（千円）,総務費の内訳・(4)選挙費（千円）,総務費の内訳・(5)統計調査費（千円）,総務費の内訳・(6)監査委員費（千円）,3民生費（千円）,民生費の内訳・(1)社会福祉費（千円）,民生費の内訳・(2)老人福祉費（千円）,民生費の内訳・(3)児童福祉費（千円）,民生費の内訳・(4)生活保護費（千円）,民生費の内訳・(5)災害救助費（千円）,4衛生費（千円）,衛生費の内訳・(1)保健衛生費（千円）,衛生費の内訳・(2)結核対策費（千円）,衛生費の内訳・(3)保健所費（千円）,衛生費の内訳・(4)清掃費（千円）,5労働費（千円）,労働費の内訳・(1)失業対策費（千円）,労働費の内訳・(2)労働諸費（千円）,6農林水産業費（千円）,農林水産業費の内訳・(1)農業費（千円）,農林水産業費の内訳・(2)畜産業費（千円）,農林水産業費の内訳・(3)農地費（千円）,農林水産業費の内訳・(4)林業費（千円）,農林水産業費の内訳・(5)水産業費（千円）,7商工費（千円）,8土木費（千円）,土木費の内訳・(1)土木管理費（千円）,土木費の内訳・(2)道路橋りょう費（千円）,土木費の内訳・(3)河川費（千円）,土木費の内訳・(4)港　湾　費（千円）,土木費の内訳・(5)都市計画費・①街路費（千円）,土木費の内訳・(5)都市計画費・②公園費（千円）,土木費の内訳・(5)都市計画費・③下水道費（千円）,土木費の内訳・(5)都市計画費・④区画整理費等（千円）,土木費の内訳・(6)住宅費（千円）,土木費の内訳・(7)空港費（千円）,9消防費（千円）,10教育費（千円）,教育費の内訳・(1)教育総務費（千円）,教育費の内訳・(2)小学校費（千円）,教育費の内訳・(3)中学校費（千円）,教育費の内訳・(4)幼稚園費（千円）,教育費の内訳・(5)社会教育費（千円）,教育費の内訳・(6)保健体育費・体育施設費等（千円）,教育費の内訳・(6)保健体育費・学校給食費（千円）,11災害復旧費（千円）,災害復旧費の内訳・(1)農林水産施設災害復旧費（千円）,災害復旧費の内訳・(2)公共土木施設災害復旧費（千円）,災害復旧費の内訳・(3)その他（千円）,12公債費（千円）,13諸支出金（千円）,諸支出金の内訳・(1)普通財産取得費（千円）,諸支出金の内訳・(2)公営企業費（千円）,諸支出金の内訳・(3)市町村たばこ税都道府県交付金（千円）,14前年度繰上充用金（千円）,区分
町田市,139361513,697274,16522818,13965323,1433785,737395,207201,82091,97023,68161955,17941052,9651724,27094195,13474554,430,12746731,4372325,74731,646569,7653106,342946,0,342946,269559,254300,8181,7078,0,0,857662,10763437,227170,3302449,0,0,1399102,2028196,2161164,1174813,470543,0,5174520,17790879,3449723,5186776,3290744,0,3343163,893365,1627108,0,0,0,0,6033732,0,0,0,0,0,町
小金井市,36458127,374728,4202771,3446682,430909,206906,69908,19510,28856,16413300,4150010,2581036,6478126,3204128,0,4016604,980580,9688,0,3026336,416404,0,416404,46378,46378,0,0,0,0,162762,2874518,248506,516399,2462,0,17682,203586,405542,1456578,23763,0,1500266,3511652,802315,573645,466902,0,705596,295561,667633,0,0,0,0,2938744,0,0,0,0,0,金
小平市,60138650,469505,7289903,6176013,569776,368760,99314,31530,44510,29597362,7806696,3882713,11664653,6243300,0,4736239,1888213,15350,0,2832676,188476,0,188476,88260,88260,0,0,0,0,167509,3959873,249154,983132,0,0,244323,458284,1213000,811980,0,0,2293758,7355865,1245789,1719393,613191,0,2272858,566116,938518,13188,0,255,12933,3978712,0,0,0,0,0,平
日野市,60886738,418431,7831525,6719511,692079,285290,86916,20105,27624,27792827,7021074,4085916,12626344,4059173,320,5073213,2077840,10996,0,2984377,250143,0,250143,199152,196054,119,2979,0,0,419682,7301151,319420,547767,120734,0,10323,595121,1946909,3633663,127214,0,2446947,5663513,1298596,1143617,758300,227450,1052088,273738,909724,3614,0,3129,485,3486540,0,0,0,0,0,日
東村山市,54688564,357356,5834372,4826890,555333,281079,101769,33553,35748,26172971,6475282,3784747,9523711,6389086,145,4024579,1127717,7726,0,2889136,404460,0,404460,95982,95982,0,0,0,0,110313,5995569,176865,511757,78094,0,3091789,368098,1289408,431596,47962,0,1757793,5883258,1020327,1553731,1102326,0,1082807,349903,774164,0,0,0,0,4051911,0,0,0,0,0,東
国分寺市,39576173,353130,4114171,3299594,407689,269914,91974,15417,29583,17189647,4817072,2869515,7319574,2182951,535,3527118,918698,8836,0,2599584,185203,0,185203,85124,85124,0,0,0,0,81232,5153232,463303,740696,0,0,10886,162068,1812942,1958634,4703,0,1573741,4612846,1022160,805045,415542,0,1019080,507538,843481,4288,0,0,4288,2696441,0,0,0,0,0,分
国立市,28442772,322717,3117181,2534223,345196,145831,49388,17373,25170,12885718,4441765,1825262,4604132,2011706,2853,1828092,640478,5033,0,1182581,193512,0,193512,104847,104847,0,0,0,0,231489,3628621,129795,511028,17326,0,1308227,191802,1075463,394980,0,0,1048409,3536847,470502,720870,304145,0,945743,753852,341735,0,0,0,0,1545339,0,0,0,0,0,国
田無市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,田
保谷市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,保
福生市,22424537,299217,3156099,2642471,250075,161240,53869,17903,30541,10601224,2527636,1514390,4224392,2334635,171,2155300,1103171,0,0,1052129,170967,0,170967,52440,52433,0,7,0,0,179285,1397121,111934,563933,0,0,9033,174206,300000,109530,128485,0,918556,2481108,388296,380989,237793,0,975240,235652,263138,0,0,0,0,1013220,0,0,0,0,0,福
狛江市,26041404,326192,3539418,2935812,285545,212504,53694,27809,24054,12274151,3542512,1979157,4695835,2056517,130,1854482,626912,5973,0,1221597,83990,0,83990,32861,32861,0,0,0,0,89215,1534974,112692,396274,7670,0,15365,223189,542000,237784,0,0,1164259,2768791,505009,417317,494107,0,597904,117469,636985,0,0,0,0,2373071,0,0,0,0,0,狛
東大和市,29251607,320167,3686221,3085637,342842,137731,73694,19046,27271,15710473,3901118,1966211,6443926,3397436,1782,2169423,727198,844,0,1441381,43020,0,43020,55299,55299,0,0,0,0,104772,1554297,109772,385931,1643,0,213284,164461,517363,158379,3464,0,1092343,2863487,648216,466847,409456,0,763621,163598,411749,3903,0,0,3903,1648202,0,0,0,0,0,東
清瀬市,29145883,266821,3444764,2940394,235996,160513,60452,26164,21245,15682708,3913192,2128027,5470555,4170626,308,1756683,650755,28506,0,1077422,108107,0,108107,166793,166623,170,0,0,0,72237,1281366,16330,512793,167,0,0,369681,279369,74387,28639,0,1030473,3213492,530504,903152,700716,0,519786,160176,399158,16,0,16,0,2122423,0,0,0,0,0,清
東久留米市,37601739,323624,3895602,3139672,400277,243331,67542,13276,31504,18797086,5019881,2651533,7152511,3972723,438,2887269,1025773,7039,0,1854457,214755,0,214755,92125,92125,0,0,0,0,111613,3048688,193291,662263,29796,0,748769,75379,1087381,251809,0,0,1692868,3688524,711044,1023919,480725,42770,555051,252149,622866,0,0,0,0,2849585,0,0,0,0,0,久
武蔵村山市,27865799,283335,2998881,2427349,304165,155349,74971,11016,26031,14704230,4248770,1788506,5683456,2983498,0,1766506,626886,8312,0,1131308,63460,0,63460,48886,48886,0,0,0,0,180387,2497742,494254,522851,9629,0,532,66831,71879,1322737,9029,0,1078340,2970136,652698,439746,427991,0,489538,539443,420720,0,0,0,0,1273896,0,0,0,0,0,村
多摩市,50933163,387558,7636101,6625081,528016,223039,143123,75075,41767,24311345,6725083,2900859,10067830,4617399,174,3885875,1076919,36342,0,2772614,297842,0,297842,60831,60831,0,0,0,0,545359,3095256,188010,962137,0,0,0,799820,384052,729204,32033,0,1843562,6410640,1397091,1430186,626342,0,1793541,395915,767565,0,0,0,0,2458794,0,0,0,0,0,多
稲城市,36287991,322758,2759234,2163219,343248,151873,61734,9916,29244,12645877,2550821,1333885,6585409,2175762,0,3088082,1622168,26712,0,1439202,119040,0,119040,82063,82063,0,0,0,0,145194,4934326,191370,355823,78533,0,92247,438180,462363,3301837,13973,0,1479894,8670806,373537,4832533,1097245,276805,987637,756094,346955,0,0,0,0,2040717,0,0,0,0,0,稲
羽村市,21312909,267936,3185796,2725192,235908,148452,53254,11781,11209,9920000,2816645,1075390,4628775,1398852,338,1972327,971467,3297,0,997563,139184,0,139184,46794,46794,0,0,0,0,271553,1421881,100156,334019,0,0,0,261444,396391,307820,22051,0,805096,2047633,516070,333969,187785,0,518326,200149,291334,0,0,0,0,1234709,0,0,0,0,0,羽
あきる野市,29860583,290028,2947280,2275257,382157,150645,59523,51187,28511,12327216,3245108,1744412,5538481,1799103,112,2926169,1550532,21535,0,1354102,180799,0,180799,547412,160444,404,2262,384302,0,358908,3966406,317136,755971,0,0,7905,55124,1201285,125942,1503043,0,1053722,2469433,508544,417841,310297,0,588311,348290,296150,47726,47726,0,0,2745484,0,0,0,0,0,あ
西東京市,67100090,461040,6876048,5402305,705310,491326,175922,45273,55912,33153269,8092257,5161537,12441681,7454679,3115,5146057,2040986,3629,0,3101442,377723,0,377723,126392,126392,0,0,0,0,363943,4884105,72343,1263715,8246,0,1311146,920651,800000,404539,103465,0,2333360,6511940,1445863,1814160,662628,0,1166605,450779,971905,0,0,0,0,6866213,0,0,0,0,0,西
瑞穂町,13885529,172169,1881285,1541023,192852,96164,18147,32276,823,4760742,1831258,778874,2150596,0,14,1428084,578640,2195,0,847249,132341,0,132341,79860,79860,0,0,0,0,72790,1839971,117395,330527,3337,0,102017,207784,258041,807114,13756,0,579237,2452594,322007,335855,531802,0,1021794,77362,163774,0,0,0,0,486456,0,0,0,0,0,瑞
日の出町,8832895,144211,1093738,857532,139197,59858,13080,23269,802,3552562,1014171,754821,1783570,0,0,676156,342745,1547,0,331864,85156,0,85156,239686,123954,0,4381,111351,0,106651,705549,18542,190599,1214,0,32399,13441,372735,37890,38729,0,415955,1155603,175795,94024,78543,0,594899,114328,98014,44707,20236,0,24471,612921,0,0,0,0,0,日
檜原村,3528068,74636,782720,720366,37080,15765,5747,1072,2690,627975,264926,222607,140442,0,0,249646,150630,0,0,99016,49764,0,49764,434181,34252,0,2553,397376,0,96003,474013,43026,166411,20,0,0,0,256524,0,8032,0,146295,439509,42274,32364,34486,0,294605,6974,28806,61620,1587,42174,17859,91706,0,0,0,0,0,檜
奥多摩町,6413063,95707,814699,705116,56968,30570,13378,1218,7449,1019602,353001,374594,292007,0,0,536916,294023,3426,0,239467,65482,0,65482,754380,70422,261,20,676751,6926,1130666,914695,111109,260228,648,0,0,0,433631,0,109079,0,224252,516553,86366,81912,95433,0,180511,16824,55507,72007,56092,15915,0,268104,0,0,0,0,0,奥
大島町,13619786,86773,2211720,2099886,63468,30229,8265,8863,1009,1671968,553750,345020,617902,0,155296,5079099,519142,453,0,4559504,102929,0,102929,528939,87442,41772,20459,44883,334383,535523,1041287,28791,414939,30734,0,0,30209,0,0,536614,0,527139,726076,93956,151371,299831,0,35116,44933,100869,406418,4667,306543,95208,701915,0,0,0,0,0,大
利島村,1070295,19557,306597,295552,4068,5417,1099,277,184,162146,46181,68756,47209,0,0,150070,101688,0,0,48382,30095,0,30095,145114,56073,0,0,42059,46982,101281,30906,8137,8878,0,5275,0,0,0,0,8616,0,19823,56139,19951,10039,13743,0,1056,4402,6948,8046,0,0,8046,40521,0,0,0,0,0,利
新島村,3606993,56260,645399,570658,30927,29713,8076,5558,467,549684,251856,151329,146499,0,0,286856,114386,0,0,172470,63160,0,63160,280375,126478,0,89257,9703,54937,205284,478178,3502,278659,713,0,0,16928,138049,0,8878,31449,63023,698716,73967,40377,466745,0,51044,10434,56149,0,0,0,0,280058,0,0,0,0,0,新
神津島村,2581566,44401,539055,479239,27828,23097,4112,4360,419,474053,168943,198091,107019,0,0,328114,141782,0,0,186332,70236,0,70236,320321,51473,0,91923,8659,168266,251444,231903,22223,182990,0,10495,0,0,0,0,16195,0,48371,183545,50675,30456,32539,0,26831,7660,35384,0,0,0,0,90123,0,0,0,0,0,神
三宅村,3899464,48456,1113807,1037517,37343,33237,3795,1076,839,434758,187299,130001,117458,0,0,539111,220444,0,0,318667,47277,0,47277,218240,73975,0,0,76499,67766,274755,337281,77161,171724,1434,0,0,0,0,0,86962,0,258476,292518,121008,41265,36051,0,55937,7419,30838,15573,9402,0,6171,287712,31500,0,31500,0,0,三
御蔵島村,1167481,14874,524423,494341,7509,20012,1795,534,232,106654,37006,39262,30386,0,0,90327,32416,0,0,57911,0,0,0,67655,32456,0,0,16755,18444,43616,180906,9119,81321,0,1281,0,6103,0,0,83082,0,9718,83243,22363,21675,18641,0,8990,595,10979,0,0,0,0,46065,0,0,0,0,0,御
八丈町,7327683,93821,762729,636949,75303,35531,12135,1676,1135,1448395,541577,394623,511803,19,373,1395562,873283,0,0,522279,127653,0,127653,566237,118624,31171,54243,26279,335920,205171,1078569,12160,602433,2595,5865,0,120024,0,0,335492,0,279781,536461,51852,192367,86691,0,90162,34006,81383,8691,0,8691,0,731746,92867,0,92867,0,0,八
青ケ島村,935264,15649,472582,440182,10856,20207,632,507,198,72792,18536,38896,15360,0,0,73560,56949,0,0,16611,0,0,0,73529,56588,3350,10865,313,2413,15899,39686,4739,28124,0,0,0,0,0,0,6823,0,11219,74229,7141,3009,40912,0,4606,0,18561,41623,0,0,41623,43999,497,0,0,497,0,青
小笠原村,4039969,64963,1004610,924486,30898,43691,4058,776,701,715101,250683,261348,203070,0,0,987494,620656,0,0,366838,0,0,0,89132,24888,0,62,0,64182,150755,184120,76142,87021,2889,0,0,12846,0,0,5222,0,79028,224607,50745,52256,50465,0,31334,36337,3470,0,0,0,0,540159,0,0,0,0,0,小
