団体名（税目）,１普通税,(1)法定普通税,ア市町村民税,(ｱ)個人均等割,(ｲ)所得割,うち退職所得分,(ｳ)法人均等割,(ｴ)法人税割,イ固定資産税,(ｱ)純固定資産税,①土地,②家屋,③債却資産,(ｲ)交付金,ウ軽自動車税,エ市町村たばこ税,オ鉱産税,カ特別土地保有税,(ｱ)保有分,(ｲ)取得分,(2)法定外普通税,２目的税,(1)法定目的税,ア入湯税,イ事業所税,ウ都市計画税,(ｱ)土地,(ｲ)家屋,エ水利地益税,オ共同施設税,カ宅地開発税,(2)法定外目的税,３旧法による税,合計,国民健康保険税,国民健康保険料
八王子市（収入歩合)（%）,96.3 ,96.3 ,95.6 ,94.9 ,94.9 ,100.0 ,98.8 ,98.8 ,96.9 ,96.9 ,96.9 ,96.9 ,96.9 ,100.0 ,95.5 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,97.5 ,97.5 ,0.0 ,99.8 ,96.9 ,96.9 ,96.9 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,96.4 ,72.8 ,0.0 
立川市（調定済額)（千円）,37103585 ,37103585 ,18737685 ,320518 ,12515299 ,103852 ,962935 ,4938933 ,16810127 ,16370815 ,8428857 ,5743601 ,2198357 ,439312 ,142647 ,1413126 ,0 ,0 ,0 ,0 ,0 ,2867996 ,2867996 ,0 ,0 ,2867996 ,1860858 ,1007138 ,0 ,0 ,0 ,0 ,0 ,39971581 ,0 ,5706743 
立川市（収入済額)（千円）,36066582 ,36066582 ,17974003 ,302921 ,11827978 ,103852 ,953349 ,4889755 ,16544894 ,16105582 ,8276390 ,5640519 ,2188673 ,439312 ,134559 ,1413126 ,0 ,0 ,0 ,0 ,0 ,2816248 ,2816248 ,0 ,0 ,2816248 ,1827183 ,989065 ,0 ,0 ,0 ,0 ,0 ,38882830 ,0 ,4519052 
立川市（収入歩合)（%）,97.2 ,97.2 ,95.9 ,94.5 ,94.5 ,100.0 ,99.0 ,99.0 ,98.4 ,98.4 ,98.2 ,98.2 ,99.6 ,100.0 ,94.3 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,98.2 ,98.2 ,0.0 ,0.0 ,98.2 ,98.2 ,98.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,97.3 ,0.0 ,79.2 
武蔵野市（調定済額)（千円）,37193191 ,37193191 ,20773038 ,285539 ,17156403 ,184538 ,705369 ,2625727 ,15356559 ,14726222 ,8429458 ,4874310 ,1422454 ,630337 ,43887 ,1019707 ,0 ,0 ,0 ,0 ,0 ,3098590 ,3098590 ,0 ,618624 ,2479966 ,1744747 ,735219 ,0 ,0 ,0 ,0 ,0 ,40291781 ,4214947 ,0 
武蔵野市（収入済額)（千円）,35658266 ,35658266 ,19578415 ,266798 ,16030435 ,184538 ,694799 ,2586383 ,15023111 ,14392774 ,8224081 ,4755551 ,1413142 ,630337 ,37033 ,1019707 ,0 ,0 ,0 ,0 ,0 ,3037201 ,3037201 ,0 ,618624 ,2418577 ,1701557 ,717020 ,0 ,0 ,0 ,0 ,0 ,38695467 ,3257637 ,0 
武蔵野市（収入歩合)（%）,95.9 ,95.9 ,94.2 ,93.4 ,93.4 ,100.0 ,98.5 ,98.5 ,97.8 ,97.7 ,97.6 ,97.6 ,99.3 ,100.0 ,84.4 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,98.0 ,98.0 ,0.0 ,100.0 ,97.5 ,97.5 ,97.5 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,96.0 ,77.3 ,0.0 
三鷹市（調定済額)（千円）,35405876 ,35405876 ,20898885 ,335482 ,17211112 ,145500 ,434975 ,2917316 ,13541593 ,13202642 ,7263730 ,4555037 ,1383875 ,338951 ,77150 ,888248 ,0 ,0 ,0 ,0 ,0 ,2990128 ,2990128 ,3 ,441958 ,2548167 ,1788808 ,759359 ,0 ,0 ,0 ,0 ,0 ,38396004 ,4933624 ,0 
三鷹市（収入済額)（千円）,34286062 ,34286062 ,20008879 ,318987 ,16371477 ,145500 ,430581 ,2887834 ,13318052 ,12979101 ,7126807 ,4469171 ,1383123 ,338951 ,70883 ,888248 ,0 ,0 ,0 ,0 ,0 ,2942056 ,2942056 ,3 ,441958 ,2500095 ,1755062 ,745033 ,0 ,0 ,0 ,0 ,0 ,37228118 ,4025757 ,0 
三鷹市（収入歩合)（%）,96.8 ,96.8 ,95.7 ,95.1 ,95.1 ,100.0 ,99.0 ,99.0 ,98.3 ,98.3 ,98.1 ,98.1 ,99.9 ,100.0 ,91.9 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,98.4 ,98.4 ,100.0 ,100.0 ,98.1 ,98.1 ,98.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,97.0 ,81.6 ,0.0 
青梅市（調定済額)（千円）,19882652 ,19882652 ,9862208 ,237936 ,8013665 ,61673 ,303952 ,1306655 ,8895129 ,8861279 ,4077580 ,3778240 ,1005459 ,33850 ,205152 ,920161 ,2 ,0 ,0 ,0 ,0 ,1649408 ,1649408 ,6655 ,0 ,1642753 ,972031 ,670722 ,0 ,0 ,0 ,0 ,0 ,21532060 ,4015607 ,0 
青梅市（収入済額)（千円）,18899593 ,18899593 ,9285830 ,221925 ,7474449 ,61673 ,299960 ,1289496 ,8501049 ,8467199 ,3875941 ,3591403 ,999855 ,33850 ,192551 ,920161 ,2 ,0 ,0 ,0 ,0 ,1552494 ,1552494 ,6655 ,0 ,1545839 ,914686 ,631153 ,0 ,0 ,0 ,0 ,0 ,20452087 ,3097295 ,0 
青梅市（収入歩合)（%）,95.1 ,95.1 ,94.2 ,93.3 ,93.3 ,100.0 ,98.7 ,98.7 ,95.6 ,95.6 ,95.1 ,95.1 ,99.4 ,100.0 ,93.9 ,100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,94.1 ,94.1 ,100.0 ,0.0 ,94.1 ,94.1 ,94.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,95.0 ,77.1 ,0.0 
府中市（調定済額)（千円）,48834681 ,48834681 ,25381413 ,465431 ,20046149 ,162753 ,713342 ,4156491 ,21781269 ,21398933 ,10445244 ,8200656 ,2753033 ,382336 ,144259 ,1527740 ,0 ,0 ,0 ,0 ,0 ,3293817 ,3293817 ,0 ,0 ,3293817 ,2068853 ,1224964 ,0 ,0 ,0 ,0 ,0 ,52128498 ,7142808 ,0 
府中市（収入済額)（千円）,46892536 ,46892536 ,23957037 ,434236 ,18702698 ,162753 ,706059 ,4114044 ,21277270 ,20894934 ,10199233 ,8007508 ,2688193 ,382336 ,130489 ,1527740 ,0 ,0 ,0 ,0 ,0 ,3198151 ,3198151 ,0 ,0 ,3198151 ,2008765 ,1189386 ,0 ,0 ,0 ,0 ,0 ,50090687 ,5000013 ,0 
府中市（収入歩合)（%）,96.0 ,96.0 ,94.4 ,93.3 ,93.3 ,100.0 ,99.0 ,99.0 ,97.7 ,97.6 ,97.6 ,97.6 ,97.6 ,100.0 ,90.5 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,97.1 ,97.1 ,0.0 ,0.0 ,97.1 ,97.1 ,97.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,96.1 ,70.0 ,0.0 
昭島市（調定済額)（千円）,18388341 ,18388341 ,9017765 ,192317 ,6971097 ,47154 ,319452 ,1534899 ,8417861 ,8117192 ,4005110 ,3092044 ,1020038 ,300669 ,95694 ,857021 ,0 ,0 ,0 ,0 ,0 ,1507654 ,1507654 ,0 ,0 ,1507654 ,938803 ,568851 ,0 ,0 ,0 ,0 ,0 ,19895995 ,3261427 ,0 
昭島市（収入済額)（千円）,17836676 ,17836676 ,8620778 ,178023 ,6601718 ,47154 ,317159 ,1523878 ,8268521 ,7967852 ,3921545 ,3027530 ,1018777 ,300669 ,90356 ,857021 ,0 ,0 ,0 ,0 ,0 ,1476571 ,1476571 ,0 ,0 ,1476571 ,919448 ,557123 ,0 ,0 ,0 ,0 ,0 ,19313247 ,2580300 ,0 
昭島市（収入歩合)（%）,97.0 ,97.0 ,95.6 ,92.6 ,94.7 ,100.0 ,99.3 ,99.3 ,98.2 ,98.2 ,97.9 ,97.9 ,99.9 ,100.0 ,94.4 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,97.9 ,97.9 ,0.0 ,0.0 ,97.9 ,97.9 ,97.9 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,97.1 ,79.1 ,0.0 
調布市（調定済額)（千円）,44558039 ,44558039 ,26591988 ,421435 ,19266258 ,195614 ,598012 ,6306283 ,16493836 ,15523489 ,8003529 ,6113181 ,1406779 ,970347 ,97049 ,1375166 ,0 ,0 ,0 ,0 ,0 ,3272700 ,3272700 ,0 ,0 ,3272700 ,2134725 ,1137975 ,0 ,0 ,0 ,0 ,0 ,47830739 ,6103198 ,0 
調布市（収入済額)（千円）,43370045 ,43370045 ,25683453 ,401336 ,18404646 ,195614 ,595689 ,6281782 ,16222985 ,15252638 ,7858774 ,6002616 ,1391248 ,970347 ,88441 ,1375166 ,0 ,0 ,0 ,0 ,0 ,3197507 ,3197507 ,0 ,0 ,3197507 ,2085679 ,1111828 ,0 ,0 ,0 ,0 ,0 ,46567552 ,4513555 ,0 
調布市（収入歩合)（%）,97.3 ,97.3 ,96.6 ,95.2 ,95.5 ,100.0 ,99.6 ,99.6 ,98.4 ,98.3 ,98.2 ,98.2 ,98.9 ,100.0 ,91.1 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,97.7 ,97.7 ,0.0 ,0.0 ,97.7 ,97.7 ,97.7 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,97.4 ,74.0 ,0.0 
町田市（調定済額)（千円）,65037358 ,65037358 ,36018524 ,734856 ,31249385 ,306491 ,1069082 ,2965201 ,26201620 ,25614288 ,12064018 ,10805461 ,2744809 ,587332 ,346778 ,2427687 ,0 ,42749 ,11475 ,31274 ,0 ,5730897 ,5730897 ,6222 ,846684 ,4877991 ,2981849 ,1896142 ,0 ,0 ,0 ,0 ,0 ,70768255 ,11323802 ,0 
町田市（収入済額)（千円）,62553022 ,62553022 ,34148935 ,694096 ,29516080 ,306491 ,1043769 ,2894990 ,25626239 ,25038907 ,11793020 ,10562736 ,2683151 ,587332 ,307413 ,2427686 ,0 ,42749 ,11475 ,31274 ,0 ,5611597 ,5611597 ,6222 ,844672 ,4760703 ,2910152 ,1850551 ,0 ,0 ,0 ,0 ,0 ,68164619 ,8678298 ,0 
町田市（収入歩合)（%）,96.2 ,96.2 ,94.8 ,94.5 ,94.5 ,100.0 ,97.6 ,97.6 ,97.8 ,97.8 ,97.8 ,97.8 ,97.8 ,100.0 ,88.6 ,100.0 ,0.0 ,100.0 ,100.0 ,100.0 ,0.0 ,97.9 ,97.9 ,100.0 ,99.8 ,97.6 ,97.6 ,97.6 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,96.3 ,76.6 ,0.0 
小金井市（調定済額)（千円）,19645375 ,19645375 ,11794188 ,222258 ,10637447 ,119406 ,238850 ,695633 ,7259752 ,7094328 ,3922788 ,2650962 ,520578 ,165424 ,45621 ,545814 ,0 ,0 ,0 ,0 ,0 ,1773087 ,1773087 ,0 ,0 ,1773087 ,1233781 ,539306 ,0 ,0 ,0 ,0 ,0 ,21418462 ,3535048 ,0 
小金井市（収入済額)（千円）,19059404 ,19059404 ,11343933 ,213363 ,10211877 ,119406 ,234813 ,683880 ,7126985 ,6961561 ,3849374 ,2601354 ,510833 ,165424 ,42672 ,545814 ,0 ,0 ,0 ,0 ,0 ,1739538 ,1739538 ,0 ,0 ,1739538 ,1210436 ,529102 ,0 ,0 ,0 ,0 ,0 ,20798942 ,2765028 ,0 
小金井市（収入歩合)（%）,97.0 ,97.0 ,96.2 ,96.0 ,96.0 ,100.0 ,98.3 ,98.3 ,98.2 ,98.1 ,98.1 ,98.1 ,98.1 ,100.0 ,93.5 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,98.1 ,98.1 ,0.0 ,0.0 ,98.1 ,98.1 ,98.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,97.1 ,78.2 ,0.0 
小平市（調定済額)（千円）,29365812 ,29365812 ,16421978 ,315801 ,13254398 ,127126 ,359945 ,2491834 ,11898307 ,11411988 ,6368098 ,3946280 ,1097610 ,486319 ,105294 ,922825 ,0 ,17408 ,17408 ,0 ,0 ,2575683 ,2575683 ,0 ,0 ,2575683 ,1774235 ,801448 ,0 ,0 ,0 ,0 ,0 ,31941495 ,4828999 ,0 
小平市（収入済額)（千円）,28494208 ,28494208 ,15808671 ,301654 ,12669717 ,127126 ,349189 ,2488111 ,11665293 ,11178974 ,6237526 ,3866517 ,1074931 ,486319 ,97419 ,922825 ,0 ,0 ,0 ,0 ,0 ,2522885 ,2522885 ,0 ,0 ,2522885 ,1737599 ,785286 ,0 ,0 ,0 ,0 ,0 ,31017093 ,3753755 ,0 
小平市（収入歩合)（%）,97.0 ,97.0 ,96.3 ,95.5 ,95.6 ,100.0 ,97.0 ,99.9 ,98.0 ,98.0 ,97.9 ,98.0 ,97.9 ,100.0 ,92.5 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,98.0 ,98.0 ,0.0 ,0.0 ,98.0 ,97.9 ,98.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,97.1 ,77.7 ,0.0 
日野市（調定済額)（千円）,28574703 ,28574703 ,16120139 ,317982 ,12472724 ,114885 ,317145 ,3012288 ,11434653 ,11255548 ,5409722 ,4282205 ,1563621 ,179105 ,121757 ,898154 ,0 ,0 ,0 ,0 ,0 ,2213661 ,2213661 ,0 ,0 ,2213661 ,1413206 ,800455 ,0 ,0 ,0 ,0 ,0 ,30788364 ,4202918 ,0 
日野市（収入済額)（千円）,28039973 ,28039973 ,15736388 ,308827 ,12113612 ,114885 ,315670 ,2998279 ,11290953 ,11111848 ,5340656 ,4227534 ,1543658 ,179105 ,114478 ,898154 ,0 ,0 ,0 ,0 ,0 ,2184821 ,2184821 ,0 ,0 ,2184821 ,1394794 ,790027 ,0 ,0 ,0 ,0 ,0 ,30224794 ,3549916 ,0 
日野市（収入歩合)（%）,98.1 ,98.1 ,97.6 ,97.1 ,97.1 ,100.0 ,99.5 ,99.5 ,98.7 ,98.7 ,98.7 ,98.7 ,98.7 ,100.0 ,94.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,98.7 ,98.7 ,0.0 ,0.0 ,98.7 ,98.7 ,98.7 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,98.2 ,84.5 ,0.0 
東村山市（調定済額)（千円）,19465034 ,19465034 ,10622406 ,257871 ,9469291 ,75072 ,294196 ,601048 ,7979599 ,7209954 ,3555329 ,2979711 ,674914 ,769645 ,104571 ,758458 ,0 ,0 ,0 ,0 ,0 ,1746529 ,1746529 ,0 ,0 ,1746529 ,1101088 ,645441 ,0 ,0 ,0 ,0 ,0 ,21211563 ,4037856 ,0 
東村山市（収入済額)（千円）,18805638 ,18805638 ,10139384 ,245441 ,9012996 ,75084 ,283090 ,597857 ,7810785 ,7041140 ,3472085 ,2909941 ,659114 ,769645 ,97011 ,758458 ,0 ,0 ,0 ,0 ,0 ,1706116 ,1706116 ,0 ,0 ,1706116 ,1075609 ,630507 ,0 ,0 ,0 ,0 ,0 ,20511754 ,3141279 ,0 
東村山市（収入歩合)（%）,96.6 ,96.6 ,95.5 ,95.2 ,95.2 ,100.0 ,96.2 ,99.5 ,97.9 ,97.7 ,97.7 ,97.7 ,97.7 ,100.0 ,92.8 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,97.7 ,97.7 ,0.0 ,0.0 ,97.7 ,97.7 ,97.7 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,96.7 ,77.8 ,0.0 
国分寺市（調定済額)（千円）,20933259 ,20933259 ,12027730 ,222745 ,10647610 ,89163 ,306009 ,851366 ,8008885 ,7855845 ,4121705 ,3105607 ,628533 ,153040 ,51397 ,845247 ,0 ,0 ,0 ,0 ,0 ,1861578 ,1861578 ,0 ,0 ,1861578 ,1232970 ,628608 ,0 ,0 ,0 ,0 ,0 ,22794837 ,3127373 ,0 
国分寺市（収入済額)（千円）,20341227 ,20341227 ,11611852 ,214562 ,10251873 ,89163 ,302848 ,842569 ,7835579 ,7682539 ,4022578 ,3037270 ,622691 ,153040 ,48549 ,845247 ,0 ,0 ,0 ,0 ,0 ,1817005 ,1817005 ,0 ,0 ,1817005 ,1203403 ,613602 ,0 ,0 ,0 ,0 ,0 ,22158232 ,2502700 ,0 
国分寺市（収入歩合)（%）,97.2 ,97.2 ,96.5 ,96.3 ,96.3 ,100.0 ,99.0 ,99.0 ,97.8 ,97.8 ,97.6 ,97.8 ,99.1 ,100.0 ,94.5 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,97.6 ,97.6 ,0.0 ,0.0 ,97.6 ,97.6 ,97.6 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,97.2 ,80.0 ,0.0 
国立市（調定済額)（千円）,13508445 ,13508445 ,7580229 ,131402 ,6786721 ,68835 ,218802 ,443304 ,5454300 ,5265607 ,2824624 ,1988657 ,452326 ,188693 ,34317 ,439599 ,0 ,0 ,0 ,0 ,0 ,1212384 ,1212384 ,0 ,0 ,1212384 ,811216 ,401168 ,0 ,0 ,0 ,0 ,0 ,14720829 ,1687405 ,0 
国立市（収入済額)（千円）,13362570 ,13362570 ,7488718 ,129817 ,6700317 ,68835 ,217662 ,440922 ,5401314 ,5212621 ,2796050 ,1968807 ,447764 ,188693 ,32939 ,439599 ,0 ,0 ,0 ,0 ,0 ,1200068 ,1200068 ,0 ,0 ,1200068 ,802965 ,397103 ,0 ,0 ,0 ,0 ,0 ,14562638 ,1534172 ,0 
国立市（収入歩合)（%）,98.9 ,98.9 ,98.8 ,98.8 ,98.7 ,100.0 ,99.5 ,99.5 ,99.0 ,99.0 ,99.0 ,99.0 ,99.0 ,100.0 ,96.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,99.0 ,99.0 ,0.0 ,0.0 ,99.0 ,99.0 ,99.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,98.9 ,90.9 ,0.0 
福生市（調定済額)（千円）,7663483 ,7663483 ,3918050 ,103131 ,3417878 ,23865 ,135340 ,261701 ,3227274 ,3160236 ,1580750 ,1289913 ,289573 ,67038 ,68620 ,449539 ,0 ,0 ,0 ,0 ,0 ,608364 ,608364 ,0 ,0 ,608364 ,379993 ,228371 ,0 ,0 ,0 ,0 ,0 ,8271847 ,1852134 ,0 
福生市（収入済額)（千円）,7457130 ,7457130 ,3791203 ,99787 ,3307064 ,23865 ,131014 ,253338 ,3152036 ,3084998 ,1541079 ,1257541 ,286378 ,67038 ,64352 ,449539 ,0 ,0 ,0 ,0 ,0 ,591479 ,591479 ,0 ,0 ,591479 ,369447 ,222032 ,0 ,0 ,0 ,0 ,0 ,8048609 ,1417338 ,0 
福生市（収入歩合)（%）,97.3 ,97.3 ,96.8 ,96.8 ,96.8 ,100.0 ,96.8 ,96.8 ,97.7 ,97.6 ,97.5 ,97.5 ,98.9 ,100.0 ,93.8 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,97.2 ,97.2 ,0.0 ,0.0 ,97.2 ,97.2 ,97.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,97.3 ,76.5 ,0.0 
狛江市（調定済額)（千円）,11095756 ,11095756 ,6615822 ,146579 ,6124546 ,59762 ,142468 ,202229 ,4079501 ,4008195 ,2196752 ,1535610 ,275833 ,71306 ,34390 ,366043 ,0 ,0 ,0 ,0 ,0 ,943083 ,943083 ,0 ,0 ,943083 ,651617 ,291466 ,0 ,0 ,0 ,0 ,0 ,12038839 ,2352658 ,0 
狛江市（収入済額)（千円）,10879741 ,10879741 ,6431737 ,142467 ,5952608 ,59762 ,139147 ,197515 ,4050070 ,3978764 ,2179553 ,1523587 ,275624 ,71306 ,31891 ,366043 ,0 ,0 ,0 ,0 ,0 ,935700 ,935700 ,0 ,0 ,935700 ,646516 ,289184 ,0 ,0 ,0 ,0 ,0 ,11815441 ,1969391 ,0 
狛江市（収入歩合)（%）,98.1 ,98.1 ,97.2 ,97.2 ,97.2 ,100.0 ,97.7 ,97.7 ,99.3 ,99.3 ,99.2 ,99.2 ,99.9 ,100.0 ,92.7 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,99.2 ,99.2 ,0.0 ,0.0 ,99.2 ,99.2 ,99.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,98.1 ,83.7 ,0.0 
東大和市（調定済額)（千円）,11817195 ,11817195 ,5957507 ,145421 ,5225969 ,36906 ,195981 ,390136 ,5212415 ,4668478 ,2395500 ,1854924 ,418054 ,543937 ,82076 ,565197 ,0 ,0 ,0 ,0 ,0 ,1008860 ,1008860 ,0 ,0 ,1008860 ,642724 ,366136 ,0 ,0 ,0 ,0 ,0 ,12826055 ,2620438 ,0 
東大和市（収入済額)（千円）,11352533 ,11352533 ,5666591 ,137868 ,4954541 ,36906 ,191990 ,382192 ,5044556 ,4500619 ,2309369 ,1788228 ,403022 ,543937 ,76189 ,565197 ,0 ,0 ,0 ,0 ,0 ,967015 ,967015 ,0 ,0 ,967015 ,616066 ,350949 ,0 ,0 ,0 ,0 ,0 ,12319548 ,2017947 ,0 
東大和市（収入歩合)（%）,96.1 ,96.1 ,95.1 ,94.8 ,94.8 ,100.0 ,98.0 ,98.0 ,96.8 ,96.4 ,96.4 ,96.4 ,96.4 ,100.0 ,92.8 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,95.9 ,95.9 ,0.0 ,0.0 ,95.9 ,95.9 ,95.9 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,96.1 ,77.0 ,0.0 
清瀬市（調定済額)（千円）,8785605 ,8785605 ,4754921 ,122704 ,4371511 ,37573 ,111044 ,149662 ,3569106 ,3309865 ,1656354 ,1357023 ,296488 ,259241 ,53347 ,408231 ,0 ,0 ,0 ,0 ,0 ,708877 ,708877 ,0 ,0 ,708877 ,455159 ,253718 ,0 ,0 ,0 ,0 ,0 ,9494482 ,2243892 ,0 
