名称,設立年月日,代表者,就任年月日,事務所所在地,借入限度額(百万円),出資総額(百万円),出資金額(百万円),出資割合,職員数（人）,職員数・うち区職員(公益法人派遣法等)（人）,目的
国際ファッションセンター株式会社,H3.9.20,（代）中島　優,H26.6.24,墨田区横網1-6-1,,6850 ,2500 ,36%,18・役員6人を含む,0,ファッション産業の高度化を支援する事業を行う
公益財団法人江東区文化コミュニティ財団,S57.3.31,（理）宍戸　孝,H24.6.29,江東区東陽4-11-3,,300 ,300 ,100%,132・非常勤33人を含む,5,コミュニティ振興、文化の振興に関する事業を行う
公益財団法人江東区健康スポーツ公社,S62.10.1,（理）髙橋　三喜男,H23.6.21,江東区東陽2-1-1　健康センター内,,300 ,300 ,100%,67・非常勤27人を含む,5,健康増進及びスポーツ振興に関する事業を行う
東京ベイネットワーク株式会社,H1.10.2,（代）平田　和俊,H24.6.19,江東区東陽4-10-4　東陽町SHビル2階,,1386 ,18 ,1%,66,0,有線によるTV放送及び自主的な番組・広告の送信・インターネット接続サービス
株式会社東京臨海ホールディングス,H19.1.31,（代）大原　正行,H24.7.13,江東区青梅2-5-10,,12000 ,240 ,2%,24,0,臨海地域を活動基盤とする東京都の監理団体等を経営統合することによる、東京港の国際競争力の強化と臨海副都心開発の推進体制の充実
公益財団法人品川文化振興事業団,S61.2.5,（理）中尾根　剛,H23.6.13,品川区西大井1-4-25,,500 ,470 ,94%,28・契約1人・嘱託契約職員5人含む,3,文化芸術・生涯学習の振興を図り、区民の高度で多様な文化芸術活動への要望に応える
公益財団法人品川区スポーツ協会,H6.3.29,（理）梅沢　豊,H26.6.12,品川区東五反田2-11-2,,313 ,300 ,96%,15,2,生涯スポーツ社会の実現
公益財団法人品川区国際友好協会,S61.3.12,（理）芦澤　美佐子,H14.4.23,品川区広町2-1-36,,542 ,539 ,99%,10,0,多様な国際交流と地域の国際化の推進
株式会社品川都市整備公社,S57.4.17,（代）本間　敏明,H18.11.16,品川区東大井5-18-1,,490 ,446 ,91%,9,0,都市整備に関する調査、不動産賃貸及び管理、損害保険代理業
公益財団法人目黒区芸術文化振興財団,S62.10.1,（理）清水　美知雄,H19.10.5,目黒区八雲1-1-1,,200 ,200 ,100%,24・非常勤・契約等5人を含む,2,目黒区の芸術文化の振興を図り、もって地域の発展向上に寄与する
公益財団法人目黒区勤労者サービスセンター,H2.3.30,（理）大鷲　公弘,H16.4.1,目黒区目黒2-4-36　目黒区民センター2階,,300 ,300 ,100%,4,0,目黒区の中小企業で働く勤労者・事業主等を対象として、勤労福祉事業を行う
公益財団法人目黒区国際交流協会,H4.12.1,（理）加藤　玲子,H14.7.5,目黒区上目黒2-19-15　総合庁舎別館5偕,,300 ,300 ,100%,5・非常勤1人を含む,0,国際交流並びに外国人支援により国際相互理解を促進し豊かな地域社会の形成に寄与する
株式会社大田区まちづくり公社,S61.12.26,（代）幸田　昭一　副区長,H25.9.26,大田区南蒲田1-20-20　産業プラザ5偕,,15 ,9 ,57%,13,0,都市開発事業の調査・企画及びコンサルティング
公益財団法人大田区産業振興協会,H7.10.1,（理）幸田　昭一　副区長,H27.4.1,大田区南蒲田1-20-20,,500 ,500 ,100%,55・非常勤11人　人材派遣社員４人を含む,10,区内産業の振興及び中小企業勤労者の福祉向上
公益財団法人大田区体育協会,S58.12.23,（理）遠藤　久　副区長,H27.5.27,大田区大森北4－16－5　大田区子ども家庭支援センター大森内,,200 ,100 ,50%,11,3,区内におけるスポーツ及びレクリエーションの普及・振興を図り、区民の心身の健全な発達と明るく豊かな地域社会の形成に寄与すること
公益財団法人大田区文化振興協会,S62.7.1,（理）遠藤　久　副区長,H24.3.16,大田区下丸子3-1-3　大田区民プラザ内,,330 ,220 ,67%,35,6,大田区における文化芸術の振興を図り、もって地域の活性化と魅力ある文化のまちづくりに寄与する
公益財団法人世田谷区保健センター,S51.10.12,（理）永井　努,H27.4.1,世田谷区三軒茶屋2-53-16,,400 ,400 ,100%,204・契約23人　非常勤94人　臨時11人を含む,15,区民の健康保持・増進のため健康診断等を行う
株式会社世田谷サービス公社,S60.4.1,（代）田中　茂,H26.6.4,世田谷区太子堂3-25-9,,445 ,400 ,90%,801・契約752人を含む,1,地域社会の発展と区民福祉の向上
株式会社世田谷川場ふるさと公社,S61.4.1,（代）宮林　茂幸,S61.4.1,群馬県利根郡川場村大字谷地1320番地,,40 ,30 ,75%,72・嘱託社員4人　パートタイマー32人を含む,0,区民健康村施設の維持管理・運営ならびに交流事業の推進
一般財団法人世田谷トラストまちづくり,H18.4.1,（理）春日　敏男,H25.4.1,世田谷区北沢2-8-18,1500 ,500 ,500 ,100%,64・契約職員等40人を含む,5,区民主体による良好な環境の形成及び参加・連携・協働のまちづくりの推進支援
公益財団法人世田谷区産業振興公社,H18.4.1,（理）尾崎　護,H18.4.1,世田谷区太子堂2-16-7,,500 ,500 ,100%,26・契約職員等12人を含む,8,中小企業への支援及び従業員等への勤労者福祉事業を行い、活力ある地域社会の実現に寄与
公益財団法人世田谷区スポーツ振興財団,H11.2.1,（理）野原　明,H17.12.1,世田谷区大蔵4-6-1,,500 ,500 ,100%,55・非常勤（再任用含む）7人、専門調査員1人、契約22人を含む,2,スポーツ及びレクリエーション活動の振興、普及啓発
公益財団法人せたがや文化財団,H15.4.1,（理）永井　多惠子,H25.6.11,世田谷区太子堂4-1-1,,800 ,800 ,100%,110・非常勤54人を含む,9,文化事業の実施と区民の多様な文化創造活動、市民活動、交流活動の支援
株式会社渋谷サービス公社,H2.3.29,（代）伊藤　宏,H26.4.1,渋谷区宇田川町5-2,,60 ,60 ,100%,216,0,多様な区民・施設サービスを行政との連携のもと提供する
株式会社渋谷都市整備公社,S63.3.24,（代）濱畑　省吾,H24.6.25,渋谷区宇田川町1-1,,100 ,75 ,75%,4,0,主に駐車場の建設並びに管理及び運営を営む
公益財団法人渋谷区美術振興財団,S56.4.20,（理）大高　満範,H27.5.26,渋谷区松濤2-14-14,,220 ,220 ,100%,11・嘱託2人を含む,0,区民の美術に関する教養を深め、区民文化の振興発展に寄与
株式会社ジェイコム中野,H5.7.5,（代）内藤　一彦,H27.6.19,中野区中野2-14-21,2100 ,2159 ,104 ,5%,45,0,コミュニティ放送、災害情報、区議会中継等の放送
株式会社まちづくり中野２１,H16.9.9,（代）金野　晃,H22.7.29,中野区中野4-1-1,,1377 ,1377 ,100%,0,0,不動産の賃貸等
社会福祉法人中野区福祉サービス事業団,H6.3.23,（理）本橋　一夫,H25.3.26,中野区白鷺2-51-5,,5 ,5 ,100%,299,0,福祉サービス利用者が地域社会で自立した生活を営むための支援
野方駅整備株式会社,H19.10.29,（代）本田　武志　副区長,H27.8.7,中野区野方6-3-3（野方駅内）,,600 ,300 ,50%,1,0,鉄道施設等の建設及び施設の貸付、鉄道施設等の維持管理
公益財団法人杉並区スポーツ振興財団,H5.10.1,（理）宇賀神　雅彦　副区長,H27.6.25,杉並区阿佐谷南1-14-2　みなみ阿佐ヶ谷ビル8階,,500 ,500 ,100%,77・役員1人、臨時職員13人を含む,3,スポーツの振興を図り、地域社会の発展に寄与する
公益財団法人杉並区障害者雇用支援事業団,H10.10.1,（理）宇賀神　雅彦　副区長,H27.5.25,杉並区高井戸東4-10-26,,500 ,500 ,100%,24・非常勤15人を含む,2,就労が困難な障害者の雇用の促進及びその職業の安定を図る
一般社団法人杉並区成年後見センター,H18.4.1,（理）田山　輝明,H18.4.1,杉並区荻窪5-15-13　あんさんぶる荻窪5階,,3 ,2 ,67%,7・非常勤2人を含む,2,杉並区における成年後見制度の推進
株式会社ジェイコム東京,S62.5.19,（代）國分　孝夫,H26.3.28,練馬区高野台5-22-1,,7524 ,40 ,1%,424・常勤役員、非常勤役員を含む,0,ＣＡＴＶによる番組の制作・放映。22年11月1日付けで㈱城北ニューメディアを吸収合併、出資総額は㈱城北ニューメディアにおける金額、※出資額の割合が最も高い杉並区の額を掲載
下井草駅整備株式会社,H16.3.25,（代）渡辺　幸一,H27.4.21,杉並区下井草2‐44‐10（下井草駅構内）,,10 ,5 ,50%,1,0,鉄道施設等の建設及び施設の貸付、鉄道施設等の維持管理
公益財団法人としま未来文化財団,S60.4.1,（理）高野　之夫　区長,H14.4.1,豊島区東池袋1-20-10　豊島区民センター2階,,500 ,500 ,100%,72・非常勤27人を含む,1,さまざまな人々と共に生き、共に責任を担う協働と共創の文化都市を豊島区に実現するため、創造性のある文化芸術活動の伸展を図りつつ、コミュニティの醸成とまちづくり活動の促進に関する事業を推進し、もって豊かな区民生活と活力ある地域社会の形成に寄与すること
一般財団法人東京城北勤労者サービスセンター,H24.4.2,（理）水島　正彦　副区長,H24.4.2,（本部）豊島区東池袋1-20-15　生活産業プラザ6階、（北区営業所）北区王子1-11-1　北とぴあ11階、（荒川区営業所）荒川区荒川2-2-3　荒川区役所6階,,9 ,9 ,100%,17,0,中小企業等が単独では難しい給付、福利厚生事業等を実施する
豊島ケーブルネットワーク株式会社,H8.1.31,（代）足立　勲,H16.2.5,豊島区西池袋5-18-11　第3愛和ビル7階,,2400 ,20 ,1%,42,0,CATV放送・インターネット・固定電話サービス事業等、地域通信の基盤を確立する
公益財団法人東京都北区体育協会,S62.11.2,（会長）葉山　相也,H26.6.10,北区西ヶ原2-1-6　北区滝野川体育館内,,140 ,50 ,36%,4,2,区内における体育運動を振興することにより、区民の心身の健全な発達と明るく豊かな生活の形成に寄与する
公益財団法人北区文化振興財団,S63.4.18,（理）山田　統二　副区長,H15.10.1,北区王子1-11-1　北とぴあ10階,,3 ,3 ,100%,29・非常勤14人を含む,8,地域文化とそれに関連する地域活動を振興するための事業を行い、区民生活の向上と個性豊かな文化都市の実現に寄与
公益財団法人荒川区芸術文化振興財団,S63.8.1,（理）小池　寛治,H26.4.1,荒川区荒川7-20-1　町屋文化センター内,,500 ,500 ,100%,16,7,荒川区における芸術文化の振興を図り、もって地域社会の発展と区民生活の向上に資することを目的とする
公益財団法人荒川区自治総合研究所,H21.10.1,（理）西川　太一郎　区長,H21.10.1,荒川区荒川2-11-1　荒川区役所北庁舎3階,,250 ,38 ,100%,8,4,自治体経営の基盤強化や質の高い区民サービスを提供するため、多角的・中長期的な視点にたち調査研究を行い、政策形成力向上に資する提言等を行い、地域社会の健全な発展に寄与する
公益財団法人板橋区産業振興公社,S52.4.1,（理）坂本　健　区長,H19.4.27,板橋区板橋2-65-6　板橋区情報処理センター5階,,600 ,200 ,33%,27,14,区内事業者の継続的な経営革新の支援及び中小企業勤労者福祉の向上等を通じ、地域産業の活性化に寄与する
公益財団法人板橋区文化・国際交流財団,S62.4.1,（理）坂本　健　区長,H19.6.5,板橋区大山東町51-1　区立文化会館内,,600 ,600 ,100%,15,10,地域文化の創造支援と国際相互理解の促進を図るため、区民の文化振興と多文化共生を推進し、もって文化の香り高いまちづくりに寄与する
公益財団法人植村記念財団,H4.3.25,（理）坂本　健　区長,H19.7.3,板橋区蓮根2-21-5,,500 ,500 ,100%,5・非常勤1人を含む,2,冒険家植村直己に関する資料の展示・自然体験事業の実施
一般社団法人練馬区産業振興公社,H16.4.1,（理）横山　正二,H25.4.1,練馬区練馬1-17-1　Coconeri4階,,91 ,91 ,100%,15・非常勤2人を含む,3,練馬区の商業、工業、農業および観光の分野における産業振興に関する事業ならびに勤労者の福祉共済に関する事業を総合的に実施することにより、中小企業の経営の安定と発展に貢献し、もって区内産業の振興および地域経済の活性化に寄与する
公益財団法人練馬区文化振興協会,S57.9.1,（理）大谷　康子,H28.4.1,練馬区練馬1-17-37,,110 ,110 ,100%,49・非常勤4人を含む,6,練馬区民が文化芸術に触れる機会を提供するとともに、区民の自主的な活動を支援することにより、区民文化の向上および振興を図り、豊かな区民文化の創造、多様な文化の発展に寄与する
社会福祉法人練馬区社会福祉事業団,H4.10.1,（理）西村　奨,H27.4.1,練馬区光が丘6-4-2,,10 ,5 ,50%,991・非常勤503人を含む,0,練馬区と一体となって、社会福祉事業の推進をはかり、広く区民の福祉の向上と増進に寄与する
公益財団法人練馬区障害者就労促進協会,H2.11.1,（理）関口　和雄,H25.4.1,練馬区豊玉北6-15-14　共栄ビル402,,3 ,3 ,100%,21・役員1人　非常勤8人　契約社員1人を含む,2,障害者が適性と能力に応じた職業につき、社会経済活動に参加できるような事業を行い、あわせて福祉の向上に寄与する
公益財団法人練馬区環境まちづくり公社,S62.11.10,（理）山中　協,H25.4.1,練馬区豊玉北5-14-6　新練馬ビル5階,,210 ,210 ,100%,260・契約社員137人を含む,13,環境とまちづくりに関する事業を推進し、都市機能の維持・増進および環境への負荷の低減に努め、区の健全な発展と、住民の福祉の向上に寄与する
一般財団法人練馬みどりの機構（清算法人　H28.3.31解散）,H18.3.19,代表清算人　薗部　俊介,H28.4.1,練馬区豊玉北5-29-8　練馬センタービル5階,,3 ,3 ,100%,1,0,区民・事業者・区の協働によりみどりの保全・活用および新たなみどりの創造に寄与する
江古田駅整備株式会社,H18.7.19,（代）松本　康一郎,H27.4.20,練馬区旭丘1-78-7（江古田駅）,,10 ,5 ,50%,1,0,江古田駅の建設、施設の保有・貸付および維持管理等
足立市街地開発株式会社,S61.3.1,（代）石川　義夫　副区長,H23.6.14,足立区日ノ出町27-3-102,,5186 ,3022 ,58%,11,8,都市開発事業の調査・企画及びコンサルティング、不動産の賃貸借、駐車場及び駐輪場の管理運営等により、市街地の活性化と魅力あるまちづくりに寄与する
公益財団法人足立区体育協会,H2.1.25,（会長）中田　裕康,H27.6.16,足立区中央本町1-17-1,,521 ,500 ,96%,6,3,区民の心身の健全な発達と明るく豊かな生活の形成に寄与
公益財団法人足立区勤労福祉サービスセンター,H2.4.2,（理）仙波　茂,H25.4.3,足立区綾瀬1-34-7-102,,500 ,500 ,100%,14,13,中小企業の振興と、地域社会の発展に寄与する
公益財団法人足立区生涯学習振興公社,H5.2.1,（理）亀村　精一,H27.6.5,足立区千住5-13-5,,1500 ,1500 ,100%,44・非常勤14人を含む,7,区民の生涯学習を推進し、生き生きとした地域社会の創造に寄与する
株式会社ジェイコム足立,H7.8.7,（代）森川　雄彦,H26.6.25,足立区綾瀬2-28-6,,2063 ,375 ,18%,70,0,地域密着性を活かした住民に対する情報提供及び区内の情報ネットワーク化を行っていく
北千住都市開発株式会社,H14.12.6,（代）　齋藤　隆,H27.3.23,足立区千住3-92　千住ミルディスⅠ番館内,,150 ,30 ,20%,7,0,再開発ビルの管理運営
葛飾エフエム放送株式会社,H8.11.13,（代）浅川　弘人,H22.5.21,葛飾区立石5-13-1,,115 ,30 ,26%,5,0,ラジオの特性を生かし、タイムリーな行政情報を提供する　区と災害協定を結び、万一の災害時に区との密接な連携のもと、災害防災情報を提供する
公益財団法人えどがわ環境財団,S55.4.1,（理）長谷川　和男,H28.4.1,江戸川区松島1-44-12　ＫＴパークビル,,40 ,40 ,100%,95・非常勤38人を含む,8,区民との協働による緑化推進と動物とのふれあい事業により、やすらぎと潤いのある環境を創造
株式会社エフエム江戸川,H8.12.20,（代）池田　正孝,H11.6.29,江戸川区南小岩7-13-8,,100 ,10 ,10%,6,0,地域文化の向上や災害時の情報提供など効果的情報メディアとして活用できるため
