公社名,設立年月日,代表者,就任年月日,事務所所在地,借入限度額,出資(出捐)金総額（%）,団体出資額（%）,目的
公益財団法人三鷹国際交流協会,H8.11.1,（理）菊地 弘,H8.11.1,三鷹市下連雀3-30-12三鷹市中央通りタウンプラザ4階,,4億6300万円（100%）,4億6300万円（100%）,市民による国際交流活動を通じて国際化意識の高揚を図るとともに、外国籍市民がより快適に市民生活を送ることができるための側面からの支援
株式会社まちづくり三鷹,H11.9.28,（代）内田　治　副市長,H28.4.1,三鷹市下連雀3-38-4三鷹産業プラザ2階,,2億7250万円（100%）,2億6750万円（98%）,中心市街地の活性化及び地域産業の振興
公益財団法人徳間記念アニメーション文化財団,H13.9.10,（理）宮崎　駿,H23.6.15,三鷹市下連雀1-1-83,,5億円（100%）,3000万円（6%）,アニメーション文化の振興
株式会社まちつくり青梅,H27.4.16,（代）野嵜　弘,H27.4.16,青梅市上町373-1,,310万円（100%）,100万円（32%）,青梅市中心市街地における良好な市街地形成を推進するための各種事業を行うため
公益財団法人府中市勤労者福祉振興公社,H3.4.1,（理）都築　親司,H27.5.21,府中市府中町2-25-1,,3億円（100%）,3億円（100%）,中小企業に勤務する勤労者に対して総合的な福祉事業を行い、中小企業の振興と地域社会の発展に寄与
公益財団法人府中文化振興財団,H3.5.1,（理）吉野　誠　副市長,H25.5.17,府中市浅間町1-2,,8億円（100%）,8億円（100%）,府中市における芸術文化の振興と市民の自主的な文化活動への奨励援助及び郷土に関する資料、研究成果を市民に公表に寄与
株式会社府中駐車場管理公社,H7.11.24,（代）吉野　誠　副市長,H25.4.26,府中市府中町１－１４－１,,5000万円（100%）,2550万円（51%）,自動車を利用する市民への利便を供し、良好な生活環境の確保に寄与
公益財団法人調布ゆうあい福祉公社,H2.11.1,（理）花角　美智子,H28.4.1,調布市国領町3-8-1,,3億円（100%）,3億円（100%）,在宅福祉サービス等を通じ、市民福祉、地域福祉を増進する
公益社団法人調布市体育協会,H4.1.17,（会）林　清一,H23.4.1,調布市深大寺北町2-1-65総合体育館内,,5000万円（100%）,4500万円（90%）,体育、スポーツを振興し、明るく豊かな市民生活を形成する
公益財団法人調布市文化・コミュニティ振興財団,H7.3.31,（理）荻本　貞臣,H21.4.1,調布市小島町2-33-1,,5億円（100%）,5億円（100%）,市民文化の向上と地域社会の発展に寄与する
調布エフエム放送株式会社,H9.6.11,（代）南　孝二,H9.6.11,調布市小島町2-33-1　文化会館たづくり3階,,1億2000万円（100%）,3700万円（31%）,リアルタイムな情報の提供及びコミュニティの発展に寄与
株式会社ココスクエア調布,H10.10.9,（代）和田　勝彦,H12.12.12,調布市国領町3-1-38,,2億4110万円（100%）,6000万円（25%）,再開発ビルの維持管理
一般財団法人調布市市民サービス公社,H24.4.2,島田　尚,H26.4.1,調布市国領町4-51-7　ピエールシークル2階,,300万円（100%）,300万円（100%）,公共施設の管理運営等を通じて，市民サービスの一層の充実を図り，もって市民福祉の増進に寄与することを目的として設立
一般財団法人調布市武者小路実篤記念館,H25.4.1,福田　宏,H25.4.1,調布市若葉町1－8－30,,300万円（100%）,300万円（100%）,武者小路実篤の業績を顕彰し，調布市の文化と市民等の教養の向上に寄与することを目的とする
株式会社町田まちづくり公社,H11.4.8,（代）石阪 丈一　市長,H18.6.22,町田市原町田4-10-20,,40億3220万円（100%）,23億5000万円（58%）,中心市街地の活性化を図る
一般財団法人町田市勤労者福祉サービスセンター,H5.4.1,（理）井之上 賢一,H21.4.1,町田市森野2-27-10,,300万円（100%）,300万円（100%）,中小企業勤労者福祉事業の推進、中小企業の振興、地域社会の発展
エルム・スリー管理株式会社,H2.3.9,（代）三澤 孝義,H2.3.9,町田市原町田3-2-9,,2200万円（100%）,660万円（30%）,ビル等建物の維持管理
株式会社町田センタービル,H14.7.5,（代）松村　誠,H24.6.19,町田市原町田6-8-1,,1152万円（100%）,298万円（26%）,ビル等建物の維持管理
一般財団法人町田市文化・国際交流財団,H16.4.1,（理）鷲北　秀樹,H25.5.30,町田市森野2-2-36,,300万円（100%）,300万円（100%）,地域文化の創造発展を図り、地域における国際交流活動の推進を図る
一般社団法人町田市観光コンベンション協会,H21.4.1,（会）小島 政孝,H27.5.27,町田市原町田4-10-20,,300万円（100%）,200万円（67%）,観光資源の掘り起こしと活用、見直し、体系的な観光振興策を推進する
一般財団法人まちだエコライフ推進公社,H24.4.2,（理）鈴木　和夫,H27.6.1,町田市下小山田町3160,,300万円（100%）,300万円（100%）,市の環境施策へ協力と、環境の保全などの町田市民の自主的積極的な取り組みへの支援
株式会社町田新産業創造センター,H25.1.29,（代）山田　則人　副市長,H27.7.1,町田市中町1-4-2,,5000万円（100%）,4500万円（90%）,事務室などの賃貸や経営コンサルティングなどの事業
公益財団法人小金井市体育協会,S51.4.1,（会）原嶋　和男,H26.9.4,小金井市関野町1-13-1　小金井市総合体育館,,1700万円（100%）,500万円（29%）,小金井市における体育運動を振興して市民の体力の向上を図り、スポーツ精神を涵養し、もって地域の社会文化向上発展に寄与
公益財団法人小平市文化振興財団,H5.7.1,（理）髙橋　三男,H23.4.1,小平市美園町1-8-5,,5億円（100%）,5億円（100%）,市民の芸術文化活動の振興
株式会社日野市企業公社,H7.4.3,（代）楢本　昭,H26.4.1,日野市東豊田2-34-10,,3000万円（100%）,3000万円（100%）,地域社会の発展と市民福祉の向上に寄与する事業の実施
公益財団法人日野市環境緑化協会,S64.1.6,（理）萱嶋　信,H26.6.13,日野市神明2-13-1,,3億円（100%）,3億円（100%）,都市の緑化の推進、うるおいのある町づくり
株式会社ジェイコム日野,H2.2.28,（代）西村　秀雄,H27.6.24,日野市日野本町4-2-2,,15億2000万円（100%）,2000万円（1%）,多チャンネルケーブルテレビ事業及びインターネット接続サービス事業を行う
公益財団法人東村山市勤労者福祉サービスセンター,H25.4.1,（理）小山　文夫,H25.4.1,東村山市本町1-1-1,,5億円（100%）,5億円（100%）,小規模事業所の従業員及び事業主等の福祉の増進に寄与
公益社団法人東村山市体育協会,H24.4.1,（会）朝岡　晃一,H24.4.1,東村山市久米川町3-30-5,,3000万円（100%）,3000万円（100%）,体育・スポーツ振興と市民の体力向上に寄与
公益財団法人くにたち文化・スポーツ振興財団,S62.7.1,（理）永見　理夫　副市長,H24.4.1,国立市富士見台2-48-1,1千万円,3億円（100%）,3億円（100%）,文化・スポーツ事業等を企画実施し、市民の文化・向上を図り、地域社会の発展と豊かな市民生活の形成に寄与
一般財団法人狛江市文化振興事業団,H23.10.28,（理）谷田部　和夫,H23.10.28,狛江市元和泉1-2-1,,300万円（100%）,300万円（100%）,狛江市民及び地域社会の文化の向上と市民福祉の増進を図り、豊かな市民生活の形成に寄与することを目的とする
清瀬都市開発株式会社,H7.2.4,（代）福永　進,H27.7.1,清瀬市元町1-2-11,,19億650万円（100%）,18億円（94%）,再開発ビルの施設運営管理及び市の指定管理者として市営駐車場・駐輪場の管理
公益財団法人多摩市文化振興財団,S62.3.24,（理）浪久　圭司,H24.5.29,多摩市落合2-35,,1億3100万円（100%）,1億3000万円（99%）,市民の自主的な文化活動の場を援助し、文化の普及及び振興を図り、もって地域の発展に寄与
東京グリーンシステムズ株式会社,H4.12.25,（代）中谷　光一郎,H25.4.1,多摩市山王下2-3　SCSK多摩センター　EAST,,1億円（100%）,2000万円（20%）,ノーマライゼーションの理念に基づき、重度障害者の雇用の場の創出を図る
公益財団法人いなぎグリーンウェルネス財団,H4.7.1,（理）石田　光広　副市長,H27.10.15,稲城市長峰1-1,,3億円（100%）,3億円（100%）,稲城市の都市緑化を推進させ、緑豊かな生活環境を実現することにより、市民の心身の健全なる育成と健康増進に寄与する
株式会社コナモーレ,S61.8.1,増田　一仁,H24.5.24,羽村市緑ヶ丘1-11-5,,4270万円（100%）,3720万円（87%）,宴会、葬祭部門があり、市民に幅広いサービスを提供している
株式会社秋川総合開発公社,S63.3.29,澤井　敏和　市長,H27.12.7,あきる野市秋川1-8,,１億円（100%）,5500万円（55%）,市内産業振興、育成と文化の振興事業の受託及び産業文化複合施設の運営管理
新四季創造株式会社,H18.7.27,澤井　敏和　市長,H27.10.21,あきる野市乙津565,,2000万円（100%）,1020万円（51%）,温泉施設の管理及び建物の管理受託業務
株式会社アスタ西東京,H3.2.6,（代）坂井　明成,H27.6.25,西東京市田無町2-1-1,,4億9900万円（100%）,8000万円（16%）,市営駐車場の運営及び管理
日の出町サービス総合センター株式会社,H20.3.7,（代）木﨑　孝二　副町長,H26.7.3,西多摩郡日の出町平井2780,,100万円（100%）,100万円（100%）,特定派遣労働者事業、各種管理・運営、請負業務等
奥多摩総合開発株式会社,S58.4.1,古屋　勤,H22.6.18,奥多摩町氷川702,,2億3000万円（100%）,1億8060万円（79%）,水と緑の観光資源・森林資源等を活かした観光レクリエーションの場と地場産業の発展を図る
一般財団法人おくたま地域振興財団,H23.4.1,加藤　一美　副町長,H24.7.25,奥多摩町氷川1421-2,,5000万円（100%）,5000万円（100%）,広く人々の健康維持・増進及び教育・交流並びに山村地域の振興と森林環境の保全に寄与する
一般社団法人小河内振興財団,H24.3.14,丹下　榮,H24.3.14,奥多摩町留浦1237,,3500万円（100%）,3500万円（100%）,観光収益事業、温泉供給事業等を行い、地域の振興と住民福祉の向上を図る
株式会社ＴＯＳＨＩＭＡ,H27.3.1,村山　勘五郎,H27.3.1,利島村753,,1040万円（100%）,1000万円（96%）,椿林の更新、あしたば圃場整備、サクユリ球根の清算販売、船舶の出入港、海運輸送代理店業
小笠原ラムリキュール株式会社,H1.12.1,（代）森下　一男　村長,H15.9.8,小笠原村父島字西町,,2000万円（100%）,1850万円（93%）,地元特産品としての酒類の製造及び販売
伊豆諸島開発株式会社,S46.5.24,（代）早坂　雅巳,H23.6.23,港区海岸1-16-1,,1億1000万円（100%）,987万円（9%）,海運業（定期航路運行、貨物輸送）
