区市町村コード,区市町村,都心南部、冬夕、風速8m/s,都心南部、冬昼、風速8m/s,都心南部、冬早朝、風速8m/s,都心南部、冬夕、風速4m/s,都心南部、冬昼、風速4m/s,都心南部、冬早朝、風速4m/s,多摩東部、冬夕、風速8m/s,多摩東部、冬昼、風速8m/s,多摩東部、冬早朝、風速8m/s,多摩東部、冬夕、風速4m/s,多摩東部、冬昼、風速4m/s,多摩東部、冬早朝、風速4m/s,大正関東、冬夕、風速8m/s,大正関東、冬昼、風速8m/s,大正関東、冬早朝、風速8m/s,大正関東、冬夕、風速4m/s,大正関東、冬昼、風速4m/s,大正関東、冬早朝、風速4m/s,立川断層、冬夕、風速8m/s,立川断層、冬昼、風速8m/s,立川断層、冬早朝、風速8m/s,立川断層、冬夕、風速4m/s,立川断層、冬昼、風速4m/s,立川断層、冬早朝、風速4m/s
13210,小金井市,11117,10075,9780,11104,10068,9775,21091,17398,17011,21056,17375,17000,6265,5577,5349,6256,5572,5345,10682,8743,8467,10670,8737,8462
13211,小平市,11480,10922,10736,11337,10832,10668,29054,24016,23675,28367,23782,23492,6637,6248,6096,6504,6152,6017,23301,20043,19748,22759,19843,19587
13212,日野市,11721,11494,11407,11647,11448,11372,27265,26063,25900,27012,25959,25820,9868,9656,9569,9772,9585,9510,33608,30462,30019,33003,30282,29898
13213,東村山市,5506,5303,5223,5433,5257,5186,19648,18193,18031,19343,18068,17927,2719,2649,2617,2692,2631,2601,12001,11405,11277,11864,11323,11208
13214,国分寺市,9370,8745,8529,9208,8651,8458,17398,15547,15229,16974,15336,15059,6466,6028,5869,6298,5905,5761,26738,19937,19005,24974,19187,18510
13215,国立市,5065,4665,4476,4788,4495,4360,9238,8544,8275,8792,8270,8075,2821,2643,2565,2639,2513,2457,24190,18406,15372,22000,17105,14608
13218,福生市,309,283,269,306,280,267,4988,4812,4755,4964,4796,4742,656,622,605,648,615,599,11517,9760,8848,11340,9668,8806
13219,狛江市,11541,7412,7011,11390,7372,6978,18290,13997,13516,18136,13934,13472,6160,5268,4936,6120,5248,4922,650,544,492,644,541,491
13220,東大和市,2501,2406,2369,2462,2382,2351,10841,10266,10124,10643,10147,10031,2053,1972,1937,2006,1939,1910,15548,11510,11058,14702,11321,10941
13221,清瀬市,3964,3866,3826,3910,3835,3804,8026,7813,7746,7914,7752,7700,1117,1091,1078,1102,1082,1072,1849,1774,1740,1807,1750,1724
13222,東久留米市,6304,6014,5922,6288,6005,5914,20125,17133,16947,20027,17101,16926,2460,2344,2295,2450,2337,2291,4697,4371,4278,4661,4358,4269
13223,武蔵村山市,926,844,814,917,839,810,7546,7055,6935,7491,7020,6905,1071,1005,979,1053,991,965,19571,14522,13689,19167,14397,13599
13224,多摩市,9775,9663,9620,9768,9659,9617,16819,16607,16540,16803,16597,16533,8984,8880,8835,8976,8874,8831,11316,11156,11104,11305,11149,11099
13225,稲城市,8975,8849,8808,8960,8840,8800,12705,12532,12479,12684,12519,12469,6552,6479,6446,6542,6473,6441,3527,3468,3436,3518,3461,3431
13227,羽村市,557,511,486,542,501,478,10465,10188,10081,10356,10107,10011,1325,1269,1238,1285,1234,1206,21346,18317,16402,20724,17937,16199
13228,あきる野市,562,375,281,536,359,272,7073,6316,6108,6933,6229,6035,1390,1137,1037,1338,1101,1007,8540,7279,7074,8397,7192,7000
13229,西東京市,13780,12613,12228,13646,12532,12172,39935,28656,27947,39186,28400,27783,7794,6934,6609,7693,6873,6569,5209,4431,4142,5107,4376,4106
13303,瑞穂町,116,110,102,115,109,102,2563,2523,2491,2557,2517,2487,179,173,165,177,171,163,6931,6290,5703,6873,6256,5689
13305,日の出町,58,46,31,50,38,29,1631,1546,1500,1611,1530,1492,95,78,62,88,72,59,1170,1093,1055,1157,1083,1050
13307,檜原村,31,31,31,31,31,31,261,261,261,261,261,261,45,45,45,45,45,45,16,16,16,16,16,16
13308,奥多摩町,1,1,0,1,1,0,223,223,222,223,223,222,1,1,1,1,1,1,211,210,210,211,210,210
,区部合計,2719909,2393591,2346221,2677504,2379786,2336667,2153406,1967161,1942562,2135300,1959470,1937135,1297769,1254434,1236193,1290328,1250452,1233675,120781,113126,109499,120082,112732,109257
,多摩合計,273805,254291,249170,270436,252755,247988,602162,541990,533396,594786,538630,530793,208336,196913,192688,206190,195526,191575,469367,404969,385513,458699,399817,382172
,都合計,2993713,2647882,2595391,2947941,2632540,2584655,2755568,2509151,2475958,2730086,2498100,2467929,1506105,1451347,1428882,1496518,1445978,1425251,590149,518095,495012,578780,512550,491428
