区市町村コード,区市町村,都心南部、冬夕、風速8m/s,都心南部、冬昼、風速8m/s,都心南部、冬早朝、風速8m/s,都心南部、冬夕、風速4m/s,都心南部、冬昼、風速4m/s,都心南部、冬早朝、風速4m/s,多摩東部、冬夕、風速8m/s,多摩東部、冬昼、風速8m/s,多摩東部、冬早朝、風速8m/s,多摩東部、冬夕、風速4m/s,多摩東部、冬昼、風速4m/s,多摩東部、冬早朝、風速4m/s,大正関東、冬夕、風速8m/s,大正関東、冬昼、風速8m/s,大正関東、冬早朝、風速8m/s,大正関東、冬夕、風速4m/s,大正関東、冬昼、風速4m/s,大正関東、冬早朝、風速4m/s,立川断層、冬夕、風速8m/s,立川断層、冬昼、風速8m/s,立川断層、冬早朝、風速8m/s,立川断層、冬夕、風速4m/s,立川断層、冬昼、風速4m/s,立川断層、冬早朝、風速4m/s
13220,東大和市,2,1,2,2,1,2,14,9,15,14,8,14,2,1,1,1,1,1,34,14,22,31,13,22
13221,清瀬市,3,2,4,3,2,4,9,6,11,8,6,10,0,0,0,0,0,0,1,1,1,1,1,1
13222,東久留米市,6,3,5,6,3,5,35,16,28,35,16,28,2,1,1,2,1,1,6,3,5,5,3,5
13223,武蔵村山市,1,1,1,1,1,1,12,8,12,12,8,12,2,2,2,2,1,2,61,29,45,59,29,45
13224,多摩市,4,3,5,4,3,5,8,6,10,8,6,10,3,2,4,3,2,4,5,4,7,5,4,7
13225,稲城市,5,3,6,5,3,6,7,5,9,7,5,9,3,2,4,3,2,4,1,1,2,1,1,2
13227,羽村市,1,0,0,0,0,0,7,5,7,7,5,7,1,1,1,1,1,1,45,28,30,42,26,29
13228,あきる野市,3,2,1,3,2,1,19,12,17,18,12,17,6,4,5,6,4,5,28,17,24,27,17,23
13229,西東京市,16,10,15,16,9,15,80,31,52,77,30,51,9,5,6,8,5,6,6,3,4,6,3,4
13303,瑞穂町,0,0,0,0,0,0,3,2,4,3,2,4,0,0,0,0,0,0,20,13,16,19,13,16
13305,日の出町,0,0,0,0,0,0,3,2,3,3,2,3,0,0,0,0,0,0,2,2,2,2,2,2
13307,檜原村,1,0,1,1,0,1,2,1,3,2,1,3,1,0,1,1,0,1,0,0,0,0,0,0
13308,奥多摩町,0,0,0,0,0,0,4,3,5,4,3,5,0,0,0,0,0,0,3,3,4,3,3,4
,区部合計,"3,629","1,985","3,566","3,498","1,944","3,531","2,497","1,420","2,666","2,442","1,399","2,647",919,604,"1,070",898,593,"1,061",55,31,28,53,30,27
,多摩合計,286,172,277,276,167,273,802,455,752,778,444,742,198,130,193,191,125,189,869,507,738,833,489,725
,都合計,"3,915","2,157","3,843","3,773","2,111","3,804","3,299","1,875","3,419","3,220","1,843","3,389","1,117",734,"1,263","1,090",719,"1,250",924,538,766,886,519,753
