区分,平成26年度末現在高Ａ  ,Ａの内訳・１公共事業等債,Ａの内訳・１公共事業等債・うち財源対策債等,Ａの内訳・２公営住宅建設事業債,Ａの内訳・３災害復旧事業債,Ａの内訳・３災害復旧事業債・（1）単独災害復旧事業債,Ａの内訳・３災害復旧事業債・（2）補助災害復旧事業債,Ａの内訳・４（旧）緊急防災・減災事業債,Ａの内訳・４（旧）緊急防災・減災事業債・（1）補助・直轄,Ａの内訳・４（旧）緊急防災・減災事業債・（2）継ぎ足し単独事業,Ａの内訳・４（旧）緊急防災・減災事業債・（3）緊急防災・減災事業計画に基づく単独事業,Ａの内訳・５教育･福祉施設等整備事業債,Ａの内訳・５教育･福祉施設等整備事業債・（1）学校教育施設等整備事業債,Ａの内訳・５教育･福祉施設等整備事業債・（2）社会福祉施設整備事業債,Ａの内訳・５教育･福祉施設等整備事業債・（3）一般廃棄物処理事業債,Ａの内訳・５教育･福祉施設等整備事業債・（4）一般補助施設整備等事業債,Ａの内訳・５教育･福祉施設等整備事業債・（5）施設整備事業債（一般財源化分）,Ａの内訳・６一般単独事業債,Ａの内訳・６一般単独事業債・うち地域総合整備事業債,Ａの内訳・６一般単独事業債・うち地域活性化事業債,Ａの内訳・６一般単独事業債・うち防災対策事業債,Ａの内訳・６一般単独事業債・うち地方道路等整備事業債,Ａの内訳・６一般単独事業債・うち一般事業債（河川等分）,Ａの内訳・６一般単独事業債・うち地域再生事業債,Ａの内訳・６一般単独事業債・うち臨時経済対策事業債,Ａの内訳・６一般単独事業債・うち（新）緊急防災・減災事業債,Ａの内訳・７公共用地先行取得等事業債,Ａの内訳・８厚生福祉施設整備事業債,Ａの内訳・９国の予算貸付・政府関係機関貸付債,Ａの内訳・１０財源対策債,Ａの内訳・１１減収補塡債(S57･61･H5～7･9～26年度分),Ａの内訳・１２臨時財政特例債,Ａの内訳・１３減税補塡債,Ａの内訳・１４臨時税収補塡債,Ａの内訳・１５臨時財政対策債,Ａの内訳・１６減収補塡債特例分(S50･H14～26年度分),Ａの内訳・１７調整債(S60～63年度分),Ａの内訳・１８都道府県貸付金,Ａの内訳・１８都道府県貸付金・うち予算貸付によるもの,Ａの内訳・１９その他,Ａの内訳・Aのうち財源対策債等,Ａの内訳・Aのうち減収補填債,区分
目黒区,23300823 ,721600 ,0 ,610325 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3963994 ,2076581 ,1061471 ,0 ,148000 ,677942 ,10512515 ,0 ,0 ,0 ,505946 ,0 ,0 ,802800 ,0 ,0 ,1162588 ,0 ,638443 ,0 ,0 ,4929613 ,281000 ,-,0 ,0 ,480745 ,0 ,0 ,638443 ,0 ,目
大田区,35706019 ,7767682 ,1151064 ,2968729 ,0 ,0 ,0 ,150000 ,150000 ,0 ,0 ,7474339 ,6920975 ,553364 ,0 ,0 ,0 ,8659606 ,0 ,0 ,0 ,3974000 ,0 ,0 ,0 ,0 ,0 ,760685 ,0 ,1803829 ,0 ,0 ,5266208 ,735972 ,-,0 ,0 ,118969 ,0 ,0 ,2954893 ,0 ,大
世田谷区,50561953 ,9659365 ,3016647 ,788789 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,17781240 ,15210445 ,1697795 ,0 ,873000 ,0 ,9101891 ,0 ,216500 ,174000 ,1533000 ,0 ,0 ,0 ,0 ,0 ,832028 ,4308 ,1414560 ,0 ,0 ,10333705 ,646067 ,-,0 ,0 ,0 ,0 ,0 ,4431207 ,0 ,世
渋谷区,14251356 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5486263 ,4493398 ,992865 ,0 ,0 ,0 ,1084997 ,0 ,0 ,646000 ,0 ,0 ,0 ,0 ,0 ,0 ,1246558 ,0 ,94426 ,0 ,0 ,5738611 ,558658 ,-,0 ,0 ,41843 ,0 ,0 ,94426 ,2125 ,渋
中野区,35219751 ,4965162 ,0 ,0 ,0 ,0 ,0 ,105364 ,18536 ,86828 ,0 ,6520143 ,5046721 ,1434714 ,0 ,38708 ,0 ,3710750 ,0 ,190117 ,219441 ,0 ,0 ,0 ,0 ,0 ,10251488 ,165802 ,0 ,2476413 ,237300 ,0 ,3470080 ,352185 ,-,0 ,0 ,2965064 ,172 ,0 ,2476413 ,237300 ,中
杉並区,21617388 ,2095418 ,0 ,0 ,0 ,0 ,0 ,1216000 ,392000 ,824000 ,0 ,10986888 ,8664150 ,2322738 ,0 ,0 ,0 ,4959339 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,374156 ,0 ,1971579 ,0 ,0 ,0 ,0 ,-,0 ,0 ,14008 ,14008 ,0 ,1971579 ,0 ,杉
豊島区,19977250 ,1987166 ,340967 ,85836 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8495541 ,6168682 ,1251010 ,103414 ,972435 ,0 ,3629349 ,0 ,67300 ,246818 ,334491 ,0 ,0 ,0 ,0 ,0 ,1462236 ,0 ,148931 ,0 ,0 ,3038379 ,477639 ,-,0 ,0 ,652173 ,0 ,0 ,489898 ,0 ,豊
北区,23568081 ,296978 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12288314 ,11682314 ,124000 ,0 ,482000 ,0 ,2612064 ,0 ,0 ,561000 ,0 ,0 ,0 ,0 ,0 ,0 ,252371 ,0 ,717012 ,169250 ,0 ,3106209 ,340027 ,-,0 ,0 ,3785856 ,0 ,0 ,717012 ,169250 ,北
荒川区,20305905 ,123309 ,44254 ,79349 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12361546 ,7872280 ,3647266 ,0 ,842000 ,0 ,3382093 ,0 ,97600 ,6000 ,84000 ,0 ,0 ,0 ,0 ,0 ,104333 ,0 ,388662 ,0 ,0 ,2095858 ,203715 ,-,0 ,0 ,1567040 ,0 ,0 ,432916 ,0 ,荒
板橋区,36415760 ,50400 ,0 ,442134 ,0 ,0 ,0 ,957467 ,117599 ,839868 ,0 ,11043794 ,9527232 ,1005524 ,197038 ,314000 ,0 ,15735302 ,0 ,508037 ,0 ,6822038 ,0 ,190167 ,0 ,136000 ,139000 ,399742 ,84708 ,454894 ,0 ,0 ,5103256 ,413311 ,-,0 ,0 ,1591752 ,0 ,0 ,454894 ,0 ,板
練馬区,45490937 ,5338932 ,0 ,2262200 ,0 ,0 ,0 ,770000 ,290500 ,479500 ,0 ,17696379 ,7515675 ,2109482 ,344300 ,7726922 ,0 ,9485376 ,0 ,1681527 ,0 ,2055600 ,0 ,0 ,0 ,0 ,0 ,1284153 ,0 ,2866398 ,658800 ,0 ,3935346 ,0 ,-,0 ,0 ,1193353 ,0 ,0 ,2866398 ,658800 ,練
足立区,53160044 ,3087765 ,16227 ,1725940 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,24477450 ,21800283 ,763580 ,0 ,1913587 ,0 ,11115084 ,1292160 ,117666 ,0 ,4899312 ,43518 ,0 ,0 ,0 ,0 ,1140404 ,0 ,3619225 ,0 ,0 ,6486673 ,646125 ,-,0 ,0 ,764645 ,10400 ,96733 ,3635452 ,0 ,足
葛飾区,21598855 ,5276549 ,2339340 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8342997 ,7478283 ,864714 ,0 ,0 ,0 ,5763191 ,0 ,0 ,0 ,829903 ,0 ,0 ,0 ,0 ,0 ,990771 ,0 ,67711 ,0 ,0 ,800339 ,325947 ,-,0 ,0 ,10400 ,10400 ,20950 ,2407051 ,0 ,葛
江戸川区,14326127 ,437411 ,0 ,0 ,0 ,0 ,0 ,556743 ,222200 ,334543 ,0 ,4922501 ,4922501 ,0 ,0 ,0 ,0 ,8404625 ,0 ,1056259 ,0 ,6530224 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-,0 ,4847 ,0 ,0 ,0 ,0 ,0 ,江
