区市町村コード,区市町村,都心南部、冬夕、風速8m/s,都心南部、冬昼、風速8m/s,都心南部、冬早朝、風速8m/s,都心南部、冬夕、風速4m/s,都心南部、冬昼、風速4m/s,都心南部、冬早朝、風速4m/s,多摩東部、冬夕、風速8m/s,多摩東部、冬昼、風速8m/s,多摩東部、冬早朝、風速8m/s,多摩東部、冬夕、風速4m/s,多摩東部、冬昼、風速4m/s,多摩東部、冬早朝、風速4m/s,大正関東、冬夕、風速8m/s,大正関東、冬昼、風速8m/s,大正関東、冬早朝、風速8m/s,大正関東、冬夕、風速4m/s,大正関東、冬昼、風速4m/s,大正関東、冬早朝、風速4m/s,立川断層、冬夕、風速8m/s,立川断層、冬昼、風速8m/s,立川断層、冬早朝、風速8m/s,立川断層、冬夕、風速4m/s,立川断層、冬昼、風速4m/s,立川断層、冬早朝、風速4m/s
13210,小金井市,11,10,10,11,10,10,20,18,17,20,18,17,5,5,5,5,5,5,10,9,9,10,9,9
13211,小平市,12,12,12,12,12,12,31,28,28,31,28,28,6,6,6,6,6,6,28,26,26,27,26,26
13212,日野市,12,12,12,12,12,12,33,32,32,33,32,32,10,10,10,10,10,10,49,47,47,49,47,47
13213,東村山市,4,4,4,4,4,4,18,17,17,18,17,17,2,2,2,2,2,2,12,12,12,12,12,11
13214,国分寺市,9,9,9,9,9,9,18,16,16,17,16,16,6,5,5,6,5,5,30,25,25,29,25,24
13215,国立市,5,4,4,4,4,4,9,8,8,8,8,8,2,2,2,2,2,2,25,21,19,23,20,19
13218,福生市,0,0,0,0,0,0,6,6,6,6,6,6,0,0,0,0,0,0,16,15,14,16,15,14
13219,狛江市,9,6,6,8,6,6,14,11,11,14,11,11,5,4,4,5,4,4,0,0,0,0,0,0
13220,東大和市,2,2,2,2,2,2,10,10,10,10,10,10,1,1,1,1,1,1,16,13,13,15,13,13
13221,清瀬市,3,3,3,3,3,3,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1
13222,東久留米市,5,5,5,5,5,5,19,17,17,19,17,17,2,2,2,2,2,2,5,5,5,5,5,5
13223,武蔵村山市,1,1,1,1,1,1,9,8,8,9,8,8,1,1,1,1,1,1,28,24,23,28,24,23
13224,多摩市,10,10,10,10,10,10,21,21,21,21,21,21,9,9,9,9,9,9,14,14,14,14,14,14
13225,稲城市,8,8,8,8,8,8,11,11,11,11,11,11,5,5,5,5,5,5,3,3,3,3,3,3
13227,羽村市,0,0,0,0,0,0,7,7,7,7,7,7,1,0,0,0,0,0,26,24,22,26,23,22
13228,あきる野市,0,0,0,0,0,0,9,8,8,9,8,8,1,1,1,1,1,1,11,9,9,10,9,9
13229,西東京市,11,11,11,11,11,11,33,27,27,33,27,27,5,5,5,5,5,5,3,3,2,3,3,2
13303,瑞穂町,0,0,0,0,0,0,4,4,4,4,4,4,0,0,0,0,0,0,13,13,12,13,13,12
13305,日の出町,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2
13307,檜原村,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13308,奥多摩町,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
,区部合計,"2,888","2,712","2,687","2,864","2,704","2,682","2,070","1,967","1,954","2,060","1,963","1,951","1,180","1,158","1,149","1,177","1,156","1,148",33,29,27,33,29,27
,多摩合計,277,266,263,275,265,262,629,593,588,625,591,586,205,199,196,204,198,195,603,562,550,596,559,547
,都合計,"3,164","2,978","2,950","3,139","2,969","2,944","2,699","2,560","2,542","2,685","2,554","2,538","1,385","1,357","1,345","1,380","1,354","1,343",636,591,577,629,588,575
