市町村名,歳入合計（千円）,1地方税（千円）,2地方譲与税（千円）,地方譲与税の内訳・(1)地方揮発油譲与税（千円）,地方譲与税の内訳・(2)自動車重量譲与税（千円）,地方譲与税の内訳・(3)航空機燃料譲与税（千円）,3利子割交付金（千円）,4配当割交付金（千円）,5株式等譲渡所得割交付金（千円）,6地方消費税交付金（千円）,7ゴルフ場利用税交付金（千円）,8特別地方消費税交付金（千円）,9自動車取得税交付金（千円）,10地方特例交付金（千円）,11地方交付税（千円）,地方交付税の内訳・(1)普通交付税（千円）,地方交付税の内訳・(2)特別交付税（千円）,地方交付税の内訳・(3)震災復興特別交付税（千円）,12交通安全対策特別交付金（千円）,13分担金及び負担金（千円）,分担金及び負担金の内訳・(1)同級他団体からのもの（千円）,分担金及び負担金の内訳・(2)その他からのもの（千円）,14使用料（千円）,使用料の内訳・(1)授業料（千円）,使用料の内訳・授業料の内訳・①幼稚園（千円）,使用料の内訳・授業料の内訳・②その他（千円）,使用料の内訳・(2)保育所使用料（千円）,使用料の内訳・(3)公営住宅使用料（千円）,使用料の内訳・(4)その他（千円）,15手数料（千円）,手数料の内訳・(1)法定受託事務に係るもの（千円）,手数料の内訳・(2)自治事務に係るもの（千円）,16国庫支出金（千円）,国庫支出金の内訳・(1)生活保護費負担金（千円）,国庫支出金の内訳・(2)児童保護費等負担金（千円）,国庫支出金の内訳・(3)障害者自立支援給付費等負担金（千円）,国庫支出金の内訳・(4)子どものための金銭の給付交付金（千円）,国庫支出金の内訳・(5)普通建設事業費支出金（千円）,国庫支出金の内訳・(6)災害復旧事業費支出金（千円）,国庫支出金の内訳・(7)委託金（千円）,国庫支出金の内訳・委託金の内訳・①普通建設事業費（千円）,国庫支出金の内訳・委託金の内訳・②災害復旧事業費（千円）,国庫支出金の内訳・委託金の内訳・③その他（千円）,国庫支出金の内訳・(8)財政補給金（千円）,国庫支出金の内訳・(9)社会資本整備総合交付金（千円）,国庫支出金の内訳・(10)特定防衛施設周辺整備調整交付金（千円）,国庫支出金の内訳・(11)がんばる地域交付金（千円）,国庫支出金の内訳・(12)その他（千円）,17国有提供施設等所在市町村助成交付金（千円）,18都道府県支出金（千円）,都道府県支出金の内訳・(1)国庫財源を伴うもの（千円）,都道府県支出金の内訳・(1)国庫財源を伴うもの・国庫財源を伴うものの内訳・①児童保護費（千円）,都道府県支出金の内訳・(1)国庫財源を伴うもの・国庫財源を伴うものの内訳・②障害者自立支援（千円）,都道府県支出金の内訳・(1)国庫財源を伴うもの・国庫財源を伴うものの内訳・③子どものための金銭の給付交付金（千円）,都道府県支出金の内訳・(1)国庫財源を伴うもの・国庫財源を伴うものの内訳・④普通建設事（千円）,都道府県支出金の内訳・(1)国庫財源を伴うもの・国庫財源を伴うものの内訳・⑤災害復旧事（千円）,都道府県支出金の内訳・(1)国庫財源を伴うもの・国庫財源を伴うものの内訳・⑥委託金（千円）,都道府県支出金の内訳・(1)国庫財源を伴うもの・国庫財源を伴うものの内訳・⑥委託金・委託金の内訳・（ア）普通建設事業（千円）,都道府県支出金の内訳・(1)国庫財源を伴うもの・国庫財源を伴うものの内訳・⑥委託金・委託金の内訳・（イ）災害復旧事業（千円）,都道府県支出金の内訳・(1)国庫財源を伴うもの・国庫財源を伴うものの内訳・⑥委託金・委託金の内訳・（ウ）その他（千円）,都道府県支出金の内訳・(1)国庫財源を伴うもの・国庫財源を伴うものの内訳・⑦電源立地地域対策交付金（千円）,都道府県支出金の内訳・(1)国庫財源を伴うもの・国庫財源を伴うものの内訳・⑧その他（千円）,都道府県支出金の内訳・(2)都費のみのもの（千円）,都道府県支出金の内訳・(2)都費のみのもの・都費のみのものの内訳・①普通建設事業費支出金（千円）,都道府県支出金の内訳・(2)都費のみのもの・都費のみのものの内訳・②災害復旧事業費支出金（千円）,都道府県支出金の内訳・(2)都費のみのもの・都費のみのものの内訳・③その他（千円）,19財産収入（千円）,財産収入の内訳・(1)財産運用収入（千円）,財産収入の内訳・(2)財産売払収入（千円）,財産収入の内訳・(2)財産売払収入・財産売払収入の内訳・①土地建物（千円）,財産収入の内訳・(2)財産売払収入・財産売払収入の内訳・②立木竹（千円）,財産収入の内訳・(2)財産売払収入・財産売払収入の内訳・③その他（千円）,20寄附金（千円）,21繰入金（千円）,22繰越金（千円）,繰越金の内訳・(1)純繰越金（千円）,繰越金の内訳・(2)繰越事業費等充当財源繰越額（千円）,23諸収入（千円）,諸収入の内訳・(1)延滞金加算金及び過料（千円）,諸収入の内訳・(2)預金利子（千円）,諸収入の内訳・(3)公営企業貸付金元利収入（千円）,諸収入の内訳・(4)貸付金元利収入（千円）,諸収入の内訳・(5)受託事業収入（千円）,諸収入の内訳・(5)受託事業収入・受託事業収入の内訳・①同級他団体からのもの（千円）,諸収入の内訳・(5)受託事業収入・受託事業収入の内訳・②民間からのもの（千円）,諸収入の内訳・(6)収益事業収入（千円）,諸収入の内訳・(7)雑入（千円）,諸収入の内訳・(7)雑入・雑入の内訳・①一部事務組合配分金（千円）,諸収入の内訳・(7)雑入・雑入の内訳・②その他（千円）,24地方債（千円）,区分
調布市,86792698 ,46567552 ,315587 ,94336 ,220712 ,539 ,330050 ,416307 ,350050 ,2851034 ,8293 ,0 ,104800 ,134143 ,62935 ,0 ,62868 ,67 ,23550 ,903401 ,118503 ,784898 ,1130863 ,0 ,0 ,0 ,291913 ,93258 ,745692 ,627550 ,31190 ,596360 ,12492039 ,4442123 ,794083 ,1434854 ,2324733 ,69525 ,0 ,71692 ,0 ,0 ,71692 ,49453 ,2053049 ,0 ,0 ,1252527 ,0 ,10093634 ,3971469 ,396870 ,717427 ,500045 ,1103515 ,0 ,83802 ,4860 ,0 ,78942 ,0 ,1169810 ,6122165 ,1671816 ,0 ,4450349 ,203679 ,20049 ,183630 ,183630 ,0 ,0 ,191324 ,1880897 ,4677442 ,4302253 ,375189 ,649568 ,58577 ,1288 ,0 ,30946 ,0 ,0 ,0 ,20000 ,538757 ,0 ,538757 ,2778000 ,調
町田市,143759659 ,68164619 ,682945 ,204497 ,478448 ,0 ,534220 ,673533 ,566159 ,5322919 ,39976 ,0 ,227940 ,319086 ,1483319 ,1381001 ,102164 ,154 ,53018 ,1419254 ,55046 ,1364208 ,1062573 ,0 ,0 ,0 ,122101 ,200771 ,739701 ,1721258 ,70686 ,1650572 ,24626281 ,9248464 ,1922456 ,3554958 ,4809281 ,1509527 ,0 ,116211 ,0 ,0 ,116211 ,0 ,500764 ,0 ,13079 ,2951541 ,0 ,18161961 ,6301976 ,961228 ,1777479 ,1067780 ,909134 ,0 ,144137 ,0 ,0 ,144137 ,0 ,1442218 ,11859985 ,1749989 ,0 ,10109996 ,228245 ,140964 ,87281 ,87281 ,0 ,0 ,9790 ,5186956 ,4405650 ,4170463 ,235187 ,1216557 ,243009 ,7584 ,0 ,13372 ,0 ,0 ,0 ,20000 ,932592 ,0 ,932592 ,7653400 ,町
小金井市,37998414 ,20798942 ,156215 ,46775 ,109440 ,0 ,180984 ,228376 ,192083 ,1417144 ,0 ,0 ,51897 ,61419 ,116329 ,50436 ,65868 ,25 ,10025 ,195542 ,15288 ,180254 ,510887 ,0 ,0 ,0 ,114788 ,64999 ,331100 ,429669 ,12747 ,416922 ,5277875 ,2261022 ,276944 ,604397 ,1067427 ,22973 ,0 ,35760 ,0 ,0 ,35760 ,0 ,97744 ,0 ,1822 ,909786 ,0 ,5340193 ,1399223 ,138472 ,302198 ,220908 ,160849 ,0 ,39578 ,0 ,0 ,39578 ,0 ,537218 ,3940970 ,948087 ,0 ,2992883 ,15830 ,2202 ,13628 ,13628 ,0 ,0 ,82147 ,1069038 ,1227479 ,1220864 ,6615 ,328440 ,104645 ,223 ,0 ,617 ,351 ,0 ,351 ,20000 ,202604 ,0 ,202604 ,307900 ,金
小平市,61396361 ,31017093 ,254988 ,76352 ,178636 ,0 ,230453 ,290890 ,244715 ,2305414 ,17425 ,0 ,84964 ,145967 ,901085 ,748844 ,152079 ,162 ,20496 ,314496 ,12178 ,302318 ,759277 ,0 ,0 ,0 ,212909 ,0 ,546368 ,258247 ,17712 ,240535 ,9749453 ,4464809 ,527096 ,1397666 ,1993143 ,48454 ,0 ,66852 ,0 ,0 ,66852 ,0 ,103488 ,0 ,0 ,1147945 ,0 ,7476612 ,2614897 ,218942 ,780145 ,425454 ,287507 ,0 ,74632 ,0 ,0 ,74632 ,0 ,828217 ,4861715 ,509349 ,0 ,4352366 ,65285 ,43085 ,22200 ,22200 ,0 ,0 ,13772 ,1550247 ,2878747 ,2752392 ,126355 ,463135 ,59792 ,2405 ,0 ,0 ,1452 ,0 ,1452 ,20000 ,379486 ,0 ,379486 ,2353600 ,平
日野市,63101494 ,30224794 ,284289 ,85126 ,199163 ,0 ,219858 ,277424 ,233332 ,2266631 ,0 ,0 ,94851 ,127309 ,1232985 ,1094582 ,138343 ,60 ,21809 ,452219 ,15278 ,436941 ,754123 ,32775 ,32775 ,0 ,225107 ,201389 ,294852 ,707979 ,17500 ,690479 ,9689989 ,2892551 ,688965 ,1204538 ,1998972 ,730544 ,0 ,45825 ,0 ,0 ,45825 ,0 ,943679 ,0 ,1596 ,1183319 ,0 ,7893140 ,2413357 ,344482 ,602108 ,435119 ,576584 ,0 ,54927 ,0 ,0 ,54927 ,0 ,400137 ,5479783 ,684232 ,0 ,4795551 ,878268 ,22869 ,855399 ,855399 ,0 ,0 ,105985 ,2218536 ,1947670 ,1841664 ,106006 ,903503 ,96909 ,168 ,126895 ,4746 ,0 ,0 ,0 ,20000 ,654785 ,0 ,654785 ,2566800 ,日
東村山市,55665279 ,20511754 ,220706 ,66087 ,154619 ,0 ,167008 ,210519 ,176935 ,1822132 ,0 ,0 ,73568 ,122955 ,4013385 ,3872172 ,141176 ,37 ,17693 ,303999 ,7429 ,296570 ,655331 ,0 ,0 ,0 ,159786 ,35402 ,460143 ,545600 ,52222 ,493378 ,9659083 ,4543959 ,472870 ,1297430 ,1611466 ,280250 ,0 ,43453 ,0 ,0 ,43453 ,0 ,306021 ,0 ,49387 ,1054247 ,0 ,8113408 ,2223885 ,236435 ,649085 ,353047 ,100888 ,0 ,64077 ,3435 ,0 ,60642 ,0 ,820353 ,5889523 ,1624235 ,0 ,4265288 ,28652 ,4700 ,23952 ,23325 ,0 ,627 ,21331 ,3002792 ,664354 ,556132 ,108222 ,498279 ,45642 ,0 ,0 ,15000 ,7560 ,0 ,7560 ,20000 ,410077 ,0 ,410077 ,4835795 ,東
国分寺市,40806203 ,22158232 ,170318 ,50999 ,119319 ,0 ,186296 ,234879 ,197437 ,1479084 ,0 ,0 ,56701 ,62574 ,273430 ,207102 ,66290 ,38 ,10985 ,524895 ,177233 ,347662 ,724270 ,0 ,0 ,0 ,148392 ,9051 ,566827 ,430633 ,12326 ,418307 ,5274886 ,1535132 ,418998 ,806942 ,1137445 ,201627 ,0 ,30198 ,0 ,0 ,30198 ,209313 ,263088 ,0 ,4281 ,667862 ,0 ,4902249 ,1618843 ,209499 ,403433 ,259061 ,278520 ,0 ,60301 ,0 ,0 ,60301 ,0 ,408029 ,3283406 ,414044 ,2400 ,2866962 ,109716 ,81320 ,28396 ,28396 ,0 ,0 ,18997 ,429065 ,1284871 ,1274167 ,10704 ,652615 ,28758 ,160 ,0 ,27181 ,0 ,0 ,0 ,20000 ,576516 ,0 ,576516 ,1624070 ,分
国立市,28801710 ,14562638 ,113842 ,34088 ,79754 ,0 ,119642 ,150795 ,126730 ,977835 ,0 ,0 ,37905 ,39747 ,242814 ,117764 ,125048 ,2 ,9703 ,212450 ,24392 ,188058 ,435575 ,0 ,0 ,0 ,86450 ,0 ,349125 ,175012 ,10040 ,164972 ,4535170 ,1360299 ,253374 ,830817 ,698984 ,62117 ,0 ,52416 ,0 ,0 ,52416 ,0 ,728490 ,0 ,0 ,548673 ,0 ,4260421 ,1132480 ,126458 ,415408 ,152323 ,33877 ,0 ,26229 ,0 ,0 ,26229 ,0 ,378185 ,3127941 ,989727 ,0 ,2138214 ,109276 ,89185 ,20091 ,20091 ,0 ,0 ,71530 ,808224 ,497109 ,396902 ,100207 ,445292 ,24593 ,375 ,0 ,25018 ,0 ,0 ,0 ,0 ,395306 ,230013 ,165293 ,870000 ,国
田無市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,田
保谷市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,548673 ,0 ,4260421 ,1132480 ,126458 ,415408 ,152323 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,保
