区市町村コード,区市町村,冬夕、風速8m/s、食料（～3日目）（万食）,冬夕、風速8m/s、食料（4～7日目）（万食）,冬夕、風速8m/s、飲料水（～3日目）（万L）,冬夕、風速8m/s、飲料水（4～7日目）（万L）,冬夕、風速8m/s、毛布（必要量）（万枚）,冬昼、風速8m/s、食料（～3日目）（万食）,冬昼、風速8m/s、食料（4～7日目）（万食）,冬昼、風速8m/s、飲料水（～3日目）（万L）,冬昼、風速8m/s、飲料水（4～7日目）（万L）,冬昼、風速8m/s、毛布（必要量）（万枚）,冬早朝、風速8m/s、食料（～3日目）（万食）,冬早朝、風速8m/s、食料（4～7日目）（万食）,冬早朝、風速8m/s、飲料水（～3日目）（万L）,冬早朝、風速8m/s、飲料水（4～7日目）（万L）,冬早朝、風速8m/s、毛布（必要量）（万枚）,冬夕、風速4m/s、食料（～3日目）（万食）,冬夕、風速4m/s、食料（4～7日目）（万食）,冬夕、風速4m/s、飲料水（～3日目）（万L）,冬夕、風速4m/s、飲料水（4～7日目）（万L）,冬夕、風速4m/s、毛布（必要量）（万枚）,冬昼、風速4m/s、食料（～3日目）（万食）,冬昼、風速4m/s、食料（4～7日目）（万食）,冬昼、風速4m/s、飲料水（～3日目）（万L）,冬昼、風速4m/s、飲料水（4～7日目）（万L）,冬昼、風速4m/s、毛布（必要量）（万枚）,冬早朝、風速4m/s、食料（～3日目）（万食）,冬早朝、風速4m/s、食料（4～7日目）（万食）,冬早朝、風速4m/s、飲料水（～3日目）（万L）,冬早朝、風速4m/s、飲料水（4～7日目）（万L）,冬早朝、風速4m/s、毛布（必要量）（万枚）
13113,渋谷区,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0
13114,中野区,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0
13115,杉並区,6,11,1,1,2,4,7,1,1,1,3,6,1,1,1,6,11,1,1,2,4,7,1,1,1,3,6,1,1,1
13116,豊島区,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0
13117,北区,1,3,0,0,1,1,3,0,0,1,1,3,0,0,1,1,3,0,0,1,1,3,0,0,1,1,3,0,0,1
13118,荒川区,1,2,0,0,0,1,2,0,0,0,1,2,0,0,0,1,2,0,0,0,1,2,0,0,0,1,2,0,0,0
13119,板橋区,1,4,1,0,1,1,4,1,0,1,1,4,1,0,1,1,4,1,0,1,1,4,1,0,1,1,4,1,0,1
13120,練馬区,3,7,1,0,1,2,5,1,0,1,2,5,1,0,1,3,7,1,0,1,2,5,1,0,1,2,5,1,0,1
13121,足立区,1,5,0,0,1,1,4,0,0,1,1,4,0,0,1,1,5,0,0,1,1,4,0,0,1,1,4,0,0,1
13122,葛飾区,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0
13123,江戸川区,1,4,0,0,1,1,4,0,0,1,1,4,0,0,1,1,4,0,0,1,1,4,0,0,1,1,4,0,0,1
13201,八王子市,21,47,19,16,8,19,44,18,16,8,18,43,18,16,8,21,47,19,16,8,19,44,18,16,8,18,42,18,16,8
13202,立川市,21,40,14,10,7,16,32,13,10,5,14,29,12,10,5,21,39,14,10,7,16,32,13,10,5,14,29,12,10,5
13203,武蔵野市,2,6,3,3,1,2,5,3,3,1,2,5,3,3,1,2,6,3,3,1,2,5,3,3,1,2,5,3,3,1
13204,三鷹市,2,5,1,1,1,2,4,1,1,1,2,4,1,1,1,2,5,1,1,1,2,4,1,1,1,2,4,1,1,1
13205,青梅市,7,15,6,5,3,6,14,6,5,2,6,14,6,5,2,7,15,6,5,3,6,14,6,5,2,6,14,6,5,2
13206,府中市,10,23,9,8,4,8,20,9,8,4,8,19,9,8,3,9,22,9,8,4,8,20,9,8,4,7,19,9,8,3
13207,昭島市,14,29,15,11,5,10,23,13,10,4,9,22,13,10,4,14,28,15,11,5,10,23,13,10,4,9,22,13,10,4
13208,調布市,1,3,1,1,1,1,3,1,1,0,1,2,1,1,0,1,3,1,1,1,1,2,1,1,0,1,2,1,1,0
13209,町田市,2,6,2,2,1,2,5,2,2,1,2,5,2,2,1,2,6,2,2,1,2,5,2,2,1,2,5,2,2,1
13210,小金井市,4,8,3,2,1,3,7,3,2,1,3,6,3,2,1,4,8,3,2,1,3,7,3,2,1,3,6,3,2,1
13211,小平市,9,18,6,5,3,7,15,6,5,3,7,15,6,5,3,8,17,6,5,3,7,15,6,5,3,7,15,6,5,3
13212,日野市,10,25,13,11,4,8,22,13,11,4,8,22,13,11,4,10,24,13,11,4,8,22,13,11,4,8,22,13,11,4
13213,東村山市,4,9,4,4,2,3,8,4,4,2,3,8,4,4,2,3,9,4,4,2,3,8,4,4,2,3,8,4,4,1
13214,国分寺市,11,21,7,6,4,7,15,7,6,3,6,14,7,6,3,10,19,7,6,3,6,14,7,6,3,6,14,7,6,2
13215,国立市,11,19,7,5,3,7,14,6,5,2,5,12,5,4,2,9,17,6,5,3,6,13,6,4,2,5,11,5,4,2
13218,福生市,4,9,3,3,2,3,7,3,3,1,3,7,3,3,1,4,9,3,3,2,3,7,3,3,1,3,7,3,3,1
13219,狛江市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13220,東大和市,6,12,5,4,2,3,8,4,4,2,3,8,4,4,1,5,11,5,4,2,3,8,4,4,2,3,8,4,4,1
13221,清瀬市,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0
13222,東久留米市,1,3,1,1,1,1,3,1,1,1,1,3,1,1,1,1,3,1,1,1,1,3,1,1,1,1,3,1,1,1
13223,武蔵村山市,8,15,6,4,3,5,11,5,4,2,5,10,5,4,2,8,15,6,4,3,5,11,5,4,2,5,10,5,4,2
13224,多摩市,4,8,3,3,2,4,8,3,3,1,3,8,3,3,1,4,8,3,3,2,4,8,3,3,1,3,8,3,3,1
13225,稲城市,1,3,1,1,0,1,3,1,1,0,1,2,1,1,0,1,3,1,1,0,1,3,1,1,0,1,2,1,1,0
13227,羽村市,8,16,10,7,3,6,14,9,7,2,4,12,9,7,2,7,16,10,7,3,5,13,9,7,2,4,12,9,7,2
13228,あきる野市,3,7,2,2,1,3,6,2,2,1,3,5,2,2,1,3,7,2,2,1,3,6,2,2,1,3,5,2,2,1
13229,西東京市,2,4,1,1,1,1,3,1,1,1,1,3,1,1,1,2,4,1,1,1,1,3,1,1,1,1,3,1,1,1
13303,瑞穂町,2,5,3,2,1,2,5,2,2,1,2,4,2,2,1,2,5,3,2,1,2,5,2,2,1,2,4,2,2,1
13305,日の出町,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
13307,檜原村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13308,奥多摩町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,区部合計,25,83,6,3,16,20,76,6,3,15,18,73,6,3,15,24,82,6,3,16,20,76,6,3,15,18,73,6,3,15
,多摩合計,169,358,146,119,63,130,303,138,118,54,118,286,136,118,51,163,349,145,119,61,127,298,138,118,53,116,283,135,118,51
,都合計,194,440,152,122,79,151,379,145,121,69,137,359,142,121,66,187,431,151,122,77,147,374,144,121,68,135,356,141,120,66
