区分,歳出総額,1人件費,内訳・(1)議員報酬手当,内訳・(2)委員等報酬,内訳・(3)区長等特別職の給与,内訳・(4)職員給,内訳・①基本給,内訳・（ア）給料,内訳・（イ）扶養手当,内訳・（ウ）地域手当,内訳・②その他の手当,内訳・（ア）住居手当,内訳・（イ）通勤手当,内訳・（ウ）単身赴任手当,内訳・（エ）特殊勤務手当,内訳・（オ）時間外勤務手当,内訳・（カ）宿日直手当,内訳・（キ）管理職特勤手当,内訳・（ク）休日勤務手当,内訳・（ケ）管理職手当,内訳・（コ）期末勤勉手当,内訳・（サ）寒冷地手当,内訳（シ）・夜間勤務手当,内訳・（ス）特殊勤務手当,内訳・（セ）)義務教育等教員特別勤務手当,内訳・（ソ）初任給調整手当,内訳・（タ）農林漁業普及指導手当,内訳・（チ）その他,内訳・③臨時職員給与,内訳・(5)地方公務員共済組合等負担金,内訳・(6)退職金,内訳・(7)災害補償費,内訳・①地方公務員災害補償基金負担金,内訳・②その他,内訳・(8)職員互助会補助金,内訳・(9)その他,2物件費,内訳・(1)賃金,内訳・(2)旅費,内訳・(3)交際費,内訳・(4)需用費,内訳・(5)役務費,内訳・(6)備品購入費,内訳・(7)委託料,内訳・(8)その他,3維持補修費,4扶助費,5補助費等,内訳・(1)国に対するもの,内訳・(2)都道府県に対するもの,内訳・(3)同級他団体に対するもの,内訳(4)一部事務組合に対するもの,内訳・(5)その他,6普通建設事業費,内訳・(1)補助事業費,内訳・(2)単独事業費,内訳・(3)国直轄事業負担金,内訳・(4)都営事業負担金,内訳・(5)同級他団体施行事業負担金,内訳・(6)受託事業費,7災害復旧事業費,8失業対策事業費,9公債費,内訳・(1)地方債元利償還金,内訳・（ア）元金,内訳・（イ）利子,内訳・(2)一時借入金利子,10積立金,11投資及び出資金,12貸付金,13繰出金,区分
目黒区,88913809 ,20771199 ,342040 ,1871907 ,56703 ,13426270 ,9279106 ,7558382 ,402998 ,1317726 ,4147164 ,110929 ,218829 ,324 ,19361 ,579607 ,0 ,202 ,55052 ,87575 ,3071073 ,0 ,558 ,0 ,0 ,3654 ,0 ,0 ,0 ,2694802 ,2057520 ,19520 ,18729 ,791 ,29 ,302408 ,15495675 ,208766 ,36059 ,3974 ,2162528 ,830272 ,146975 ,10270309 ,1836792 ,1163439 ,18846784 ,5619728 ,270644 ,83739 ,24688 ,1253555 ,3987102 ,5309492 ,1645640 ,3661386 ,0 ,0 ,0 ,2466 ,0 ,0 ,7286089 ,7285826 ,6852997 ,432829 ,263 ,6257947 ,0 ,21438 ,8142018 ,目
大田区,239607142 ,42606118 ,624064 ,2681464 ,83944 ,28606935 ,19723508 ,16442296 ,250997 ,3030215 ,8883427 ,222137 ,441109 ,924 ,47424 ,766731 ,3906 ,0 ,126630 ,177505 ,7088314 ,0 ,0 ,0 ,0 ,8747 ,0 ,0 ,0 ,5739368 ,4028532 ,47562 ,44466 ,3096 ,48358 ,745891 ,34873457 ,114751 ,70604 ,6029 ,4814491 ,4137669 ,211936 ,23104311 ,2413666 ,3057766 ,77644332 ,14181641 ,650292 ,385888 ,90622 ,3255470 ,9799369 ,26575020 ,6845799 ,17237165 ,0 ,858183 ,0 ,1633873 ,0 ,0 ,7152463 ,7152463 ,6431331 ,721132 ,0 ,8725591 ,0 ,1890827 ,22899927 ,大
世田谷区,254881756 ,50220982 ,500130 ,5002680 ,99807 ,32621865 ,22330582 ,18605949 ,285462 ,3439171 ,10291283 ,313276 ,597162 ,1526 ,52771 ,949255 ,11161 ,199 ,133824 ,218674 ,8005184 ,89 ,0 ,0 ,0 ,8162 ,0 ,0 ,0 ,6840201 ,4112755 ,47148 ,45835 ,1313 ,84024 ,912372 ,43535476 ,1140958 ,80886 ,15170 ,7178723 ,5638682 ,571265 ,24491666 ,4418126 ,530979 ,65662196 ,18108736 ,479983 ,96603 ,76487 ,3735965 ,13719698 ,31952726 ,11193261 ,19307237 ,0 ,613241 ,0 ,838987 ,0 ,0 ,12321825 ,12321605 ,11513970 ,807635 ,220 ,4050852 ,0 ,3095246 ,25402738 ,世
渋谷区,86453320 ,17748842 ,354721 ,684610 ,69259 ,12148693 ,8304577 ,6900782 ,124271 ,1279524 ,3844116 ,107144 ,256330 ,180 ,21996 ,323515 ,735 ,0 ,56146 ,89270 ,2982129 ,178 ,1080 ,0 ,783 ,4609 ,0 ,21 ,0 ,2402648 ,1797573 ,18326 ,17903 ,423 ,0 ,273012 ,15295452 ,201561 ,31164 ,7142 ,2476657 ,1527727 ,130032 ,9971540 ,949629 ,321997 ,17635566 ,5172697 ,188654 ,67024 ,45981 ,1342337 ,3528701 ,10107148 ,1493524 ,8535427 ,0 ,78197 ,0 ,0 ,0 ,0 ,2253679 ,2252781 ,2005805 ,246976 ,898 ,10106491 ,0 ,22570 ,7788878 ,渋
中野区,127429576 ,20457817 ,430706 ,462787 ,82670 ,14419790 ,9837136 ,8179089 ,138251 ,1519796 ,4582654 ,111598 ,261505 ,972 ,22408 ,510199 ,0 ,0 ,53536 ,94198 ,3520598 ,0 ,2538 ,0 ,581 ,4521 ,0 ,0 ,0 ,2843653 ,2005878 ,23744 ,22133 ,1611 ,24963 ,163626 ,14749556 ,253186 ,35665 ,2309 ,1551460 ,1588367 ,69461 ,9959126 ,1289982 ,1165523 ,32085245 ,5198902 ,288772 ,45612 ,99884 ,1384381 ,3380253 ,20184169 ,7025230 ,12435500 ,0 ,452634 ,0 ,270805 ,0 ,0 ,10242752 ,10242752 ,9824520 ,418232 ,0 ,11638169 ,0 ,425900 ,11281543 ,中
杉並区,166223451 ,36864198 ,478500 ,4092399 ,76995 ,23862238 ,15843467 ,13190547 ,213337 ,2439583 ,8018771 ,194652 ,435273 ,276 ,41054 ,1385312 ,4490 ,2159 ,107540 ,157183 ,5673108 ,0 ,3552 ,0 ,5800 ,8372 ,0 ,0 ,0 ,4546426 ,3086336 ,36761 ,35726 ,1035 ,25904 ,658639 ,31138239 ,219724 ,49668 ,6730 ,5307977 ,2608231 ,240766 ,19812000 ,2893143 ,1084662 ,40771633 ,9619203 ,269269 ,136232 ,56267 ,2149458 ,7007977 ,17940511 ,3268083 ,14671026 ,0 ,1402 ,0 ,0 ,0 ,0 ,1807904 ,1807904 ,1561041 ,246863 ,0 ,9557382 ,0 ,198462 ,17241257 ,杉
豊島区,129283983 ,20326596 ,362165 ,1347472 ,82607 ,13121878 ,8818523 ,7330867 ,124224 ,1363432 ,4303355 ,102767 ,252823 ,324 ,56182 ,516611 ,14367 ,323 ,45928 ,120949 ,3190004 ,0 ,0 ,0 ,521 ,2556 ,0 ,0 ,0 ,2728781 ,2149388 ,17637 ,16950 ,687 ,33841 ,482827 ,18001102 ,868192 ,28620 ,4586 ,2268698 ,755777 ,95791 ,11303088 ,2676350 ,484212 ,27939666 ,16732418 ,320445 ,99407 ,15049 ,1324539 ,14972978 ,29360079 ,5266095 ,23980484 ,0 ,0 ,0 ,113500 ,0 ,0 ,3288486 ,3288101 ,2977440 ,310661 ,385 ,2436559 ,0 ,43259 ,10671606 ,豊
北区,126374088 ,23748025 ,454147 ,1380201 ,65162 ,15948880 ,10891757 ,9052041 ,137544 ,1702172 ,5057123 ,140748 ,295780 ,324 ,29186 ,602141 ,3156 ,60 ,54675 ,110254 ,3813857 ,0 ,616 ,0 ,0 ,6326 ,0 ,0 ,0 ,3371036 ,2322950 ,22280 ,22012 ,268 ,28707 ,154662 ,20449009 ,383831 ,71533 ,5182 ,3084409 ,1835026 ,307390 ,12892389 ,1869249 ,1164767 ,43272962 ,5974967 ,449607 ,140261 ,19276 ,1481402 ,3884421 ,8360763 ,1295648 ,6914935 ,0 ,0 ,0 ,150180 ,29830 ,0 ,3180662 ,3180662 ,2869039 ,311623 ,0 ,4587181 ,0 ,2303400 ,13302522 ,北
荒川区,87393152 ,16217443 ,337635 ,1847604 ,71634 ,9972508 ,6806379 ,5661292 ,92751 ,1052336 ,3166129 ,85440 ,175880 ,276 ,16111 ,326926 ,4447 ,1058 ,34711 ,92203 ,2422414 ,0 ,0 ,0 ,1307 ,5356 ,0 ,0 ,0 ,1978887 ,1646560 ,13772 ,12306 ,1466 ,10620 ,338223 ,14497666 ,497258 ,37897 ,7449 ,1958075 ,1151765 ,212131 ,9008076 ,1625015 ,358279 ,28203859 ,5100609 ,226274 ,63834 ,5317 ,1053616 ,3751568 ,9012168 ,2365085 ,6532385 ,0 ,0 ,0 ,114698 ,0 ,0 ,2353866 ,2353725 ,2043889 ,309836 ,141 ,1946674 ,0 ,1025977 ,8676611 ,荒
板橋区,192684598 ,32273943 ,472891 ,1630150 ,61215 ,22235563 ,15221615 ,12674933 ,210324 ,2336358 ,7013948 ,218950 ,393110 ,552 ,55285 ,697737 ,4258 ,0 ,95351 ,111158 ,5429193 ,0 ,603 ,0 ,0 ,7751 ,0 ,0 ,0 ,4375610 ,2798629 ,32984 ,32680 ,304 ,36545 ,630356 ,31465724 ,378824 ,56016 ,7696 ,4380318 ,2589849 ,300234 ,20197523 ,3555264 ,872630 ,72403994 ,8794220 ,896781 ,143018 ,86941 ,2346780 ,5320700 ,16341504 ,1132713 ,14844097 ,0 ,0 ,0 ,364694 ,0 ,0 ,5939512 ,5939512 ,5423074 ,516438 ,0 ,5544831 ,0 ,42497 ,19005743 ,板
練馬区,245526804 ,42692947 ,534095 ,2383982 ,75241 ,29500789 ,20083113 ,16719790 ,278750 ,3084573 ,9405309 ,219977 ,446634 ,0 ,57762 ,1226978 ,1078 ,686 ,103770 ,140769 ,7200498 ,0 ,0 ,0 ,1221 ,5936 ,0 ,0 ,12367 ,5821429 ,3470306 ,37238 ,34924 ,2314 ,37097 ,832770 ,35905423 ,625978 ,56743 ,7652 ,4190718 ,5617872 ,404787 ,21723803 ,3277870 ,3032556 ,79446613 ,19306187 ,418921 ,122822 ,42504 ,2762013 ,15959927 ,30468714 ,9402176 ,20273891 ,0 ,254396 ,0 ,538251 ,0 ,0 ,6810615 ,6810615 ,6044964 ,765651 ,0 ,3264403 ,0 ,1814602 ,22784744 ,練
足立区,265566300 ,35789502 ,491940 ,3380531 ,65742 ,22966139 ,15356432 ,12690959 ,225004 ,2440469 ,7609707 ,217128 ,405258 ,0 ,39100 ,1128875 ,4295 ,1555 ,83605 ,185264 ,5534537 ,0 ,0 ,0 ,0 ,10090 ,0 ,0 ,0 ,4692540 ,3444327 ,31630 ,30322 ,1308 ,33100 ,683553 ,34396604 ,588298 ,59591 ,12063 ,4882604 ,3055665 ,365425 ,22385821 ,3047137 ,1185777 ,95022557 ,14494604 ,1120691 ,161932 ,52456 ,2814358 ,10345167 ,35467094 ,10676266 ,24474318 ,0 ,115787 ,31688 ,169035 ,0 ,0 ,7897936 ,7897936 ,6882073 ,1015863 ,0 ,16090163 ,0 ,135244 ,25086819 ,足
葛飾区,168819561 ,28459522 ,429092 ,2946949 ,95786 ,18269415 ,12685128 ,10548861 ,184855 ,1951412 ,5584287 ,162152 ,307860 ,0 ,32345 ,352478 ,0 ,118 ,72395 ,115468 ,4530852 ,0 ,2188 ,0 ,542 ,7889 ,0 ,0 ,0 ,3717511 ,2509520 ,31647 ,31647 ,0 ,40000 ,419602 ,22439088 ,382192 ,34716 ,14627 ,3451126 ,2978897 ,275260 ,12853168 ,2449102 ,1994570 ,57919147 ,9888188 ,548511 ,157038 ,91916 ,1895609 ,7195114 ,13973103 ,4424565 ,9301688 ,0 ,9617 ,0 ,237233 ,10020 ,0 ,5002207 ,5002203 ,4737988 ,264215 ,4 ,7799968 ,0 ,4848238 ,16485510 ,葛
江戸川区,234193267 ,33775347 ,456999 ,2194514 ,63217 ,22949292 ,15616201 ,12987547 ,232090 ,2396564 ,7314260 ,199525 ,354424 ,1539 ,45428 ,908775 ,0 ,0 ,101282 ,96935 ,5600685 ,0 ,0 ,0 ,775 ,4892 ,0 ,0 ,18831 ,4618911 ,2735755 ,32085 ,30672 ,1413 ,289 ,724285 ,34898316 ,877954 ,52355 ,4204 ,4056411 ,2569659 ,396969 ,24443062 ,2497702 ,4259422 ,84588439 ,12907177 ,658070 ,41661 ,18556 ,2805692 ,9383198 ,21709250 ,8321324 ,12648407 ,0 ,0 ,0 ,739519 ,0 ,0 ,2220949 ,2220949 ,2054109 ,166840 ,0 ,17810638 ,0 ,244218 ,21779511 ,江
