区分,歳出総額,1議会費,2総務費,内訳・(1)総務管理費,内訳・(2)徴税費,内訳・(3)戸籍・住民基本台帳費,内訳・(4)選挙費,内訳・(5)統計調査費,内訳・(6)監査委員費,3民生費,内訳・(1)社会福祉費,内訳・(2)老人福祉費,内訳・(3)児童福祉費,内訳・(4)生活保護費,内訳・(5)災害救助費,4衛生費,内訳・(1)保健衛生費,内訳・(2)結核対策費,内訳・(3)保健所費,内訳・(4)清掃費,5労働費,内訳・(1)失業対策費,内訳・(2)労働諸費,6農林水産業費,7商工費,8土木費,内訳・(1)土木管理費,内訳・(2)道路橋りょう費,内訳・(3)河川費,内訳・(4)都市計画費・①街路費,内訳・(4)都市計画費・②公園費,内訳・(4)都市計画費・③下水道費,内訳・(4)都市計画費・④区画整理費等,内訳・(5)住宅費,内訳・(6)空港費,9消防費,10教育費,内訳・(1)教育総務費,内訳・(2)小学校費,内訳・(3)中学校費,内訳・(4)高等学校費,内訳・(5)特別支援学校費,内訳・(6)幼稚園費,内訳・(7)社会教育費,内訳・(8)保険体育費・①体育施設費等,内訳・(8)保健体育費・②学校給食費,11災害復旧費,12公債費,13諸支出金,区分
渋谷区,86453320,755884,20247408,18614890,809845,471358,177137,89591,84587,37380757,8329300,7643735,14071487,7333700,2535,7259416,2872943,52654,279048,4054771,164027,14040,149987,0,623155,3962668,770884,1049532,79389,80972,615560,0,745023,621308,0,4061623,9744703,1343113,3005699,762011,0,0,219317,2628618,857445,928500,0,2253679,0,渋
中野区,127429576,866933,14941113,12698350,876535,891620,274086,110873,89649,57008858,14845855,7430035,18128212,16537332,67424,9900914,3645426,73203,235387,5946898,262826,0,262826,2167,714511,20947139,473189,1438521,93888,482498,13275018,171537,4569011,443477,0,798457,11743664,5205004,2480262,1264165,0,0,198546,1135475,380299,1079913,0,10242994,0,中
杉並区,166223451,963286,26156437,22010270,1661213,1879469,434622,91683,79180,87551042,18949917,16609787,34812398,17166978,11962,14177133,4481113,163508,1047829,8484683,700626,0,700626,88092,815654,10469929,875249,4163600,152933,0,2646609,0,1352556,1278982,0,1030653,22462664,3522074,7463105,3914558,0,251279,646252,2341726,1656017,2667653,0,1807935,0,杉
豊島区,129283983,651452,40191220,38260270,848976,751053,183600,65971,81350,53392379,12168104,7854954,16618149,16687425,63747,7088853,3083568,57832,374804,3572649,126690,0,126690,0,797184,10993535,1280354,2301432,2334,119765,1217358,0,5112295,959997,0,434314,12319792,907892,5495688,986366,0,0,615328,2072121,1212444,1029953,0,3288564,0,豊
北区,126374088,878670,16630088,14278800,974214,1087275,189115,36429,64255,70048123,15300344,10509961,22710111,21497012,30695,8681901,3511505,39259,598488,4532649,179772,0,179772,3,2793150,8145731,2007872,2229500,242843,460765,1200094,91291,1090273,823093,0,1132733,14673394,3991237,3586748,1549202,0,0,288355,1980045,2061767,1216040,29830,3180693,0,北
荒川区,87393152,623989,11007252,9599680,567140,592893,141597,55489,50453,47749040,9958600,6355877,17556107,13878276,180,6321411,2499773,29798,658257,3133583,115590,0,115590,0,1818613,5389525,343680,1718743,0,411765,1332397,0,1036758,546182,0,497050,11513374,1691482,2979333,1652358,0,0,415441,2947218,846855,980687,0,2357308,0,荒
板橋区,192684598,931445,24311823,21129933,1296082,1327681,304985,121614,131528,113597908,22785352,14276881,37634159,38848489,53027,14359673,5894000,89391,1205407,7170875,139646,0,139646,107971,1189527,9962212,1310994,3531156,54721,24231,2139020,377106,1747482,777502,0,795784,21341653,3936854,6717501,3234255,0,111973,101372,3485795,1019333,2734570,0,5946956,0,板
練馬区,245526804,1071781,26947248,23905198,1334551,906369,534088,160254,106788,132624874,28434943,17019025,52896421,34270729,3756,17946834,6191112,80649,1328450,10346623,786419,0,786419,282195,1696847,27763021,5570342,5024024,253149,1362063,4583323,0,10468304,501816,0,1233201,28359489,4587058,6764587,6633247,0,0,297962,4557125,1833678,3685832,0,6814895,0,練
足立区,265566300,939068,26166363,23930143,1241386,522798,256773,103506,111757,147135659,34367639,17130496,45885438,49750595,1491,14611805,5200684,69055,1822001,7520065,855720,0,855720,114261,1618182,25238208,1579216,4363785,743946,516434,3659426,0,11359901,3015500,0,991816,39995215,14557814,11901128,3562875,0,0,246892,4869175,1429540,3427791,0,7900003,0,足
葛飾区,168819561,839143,16923294,14056347,1072268,1349623,207451,142837,94768,91485299,19904965,11775696,32722369,27075770,6499,11328558,3927132,75625,1204562,6121239,460164,0,460164,38929,3262472,16050335,4303679,3314337,242475,1969087,1843726,0,4116543,260488,0,1276153,22008190,6409986,5275142,2247929,0,89901,139450,2488709,2790338,2566735,10020,5005002,132002,葛
江戸川区,234193267,886337,32255812,28561006,1387661,1895388,230313,90354,91090,125100670,27855958,13634165,43196851,40409643,4053,16190462,5477979,206721,1860131,8645631,279626,0,279626,165757,1627162,20961285,1834026,5353137,491344,1607799,4440557,0,7215589,18833,0,872358,33632832,6009637,13433400,5455007,0,0,247608,3006141,1247430,4233609,0,2220966,0,江
