区市町村名,戸籍事務関係・本籍数（H27.3.31現在）,戸籍事務関係・本籍人口（H27.3.31現在）,住民基本台帳・転入届出件数,住民基本台帳・転出・転出届,住民基本台帳・転出・特例転出届,事務関係・転居届出件数,事務関係・世帯変更届出件数,事務関係・写しの交付・住民票,事務関係・写しの交付・広域交付住民票,印鑑登録事務関係・登録総数,印鑑登録事務関係・登録申請者数,印鑑登録事務関係・証明書発行件数,区 分
狛江市,23783 ,58728 ,4501 ,3653 ,158 ,1260 ,323 ,49759 ,39 ,45432 ,3435 ,26951 ,狛
東大和市,26286 ,66741 ,2974 ,2324 ,93 ,1104 ,754 ,49379 ,26 ,51918 ,3221 ,27101 ,大
清瀬市,22193 ,55191 ,2519 ,2260 ,179 ,2581 ,642 ,40855 ,23 ,44021 ,2832 ,22360 ,清
東久留米市,34218 ,86439 ,3637 ,3602 ,65 ,1511 ,288 ,68975 ,29 ,69953 ,3773 ,37105 ,久
武蔵村山市,21834 ,55341 ,2082 ,2093 ,60 ,1059 ,188 ,39645 ,37 ,42870 ,2701 ,19161 ,村
多摩市,39268 ,100795 ,5242 ,5330 ,238 ,2172 ,1291 ,93118 ,128 ,87424 ,5165 ,47327 ,多
稲城市,20470 ,53589 ,3161 ,2917 ,156 ,1102 ,225 ,46226 ,48 ,3192 ,2590 ,27383 ,稲
羽村市,18431 ,46739 ,1941 ,1979 ,1 ,974 ,228 ,32931 ,49 ,33818 ,2434 ,19271 ,羽
あきる野市,29336 ,75042 ,2142 ,2079 ,28 ,1027 ,730 ,38584 ,16 ,50444 ,2721 ,28448 ,あ
西東京市,56858 ,142228 ,8705 ,7894 ,297 ,2909 ,647 ,118273 ,60 ,113780 ,8304 ,61838 ,西
町村計,39133 ,93269 ,3192 ,2946 ,38 ,1442 ,377 ,47642 ,60 ,54937 ,2533 ,29337 ,
瑞穂町,11664 ,29674 ,991 ,997 ,13 ,353 ,99 ,20500 ,22 ,20983 ,866 ,12422 ,瑞
日の出町,6128 ,15268 ,685 ,459 ,20 ,177 ,80 ,8447 ,4 ,10300 ,438 ,6084 ,日
檜原村,1807 ,4179 ,65 ,61 ,0 ,20 ,13 ,1129 ,6 ,1744 ,68 ,800 ,檜
奥多摩町,3860 ,8912 ,167 ,121 ,0 ,44 ,22 ,2680 ,7 ,3876 ,101 ,1958 ,奥
大島町,4759 ,10651 ,401 ,377 ,0 ,318 ,17 ,3981 ,7 ,6575 ,266 ,2199 ,大
利島村,126 ,314 ,19 ,23 ,0 ,6 ,6 ,185 ,1 ,182 ,16 ,171 ,利
新島村,1626 ,3786 ,74 ,86 ,3 ,37 ,33 ,1618 ,0 ,2041 ,105 ,1064 ,新
神津島村,1049 ,2529 ,63 ,51 ,0 ,38 ,37 ,1074 ,0 ,1260 ,65 ,741 ,神
三宅村,1884 ,4074 ,147 ,153 ,0 ,88 ,6 ,1391 ,3 ,1228 ,150 ,889 ,三
御蔵島村,121 ,301 ,31 ,51 ,0 ,2 ,1 ,258 ,0 ,152 ,15 ,100 ,御
八丈町,4657 ,10285 ,271 ,283 ,1 ,229 ,34 ,4676 ,2 ,5294 ,325 ,2220 ,八
青ヶ島村,80 ,191 ,26 ,27 ,0 ,0 ,1 ,102 ,0 ,77 ,10 ,37 ,青
小笠原村,1372 ,3105 ,252 ,257 ,1 ,130 ,28 ,1601 ,8 ,1225 ,108 ,652 ,小
