区市町村コード,区市町村,冬夕、風速8m/s、食料（～3日目）（万食）,冬夕、風速8m/s、食料（4～7日目）（万食）,冬夕、風速8m/s、飲料水（～3日目）（万L）,冬夕、風速8m/s、飲料水（4～7日目）（万L）,冬夕、風速8m/s、毛布（必要量）（万枚）,冬昼、風速8m/s、食料（～3日目）（万食）,冬昼、風速8m/s、食料（4～7日目）（万食）,冬昼、風速8m/s、飲料水（～3日目）（万L）,冬昼、風速8m/s、飲料水（4～7日目）（万L）,冬昼、風速8m/s、毛布（必要量）（万枚）,冬早朝、風速8m/s、食料（～3日目）（万食）,冬早朝、風速8m/s、食料（4～7日目）（万食）,冬早朝、風速8m/s、飲料水（～3日目）（万L）,冬早朝、風速8m/s、飲料水（4～7日目）（万L）,冬早朝、風速8m/s、毛布（必要量）（万枚）,冬夕、風速4m/s、食料（～3日目）（万食）,冬夕、風速4m/s、食料（4～7日目）（万食）,冬夕、風速4m/s、飲料水（～3日目）（万L）,冬夕、風速4m/s、飲料水（4～7日目）（万L）,冬夕、風速4m/s、毛布（必要量）（万枚）,冬昼、風速4m/s、食料（～3日目）（万食）,冬昼、風速4m/s、食料（4～7日目）（万食）,冬昼、風速4m/s、飲料水（～3日目）（万L）,冬昼、風速4m/s、飲料水（4～7日目）（万L）,冬昼、風速4m/s、毛布（必要量）（万枚）,冬早朝、風速4m/s、食料（～3日目）（万食）,冬早朝、風速4m/s、食料（4～7日目）（万食）,冬早朝、風速4m/s、飲料水（～3日目）（万L）,冬早朝、風速4m/s、飲料水（4～7日目）（万L）,冬早朝、風速4m/s、毛布（必要量）（万枚）
13205,青梅市,3,8,3,6,1,3,8,3,6,1,3,8,3,6,1,3,8,3,6,1,3,8,3,6,1,3,8,3,6,1
13206,府中市,9,24,11,20,4,8,22,10,20,4,8,22,10,20,4,9,23,11,20,4,8,22,10,20,4,8,22,10,20,4
13207,昭島市,4,12,6,11,2,4,11,6,11,2,4,11,6,11,2,4,12,6,11,2,4,11,6,11,2,4,11,6,11,2
13208,調布市,10,25,11,20,5,8,23,10,20,4,8,22,10,20,4,9,24,11,20,4,8,22,10,20,4,8,22,10,20,4
13209,町田市,19,44,17,31,8,15,39,16,31,7,15,38,16,31,7,18,43,17,31,8,15,38,16,31,7,15,38,16,31,7
13210,小金井市,7,16,6,11,3,5,13,6,11,2,5,12,6,11,2,7,16,6,11,3,5,13,6,11,2,5,12,6,11,2
13211,小平市,10,22,7,13,4,7,18,7,13,3,7,18,7,13,3,10,22,7,13,4,7,18,7,13,3,7,17,7,13,3
13212,日野市,7,20,10,18,4,6,19,9,18,3,6,19,9,18,3,7,19,10,18,4,6,19,9,18,3,6,18,9,18,3
13213,東村山市,5,14,6,12,3,5,13,6,12,2,4,13,6,12,2,5,14,6,12,3,4,13,6,12,2,4,13,6,12,2
13214,国分寺市,5,13,5,9,2,4,11,5,9,2,4,11,5,9,2,5,13,5,9,2,4,11,5,9,2,4,11,5,9,2
13215,国立市,3,7,3,5,1,2,6,3,5,1,2,6,3,5,1,2,6,3,5,1,2,6,3,5,1,2,6,3,5,1
13218,福生市,2,4,1,3,1,1,4,1,3,1,1,3,1,3,1,1,4,1,3,1,1,4,1,3,1,1,3,1,3,1
13219,狛江市,7,14,5,9,2,4,10,5,9,2,4,10,5,9,2,7,14,5,9,2,4,10,5,9,2,4,10,5,9,2
13220,東大和市,3,8,3,7,1,3,7,3,7,1,3,7,3,7,1,3,8,3,7,1,3,7,3,7,1,3,7,3,7,1
13221,清瀬市,2,6,3,5,1,2,6,3,5,1,2,6,3,5,1,2,6,3,5,1,2,6,3,5,1,2,5,3,5,1
13222,東久留米市,6,15,7,13,3,4,12,7,12,2,4,12,6,12,2,6,15,7,13,3,4,12,7,12,2,4,12,6,12,2
13223,武蔵村山市,2,6,2,4,1,2,5,2,4,1,2,5,2,4,1,2,6,2,4,1,2,5,2,4,1,2,5,2,4,1
13224,多摩市,5,12,5,10,2,4,12,5,10,2,4,12,5,10,2,5,12,5,10,2,4,12,5,10,2,4,12,5,10,2
13225,稲城市,3,9,4,9,2,3,9,4,9,2,3,9,4,9,2,3,9,4,9,2,3,9,4,9,2,3,9,4,9,2
13227,羽村市,2,7,5,9,1,2,7,4,9,1,2,7,4,9,1,2,7,5,9,1,2,7,4,9,1,2,7,4,9,1
13228,あきる野市,3,5,1,3,1,2,5,1,3,1,2,5,1,3,1,3,5,1,3,1,2,5,1,3,1,2,5,1,3,1
13229,西東京市,15,31,10,17,5,8,21,9,17,4,8,20,9,17,4,15,30,10,17,5,8,21,9,17,4,8,20,9,17,4
13303,瑞穂町,1,2,1,2,0,1,2,1,2,0,1,2,1,2,0,1,2,1,2,0,1,2,1,2,0,1,2,1,2,0
13305,日の出町,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0
13307,檜原村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13308,奥多摩町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,区部合計,657,"1,595",659,"1,689",287,542,"1,433",635,"1,681",262,527,"1,412",632,"1,680",259,646,"1,579",657,"1,688",285,537,"1,427",634,"1,680",261,523,"1,407",632,"1,680",258
,多摩合計,184,446,183,339,80,148,395,178,338,72,143,387,177,338,71,180,440,183,339,79,146,392,177,338,72,141,385,177,338,71
,都合計,841,"2,041",842,"2,028",367,690,"1,828",813,"2,019",335,670,"1,799",809,"2,018",330,826,"2,019",839,"2,027",364,683,"1,819",812,"2,018",333,665,"1,793",808,"2,017",329
