区市町村コード,区市町村,都心南部、冬夕、風速8m/s,都心南部、冬昼、風速8m/s,都心南部、冬早朝、風速8m/s,都心南部、冬夕、風速4m/s,都心南部、冬昼、風速4m/s,都心南部、冬早朝、風速4m/s,多摩東部、冬夕、風速8m/s,多摩東部、冬昼、風速8m/s,多摩東部、冬早朝、風速8m/s,多摩東部、冬夕、風速4m/s,多摩東部、冬昼、風速4m/s,多摩東部、冬早朝、風速4m/s,大正関東、冬夕、風速8m/s,大正関東、冬昼、風速8m/s,大正関東、冬早朝、風速8m/s,大正関東、冬夕、風速4m/s,大正関東、冬昼、風速4m/s,大正関東、冬早朝、風速4m/s,立川断層、冬夕、風速8m/s,立川断層、冬昼、風速8m/s,立川断層、冬早朝、風速8m/s,立川断層、冬夕、風速4m/s,立川断層、冬昼、風速4m/s,立川断層、冬早朝、風速4m/s
13211,小平市,0.008,0.005,0.004,0.008,0.005,0.005,0.041,0.014,0.012,0.038,0.013,0.015,0.007,0.005,0.004,0.007,0.005,0.005,0.03,0.012,0.01,0.027,0.011,0.012
13212,日野市,0.003,0.002,0.002,0.003,0.002,0.002,0.012,0.006,0.005,0.01,0.005,0.004,0.004,0.003,0.003,0.004,0.003,0.002,0.027,0.01,0.008,0.024,0.009,0.007
13213,東村山市,0.004,0.003,0.002,0.003,0.002,0.002,0.017,0.007,0.006,0.015,0.006,0.006,0.002,0.001,0.001,0.001,0.001,0.001,0.009,0.005,0.004,0.008,0.004,0.004
13214,国分寺市,0.012,0.007,0.006,0.011,0.007,0.005,0.03,0.015,0.013,0.026,0.013,0.011,0.011,0.008,0.007,0.01,0.007,0.006,0.086,0.029,0.022,0.069,0.022,0.016
13215,国立市,0.014,0.009,0.006,0.01,0.006,0.005,0.025,0.015,0.012,0.018,0.011,0.01,0.009,0.007,0.006,0.007,0.005,0.005,0.183,0.099,0.055,0.151,0.081,0.043
13218,福生市,0.001,0.001,0.001,0.001,0.001,0.001,0.01,0.007,0.006,0.01,0.007,0.005,0.003,0.003,0.002,0.003,0.003,0.002,0.065,0.034,0.018,0.061,0.032,0.017
13219,狛江市,0.076,0.022,0.017,0.074,0.022,0.014,0.099,0.039,0.033,0.097,0.039,0.026,0.024,0.012,0.008,0.023,0.012,0.006,0.003,0.002,0.001,0.003,0.002,0.001
13220,東大和市,0.003,0.002,0.002,0.003,0.002,0.004,0.019,0.012,0.01,0.017,0.01,0.018,0.004,0.003,0.003,0.004,0.003,0.007,0.075,0.021,0.015,0.064,0.019,0.026
13221,清瀬市,0.004,0.002,0.002,0.003,0.002,0.001,0.008,0.005,0.004,0.006,0.004,0.003,0.001,0.001,0,0.001,0,0,0.003,0.002,0.001,0.002,0.001,0.001
13222,東久留米市,0.007,0.004,0.003,0.007,0.004,0.003,0.042,0.012,0.011,0.042,0.012,0.011,0.003,0.002,0.001,0.003,0.002,0.001,0.007,0.004,0.003,0.006,0.004,0.003
13223,武蔵村山市,0.003,0.002,0.001,0.003,0.002,0.003,0.016,0.01,0.009,0.015,0.01,0.016,0.004,0.004,0.003,0.004,0.003,0.009,0.094,0.034,0.024,0.088,0.032,0.04
13224,多摩市,0.002,0.002,0.001,0.002,0.002,0.001,0.004,0.003,0.003,0.004,0.003,0.003,0.002,0.002,0.001,0.002,0.002,0.001,0.003,0.002,0.002,0.003,0.002,0.002
13225,稲城市,0.005,0.003,0.003,0.004,0.003,0.002,0.006,0.004,0.004,0.006,0.004,0.003,0.003,0.002,0.002,0.003,0.002,0.001,0.002,0.002,0.001,0.002,0.001,0.001
13227,羽村市,0.003,0.002,0.002,0.003,0.002,0.001,0.024,0.017,0.015,0.022,0.015,0.013,0.007,0.006,0.005,0.006,0.005,0.005,0.149,0.085,0.045,0.135,0.077,0.041
13228,あきる野市,0.005,0.003,0.002,0.005,0.003,0.001,0.023,0.015,0.013,0.022,0.014,0.006,0.01,0.008,0.007,0.01,0.007,0.002,0.037,0.023,0.02,0.035,0.022,0.008
13229,西東京市,0.014,0.008,0.006,0.013,0.008,0.007,0.083,0.022,0.019,0.079,0.021,0.022,0.01,0.006,0.004,0.009,0.005,0.005,0.009,0.005,0.003,0.008,0.005,0.004
13303,瑞穂町,0.001,0.001,0,0.001,0.001,0,0.006,0.004,0.004,0.005,0.004,0.003,0.002,0.001,0.001,0.002,0.001,0.001,0.049,0.031,0.014,0.048,0.03,0.015
13305,日の出町,0.002,0.001,0,0.001,0.001,0,0.011,0.007,0.005,0.01,0.007,0.003,0.003,0.002,0.001,0.003,0.002,0.001,0.009,0.006,0.004,0.009,0.005,0.002
13307,檜原村,0,0,0,0,0,0,0.001,0.001,0,0.001,0,0,0,0,0,0,0,0,0.001,0,0,0.001,0,0
13308,奥多摩町,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0.001,0,0,0.001,0,0
,区部合計,0.05,0.018,0.014,0.046,0.017,0.014,0.03,0.013,0.011,0.028,0.012,0.011,0.01,0.006,0.004,0.009,0.006,0.004,0.001,0.001,0,0.001,0.001,0.001
,多摩合計,0.011,0.006,0.004,0.01,0.005,0.005,0.028,0.013,0.011,0.026,0.012,0.012,0.008,0.005,0.004,0.007,0.005,0.005,0.033,0.016,0.011,0.03,0.015,0.011
,都合計,0.04,0.015,0.012,0.037,0.014,0.012,0.029,0.013,0.011,0.028,0.012,0.011,0.009,0.006,0.004,0.009,0.005,0.004,0.009,0.005,0.003,0.008,0.004,0.003
