X（m）,Y（m）,経度（度）,緯度（度）,津波高（最大）（m）
-63405,-194755,139.14499482,34.24243871,3.9011
-63395,-194755,139.14510337,34.24243931,3.8710
-63385,-194755,139.14521193,34.24243992,3.8298
-63375,-194755,139.14532048,34.24244053,3.7672
-63365,-194755,139.14542904,34.24244114,3.7209
-63355,-194755,139.14553759,34.24244175,3.6696
-63345,-194755,139.14564615,34.24244236,3.6285
-63335,-194755,139.14575470,34.24244297,3.6283
-63325,-194755,139.14586326,34.24244358,3.6624
-63305,-194755,139.14608037,34.24244480,3.5064
-63295,-194755,139.14618892,34.24244540,3.4391
-63975,-194765,139.13880791,34.24231366,3.8455
-63965,-194765,139.13891646,34.24231427,3.8997
-63955,-194765,139.13902502,34.24231489,4.0142
-63395,-194765,139.14510410,34.24234916,3.9361
-63385,-194765,139.14521266,34.24234977,3.9355
-63375,-194765,139.14532121,34.24235038,3.7937
-63365,-194765,139.14542977,34.24235099,3.7862
-63355,-194765,139.14553833,34.24235160,3.6820
-63345,-194765,139.14564688,34.24235221,3.6546
-63335,-194765,139.14575544,34.24235282,3.7183
-63325,-194765,139.14586399,34.24235343,3.8321
-63305,-194765,139.14608110,34.24235464,3.5336
-63295,-194765,139.14618966,34.24235525,3.4831
-63975,-194775,139.13880865,34.24222351,3.9093
-63965,-194775,139.13891721,34.24222412,3.9320
-63955,-194775,139.13902576,34.24222474,4.0154
-63945,-194775,139.13913431,34.24222535,4.2385
-63305,-194775,139.14608183,34.24226449,3.4946
-63295,-194775,139.14619039,34.24226510,3.4787
-64155,-194785,139.13685541,34.24212227,3.6440
-63975,-194785,139.13880939,34.24213335,4.0306
-63965,-194785,139.13891795,34.24213397,4.0739
-63955,-194785,139.13902650,34.24213458,4.1339
-63945,-194785,139.13913506,34.24213520,4.0707
-63295,-194785,139.14619112,34.24217495,3.5173
-63285,-194785,139.14629968,34.24217556,3.4785
-63275,-194785,139.14640823,34.24217616,3.4829
-63255,-194785,139.14662534,34.24217738,3.4841
-63235,-194785,139.14684245,34.24217860,3.4849
-64075,-194795,139.13772458,34.24203705,3.8506
-64065,-194795,139.13783314,34.24203766,3.9354
-63975,-194795,139.13881013,34.24204320,4.0383
-63965,-194795,139.13891869,34.24204382,4.0798
-63955,-194795,139.13902724,34.24204443,4.1357
