区市町村コード,区市町村,冬夕、風速8m/s、食料（～3日目）（万食）,冬夕、風速8m/s、食料（4～7日目）（万食）,冬夕、風速8m/s、飲料水（～3日目）（万L）,冬夕、風速8m/s、飲料水（4～7日目）（万L）,冬夕、風速8m/s、毛布（必要量）（万枚）,冬昼、風速8m/s、食料（～3日目）（万食）,冬昼、風速8m/s、食料（4～7日目）（万食）,冬昼、風速8m/s、飲料水（～3日目）（万L）,冬昼、風速8m/s、飲料水（4～7日目）（万L）,冬昼、風速8m/s、毛布（必要量）（万枚）,冬早朝、風速8m/s、食料（～3日目）（万食）,冬早朝、風速8m/s、食料（4～7日目）（万食）,冬早朝、風速8m/s、飲料水（～3日目）（万L）,冬早朝、風速8m/s、飲料水（4～7日目）（万L）,冬早朝、風速8m/s、毛布（必要量）（万枚）,冬夕、風速4m/s、食料（～3日目）（万食）,冬夕、風速4m/s、食料（4～7日目）（万食）,冬夕、風速4m/s、飲料水（～3日目）（万L）,冬夕、風速4m/s、飲料水（4～7日目）（万L）,冬夕、風速4m/s、毛布（必要量）（万枚）,冬昼、風速4m/s、食料（～3日目）（万食）,冬昼、風速4m/s、食料（4～7日目）（万食）,冬昼、風速4m/s、飲料水（～3日目）（万L）,冬昼、風速4m/s、飲料水（4～7日目）（万L）,冬昼、風速4m/s、毛布（必要量）（万枚）,冬早朝、風速4m/s、食料（～3日目）（万食）,冬早朝、風速4m/s、食料（4～7日目）（万食）,冬早朝、風速4m/s、飲料水（～3日目）（万L）,冬早朝、風速4m/s、飲料水（4～7日目）（万L）,冬早朝、風速4m/s、毛布（必要量）（万枚）
13113,渋谷区,5,15,7,16,3,5,15,7,16,3,5,15,7,16,3,5,15,7,16,3,5,15,7,16,3,5,15,7,16,3
13114,中野区,5,13,5,11,2,4,12,5,11,2,4,12,5,11,2,5,13,5,11,2,4,12,5,11,2,4,12,5,11,2
13115,杉並区,18,37,8,19,6,14,30,8,19,5,12,27,8,19,5,18,36,8,19,6,14,30,8,19,5,12,27,8,19,5
13116,豊島区,4,11,4,10,2,3,11,4,10,2,3,10,4,10,2,4,11,4,10,2,3,11,4,10,2,3,10,4,10,2
13117,北区,7,20,8,18,4,7,20,8,18,4,7,20,8,18,4,7,20,8,18,4,7,20,8,18,4,7,20,8,18,4
13118,荒川区,13,29,10,22,5,12,29,10,22,5,12,29,10,22,5,13,29,10,22,5,12,29,10,22,5,12,29,10,22,5
13119,板橋区,6,20,8,18,4,5,19,8,18,4,5,18,7,18,4,6,20,8,18,4,5,19,8,18,4,5,18,7,18,4
13120,練馬区,10,22,5,11,4,8,18,5,11,3,7,17,5,11,3,10,22,5,11,4,8,18,5,11,3,7,17,5,11,3
13121,足立区,28,76,34,75,14,26,73,33,75,14,26,73,33,75,13,28,75,34,75,14,26,73,33,75,14,26,72,33,75,13
13122,葛飾区,17,60,34,76,11,16,59,34,76,11,16,58,34,76,11,17,59,34,76,11,16,58,34,76,11,16,58,34,76,11
13123,江戸川区,31,103,58,128,19,29,100,57,127,19,28,99,57,127,19,30,102,57,128,19,29,99,57,127,19,28,99,57,127,19
13201,八王子市,11,28,11,10,5,11,26,11,10,5,10,26,11,10,5,11,27,11,10,5,10,26,11,10,5,10,26,11,10,5
13202,立川市,1,3,1,1,1,1,3,1,1,1,1,3,1,1,0,1,3,1,1,1,1,3,1,1,1,1,3,1,1,0
13203,武蔵野市,3,7,3,3,1,2,6,3,3,1,2,6,3,3,1,3,7,3,3,1,2,6,3,3,1,2,6,3,3,1
13204,三鷹市,3,7,2,2,1,3,6,2,2,1,2,6,2,2,1,3,7,2,2,1,3,6,2,2,1,2,6,2,2,1
13205,青梅市,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
13206,府中市,3,9,4,4,2,3,9,4,4,2,3,9,4,4,2,3,9,4,4,2,3,9,4,4,2,3,9,4,4,2
13207,昭島市,1,3,1,1,0,1,3,1,1,0,1,2,1,1,0,1,3,1,1,0,1,3,1,1,0,1,2,1,1,0
13208,調布市,4,9,4,3,2,3,8,4,3,2,3,8,4,3,2,3,9,4,3,2,3,8,4,3,2,3,8,4,3,1
13209,町田市,14,32,13,12,6,13,31,13,12,5,13,30,13,12,5,14,32,13,12,6,13,30,13,12,5,13,30,13,12,5
13210,小金井市,2,5,2,2,1,2,4,2,2,1,1,4,2,2,1,2,5,2,2,1,2,4,2,2,1,1,4,2,2,1
13211,小平市,2,5,2,2,1,2,5,2,2,1,2,5,2,2,1,2,5,2,2,1,2,5,2,2,1,2,4,2,2,1
13212,日野市,3,7,3,3,1,2,7,3,3,1,2,7,3,3,1,3,7,3,3,1,2,7,3,3,1,2,7,3,3,1
13213,東村山市,1,2,1,1,0,1,2,1,1,0,0,2,1,1,0,1,2,1,1,0,1,2,1,1,0,0,2,1,1,0
13214,国分寺市,2,5,2,2,1,2,4,2,2,1,2,4,2,2,1,2,5,2,2,1,2,4,2,2,1,2,4,2,2,1
13215,国立市,1,2,1,1,0,1,2,1,1,0,1,2,1,1,0,1,2,1,1,0,1,2,1,1,0,1,2,1,1,0
13218,福生市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13219,狛江市,2,5,2,2,1,2,4,2,2,1,1,4,2,2,1,2,5,2,2,1,2,4,2,2,1,1,4,2,2,1
13220,東大和市,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0
13221,清瀬市,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
13222,東久留米市,1,2,1,1,0,0,2,1,1,0,0,2,1,1,0,1,2,1,1,0,0,2,1,1,0,0,2,1,1,0
13223,武蔵村山市,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
13224,多摩市,3,7,3,2,1,3,6,3,2,1,3,6,3,2,1,3,7,3,2,1,3,6,3,2,1,3,6,3,2,1
13225,稲城市,2,5,2,2,1,2,5,2,2,1,2,5,2,2,1,2,5,2,2,1,2,5,2,2,1,2,5,2,2,1
13227,羽村市,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0
13228,あきる野市,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
13229,西東京市,2,6,2,2,1,2,5,2,2,1,2,5,2,2,1,2,6,2,2,1,2,5,2,2,1,2,5,2,2,1
13303,瑞穂町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13305,日の出町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13307,檜原村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13308,奥多摩町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,区部合計,343,939,416,910,173,317,902,412,909,167,306,886,410,909,165,339,933,415,910,172,315,899,412,909,167,305,884,410,909,164
,多摩合計,63,154,61,57,28,56,144,61,57,26,54,141,61,57,26,62,152,61,57,27,56,143,61,57,26,53,140,61,57,26
,都合計,406,"1,093",477,968,201,374,"1,046",473,966,194,360,"1,027",471,966,191,400,"1,085",476,967,200,370,"1,041",472,966,193,358,"1,024",471,966,190
