事業所規模,和暦年,西暦年,年平均・月・前年比・前年同月比,調査産業計,鉱業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業,卸売・小売業,金融・保険業,不動産業,飲食店，宿泊業,医療，福祉,教育，学習支援業,複合サービス事業,サービス業（他に分類されないもの）
30人以上,平成21,2009,4月（前年同月比（％））,-1,8.5,3.5,-0.4,0.8,0,4,0.2,-1.2,-4.7,-9.7,-2.2,-3.6,8.2,-0.8
30人以上,平成21,2009,5月（前年同月比（％））,-3.1,7.9,-1.1,-2,-1.3,-0.3,5.5,-6.4,-5.1,-2.5,-17.3,-0.6,2.4,0.1,-3.7
30人以上,平成21,2009,6月（前年同月比（％））,-0.8,7.3,2.5,-1.6,-0.1,0.7,4.8,0.9,-3.7,-1.3,-7.2,-0.7,0.4,0.9,-2.1
30人以上,平成21,2009,7月（前年同月比（％））,-1.2,5.8,2.5,-2.3,-2.1,2.7,2.5,-3.2,-2.6,-4,0.5,3.2,1.1,0.3,-2.6
30人以上,平成21,2009,8月（前年同月比（％））,-0.8,-2.5,1.3,-1.1,-3.8,0.8,3.4,-1.9,-2.7,-5.4,-1.2,0.9,-0.4,1.2,0.1
30人以上,平成21,2009,9月（前年同月比（％））,-1.8,-0.9,2.9,-1.5,-7.8,-1.5,4.1,-2.5,-3.7,-4.3,-1.4,1.3,-0.2,4.7,-4.2
30人以上,平成21,2009,10月（前年同月比（％））,-0.8,-0.9,1.5,-2.1,-3.8,-0.6,1.9,-2.1,-3.1,-4.4,12.3,-0.5,-0.4,2.6,0.4
30人以上,平成21,2009,11月（前年同月比（％））,-0.4,-1.2,0.5,-1.5,-10.2,2.1,2,-1.1,-1.2,-4.5,-2.1,0.9,2.2,1.4,-0.8
30人以上,平成21,2009,12月（前年同月比（％））,-0.2,-2.1,-0.5,-1.9,-5.5,0.8,2.8,1.2,-0.1,-4.6,-3.5,-2.2,2.4,6.1,-1.1
,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成21年確報,,,,,,,,,,,,,,,,,,
第１５表　名目賃金指数（所定内給与）,,,,,,,,,,,,,,,,,,
（平成17年平均=100）,,,,,,,,,,,,,,,,,,
（注）平成21年１月分調査における調査対象事業所の抽出替えに伴い、指数を平成19年に遡って改訂しています。,,,,,,,,,,,,,,,,,,
