地域階層,地域コード,国・地域(人),総数,中国,韓国・朝鮮,フィリピン,米国,ネパール,インド,タイ,英国,ミャンマー,ベトナム,その他,前年同月との比較／総数,前年同月との比較／増減数
4,13307,檜原村,12,0,6,2,4,0,0,0,0,0,0,0,11,1
4,13308,奥多摩町,22,5,3,4,3,0,0,1,1,0,0,5,21,1
2,13350,島部,231,15,82,68,19,0,0,7,1,0,2,37,220,11
3,13360,大島支庁,62,7,12,5,3,0,0,5,0,0,0,30,59,3
3,13380,三宅支庁,44,1,16,18,6,0,0,0,0,0,2,1,33,11
3,13400,八丈支庁,104,5,48,44,3,0,0,2,0,0,0,2,108,-4
3,13420,小笠原支庁,21,2,6,1,7,0,0,0,1,0,0,4,20,1
,,,,,,,,,,,,,,,,
外国人人口　平成25年10月,,,,,,,,,,,,,,,,
第１表　区市町村別主要10か国外国人人口 （平成25年10月１日現在）,,,,,,,,,,,,,,,,
注１）国籍は、平成２５年１月１日現在で登録人口の多い１０か国とした。,,,,,,,,,,,,,,,,
注２）人口規模を考慮し、島部町村については、支庁単位の集計とした。各支庁管内の町村は次のとおり。大島支庁：大島町、利島村、新島村、神津島村。　八丈支庁 ：八丈町、青ヶ島村。三宅支庁 ：三宅村、御蔵島村。小笠原支庁：小笠原村。,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,,
