 3-(2)海上出入貨物品種別表,,,,,,,,,,,,,,,(単位：トン）
品種,,合計,,輸出,,,,輸入,,,,移出,,移入,
31,金属製品,"111,593","353,214","24,135","71,209","24,135","71,200","82,736","268,461","80,567","264,658","3,142","9,776","1,580","3,768"
32,鉄道車両,159,374,45,140,45,140,114,234,114,234,-,-,-,-
33,完成自動車,"1,235,122","3,275,827","9,521","22,603","9,511","22,448","1,942","6,052","1,895","5,854","677,231","1,844,586","546,428","1,402,586"
34,その他輸送用車両,"7,003","23,207",236,678,236,678,"6,174","18,672","5,694","15,975",533,"3,754",60,103
35,二輪自動車,"6,463","18,005","2,547","6,997","2,547","6,997","3,887","10,929","3,887","10,929",14,38,15,41
36,自動車部品,"169,393","525,274","122,464","364,552","122,464","364,552","42,509","149,302","42,487","149,276","1,755","4,405","2,665","7,015"
37,その他輸送機械,"42,555","139,731","5,123","15,830","5,123","15,830","16,792","62,506","16,792","62,506","5,770","20,950","14,870","40,445"
38,産業機械,"241,404","726,921","142,243","403,323","142,001","402,019","84,648","280,042","84,534","279,892","11,752","35,775","2,761","7,781"
39,電気機械,"258,237","823,571","57,550","151,464","57,550","151,464","194,988","656,943","194,930","656,775","4,059","11,963","1,640","3,201"
40,測量・光学・医療用機械,"45,606","134,214","21,387","56,701","21,387","56,466","20,459","68,062","20,447","67,387","2,387","6,195","1,373","3,256"
41,事務用機器,"12,497","48,377","2,069","5,924","2,069","5,924","7,530","29,435","7,530","29,435","2,768","12,748",130,270
42,その他機械,"4,302","12,342",927,"2,007",927,"2,007","1,396","4,978","1,396","4,978",904,"3,027","1,075","2,330"
化学工業品,,"1,016,751","3,138,092","208,080","551,867","208,080","551,866","217,224","729,683","217,222","729,671","36,056","107,642","555,391","1,748,900"
43,陶磁器,"10,295","31,264",472,"1,536",472,"1,536","9,823","29,728","9,823","29,728",-,-,-,-
44,セメント,"213,402","567,355",46,106,46,106,"1,065","3,644","1,065","3,644","4,067","10,611","208,224","552,994"
45,ガラス類,"20,197","59,002","6,031","18,736","6,031","18,736","12,481","36,746","12,481","36,746","1,620","3,400",65,120
46,窯業品,"30,428","87,499","10,389","28,209","10,389","28,209","15,966","45,087","15,966","45,087","2,333","9,244","1,740","4,959"
47,重油,"35,076","104,228",-,-,-,-,-,-,-,-,"16,885","49,857","18,191","54,371"
48,揮発油,122,289,-,-,-,-,74,89,74,89,48,200,-,-
49,その他の石油,"306,508","1,071,894","2,131","5,746","2,131","5,746","1,155","3,900","1,155","3,900",721,"2,854","302,501","1,059,394"
50,LNG/液化天然ガス,11,56,-,-,-,-,11,56,11,56,-,-,-,-
51,LPG/液化石油ガス,736,"2,054",-,-,-,-,-,105,-,105,736,"1,949",-,-
52,その他石油製品,"17,521","50,922",180,598,180,598,782,"3,007",782,"3,007","1,624","3,607","14,935","43,710"
53,コークス,"1,035","7,758",-,-,-,-,"1,035","3,540","1,035","3,540",-,"1,610",-,"2,608"
54,石炭製品,66,"1,013",51,953,51,953,15,60,15,60,-,-,-,-
55,化学薬品,"70,922","219,051","24,339","67,071","24,339","67,071","38,770","128,572","38,770","128,572","3,116","9,426","4,697","13,982"
56,化学肥料,"5,529","16,845",5,891,5,891,"4,774","14,244","4,774","14,244",410,895,340,815
57,その他化学工業品,"304,903","918,862","164,436","428,021","164,436","428,020","131,273","460,905","131,271","460,893","4,496","13,989","4,698","15,947"
軽工業品,,"525,859","1,590,078","57,073","154,473","57,073","154,438","304,895","995,003","304,895","994,999","48,579","127,766","115,312","312,836"
58,紙・パルプ,"144,256","427,922","21,732","59,379","21,732","59,379","41,597","145,917","41,597","145,917","3,823","10,471","77,104","212,155"
59,糸及び紡績半製品,"4,835","14,215",720,"2,044",720,"2,044","4,115","12,171","4,115","12,171",-,-,-,-
60,その他繊維工業品,"24,498","79,480","4,754","12,410","4,754","12,375","19,531","66,201","19,531","66,201",213,859,-,10
61,砂糖,"11,559","33,530",52,99,52,99,"4,140","11,610","4,140","11,610","1,277","3,777","6,090","18,044"
62,製造食品,"211,539","659,526","24,144","65,409","24,144","65,409","163,335","532,061","163,335","532,057","13,914","39,199","10,146","22,857"
63,飲料,"75,299","215,904","5,058","13,931","5,058","13,931","39,281","124,761","39,281","124,761","21,543","54,737","9,417","22,475"
64,水,"22,213","58,954",600,"1,092",600,"1,092","17,174","47,229","17,174","47,229","2,809","6,438","1,630","4,195"
65,たばこ,"4,851","19,302",-,79,-,79,"3,446","16,168","3,446","16,168",810,"2,020",595,"1,035"
66,その他食料工業品,"26,809","81,245",13,30,13,30,"12,276","38,885","12,276","38,885","4,190","10,265","10,330","32,065"
雑工業品,,"715,087","2,379,503","103,077","274,248","103,077","274,214","566,799","1,980,598","566,745","1,980,357","35,588","100,069","9,623","24,588"
67,がん具,"29,479","94,862","2,273","6,546","2,273","6,546","27,196","88,291","27,196","88,291",10,25,-,-
68,衣服・身廻品・はきもの,"251,030","912,209","12,088","36,253","12,088","36,253","237,256","868,703","237,256","868,701","1,666","7,014",20,239
69,文房具・運動娯楽用品・楽器,"57,685","168,450","11,959","31,215","11,959","31,215","43,702","131,684","43,685","131,657",20,"1,367","2,004","4,184"
70,家具装備品,"122,323","432,838","8,051","20,781","8,051","20,781","111,518","403,760","111,518","403,757","2,249","7,147",505,"1,150"
71,その他日用品,"67,184","189,024","9,773","24,058","9,773","24,058","30,875","95,441","30,875","95,440","23,105","61,371","3,431","8,154"
72,ゴム製品,"62,821","188,548","31,790","93,734","31,790","93,734","29,538","90,263","29,538","90,263",705,"2,245",788,"2,306"
73,木製品,"73,315","257,048","1,219","3,401","1,219","3,401","69,413","247,357","69,376","247,153","2,638","5,645",45,645
74,その他製造工業品,"51,250","136,524","25,924","58,260","25,924","58,226","17,301","55,099","17,301","55,095","5,195","15,255","2,830","7,910"
特殊品,,"1,106,205","3,068,324","281,475","727,222","222,487","582,744","144,981","466,490","144,926","452,332","467,764","1,309,755","211,985","564,857"
75,金属くず,"74,658","189,599","66,987","165,788","8,002","22,123","4,690","14,679","4,690","14,679","1,235","4,437","1,746","4,695"
76,再利用資材,"220,817","587,732","183,223","477,768","183,223","477,768","5,381","11,962","5,381","11,962","28,263","88,152","3,950","9,850"
77,動植物性製造飼肥料,"80,413","253,267","2,540","4,790","2,540","4,790","72,468","232,441","72,468","232,441","4,920","14,456",485,"1,580"
78,廃棄物,"1,936","4,298",-,-,-,-,-,-,-,-,515,"1,175","1,421","3,123"
79,廃土砂,"183,204","529,038",-,-,-,-,-,-,-,-,"183,104","528,870",100,168
80,輸送用容器,"106,108","317,344","17,296","46,622","17,293","45,809","59,309","195,333","59,254","181,175","6,271","17,883","23,232","57,506"
81,取合せ品,"439,069","1,187,046","11,429","32,254","11,429","32,254","3,133","12,075","3,133","12,075","243,456","654,782","181,051","487,935"
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
