 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"1,230",381,"3,828","1,373",156,381,429,"1,373","1,074",-,"3,399",-
,82.6%,90.7%,92.1%,154.1%,72.2%,90.7%,76.3%,154.1%,84.4%,-,94.6%,-
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
東南アジア,"121,280","18,530","336,160","57,378","37,371","18,298","100,126","56,877","83,909",232,"236,034",501
,94.1%,85.7%,96.2%,80.6%,102.5%,85.6%,107.1%,80.6%,90.8%,94.3%,92.2%,83.5%
台湾,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"9,245","4,803","26,596","14,074","2,506","4,626","6,978","13,768","6,739",177,"19,618",306
,76.4%,121.4%,80.7%,102.5%,67.5%,118.4%,72.0%,101.6%,80.4%,361.2%,84.3%,163.6%
中国(香港含む),"68,420","36,800","179,947","113,292","12,239","36,723","32,024","113,053","56,181",77,"147,923",239
,90.7%,71.3%,85.4%,78.0%,93.0%,71.3%,94.8%,78.1%,90.2%,72.0%,83.6%,58.4%
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
内航計,"25,750","23,201","69,003","57,801","13,031","21,599","36,127","52,377","12,719","1,602","32,876","5,424"
,115.3%,97.1%,111.0%,107.5%,116.0%,95.6%,118.4%,106.2%,114.5%,122.9%,103.9%,122.2%
内航定期計,"17,579","2,436","48,574","7,313","8,381","1,194","24,091","3,158","9,198","1,242","24,483","4,155"
,95.0%,48.1%,95.6%,59.3%,89.5%,31.7%,95.3%,40.0%,100.7%,95.7%,96.0%,94.0%
北海道,"7,092",242,"19,337",810,"3,556",242,"9,813",799,"3,536",-,"9,524",11
,115.1%,-,121.8%,460.2%,105.7%,-,117.3%,454.0%,126.4%,-,126.8%,-
東北,"3,540",612,"10,704","1,742","1,365",606,"4,438","1,718","2,175",6,"6,266",24
,107.5%,94.9%,103.3%,78.3%,75.6%,94.2%,85.5%,85.7%,146.2%,300.0%,121.1%,10.9%
関東,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
伊豆諸島,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
中部,"1,009",173,"2,367",681,-,160,74,445,"1,009",13,"2,293",236
,45.8%,8.8%,46.5%,20.0%,-,8.1%,4.7%,13.1%,67.4%,1300.0%,64.9%,23600.0%
近畿,539,187,"1,838",201,25,186,325,196,514,1,"1,513",5
,51.4%,17.2%,48.6%,9.4%,25.5%,17.1%,100.0%,9.3%,54.1%,-,43.7%,10.4%
中国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
九州,"2,241",-,"5,809",-,"1,116",-,"2,952",-,"1,125",-,"2,857",-
,79.5%,-,83.7%,-,96.0%,-,96.9%,-,67.9%,-,73.3%,-
沖縄,"3,158","1,222","8,519","3,879","2,319",-,"6,489",-,839,"1,222","2,030","3,879"
,106.1%,93.3%,101.7%,94.1%,103.9%,-,98.8%,-,112.5%,96.1%,112.0%,95.0%
内航不定期,"8,171","20,765","20,429","50,488","4,650","20,405","12,036","49,219","3,521",360,"8,393","1,269"
,212.7%,110.3%,179.8%,121.9%,248.9%,108.4%,230.0%,118.9%,178.5%,6000.0%,137.0%,7050.0%
,,,,,,,,,,,,
各下段： 対前年比％,,,,,,,,,,,,
