Ｎｏ．,区市町村名,申請団体名,事業名
92,杉並区,今川町親和会,イベントを通じた、地域内の交流促進及び人材の育成を図る
93,豊島区,西池袋南町会,日頃見守をしている子供たちに思い出を　「地域住民と楽しむ祭りの夜の縁日」
94,豊島区,上池袋町会,「さくら公園納涼盆踊り大会」を通じた地域活性化
95,荒川区,大西町会,下町絆親子まつり
96,板橋区,板橋区桜川町会,夏休み子供イベントおよび餅つき大会で青少年健全育成及び町会員の交流、町会入会の促進を図る事業
97,板橋区,志村城山町会,盆踊りを通し地域交流を推進する事業
98,板橋区,清水宮本睦会,地域とナショナルトレーニングセンターの連携による地域活性化事業
99,板橋区,大原東町会,「親子ふれあいまつり」を通じた地域交流事業
100,板橋区,大山東町会,商店街と連携した地域交流事業「いたばし舞祭」
101,板橋区,中台若木町会,中台若木町会納涼盆踊り大会
102,板橋区,蓮沼仲町会,ふるさと祭り・盆踊り大会を通じた地域活性化事業
103,板橋区,蓮沼東町会,縁日大会における地域交流事業
104,板橋区,前野町四丁目町会,親子納涼大会を通じた地域の世代間交流事業
105,板橋区,茂呂町会,茂呂キッズフェス　２０１７夏
106,板橋区,栄町自治会,栄町自治会と栄町福寿会の連携による「地域社会交流の向上事業」の実施
107,板橋区,清水町会,提灯行列を通じ・地域社会を明るくし・世代間の交流・地域との交流を図る事業
108,板橋区,蓮根南町会,納涼盆踊り
109,板橋区,清水朝日町会,清水朝日町会　第４７回提灯行列
110,練馬区,東大泉二丁目町会,ラジオ体操を通じた地域の見守り力向上事業
111,練馬区,南大泉２丁目町会,子供祭り開催に合わせた町会加入促進
112,練馬区,小竹町会,「小竹の森音楽祭」・「こたけあそび」を通じた小竹町ふるさとづくり
113,練馬区,練馬区南大泉連合町会,健やかラジオ体操を通じた青少年の健全育成と地域交流事業
114,練馬区,南田中団地第三自治会,南田中団地納涼盆踊り大会
115,足立区,青井４丁目第３自治会,地域住民を日本伝統文化に触れさせ地域の絆を深め地域活性化を図る事業
116,足立区,竹の塚第二団地自治会,「竹の塚第二団地祭」　による地域活性化事業
117,足立区,ミディオン自治会,ミディオン「サマーフェスティバル」を通じた地域交流事業
118,足立区,四つ木３丁目若宮町会,盆踊りを通じ節電活動の推進事業
119,足立区,奥戸一丁目町会,地域交流盆踊り事業
120,足立区,水元中之橋町会,水元中之橋町会　納涼盆踊り大会
121,足立区,西水元団地自治会,団地のつどい
122,足立区,青戸共和会,青戸共和会納涼祭
123,足立区,水元自治町会連合会,水元公園さんま祭り
124,足立区,金町マンション自治会,夏祭りによる自治会加入促進及び自治会活動活性化事業
125,足立区,金町末広自治会,金町末広自治会盆踊り大会
126,足立区,水元飯塚町会,首都直下型地震を想定した水元飯塚町会総合防災訓練
127,足立区,水元下手町会,水元下手町会「納涼盆踊り大会」を通じた地域交流事業
128,足立区,淡之須町会,初期消火器具による初期消火訓練並びに地域合同防災訓練による地域防災力向上事業
129,足立区,さつき自治会,夏祭り盆踊り大会
130,江戸川区,コーシャハイム清新自治会,清新サロンと夏祭りの運営による地域住民の交流事業
131,江戸川区,ハイラーク船堀自治会,夏まつりを通じた地域交流事業
132,江戸川区,ジュネシオン平井自治会,実践省エネ夏祭り　（省エネ照明・ＬＥＤを用いた夏祭り開催）
133,江戸川区,コーシャハイム小松川一丁目住宅自治会,まつりだワッショイ小松川‘１７
134,八王子市,八王子市加住地区町会・自治会連合会,加住地域活性化事業
135,八王子市,元八王子地区町会自治会連合会,元八王子北條氏照まつり
136,八王子市,高尾紅葉台自治会,夏祭りを通じた「地域力」の向上
137,八王子市,八王子市谷野町会,夏の納涼祭の開催で町会員の融和と町会帰属意識を高める取り組み
138,八王子市,八王子市町会自治会連合会,町会・自治会等での加入促進キャンペーン事業
139,八王子市,片倉台自治会,片倉台夏まつり
140,八王子市,長沼町会,長沼町会夏まつり
141,八王子市,上壱分方町神戸町会,夏祭りを通して、子供の育成と地域住民との交流を促進
142,八王子市,上川町中部町会,上川町中部町民祭を通して地域交流事業
143,八王子市,横川町二丁目町会,夏祭りを通じて、子供の育成と地域住民との交流を促進
144,八王子市,南町町会,四町会合同防犯・防災訓練
145,八王子市,緑町東町会,世代間交流イベント
146,八王子市,高尾台自治会,ふるさと高尾台ふれあい盆踊り推進事業
147,八王子市,元八王子町一丁目町会,元八王子町一丁目町会納涼祭（元一納涼祭）
148,八王子市,大和田町会,祭り・盆踊りの実施による地域連帯事業
149,八王子市,諏訪下町会,「餅つき大会」を通じて町内会の交流を図っていく事業
150,八王子市,八王子市四谷町会,餅つきや歳末警戒を通じた地域交流事業
151,立川市,立川市自治会連合会栄町支部,地域の避難所訓練を主体にした防災訓練と夏休み親子防災一日体験
152,立川市,立川市自治会連合会富士見町支部,防犯と防災活動を結びつけた防犯・防災強化事業
153,立川市,東羽衣会,夏のイベント（盆踊り・夏祭り）を通して地域世代間の交流を深め、地域住民の絆を強化する
154,立川市,栄町南部自治会,中断している住民素人演芸大会の復活事業
155,青梅市,東青梅五丁目自治会,東五防災ボランティア訓練（安心ネットワーク事業）
156,青梅市,木野下自治会,納涼盆踊り大会
157,青梅市,青梅市自治会連合会第八支会,地域の絆づくり事業
158,青梅市,新町一丁目自治会,「無事旗」を使用した安否確認訓練
159,青梅市,新町二丁目自治会,流しそうめんとスイカ割りを通じた自治会会員加入促進事業
160,青梅市,河辺町八丁目自治会,「盆踊り大会」を通じた地域交流の促進事業
161,青梅市,河辺町二丁目自治会,盆踊りを通しての地域交流事業
162,府中市,栄町３丁目富士見会,防災訓練を通じた地域防災力の向上
163,府中市,本宿町三丁目自治会,地域団体との連携による夏まつり納涼盆踊り大会
164,昭島市,郷地東町連合自治会,地域の防災と防犯を主体とした自治会活性化事業
165,昭島市,福島連合自治会,避難訓練を通じた地域防災力の向上事業
166,昭島市,東中神睦会,夏祭り運営体験による子供育成事業
167,昭島市,中神駅前親交自治会,夏祭りの合同実施による地域活性化事業
168,調布市,下石原連合自治会,下石原連合自治会納涼祭
169,調布市,中央親交会,防災訓練を通じた地域防災力の向上事業
170,調布市,多摩川住宅自治連合会,第５１回　多摩川ふるさと団地まつり
171,町田市,成瀬中央自治会,自治会連携による地域の消火力向上
172,町田市,町有町内会,第１９回町有・ゼロワンふれあいまつり
173,町田市,南町田自治会,南町田祭り活動を通じた地域交流活動
174,町田市,本町田町内会,本町田大運動会を通じた地域交流促進事業
175,町田市,図師町内会,夜間防災訓練の実施による防災力の強化
176,町田市,もみじ台町内会,「もみじ台ファミリー祭」　による地域の一体感醸成事業
177,町田市,鶴川２丁目自治会,第４７回鶴川三団地・商店会夏まつり
178,町田市,町田市中町中央町内会,「中町中央町内会納涼盆踊り大会」　を通じて地域の課題解決のための取組
179,町田市,桜美林台自治会,イベントを通した地域力向上
180,町田市,忠生地区町内会・自治会連合会,体育祭を通じた地域交流事業
181,小金井市,弁天通り自治会,防災訓練で避難所の開設・宿泊体験を行ない地域防災力の強化を図る
182,小金井市,梶野町会,梶野町大運動会
183,小平市,協和会自治会,防災訓練を通じた地域防災力の向上事業
184,日野市,旭が丘上の原自治会,「子供たちのための地域夏祭り」
185,日野市,シティハイツ日野旭が丘自治会,納涼祭りによる地域住人の交流促進事業
186,東村山市,多摩湖町自治会,納涼のつどいを通じた地域住民及び世代間交流の促進
187,東村山市,野口町一丁目自治会,てんしゃばフェスタ
188,東村山市,久米川町４丁目自治会,地域福祉の増進、親睦と交流、コミュニティの醸成を目的とした「納涼会」の開催
189,国立市,富士見台四丁目自治会,地域活性及び住民交流促進盆踊り
190,国立市,下谷保町内会,下谷保町内会　防災訓練
191,福生市,福生市鍋ヶ谷戸第二町会,地域ふれあいのための夏祭り、盆踊り
192,福生市,福生市南田園二丁目町会,地域ふれあいのための納涼大会
193,福生市,福生市永田町会,盆踊りを通じた地域住民の交流促進事業
194,福生市,福生市南田園一丁目町会,地域の親睦と加入促進のための夏祭り
195,東大和市,南街栄一丁目自治会,「地域の歴史学習と祭りによる青少年健全育成及び自治会加入促進事業」
196,東大和市,芝中住宅自治会,夏祭りの実施を通じた世代間交流事業
197,清瀬市,中里自治会,防災訓練を通じた地域防災力の向上事業
198,東久留米市,前沢四丁目自治会,避難所運営訓練を通じた地域防災力向上事業
199,武蔵村山市,学園自治会,学園自治会夏祭り大会
200,武蔵村山市,三ツ藤自治会,三ツ藤自治会夏祭りを通じた地域交流事業
201,武蔵村山市,原山自治会,夏祭りを通じた地域交流事業
202,武蔵村山市,峰自治会,峰自治会演芸大会
203,稲城市,長峰ローレルヒルズ自治会,三自治会共同による夜間を想定した防災活動拠点設営訓練の実施
204,稲城市,向陽台地区連合会,夏まつりを通じた地区交流・向上事業（向陽台地区夏まつり）
205,あきる野市,下引田町内会,町内会住民による青少年健全育成を目指した納涼盆踊り大会の実施事業
206,あきる野市,油平本町町内会,会員間の交流を深め、地域活性化を図る納涼大会
207,あきる野市,中引田町内会,中引田納涼大会
208,西東京市,西東京市第３区町会,地域住民の交流促進を図る納涼盆踊り大会
209,瑞穂町,富士見町町内会,防災訓練を通じた地域防災力の向上
