番号,区市町村,申請団体名,事業名
40,,新井宿七丁目町会,新井宿七丁目町会　餅つき大会
41,世田谷区,北沢２丁目協和会,商店街と連携したパトロールの実施
42,,芦花公園団地自治会,防災訓練を通じた地域防災力の向上
43,渋谷区,恵比寿南町会,まちかど防災訓練
44,,恵比寿商店街町会,天然芝育成とイベントによる子どもとの自然体験
45,,恵比寿南親和会,恵比寿南親和会(原町子ども会)餅つき大会
46,中野区,新井町会連合会,中野通り桜まつりを通じた地域交流及び多文化共生理解の促進の取り組み
47,,中野区本町通六丁目町会,餅つきによる地域住民交流事業
48,,氷川町会,防災・炊き出し訓練
49,,若宮一丁目町会,防災マニュアル作成
50,杉並区,高円寺南一丁目西町会,餅つきと昔あそび、文化継承・地域多世代交流・多文化共生事業
51,,地縁法人成三町会,関東大震災から100年に向けた大震災冊子を活用した防災知識の普及啓発の取組み
52,,和泉第一町会,中高生学習支援活動　ROPEと和泉第一町会による 学習サロン を通じた地域交流
53,,井草１・２丁目自治会,第46回井草どんどやき
54,豊島区,駒込七丁目町会,駒込六丁目東文化会、駒込七丁目町会連合もちつき
55,,千川二丁目町会,日本文化を高齢者世代から次世代へ継承し、多文化圏出身者へ日本文化を体験してもらおうプロジェクト
56,北区,十条地区町会連合会,十条地区町会連合会運動会
57,,東十条四丁目町会,もちつき大会を通じた地域力向上事業
58,,西が丘三丁目自治会,大学と連携した多文化・多世代の交流事業
59,,北区上中里３丁目自治会,餅つき
60,,ヌーヴェル赤羽台自治会,ライトアップ・クリスマス交流会を通じた世代間を越えた地域交流
61,荒川区,町屋一丁目東町会,餅つき大会を通じて地域住民との親睦
62,板橋区,板橋区桜川町会,歳末防災夜警
63,,板橋区町会連合会志村坂上支部,新春凧あげ大会を通じた地域世代間交流促進事業
64,,板橋区弥生町南町会,防災マップ入り会員名簿を活用した地域防災力向上事業
65,,蓮沼西町会,七草粥と餅つきを通じた地域活性化事業
66,,板橋区蓮根仲町会,餅つき大会
67,,舟渡町会,いたばしプロレスリング等と連携した舟渡の子供の育成及び地域交流促進事業
68,,高島平一丁目町会,令和５年度高島平一丁目町会　デジタル活用支援（餅つき大会の動画配信）
69,,板橋区赤塚番匠免町会,プロレス大会を通した地域住民のつながり強化と町会への加入促進事業
70,,金沢自治会,餅つきを通じた地域交流促進事業
71,,上板橋サンライトマンション自治会,防災力向上に向けた参集訓練と加入促進活動
72,練馬区,公団住宅むつみ台団地自治会,新春もちつき・くじ引き大会を通じて地域友好と交流作り
73,足立区,ボナハイツ中川自治会,ボナハイツ中川防災訓練
74,,綾瀬三丁目自治会,歳末警戒
75,,一ツ家三丁目町会,世代間交流・町会加入促進 おもちつき
76,葛飾区,葛飾区自治町会連合会,デジタルを活用した地域で広げる SDGsの取組
77,,奥戸一丁目町会,令和5年度 奥戸一丁目町会 地域住民・世代間交流促進を目的とした餅つき大会の実施
78,,亀有四丁目町会,令和5年度亀有四丁目町会防災訓練
79,江戸川区,自治会　コミニティー５,餅つき大会
80,,コスモ葛西臨海公園ロイヤルコート自治会,クリスマス会＆防災訓練
81,八王子市,馬場谷戸町会,餅つき
82,,南大沢４丁目１５番地自治会,自らの手で守る安全安心な都営住宅
83,,片倉町会,片倉町会防災教室
84,,七国五丁目町会,５丁目町会作品展・工作教室
85,立川市,第二団地自治会,災害発生時の地域防災力強化事業
86,,都栄自治会,防犯パトロールと地域住民交流会
87,三鷹市,下連雀若葉会,初心者向けスマホ教室
88,,三鷹台団地自治会,在宅避難生活に向けて ～どうする？トイレ、電気、備蓄、安否確認～
89,,都営井の頭四丁目アパート自治会,いち日遅れの節分　みんなで恵方巻き作り
90,青梅市,吹上自治会,防災訓練
91,,富岡自治会,桜まつりを通じた地域交流
92,府中市,西府町団地自治会,さくらまつりを通じた世代間交流事業
93,,日新町西自治会,年末防犯特別パトロール
94,,幸町・晴見町地区連合自治会,災害弱者と助け合おう
95,,都営府中南町４丁目アパート自治会,地域の防犯パトロール
96,,番場一丁目自治会,多世代交流 加入促進 桜祭り 開催
97,,本町一丁目自治会,年末時の防犯パトロールの実施
98,,府中・新町三丁目住宅自治会,断水時の凝固剤利用のトイレ使用訓練
99,昭島市,つつじが丘北自治会,地域防災力向上のため「防災マニュアル」第３版作成と「多文化共生社会づくり」の第一歩
100,,昭島田中町住宅自治会,防災講習会及び防犯パトロール
101,,東町親睦会,東町親睦会餅つき大会
102,町田市,小野路町内会,フットパスお掃除大作戦
103,,高瀬住宅自治会,高ヶ坂「防災フェスタ」
104,,忠生中央町内会,どんど焼き大会
105,,町田市町内会・自治会連合会,多様な主体による接続可能な地域づくり
106,,成瀬台四丁目自治会,地域住民交流イベント
107,,北成瀬台自治会,高齢者の見守り活動
108,,大蔵町町内会,町内ウォーキング大会
109,日野市,ファミール高幡不動自治会,防災避難訓練実施による住民間の協力・親睦の促進
110,,万願寺自治会,防災備品(機器類)の点検・動作確認及び操作訓練
111,,グランシティ豊田自治会,令和5年度　グランシティ豊田自治会 餅つき大会を通じた世代間交流・共生社会づくり事業
112,,西川北自治会,失われたどんと焼きを復活して新旧住民・世代間伝統継承と地域の顔見知りを増やす事業
113,福生市,本町第六町会,令和5年度本町第六町会・福生市本町中央町会合同防災訓練
114,東大和市,仲原東自治会,東大和市仲原地区の防犯力強化事業
115,,清水自治会,餅つき大会
116,多摩市,鶴牧五丁目東町会,デジタル活用教室
117,,多摩市小野路自治会,多摩市一本杉公園内の池の清掃を通して、生物の調査・観察
118,稲城市,若葉台ワーズワースの丘自治会,2023年度 若葉台ワーズワースの丘「餅つき大会」を通じた地域交流事業
119,,上平尾ひなた自治会,上平尾ひなた自治会　応急救護訓練・AED訓練イベント
120,,若葉台蒼の区町会,若葉台蒼の区町会 転倒骨折予防体操教室　事業
121,羽村市,羽村市町内会連合会,町内会・自治会　加入促進事業
122,あきる野市,雨間町内会,令和５年度雨間町内会防災訓練
123,,あきる野市富士見台自治会,令和5年度あきる野市富士見台自治会防災訓練
124,,松山町内会,令和５年度松山町内会防災訓練
125,,渕上町内会,令和5年度渕上町内会防災訓練
126,西東京市,フォレストレイクひばりが丘自治会,地域活動におけるIT導入および積極的なDX推進支援活動
127,日の出町,日の出町第８自治会,スマホ教室
