番号,区市町村名,申請団体名,事業名,,,
111,板橋区,板橋区桜川町会,餅つき大会及び子供仮装大会で青少年健全育成及び町会員の交流を図る事業,,,
112,,志村城山町会,「盆踊り」を通じた地域交流促進事業,,,
113,,小豆沢北町会,「夏祭り」を通した地域交流促進事業,,,
114,,小豆沢緑町会,「さんま大会」を通じた地域交流促進事業,,,
115,,大原東町会,「親子ふれあいまつり」を通じた地域交流事業,,,
116,,中台若木町会,中台若木町会納涼盆踊り大会,,,
117,,蓮沼仲町会,ふるさと祭り・盆踊り大会を通じた地域活性化事業,,,
118,,蓮沼東町会,縁日大会における地域交流事業,,,
119,,前野町四丁目町会,親子納涼大会を通じた地域の世代間交流事業,,,
120,,茂呂町会,茂呂キッズフェス２０１９夏,,,
121,（板橋区）,清水北町会,清水北町会　盆踊り大会,,,
122,,栄町自治会,栄町自治会と福寿会の連携による「地域社会交流の向上事業」の実施,,,
123,,清水町会,提灯行列を通じ・地域社会を明るくし・世代間の交流・地域との交流を図る事業,,,
124,,蓮根南町会,納涼盆踊り,,,
125,,清水朝日町会,清水朝日町会　第48回提灯行列,,,
126,,小豆沢一丁目町会,「小豆沢一丁目町会　子どもまつり」を通じた地域交流促進事業,,,
127,,志村五桜町会,「盆踊り大会」を通じた地域交流促進事業,,,
128,,愛染自治会,愛染子ども祭とラジオ体操,,,
129,練馬区,東大泉二丁目町会,ラジオ体操と夕涼み会を通した地域の見守り力向上事業,,,
130,,南大泉５丁目町会,こども祭りとフラワーポットを配布した高齢者の見守り事業,,,
131,,練馬区町会連合会,町会・自治会加入促進および担い手育成事業による町会・自治会活動の活性化,,,
132,,東大泉井頭町会,井頭ふるさと子供まつり,,,
133,,仲町五丁目町会,納涼盆踊り大会,,,
134,,高松町会,高松町会盆踊り,,,
135,,光が丘パークタウン大通り中央３号棟団地自治会,光が丘国際交流と多国籍文化体験事業,,,
136,足立区,第１１町会・自治会連合会,第5回　第11地区ふれあいコンサート,,,
137,,青井４丁目第３自治会,地域住民を日本伝統文化と他国文化に触れさせ地域の絆を深め地域活性化を図る事業,,,
138,,竹の塚第二団地自治会,「竹の塚第二団地祭」による地域活性化事業,,,
139,葛飾区,ミディオン自治会,ミディオン「サマーフェスティバル」を通じた地域交流事業,,,
140,,奥戸一丁目町会,地域交流盆踊り事業,,,
141,,水元中之橋町会,水元中之橋町会　納涼盆踊り大会,,,
142,,西水元団地自治会,団地のつどい,,,
143,,青戸共和会,青戸共和会納涼祭,,,
144,,水元自治町会連合会,水元公園　さんま祭り,,,
145,,水元下手町会,水元下手町会納涼盆踊り大会,,,
146,,水元宮前町会,水元宮前町会　納涼盆踊り大会,,,
147,,プラウドシティ金町自治会,プラウドシティ金町サマーフェスティバル２０１９,,,
148,,お花茶屋自治町会連合会,お花茶屋ふるさとまつり,,,
149,,金町第一団地自治会,地域活性化のため、催事(夏祭り)の実施,,,
150,,水元中央町会,水元中央町会　納涼盆踊り大会,,,
151,,金町睦自治会,納涼盆踊り大会,,,
152,,亀が岡町会,原田小学校避難所開設訓練,,,
153,江戸川区,コーシャハイム清新自治会,コーシャハイム清新自治会　お祭りあそぼう,,,
154,,ハイラーク船堀自治会,夏まつりを通じた地域交流事業,,,
155,,ジュネシオン平井自治会,夏祭りとカヌー競技説明会(Ⅱ),,,
156,,小松川パークマンション自治会,「まつりだワッショイ小松川２０１９」を通じた地域交流事業,,,
157,,平井三丁目自栄会,町会主催納涼大会及び餅つき大会を通じた地域連帯感の向上,,,
158,,三角自治会,防災消火給水訓練を通じ地域の安全安心と交流親睦を図る事業,,,
159,,リバーウエストＣ館自治会,「小松川夏まつり2019」及び「ラジオ体操」を通じ地域活動の担い手づくり,,,
160,,葛西住宅自治会,葛西住宅自治会　夏祭り,,,
161,八王子市,元八王子地区町会自治会連合会,元八王子北條氏照まつり,,,
162,,高尾紅葉台自治会,夏祭りを通じた「地域力」の向上,,,
163,,八王子市谷野町会,夏の納涼祭を通じた町民の交流と連帯感を育成する事業,,,
164,,八王子市町会自治会連合会,町会・自治会等加入促進キャンペーン事業,,,
165,,片倉台自治会,片倉台夏まつり,,,
166,,長房西２自治会,津軽三味線鑑賞会を通じて地域住民の絆と地域の活性化を構築する,,,
167,,八王子市犬目町会,2019年　犬目ふれあい健康スポーツ大会,,,
168,,川口南町会,災害発生を想定した防災訓練～災害発生当初の安否確認、避難所設営、炊き出し訓練～,,,
169,,長沼町会,長沼町会　夏まつり,,,
170,,上壱分方町神戸町会,夏祭りを通して、子供の育成と地域住民との交流を促進,,,
171,,長房西団地連合自治会,納涼祭を通じて地域の交流と親睦をはかる事業,,,
172,,グリーンタウン高尾自治会,グリーンタウン高尾夏祭りを通じた地域力の向上事業,,,
173,,横川町二丁目町会,夏祭りを通じた、子供の育成と地域住民との交流を促進,,,
174,,高尾台自治会,ふるさと高尾台ふれあい盆踊り推進事業,,,
175,,上川町東部町会,防災訓練,,,
176,,元八王子町一丁目町会,元八王子町一丁目町会納涼盆踊り大会,,,
177,,大和田町会,大和田町会「ふれあい夏祭」,,,
178,,諏訪下町会,「餅つき大会」を通じて町内会の交流と町会未加入世帯の加入促進,,,
179,,絹ヶ丘一丁目自治会,第39回絹一夏まつり,,,
180,,松枝住宅自治会,夏祭り,,,
181,,元八王子町三丁目町会,第５１回納涼盆踊り大会を通じた地域住民の連帯促進事業,,,
182,,天神町町会,天神町　町内まつり,,,
183,,諏訪団地自治会,納涼祭を通じ会員・地域住民の交流・親睦促進を図り、世代間相互の理解を深め連帯感を醸成する事業,,,
184,,八王子市平町町会,防災訓練を通じた地域防火救命力の向上,,,
185,,元八王子町二丁目町会,夏祭りを通じた、子供の育成と地域住民との交流を促進,,,
186,立川市,東羽衣会,夏のイベント(盆踊り、夏祭り)を通して地域世代間の交流を深め地域住民の絆を強化する,,,
187,,立川市自治会連合会曙町支部,曙町パレード,,,
188,,中里自治会,第34回中里ふるさと祭り,,,
189,,立川市自治会連合会錦町支部,「錦まつり」,,,
190,,十番組自治会,「十番組自治会盆踊り大会」,,,
191,,立川市自治会連合会柴崎町支部,柴崎まつり,,,
192,,錦二の中町会,錦二の中夏祭り,,,
193,,柴西会,柴西会　演芸大会,,,
194,武蔵野市,緑町三丁目町会,秋祭りを通じた地域交流事業,,,
195,青梅市,東青梅五丁目自治会,東五みんなで防災フェスタ2019,,,
196,,青梅市自治会連合会第八支会,地域・学校・団体ささえあい事業,,,
197,,新町二丁目自治会,自治会会員加入促進事業(流しそうめんおよびスイカ割り),,,
198,,河辺町一丁目自治会,夏祭り(盆踊り)を通しての地域交流事業,,,
199,,青梅市河辺町五丁目自治会,夏祭りを通じて地域の交流を図る事業,,,
200,,梅郷５丁目自治会,防災訓練を通じた防災意識の高揚および地域防災力の向上,,,
201,府中市,府中市幸町二丁目中央自治会,防災訓練を通じた地域防災力の向上,,,
202,,栄町３丁目富士見会,防災訓練を通じた地域防災力の向上,,,
203,,南町東部自治会,安否確認カードを通じた加入促進と照明訓練,,,
204,,府中市泉会自治会,震災発生時の防災意識啓発事業(安否確認訓練・防災セミナー),,,
205,,武蔵台一丁目西町会,町内会の夏祭会場における防災訓練(炊き出し等)の実施,,,
206,,是政六丁目自治会,町会加入促進と防災力の向上策,,,
207,,押立町自治会,安否確認カードの普及と防災行動力の向上,,,
208,,青葉会,無線機を使用した安否確認訓練で地域の防災力強化,,,
209,,府中市緑町三丁目自治会,防災訓練を通じた地域の防災力向上,,,
210,,都営住南自治会,安否確認と防災力向上策,,,
211,昭島市,郷地東町連合自治会,地域の学校避難所開設訓練と自治会活性化事業,,,
212,,昭島市自治会連合会第１１ブロック,地域の学校避難所開設訓練を主軸とした自治会活性化事業,,,
213,,昭文自治会,夏祭りで外国人との友好を深め、地域コミュニティを強くして安全・安心の街づくりに寄与する,,,
214,,福島連合自治会,盆踊り大会,,,
215,,東中神睦会,夏祭り運営体験による子供育成事業,,,
216,,中神駅前親交自治会,夏祭りの合同実施による地域活性化事業,,,
217,,昭島市郷地第二自治会,お祭りを通じた地域交流活動,,,
218,,朝日町住宅自治会,夏祭りを通じた地域コミュニケーション力の向上,,,
219,,中神東上自治会,夏祭りを通じた地域住民の交流と自治会の活性化,,,
220,,福島第三自治会,地域夏祭りを通じて、子ども神輿や囃子保存会の実演を始めとする地元伝統文化を学び、地域住民同士の交流を深める事業,,,
221,調布市,調布市自治会連合協議会,自治連協みんなで生き活き安心ちょうふ事業,,,
222,,下石原連合自治会,下石原連合自治会納涼祭,,,
223,,多摩川住宅自治連合会,第５３回多摩川ふるさと団地まつり,,,
224,,桜丘睦会,サロン・ド・ムツミ　いきいきサロン,,,
225,,緑ヶ丘西部自治会,緑ヶ丘西部自治会秋祭り,,,
226,町田市,鞍掛台自治会,地域行事と防災訓練を通じた交流促進並びに防災力の向上,,,
227,,公団住宅鶴川団地自治会,第４９回鶴川団地夏まつり,,,
228,,成瀬台自治会連合会,緊急人命救助訓練を通じて地域の共助力向上,,,
229,,町有町内会,第２１回町有・ゼロワンふれあいまつり,,,
230,,南町田自治会,南町田祭り活動を通じた地域交流活動,,,
231,,本町田町内会,本町田大運動会を通じた地域交流促進事業,,,
232,,忠生地区町内会・自治会連合会,体育祭を通じた地域交流事業,,,
233,,図師町内会,防災訓練実施による図師町の防災力の強化,,,
234,,もみじ台町内会,「もみじ台ファミリー祭」による地域の一体感醸成事業,,,
235,,町田市中町中央町内会,「中町中央町内会納涼盆踊り大会」を通じて地域の課題解決のための取り組み,,,
236,,桜美林台自治会,防災訓練を通じた地域防災力の向上,,,
237,,新常盤自治会,地域ふれあいのための納涼祭,,,
238,,忠生忠霊地区自治会,盆踊りを通じた地域交流事業,,,
239,,相原町陽田町会,防災訓練：発電機始動および充電訓練＆炊き出し訓練＆投光器の使用訓練,,,
240,小金井市,梶野町会,梶野町大運動会,,,
241,小平市,のみち自治会,スタンドパイプ2台を用いた消火訓練を通じた地域防災力の向上,,,
242,,上水本町上鈴木自治会,自治会納涼大会,,,
243,日野市,旭が丘上の原自治会,「子供たちのための地域夏祭り」,,,
244,,シティハイツ日野旭が丘自治会,納涼まつりによる地域住民の交流促進事業,,,
245,,滝合自治会,滝合防災まつりでの炊き出し訓練を通じた地域の防災力向上事業,,,
246,東村山市,多摩湖町自治会,納涼のつどいを通じた地域住民及び世代間交流の促進,,,
247,,久米川町４丁目自治会,地域福祉の増進、親睦と交流、コミュニティの醸成を目的とした「納涼会」の開催,,,
248,,久米川町２丁目自治会,夕涼み会,,,
249,福生市,福生市鍋ヶ谷戸第二町会　　,地域ふれあいのための夏祭り、盆踊り,,,
250,,福生市南田園二丁目町会,地域ふれあいのための納涼大会,,,
251,,福生市永田町会,盆踊りを通じた地域住民の交流促進事業,,,
252,,福生市南田園一丁目町会,福生市南田園一丁目町会夏祭り,,,
253,清瀬市,竹丘自治会連合,音楽を通じた、住民交流会及び防災意識向上事業,,,
254,,清瀬柿の下住宅自治会,清瀬柿の下住宅自治会　盆踊り納涼会,,,
255,東久留米市,南神明山自治会,スイカ割＆七夕飾り大会開催,,,
256,武蔵村山市,学園自治会,学園納涼夏まつりとボッチャ体験教室,,,
257,,三ツ藤自治会,三ツ藤自治会夏祭りを通じた地域交流事業,,,
258,,武蔵村山市馬場自治会,武蔵村山市馬場自治会夏祭り,,,
259,,原山自治会,夏祭りを通じた地域交流事業,,,
260,,後ヶ谷戸自治会,地域住民の世代間交流及び健康増進をはかる事業,,,
261,,峰自治会,峰自治会演芸大会,,,
262,,村山団地緑が丘第８自治会,第３回自治会まつり,,,
263,多摩市,桜ヶ丘四丁目自治会,桜ヶ丘四丁目自主防災訓練を通じた地域防災力の向上,,,
264,稲城市,向陽台地区連合会,夏まつりを通じた地域交流・向上・発展事業（向陽台地区夏まつり）,,,
265,あきる野市,下引田町内会,町内会住民による青少年健全育成を目指した納涼盆踊り大会の実施事業,,,
266,,油平本町町内会,会員や地域住民との交流を深め、地域の活性化を図るための納涼大会,,,
267,西東京市,西東京市第３区町会,地域住民の交流促進を図る納涼盆踊り大会,,,
268,日の出町,日の出町第２４自治会,ふるさと日の出団地納涼祭(スローガンつながろう日の出団地),,,
