番号,区市町村,申請団体名,事業名,,,
53,,池袋三丁目北町会,町会防災訓練による地域の防災力向上事業,,,
54,,目白山紫町会,町会防災自主訓練と餅つき大会,,,
55,,池袋通西睦町会,防災資機材夜間搬出訓練及び防犯パトロールの実施,,,
56,,雑司が谷二丁目町会,師走の餅つき大会,,,
57,,東池袋中部町会,防災訓練,,,
58,北区,豊島連合町会,豊島大運動会,,,
59,,桐ケ丘地区自治会連合会,広報による自治会紹介による加入促進及び多文化共生社会づくり事業,,,
60,,王子本町自治会,自治会のお祭りを通し、シニアクラブと連携し、多文化・多世代共生社会づくり事業,,,
61,,東十条町会連合会,東十条町会連合会大運動会,,,
62,板橋区,蓮沼仲町会,蓮沼仲町会　ふるさと祭り,,,
63,,小豆沢二丁目町会,餅つき大会を通じた地域の交流促進事業,,,
64,,常盤台一・二丁目町会,プロレス大会を通した地域住民のつながり強化と町会への加入促進事業,,,
65,,上赤塚町会,ミニSLとゲームで１日親子で遊ぼう,,,
66,,大原西町会,第5回大原西町会地域まつり,,,
67,,徳丸三交会,地域の?つながり”町会交流会,,,
68,,南常盤台一丁目町会,３町会合同防災訓練,,,
69,練馬区,西大泉連合町会,子供たちのオータムフェスティバル～地域全体が一緒になって子どもを見守る場づくり～,,,
70,,都営東大泉団地自治会,地震発災時、集会所を一時避難場所として活用する防災事業,,,
71,,関町南北町会,地域の交流イベント「フルート演奏会」,,,
72,,南大泉連合町会,南大泉の歴史と戦争を伝える事業,,,
73,,東大泉井頭町会,東大泉井頭町会「井頭まつり」,,,
74,,石神井小関町会,石神井小関町会お芋ほり大会,,,
75,足立区,足立区鹿浜地区町会・自治会連絡協議会,地域情報誌による町会・自治会加入促進事業,,,
76,,東栗原団地自治会,ポールウォーキング,,,
77,葛飾区,青戸共和会,青戸共和会　防災訓練,,,
78,,水元圦谷町会,水元圦谷町会「避難の手引」配布事業,,,
79,江戸川区,船堀六丁目町会,高齢者の健康増進と地域住民親睦事業,,,
80,八王子市,大谷町町会,安否確認及び初期消火訓練を通じた町会防災力の向上,,,
81,,上壱分方町神戸町会,秋祭りを通して、子供の育成と地域住民との交流を促進,,,
82,,上川町中部町会,ふれあい健康まつり,,,
83,,グリーンタウン高尾自治会,グリーンタウン高尾秋祭り,,,
84,,南町町会,四町会合同防災訓練を通じた地域の防災力の向上,,,
85,,諏訪下町会,「餅つき大会」を通じて町会及び地域交流と町会未加入世帯の加入促進,,,
86,,みなみ野６丁目会,みなみ野６丁目会、結びのまち自治会合同防災訓練,,,
87,,絹ヶ丘一丁目自治会,安否確認訓練と防災隊本部,,,
88,,さつき野自治会,さつき野防災訓練,,,
89,,川口町中部町会,学校と地域が一体となった災害時の指定避難場を使った実践的訓練,,,
90,,ホーメストタウン八王子自治会,ホーメストタウンフェスティバル,,,
91,,高尾パークハイツＡ棟自治会,地震被災時の在宅避難とデジタル機器を活用した被災情報伝達訓練,,,
92,,西片倉町会,令和5年度西片倉町会防災訓練,,,
93,立川市,立川市自治会連合会栄町支部,親子向け市民講師体験フェアを通じた加入促進活動,,,
94,,栄町南部自治会,南部公園の地下貯水槽による消火を主眼とした防災訓練,,,
95,,曙町一丁目西町会,曙町一丁目東自治会西町会　秋の防災フェスタ,,,
96,,江の島道東住宅自治会,「スマホ教えて会」を通してコミュニティの形成とデジタル格差解消事業,,,
97,,錦和会,防犯活動および啓蒙活動,,,
98,三鷹市,井の頭一丁目町会,スマホ講座・iPad講座を開催し、町会のデジタル化を促進,,,
99,,下連雀二丁目会,むらさき公園の集いー大規模災害に備えて　Part6,,,
100,青梅市,師岡町３・４丁目自治会,地域ぐるみの防犯対策(地域防犯意識の醸成),,,
101,,大柳町自治会,大柳町地域交流秋まつり,,,
102,,下長渕第四自治会,凧作り・凧揚げ大会を通じた世代間交流・多文化共生社会づくり事業,,,
103,,霞台第一住宅自治会,世代を超えた地域交流,,,
104,府中市,本宿町一丁目自治会,防災訓練を通じて地域の防災意識の向上を目指す,,,
105,,栄町３丁目富士見会,デジタルデバイド対策としての活動,,,
106,,寿町３丁目自治会,寿町３丁目自治会サイト発表説明会,,,
107,,府中市緑町自治会,デジタル活用支援（SNS安否確認）の防災訓練,,,
108,,多磨町会,外国人を含めた総合防災訓練,,,
109,昭島市,昭島市自治会連合会第１５ブロック,第70回昭島市民体育大会 第１５ブロック運動会,,,
110,,福島連合自治会,福島連合自治会防災運動会,,,
111,,昭島団地自治会,自治会公園の草刈・樹木剪定・花壇美化活動,,,
112,,都営中神第二団地自治会,令和5年度都営中神第二団地自治会防災訓練,,,
113,調布市,国領自治連合会,自治会加入及び防災の呼びかけのための広報物の作成、配布,,,
114,,緑ヶ丘一丁目自治会,「秋の集い」（地域の皆さんで助け合い・支え合うための交流の場）,,,
115,,上石原第一自治会,近藤勇生誕地まつり,,,
116,,東つつじヶ丘2丁目39自治会,防災訓練及び安否確認、停電時の対応に通じた地域防災力の向上,,,
117,,ラコント調布柴崎管理組合,防災訓練及び炊き出し訓練を通じた居住者間認知向上プロジェクト,,,
118,町田市,本町田町内会,本町田町内会大運動会を通じた地域交流促進事業,,,
119,,図師町内会,図師町内会実践的防災実力向上事業,,,
120,,下山崎町内会,防災訓練を通じた地域防災力の向上事業,,,
121,,相原元橋町会,防災用折たたみ式アルミリヤカーと担架を利用して、被災者の避難所等への搬送や防災備品の搬送を実施する防災訓練,,,
122,,ゼロワンシティ・ウエスタ自治会,第25回町有ゼロワンふれあいまつり,,,
123,,桜美林台自治会,イベントを通して国際交流と地域力向上事業,,,
124,,薬師ヶ丘自治会,地域住民ふれあい事業,,,
125,小平市,富士見住宅自治会,住民の交流促進を目的とした防災イベントフェスタ,,,
126,,回田町会,回田秋まつりの開催,,,
127,,旭町自治会,防災訓練による地域防災力の向上,,,
128,日野市,万願荘自治会,防災訓練に地域の自治会未加入者・外国籍の方々に参加を呼びかけ加入促進を図る,,,
129,,南百草園自治会,自治会　秋の防災訓練　同時開催・防災カフェ,,,
130,,滝合自治会,新旧住民・世代間交流と地域の親睦をはかるための事業,,,
131,,西宮下自治会,平山地区　秋祭り,,,
132,,南新井自治会,炊き出し訓練を兼ねた芋煮会での多文化交流体験,,,
133,,下田自治会,YOU　GOT　A　FES　2023,,,
134,,南平台自治会,"""丘陵地”なんぺいだいに住む私たちの防災を考えよう",,,
135,東村山市,多摩湖町自治会,多摩湖オータムフェス（ハロウィン）を通じた多摩湖町地域の親睦と交流の推進事業,,,
136,国分寺市,泉山自治会,防災訓練・「秋の自治会まつり」で防災力・地域の連帯力向上及び多文化共生運動を進める事業,,,
137,,よっこら処自治会,外国人にも理解できる防災訓練を行い、地域の防災力の向上を目指す,,,
138,,新町三丁目自治会,令和5年度新町三丁目自治会防災訓練,,,
139,福生市,福生市町会長協議会,町会・自治会加入促進事業,,,
140,狛江市,狛江市町会・自治会連合会,やさしいにほんごでの「町会活動及び地域防災力」周知事業,,,
141,武蔵村山市,残堀自治会,新春餅つき大会,,,
142,,後ヶ谷戸自治会,グラウンドゴルフ大会,,,
143,多摩市,都営聖ヶ丘１丁目アパート自治会,環境整備（草刈り・清掃）,,,
144,,永山6丁目自治会,永山6丁目　秋祭り,,,
145,稲城市,地縁団体法人東長沼自治会,自治会広報の充実と拡大のためのデジタル活用講習会,,,
146,羽村市,都市再生機構（UR）羽村団地自治会,令和5年度　第5回文化祭とスマホ・タブレット写真講座,,,
147,,五ノ神東町内会,ふじみっ子まつり,,,
148,あきる野市,下代継町内会,令和5年度下代継町内会防災訓練,,,
149,,牛沼町内会,令和5年度牛沼町内会防災訓練,,,
150,,上代継町内会,令和5年度上代継町内会防災訓練,,,
151,,あきる野市多西地区町内会・自治会連合会,令和5年度あきる野市多西地区町内会・自治会連合会防災訓練,,,
152,,草花台パークハイツ町内会,令和5年度草花台パークハイツ町内会・折立町内会合同防災訓練,,,
計,152件,,,,,
,,,,,,
※助成対象団体は、区市町村において町会・自治会として登録・把握されている団体に限られます。,,,,,,
