番号,区市町村名,申請団体名,事業名,,,
60,,野方地区町会連合会,防犯講習会を通じた地域力向上事業,,,
61,,多田町会,かっぱまつりによる地域の防災力の向上,,,
62,,本三西町会,イベントを通じた地域内の交流促進,,,
63,杉並区,高円寺南一丁目西町会,餅つきと昔あそび、文化継承・地域交流事業,,,
64,,上荻窪地区町会連合会,寒中もちつき大会と音楽会,,,
65,,和泉第一町会,防災フェア,,,
66,,下井草東部自治会,もちつきと東部自治会加入フェスタ２０１９,,,
67,,方南東自治会,パッククッキングと初期消火訓練の実施,,,
68,,和泉第二町会,和泉防災コミュニティー　～顔の見える街づくり～,,,
69,（杉並区）,堀ノ内南町会,防犯パトロール冬季(歳末警戒),,,
70,,大宮２丁目自治会,防災訓練を通じた自治体間連携と地域防災力の向上を図る。,,,
71,豊島区,上池袋昭和町会,上池袋昭和町会　もちつき大会,,,
72,,池袋東口親和町会,池袋東口親和町会　防犯パトロール,,,
73,,目白山紫町会,町会防災自主訓練と餅つき大会,,,
74,,池袋通西睦町会,集客効果のある町内もちつき大会を活用した防災防犯意識の向上と町会加入促進活動,,,
75,,栄和町会,２０１９年度　栄和町会防災訓練,,,
76,,池袋本町中央町会,池袋本町中央町会　防災部消防訓練,,,
77,,雑司が谷一丁目東部町会,町内の現状把握訓練の実施,,,
78,荒川区,アクロシティ自治会,隅田川と親しむ活動を通じた地域力の向上,,,
79,,荒川区大門町会,餅つき大会による世代間交流事業,,,
80,,西日暮里五丁目町会,防災訓練を通じた地域防災力の向上強化事業,,,
81,,町屋江川町会,木造密集地域におけるテントの下での防災訓練,,,
82,板橋区,若木華実町会,町会地域内住民の交流促進を図るもちつき大会,,,
83,,小豆沢二丁目町会,餅つき大会を通じた地域の交流促進事業,,,
84,,桜川二丁目町会,餅つき大会を通じた世代間交流事業,,,
85,,上赤塚町会,ミニＳＬとゲームで１日親子で遊ぼう,,,
86,,板橋区大山町会,イベントを通じた地域交流及び町会加入促進事業,,,
87,,大原西町会,第４回大原西町会地域まつり,,,
88,練馬区,桜台親和町会,きずな祭りを通じた防災・防犯意識啓発・加入促進活動,,,
89,,早宮３･４丁目町会,早宮まつり(わくわくどうぶつむら),,,
90,,早宮一丁目自治会,早一自治会まつり,,,
91,,田柄町会,田柄町会連携防災訓練,,,
92,,東大泉宮本南町会,高齢者サロンの実施,,,
93,,都営東大泉団地自治会,災害時に集会所を避難場所として開設し地域の防災力を向上する事業,,,
94,,関町南北町会,地域の連携による総合防災訓練,,,
95,,練馬北町六丁目自治会,都営住宅内における防災総合訓練,,,
96,,練馬区北園町会,北園まつり,,,
97,足立区,足立区鹿浜地区町会・自治会連絡協議会,地域情報誌による町会・自治会加入率向上事業,,,
98,江戸川区,松江東町会,令和元年度　第７回五町会合同防災・避難訓練,,,
99,,宇喜田六軒町自治会,清掃ボランティア活動と防災炊き出し訓練,,,
100,八王子市,浅川地区町会連合会,防災訓練により防災意識と地域住民の連携、親睦を高めよう,,,
101,,馬場谷戸町会,餅つきを通じた文化継承と地域交流イベント,,,
102,,美山町会,第１６回　美山町健康フェスティバル,,,
103,（八王子市）,打越町会,防災訓練を通じた地域防災力の向上,,,
104,,南町町会,四町会合同防犯・防災訓練を通じた地域の防犯力・防災力の向上,,,
105,,石川町会,防災訓練を通じた地域防災力の向上事業,,,
106,,さつき野自治会,餅つき大会,,,
107,,長沼町日邸団地自治会,地域防災訓練,,,
108,,西１４号自治会,地域の安心・安全及び親睦・交流を図る防災訓練,,,
109,,シフォンの丘自治会,シフォンの丘自治会　防災力向上,,,
110,立川市,第二団地自治会,地域防災力の向上事業,,,
111,,けやき台団地自治会,けやき冬まつり,,,
112,三鷹市,下連雀二丁目会,「むらさき公園の集い」－大規模災害に備えてPart5－,,,
113,青梅市,師岡町３・４丁目自治会,自治会員の新規加入促進および退会防止を図るための自治会親睦事業,,,
114,,下長渕第四自治会,凧作りや凧あげを通じた地域での青少年健全育成２０１９,,,
115,,東青梅２丁目第二自治会,グラウンドゴルフ大会を通じた地域世代間交流の促進,,,
116,,青梅市新町三丁目東自治会,高齢者の「いきいき外出活動」,,,
117,府中市,西府町団地自治会,子供たちに餅つきを体験してもらい，自治会や近隣の世代交流の場を設け地域の活性化を図る。,,,
118,,北山町二丁目町会,町内災害対応力向上事業,,,
119,,本町四丁目自治会,災害時の安否確認と発電機を使った通信機器充電対策,,,
120,,美好町二丁目自治会,巨大地震を想定した安否確認訓練、緊急避難訓練等を通して自治会の地域防災体制の確立,,,
121,,府中市本宿町四丁目自治会,防災訓練とボランティア活動を通じた被災時の対応力向上,,,
122,,台友自治会,震災発災時の安否の確認と情報収集訓練,,,
123,,寿町３丁目自治会,地域住民の健康促進事業,,,
124,,分梅町自治会連合会,防災訓練を通じた地域防災力の向上,,,
125,,グランシティレイディアント東京ウエスト自治会,グランシティレイディアント東京ウエスト　防災力向上プロジェクト２０１９,,,
126,,府中市武蔵台３丁目北部自治会,防災倉庫を活用した防災訓練,,,
127,,府中マンション自治会,災害発生時の安否確認・通信体制の構築,,,
128,,小柳町南町会,安否確認訓練および避難所体験訓練,,,
129,昭島市,昭島団地自治会,防災器材格納用倉庫を使用した震災対策訓練事業,,,
130,調布市,緑ヶ丘一丁目自治会,秋の集い(地域のみなさんで、助け合い支え合うための交流の場）,,,
131,町田市,町田市町内会・自治会連合会,イベントを通じた町内会・自治会加入促進事業,,,
132,,下山崎町内会,防災訓練を通じた地域防災力の向上事業,,,
133,,高ヶ坂あかね自治会,英会話学習会と炊き出し訓練(餅つき・まぜ御飯・赤飯・豚汁),,,
134,,小田急金森泉自治会,首都直下地震による火災発生を想定した初期消火と延焼防止訓練の実施,,,
135,小金井市,自治会つつじ会,地域交流と防犯知識習得を通じ、地域防犯力の向上,,,
136,,前原町一丁目町会,地域の減災をはかる為の防災訓練,,,
137,（小金井市）,東町二丁目町会,東町2丁目防災訓練,,,
138,小平市,富士見住宅自治会,国際異文化体験とまつりを通じた地域交流事業,,,
139,,上水新町虹の会自治会,ボッチャを体験しながら、交流しましょう！,,,
140,,回田町会,第五回　「回田秋まつり」　の実施,,,
141,,グリーンコートレジデンス自治会,ボルタリング競技・ボッチャ競技イベントを通じた自治会員交流及び自治会加入促進事業,,,
142,日野市,第二日野万自治会,夜間防災訓練を通じた地域防災力の向上,,,
143,,南百草園自治会,学ぼう防災　まなぼうさい,,,
144,国分寺市,泉山自治会,防災訓練・「秋の自治会まつり」で防災力・地域の連帯力向上事業,,,
145,,国分寺市東恋ヶ窪三丁目自治会,防災訓練を通じた地域住民の防災意識の向上,,,
146,福生市,福生市町会長協議会,町会・自治会加入促進事業,,,
147,,南田園三丁目町会,防災マップによる地域の安全・安心まちづくり事業,,,
148,狛江市,駒井町会,国際異文化体験交流会,,,
149,,狛江市町会・自治会連合会,花のまちをつくろう！,,,
150,東大和市,梅の原住宅自治会,梅の原住宅自治会　防災訓練による地域力の向上・発展,,,
151,清瀬市,中里自治会,地域在住の外国人や子供も参加して地域防災力の向上を図ろう,,,
152,東久留米市,下山親睦会,防災訓練を通じた地域防災力の向上,,,
153,,氷川台自治会,避難訓練～要援護者支援と高齢者見守りを推進～,,,
154,,野火止親和会,2019年度野火止親和会夜間防災避難訓練事業,,,
155,多摩市,都営聖ヶ丘１丁目アパート自治会,地域防災力強化と高齢者、子供たちの見守り,,,
156,稲城市,長峰ルナオーヴ自治会,三自治会共同による防災訓練および清掃活動の実施,,,
157,羽村市,都市再生機構羽村団地自治会,第3回羽村団地文化祭〝展示作品鑑賞とそば打ち講習で住民国際交流〟,,,
158,,本町第三町内会,６町内会間の交流促進事業,,,
159,あきる野市,あきる野市町内会・自治会連合会,令和元年度避難所開設・運営訓練,,,
160,,網代自治会,災害時相互応援協定を締結した施設との総合防災訓練,,,
161,,折立町内会,合同防災訓練を通じた地域防災力の向上事業,,,
162,,あきる野市野辺町内会,町内会運動会を通じた会員相互の親睦を深める事業,,,
