No.,区市町村名,申請団体名,事業名
40,荒川区,南千住六丁目本町会,初期消火器具による消火訓練
41,板橋区,板橋区町会連合会志村坂上支部,新春凧あげ大会を通じた地域世代間交流促進事業
42,板橋区,蓮沼西町会,七草粥と餅つきを通じた地域活性化事業
43,板橋区,舟渡町会,いたばしプロレスリング等と連携した舟渡の子供の育成及び地域交流促進事業
44,板橋区,高島平一丁目町会,高島平一丁目町会新春餅つき大会
45,板橋区,小豆沢一丁目町会,防災訓練を通じた地域防災力の向上と地域交流促進事業
46,足立区,足立区町会・自治会連合会,町会・自治会加入促進事業（若者女性外国人向け加入促進チラシの作成）
47,足立区,足立区鹿浜地区町会・自治会連絡協議会,地域情報誌による町会 ・自治会加入率向上事業
48,足立区,青井三丁目町会,子供餅つき大会を通じた青少年健全育成事業
49,葛飾区,葛飾区自治町会連合会,時事問題講演会の開催
50,江戸川区,小松川３丁目つばさ自治会,小松川3丁目つばさ自治会　餅つき大会
51,八王子市,西部第一地区連合会,「我がまち元本郷」の配布による地域への愛着心醸成事業
52,八王子市,八王子市初沢町第一町内会,防災活動を兼ねた地域交流の餅つき大会
53,立川市,睦会自治会,合同防災訓練を通じた地域防災力の強化事業
54,青梅市,青梅市自治会連合会第二支会,万一の災害時に備えて役立つ防災マップ作成事業
55,青梅市,新町七・八・九丁目自治会,防災訓練による地域住民の災害対策事業
56,府中市,本町四丁目自治会,震災時に対応した地域防災力の向上方策
57,府中市,幸町・晴見町地区連合自治会,地域住民の共助による避難所開設訓練
58,府中市,天神睦自治会,震災時の初期消火体制作り
59,府中市,府中市是政南町々会,災害発生時の情報収集体制確立と防災訓練
60,昭島市,つつじが丘東自治会,平成３０年新春もちつき大会
61,町田市,忠生中央町内会,防災訓練
62,小金井市,富士見ケ丘自治会,自治会に於ける防災力の向上事業
63,日野市,豊田団地自治会,ふれあいのあるまちづくり
64,東村山市,東青葉自治会,新春ふれあい祭り
65,国分寺市,高木町自治会,災害発生時を想定した地区本部運営事業
66,国分寺市,新町三丁目自治会,国分寺市新町三丁目自治会の防災力の向上事業
67,国分寺市,国立団地協議会,地区防災計画見直しに伴う「近助力」の強化事業
68,福生市,福生市町会長協議会,町会・自治会加入促進事業
69,東大和市,東邦自治会,異世代間交流事業・介護予防活動事業～こはん子育てまつり
70,東久留米市,氷川台自治会,餅つき大会＋地域の活性化と連帯による避難訓練
71,武蔵村山市,武蔵村山市自治会連合会,体験する防災フェスinむさしむらやま
72,多摩市,桜ケ丘二丁目の会,桜ケ丘二丁目の会　２０１７年度自主防災訓練
73,稲城市,若葉台ワーズワースの丘自治会,2017年度　若葉台ワーズワースの丘　「餅つき・やきいも大会」　を通じた地域交流事業
74,羽村市,小作台西町内会,防災訓練を通じた地域防災力の質の向上事業
75,あきる野市,あきる野市町内会・自治会連合会,防災研修会及び夜間防災訓練を通じた地域防災力向上事業
76,あきる野市,あきる野市油平自治会,「オキドキ　カード（自治会会員証）」会員特典制度による加入促進と地域の活性化向上事業
77,あきる野市,大上自治会,大上自治会防災訓練及び講習会を通じた地域力の向上事業
78,あきる野市,新宿自治会,新宿自治会作品展といも煮会の開催による地域間交流促進事業
79,西東京市,フォレストレイクひばりが丘自治会,地域イベントを通じた住民交流及び住民連帯強化
