番号,区市町村,申請団体名,事業名
80,板橋区,徳丸美徳会,地域のお祭りを通じた地域交流事業
81,練馬区,桜台自治会,地域コミュニティの促進
82,練馬区,三原台町会,三原台町会盆踊り大会
83,練馬区,春日町町会,光のアートで世代を繋ぐ 盆踊りプロジェクションマッピングプロジェクト
84,練馬区,豊玉第一町会,第36回　納涼盆踊り大会
85,練馬区,高松町会,高松町会盆踊り
86,練馬区,光が丘パークタウン大通り中央3号棟団地自治会,光が丘 地域が連携して共催します｢夏祭り｣
87,足立区,青井４丁目第３自治会,地域住民を日本伝統文化に触れさせ地域の絆を深め地域活性化を図る事業
88,足立区,都営島根四丁目第三自治会,イベントを通して自治会の活性化と住民同士の交流の場作り
89,足立区,東和一丁目自治会,絆・とういちスマイルプロジェクト
90,葛飾区,水元中之橋町会,水元中之橋町会　納涼盆踊り大会
91,葛飾区,四つ木町会,四つ木町会盆踊り
92,葛飾区,水元中央町会,水元中央町会　盆まつり2023　およびデジタル発信
93,葛飾区,水元猿町東町会,スタンドパイプによる消火訓練と防火防災講習会
94,江戸川区,ハイラーク船堀自治会,夏まつりを通じた地域交流事業
95,江戸川区,ジュネシオン平井自治会,秋のお祭り
96,江戸川区,コーシャハイム小松川一丁目住宅自治会,「まつりだワッショイ小松川 2023」を通じた地域交流
97,江戸川区,平井三丁目自栄会,町会主催納涼大会を通じた地域連帯感の向上
98,八王子市,高尾紅葉台自治会,夏祭りを通じた「地域力」の向上
99,八王子市,丹木町会,丹木町夏まつり
100,八王子市,八王子市町会自治会連合会,町会自治会への加入促進に向けた取り組み　町自連研修会
101,八王子市,片倉台自治会,片倉台夏まつり
102,八王子市,北野台自治会,北野台夏まつり
103,八王子市,長房西２自治会,笑いと驚きの世界に没頭し世代をこえた絆と地域の活性化につながる大道芸
104,八王子市,川口南町会,防災備蓄品を試食しながら、コロナ後の地域の絆づくり～夏まつり～
105,八王子市,長沼町会,長沼町会　夏まつり
106,八王子市,打越町会,第14回打越まつり
107,八王子市,横川町二丁目町会,夏祭りを通じた、子供の育成と地域住民との交流を促進
108,八王子市,高尾台自治会,ふるさと高尾台ふれあい盆踊り
109,八王子市,上川町東部町会,カムカム体操＋α
110,八王子市,楢??原町東部町会,デジタル機器を活用した防災情報伝達訓練と講習会
111,八王子市,大和田町会,大和田町「ふれあい夏祭り」
112,八王子市,元八王子町三丁目町会,第55回納涼盆踊り大会を通じた地域住民の連帯促進事業
113,八王子市,天神町町会,天神町　町内まつり
114,八王子市,高留町会,上恩方夏祭り
115,八王子市,元八王子町二丁目町会,盆踊りを通じた外国人居住者と地域住民との共生社会を促進
116,八王子市,北野町町会,和田盆踊り
117,八王子市,北八王子町会,住民交流・加入促進・防災啓蒙を目的とした北八文化フェス(映画上映会)の実施
118,八王子市,船田町会,安否確認防災訓練を通じた地域防災力の向上
119,八王子市,丸山町滝山台自治会,自治会紹介強化による自治会への加入促進および自治会活性化事業
120,立川市,立川市自治会連合会若葉町支部,「若葉町まつり」
121,立川市,立川市自治会連合会曙町支部,あけぼの夏まつり
122,立川市,立川市富士見町五丁目喜多町会,夏祭りを通じた世代間交流と町内会の絆の深化
123,立川市,立川市柏町六番組自治会,親子で体験「砂川の地粉うどんつくり」
124,立川市,柴五会,町会でお祭りを催し地域住民の町会への参加意識を増進する。
125,立川市,羽衣町１丁目第2アパート自治会,高齢者向けサロン及び見守り活動
126,青梅市,青梅市自治会連合会第11支会,今井・藤橋合同夏祭り
127,青梅市,梅郷１・２丁目連合自治会,"梅郷1・2丁目""ふるさと体験事業”"
128,青梅市,青梅市自治会連合会第八支会,地域・学校・団体ささえあい事業
129,青梅市,青梅市野上第三自治会,自治会員と非自治会員との交流
130,青梅市,青梅市自治会連合会第６支会,プールで子供たちのイベント
131,青梅市,東青梅四丁目自治会,炊き出し訓練を通じた地域被災時対応力の向上
132,府中市,西府町一丁目自治会,西府町一丁目自治会防災訓練
133,府中市,分梅町自治会連合会,分梅町地域の外国人を含めた納涼盆踊り大会実施事業
134,府中市,新二自治会,防犯パトロール体制強化事業
135,昭島市,郷地東町連合自治会,自治会活性化活動と防犯・防災意識向上事業
136,昭島市,中神駅前親交自治会,夏祭り実施による地域活性化事業
137,昭島市,昭島市自治会連合会第２０ブロック,夏祭り
138,昭島市,朝日町住宅自治会,地域住民の交流を深める自治会事業の展開
139,昭島市,福島第三自治会,コロナに負けるな！福島第三自治会夏まつり
140,昭島市,美堀町つくし自治会,住民参加型一斉清掃活動
141,調布市,調布市自治会連合協議会,調布市自治連協知らせよう深めよう自治会アクション
142,調布市,東つつじヶ丘一丁目むつみ自治会,防災訓練
143,町田市,野津田町内会,盆踊りを通じた世代間交流事業
144,町田市,忠生地区町内会・自治会連合会,ファミリー体育祭
145,町田市,小山田桜台自治会,スマホ教室
146,町田市,清住平自治会,清住平自治会　夏祭り
147,町田市,忠生自然自治会,卓球・ボッチャを通じた地域交流推進スポーツ教室
148,町田市,高ヶ坂第一町内会,"納涼盆踊り大会"
149,町田市,坂下町会,坂下町祭
150,町田市,つくし野1・2丁目自治会,夏祭り子どもみこし
151,小平市,光ヶ丘自治会,安否確認訓練を通じた地域防災意識の向上
152,小平市,桜上水自治会,盆踊り大会を通じた世代間交流・多文化共生社会づくり事業
153,日野市,旭が丘上の原自治会,子供たちための地域夏祭り
154,日野市,実践南自治会,自治会区域における地域力の活性化と地域住民の交流促進を目的とした夏祭り事業
155,日野市,シティハイツ日野旭が丘自治会,納涼祭りによる地域住人の交流促進事業
156,日野市,高山自治会,自治会地域の外国人と日本人の交流と日本文化を学ぶ陶芸と書道体験会
157,日野市,日野市多摩平１丁目自治会,自治会オンライン配信による地域活性化事業
158,東村山市,萩山中央自治会,ハロウィン祭りを通して高齢者と若い世代や子供たちの交流を深め地域コミュニティーを高める
159,福生市,福生市鍋ヶ谷戸第二町会,地域ふれあいのための夏祭り、盆踊り
160,福生市,福生市南田園二丁目町会,地域ふれあいのための納涼大会
161,福生市,福生市永田町会,盆踊りを通じた地域住民の交流促進事業
162,福生市,福生市南田園一丁目町会,福生市南田園一丁目町会夏祭り
163,東久留米市,東部第二分団自治会連合会,合同自主防災訓練を通じた地域防災力の向上事業
164,東久留米市,東久留米市新川町自治会,秋祭りを通じた地域の交流と活性化事業
165,武蔵村山市,峰自治会,峰自治会演芸大会
166,多摩市,桜ヶ丘二丁目の会,安否確認訓練及び防災訓練（テント設営訓練）
167,稲城市,向陽台地区連合会,夏まつりを通じた地域交流・向上・発展事業
168,稲城市,向陽台二丁目住宅自治会,向陽台二丁目住宅自治会防災訓練
169,稲城市,平尾自治会,盆踊り
170,稲城市,大丸自治会,２０２３夏祭り（納涼盆踊り大会）
171,稲城市,稲城市自治会連合会,広報による自治会加入促進事業
172,あきる野市,油平本町町内会,地域コミュニティーの活性化と多文化共生の意識を醸成する納涼大会
173,あきる野市,あきる野市野辺町内会,町内会運動会を通じた地域住民相互の親睦を深める事業
174,あきる野市,あきる野市菅生町内会,あきる野市菅生町内会　秋祭り
175,西東京市,下宿自治会,しもじゅく夏祭りin　きらっと
176,日の出町,日の出町第10自治会,第１０自治会納涼祭
177,日の出町,第７自治会,第７自治会　子供会合同祭
178,日の出町,日の出町第９自治会,日の出町第９自治会納涼大会
179,奥多摩町,南氷川自治会,南氷川げんきの会
