地域階層,地域コード,項番 Item number,地域,District,総床面積 Total floor space,新設 Newly constructed／総数 Total／戸数 Number,新設 Newly constructed／総数 Total／総床面積 Total floor space,新設 Newly constructed／持家 Owner's dwelling ／戸数 Number,新設 Newly constructed／持家 Owner's dwelling ／総床面積 Total floor space,新設 Newly constructed／貸家 For rent／戸数 Number,新設 Newly constructed／貸家 For rent／総床面積 Total floor space,新設 Newly constructed／給与住宅 Issued dwelling／戸数 Number,新設 Newly constructed／給与住宅 Issued dwelling／総床面積 Total floor space,新設 Newly constructed／分譲住宅 For sale／戸数 Number,新設 Newly constructed／分譲住宅 For sale／総床面積 Total floor space,その他 Others／総数 Total／戸数 Number,その他 Others／総数 Total／総床面積 Total floor space,その他 Others／持家 Owner's dwelling ／戸数 Number,その他 Others／持家 Owner's dwelling ／総床面積 Total floor space,その他 Others／貸家 For rent／戸数 Number,その他 Others／貸家 For rent／総床面積 Total floor space,その他 Others／給与住宅 Issued dwelling／戸数 Number,その他 Others／給与住宅 Issued dwelling／総床面積 Total floor space,その他 Others／分譲住宅 For sale／戸数 Number,その他 Others／分譲住宅 For sale／総床面積 Total floor space
5,13109,9,品川区,Shinagawa-ku,340080,4919,339966,509,57049,1599,67396,8,681,2803,214840,4,114,1,33,-,-,2,70,1,11
5,13110,10,目黒区,Meguro-ku,188369,2486,187759,533,70730,1031,44987,1,281,921,71761,18,610,5,275,4,73,9,262,-,-
5,13111,11,大田区,Ota-ku,514502,8622,511154,1057,121730,3194,128343,17,1435,4354,259646,35,3348,5,100,3,94,25,2953,2,201
5,13112,12,世田谷区,Setagaya-ku,737035,10240,732256,1948,230334,4653,221238,29,2180,3610,278504,124,4779,30,1758,20,456,74,2565,-,-
5,13113,13,渋谷区,Shibuya-ku,222676,3249,222589,317,41858,1340,59371,14,2458,1578,118902,2,87,2,87,-,-,-,-,-,-
5,13114,14,中野区,Nakano-ku,260699,4152,260395,441,51922,2318,108837,95,4692,1298,94944,10,304,3,94,1,12,5,169,1,29
5,13115,15,杉並区,Suginami-ku,391272,5539,388807,1091,123356,2327,96605,16,1504,2105,167342,65,2465,9,478,16,279,40,1708,-,-
5,13116,16,豊島区,Toshima-ku,214856,3648,214635,359,41909,1334,52017,165,12740,1790,107969,8,221,1,37,-,-,7,184,-,-
5,13117,17,北区,Kita-ku,285716,4390,283687,441,50256,1936,79519,-,-,2013,153912,55,2029,3,108,3,53,49,1868,-,-
5,13118,18,荒川区,Arakawa-ku,161666,2351,160940,211,23778,943,38479,9,1130,1188,97553,25,726,-,-,1,11,24,715,-,-
5,13119,19,板橋区,Itabashi-ku,371177,5712,367707,547,63594,2783,126783,69,5846,2313,171484,94,3470,5,135,9,154,80,3181,-,-
5,13120,20,練馬区,Nerima-ku,380440,5067,377711,1038,121252,1974,87803,34,1687,2021,166969,64,2729,10,616,32,1255,22,858,-,-
5,13121,21,足立区,Adachi-ku,550189,8232,541504,838,98079,4708,204252,38,1726,2648,237447,248,8685,13,583,60,1595,175,6507,-,-
5,13122,22,葛飾区,Katsushika-ku,275090,4155,272544,506,57183,2445,103777,14,1935,1190,109649,92,2546,8,296,27,514,57,1736,-,-
5,13123,23,江戸川区,Edogawa-ku,368182,4896,366018,845,96954,2176,100761,24,2709,1851,165594,75,2164,9,432,32,637,34,1095,-,-
2,13200,,市部,All shi,2607822,31727,2572920,6972,797472,10901,516473,76,5315,13778,1253660,776,34902,199,9183,238,4619,338,21084,1,16
5,13201,1,八王子市,Hachioji-shi,389853,4706,385051,916,108773,1741,74978,46,2497,2003,198803,155,4802,42,1780,34,494,79,2528,-,-
5,13202,2,立川市,Tachikawa-shi,118568,1556,117446,310,34302,724,40933,1,184,521,42027,36,1122,8,254,19,304,9,564,-,-
5,13203,3,武蔵野市,Musashino-shi,99268,1196,98156,247,30719,462,21687,2,307,485,45443,18,1112,8,681,2,54,8,377,-,-
5,13204,4,三鷹市,Mitaka-shi,133285,1733,131665,355,39818,589,27537,1,149,788,64161,42,1620,3,52,10,270,29,1298,-,-
5,13205,5,青梅市,Ome-shi,63122,651,62472,238,29278,145,6916,-,-,268,26278,20,650,10,512,8,107,1,15,1,16
5,13206,6,府中市,Fuchu-shi,190846,2369,189154,408,44988,828,41036,1,85,1132,103045,48,1692,8,404,22,582,18,706,-,-
5,13207,7,昭島市,Akishima-shi,50821,591,50447,184,20713,206,10879,-,-,201,18855,13,374,3,108,8,152,2,114,-,-
5,13208,8,調布市,Chofu-shi,115376,1488,114745,296,31640,520,25212,1,156,671,57737,22,631,5,129,8,249,9,253,-,-
5,13209,9,町田市,Machida-shi,261482,2896,258801,864,100198,837,42790,-,-,1195,115813,87,2681,28,1146,18,362,41,1173,-,-
5,13210,10,小金井市,Koganei-shi,94586,1300,93143,251,27062,507,21903,1,192,541,43986,20,1443,5,174,1,11,14,1258,-,-
5,13211,11,小平市,Kodaira-shi,110308,1332,109683,327,36109,380,18028,-,-,625,55546,16,625,4,146,9,180,3,299,-,-
5,13212,12,日野市,Hino-shi,150454,1733,145969,386,43959,415,19669,5,388,927,81953,55,4485,12,556,20,277,23,3652,-,-
5,13213,13,東村山市,Higashimurayama-shi,53792,672,53541,154,18135,224,9264,-,-,294,26142,8,251,2,66,5,174,1,11,-,-
5,13214,14,国分寺市,Kokubunji-shi,74372,983,73713,208,23648,370,14281,1,122,404,35662,16,659,3,379,3,50,10,230,-,-
5,13215,15,国立市,Kunitachi-shi,62351,848,61549,174,21905,431,19612,12,421,231,19611,28,802,8,358,13,229,7,215,-,-
5,13218,16,福生市,Fussa-shi,27946,328,27641,91,10364,117,6175,1,119,119,10983,9,305,5,227,4,78,-,-,-,-
5,13219,17,狛江市,Komae-shi,96531,1078,95182,148,15950,214,9508,-,-,716,69724,36,1349,3,128,4,52,29,1169,-,-
5,13220,18,東大和市,Higashiyamato-shi,71851,729,65354,164,18227,67,3342,1,161,497,43624,25,6497,4,145,3,38,18,6314,-,-
5,13221,19,清瀬市,Kiyose-shi,30717,358,30648,115,12703,104,4597,-,-,139,13348,3,69,2,53,1,16,-,-,-,-
5,13222,20,東久留米市,Higashikurume-shi,91296,1110,90974,200,21457,322,15204,-,-,588,54313,17,322,2,64,6,92,9,166,-,-
5,13223,21,武蔵村山市,Musashimurayama-shi,50521,712,50288,137,14210,420,22106,-,-,155,13972,8,233,3,166,5,67,-,-,-,-
5,13224,22,多摩市,Tama-shi,47587,569,46632,116,14958,195,8934,-,-,258,22740,23,955,5,463,8,229,10,263,-,-
5,13225,23,稲城市,Inagi-shi,62168,875,61536,141,16157,505,22369,-,-,229,23010,20,632,6,323,3,42,11,267,-,-
5,13227,24,羽村市,Hamura-shi,36847,424,36398,94,11302,134,6614,-,-,196,18482,12,449,5,173,7,276,-,-,-,-
5,13228,25,あきる野市,Akiruno-shi,56147,619,55456,245,27719,189,9898,1,196,184,17643,23,691,11,538,11,142,1,11,-,-
5,13229,26,西東京市,Nishitokyo-shi,67727,871,67276,203,23178,255,13001,2,338,411,30759,16,451,4,158,6,92,6,201,-,-
3,13300,,郡部,All gun,37105,370,36491,163,18811,52,2640,2,244,153,14796,8,614,3,420,4,180,1,14,-,-
3,13350,,島部,All islands,7187,97,7059,35,3092,21,869,41,3098,-,-,4,128,1,68,-,-,3,60,-,-
4,13360,1,大島支庁,Oshima-shicho,5445,77,5385,18,1605,19,797,40,2983,-,-,3,60,-,-,-,-,3,60,-,-
4,13380,2,三宅支庁,Miyake-shicho,421,4,421,4,421,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13400,3,八丈支庁,Hachijo-shicho,1321,16,1253,13,1066,2,72,1,115,-,-,1,68,1,68,-,-,-,-,-,-
4,13420,4,小笠原支庁,Ogasawara-shicho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,,,,,,,,,,,,,,,
3-11  地  域  別  着  工  住  宅  数 （平成24年） ,,,,,,,,,,,,,,,,,,,,,,,,,
　この表は， 建築基準法に基づき建築主から知事に届出のあった建築工事届により，着工住宅を工事別に分類したもので， 「新設」 ,,,,,,,,,,,,,,,,,,,,,,,,,
とは建築物の新築， 増築又は改築によって住宅の戸が新たに造られる工事をいい，「その他」とは住宅が増築又は改築されるときで， ,,,,,,,,,,,,,,,,,,,,,,,,,
住宅戸数が新たに増加しない工事をいう。 ,,,,,,,,,,,,,,,,,,,,,,,,,
（単位　面積　平方メートル） ,,,,,,,,,,,,,,,,,,,,,,,,,
　　資料：都都市整備局市街地建築部建築企画課 ,,,,,,,,,,,,,,,,,,,,,,,,,
3-11  DWELLING  CONSTRUCTION STARTS BY DISTRICT (2012) ,,,,,,,,,,,,,,,,,,,,,,,,,
This table refers to the number of dwelling constructions started after submission of construction notification to the ,,,,,,,,,,,,,,,,,,,,,,,,,
Governor by the builders as prescribed in the Building Standards Act which have been classified by type of construction.,,,,,,,,,,,,,,,,,,,,,,,,,
Newly constructed refers to the building of a new dwelling unit through new construction extension or reconstruction,,,,,,,,,,,,,,,,,,,,,,,,,
"and ""Others"" refers to extension or reconstruction that does not result in an increase of dwelling units. ",,,,,,,,,,,,,,,,,,,,,,,,,
(Space in m2) ,,,,,,,,,,,,,,,,,,,,,,,,,
　　Source: Bureau of Urban Development，TMG,,,,,,,,,,,,,,,,,,,,,,,,,
